页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905223527075673,十万个心情签名,2023-05-25 09:58:06,#催收巨头湖南永雄宣布停业#催收可以，但是涉及恐吓，爆通讯录，骚扰家人同事，确实违法 ,2,5,18,广西,百色,广西,中国
2,4905237209156119,橘猫想开了,2023-05-25 10:52:28,#催收巨头湖南永雄宣布停业#看到这个想起来，我办宽带的时候顺带把手机号码从移动转到了电信，电信送了我一张副卡，我刚装在备用手机上，就收到一堆催收短信，这个副卡号码的前主人借了好几种网贷，号码不用了也没销号。我设置了来电白名单拦截电话，但语气软绵绵的催收短信还是经常收到。 我就想问一下，这个号码不会影响到我的征信吧？,0,0,0,浙江,杭州,浙江,中国
2,4905237103509647,我是律师的朋友,2023-05-25 10:52:02,#催收巨头湖南永雄宣布停业#  催收业务本身无法做到完全无辜…… ,0,0,0,上海,上海,上海,中国
2,4905237053706256,我不想反思了,2023-05-25 10:51:51,#催收巨头湖南永雄宣布停业#老赖得治，以骚扰，恐吓方式催收的公司更得治，很多人被消费主义忽悠贷款，然后就是无止境的被催收骚扰，还有有些人想不开寻了短见。是畸形的。 ,0,0,0,河北,廊坊,河北,中国
2,4905236832195883,小V张城川,2023-05-25 10:50:58,#催收巨头湖南永雄宣布停业#自称4家分公司179名员工被安徽警方采取刑事强制措施，共有3名员工因涉嫌寻衅滋事罪被批捕。。。。  网友：暴力催收行业知名度很高的一家公司，突然被清理。。。事出有因的吧。。。。。？ #湖南永雄# ,0,0,0,江苏,南京,江苏,中国
2,4905236672023283,iinndayo_M,2023-05-25 10:50:20,#催收巨头湖南永雄宣布停业#  闹着玩儿似的 ,0,7,1,湖南,长沙,湖南,中国
2,4905236302925646,隔b老周,2023-05-25 10:48:52,#催收巨头湖南永雄宣布停业#这些专门从事催收的，没有不用违法手段的。 ,0,0,1,浙江,,浙江,中国
2,4905236059915018,且慢明朝,2023-05-25 10:47:54,#催收巨头湖南永雄宣布停业#催收巨头都出来了吗？评论区更是张口就来。 ,0,0,0,河南,郑州,河南,中国
2,4905235049092565,孟博律师给你说法,2023-05-25 10:43:53,#催收巨头湖南永雄宣布停业#畸形的……下会产生一些畸形的……最后收场时，会不太好看。前些年处理过软暴力催收（间接）致死的案件。这几年就暴力催收、软暴力催收问题，接受过一些采访，提出过一些立法建议，做过一些法规解读。实务中，近年来深入处理过多起咨询、案件。许多金融机构喜欢外包的电催公司，简单粗暴，“不看手段，看疗效”。然问题多多，合规风险此起彼伏，被处理者不胜枚举。欠债不还，不合情，不合理，不合法。但换个角度看，既然选择把“放款”当生意做，那么，要账时，就应该按规矩来。#微博新知博主#,1,0,6,北京,北京,北京,中国
2,4905235023138270,尉迟冰津,2023-05-25 10:43:47,#催收巨头湖南永雄宣布停业#孤陋寡闻的我，第一次听说有这种大公司，而且还被跨省执法。 ,0,0,0,内蒙古,呼和浩特,内蒙古,中国
3,4905234998759623,长沙段誉,2023-05-25 10:43:41,#催收巨头湖南永雄集团宣布停业# #催收巨头湖南永雄宣布停业# 持续关注，持续跟进，期待湖南相关部门最新进展情况通报#点亮大湖南#,0,0,0,湖南,长沙,湖南,中国
3,4905234801099449,GPLP犀牛财经,2023-05-25 10:42:54,【“催收巨头”湖南永雄集团宣布停业】5月25日，“催收巨头”湖南永雄资产管理集团宣布，集团决定从今日起停业。据《北京青年报》早前报道，近日，一则“警方‘突袭’永雄邵阳分公司”的视频，让永雄集团受到业内关注。视频中，警方正与疑似永雄集团公司人员进行交涉。对此，永雄集团在25日凌晨发布的《告全体员工书》中证实了这一消息，自称4家分公司“179名员工被安徽警方采取刑事强制措施”，目前“共有3名员工因涉嫌寻衅滋事罪被批捕”。（界面新闻）,0,0,0,北京,北京,北京,中国
3,4905234595842827,老K就是Frank,2023-05-25 10:42:05,#催收巨头湖南永雄宣布停业#  永雄党建…… ,1,0,4,上海,上海,上海,中国
3,4905234428074101,贤人说法,2023-05-25 10:41:25,#催收巨头湖南永雄宣布停业#近十多年的发展，滋养了欠钱的爷，滋养了电信诈骗多 ,0,0,0,北京,北京,北京,中国
3,4905231022033179,___在我心上用力的开一枪_,2023-05-25 10:27:53,#催收巨头湖南永雄宣布停业#作为业内人士，我反对暴力催收，这条新闻下更是老赖的狂欢！昨天还有一个老赖给我打电话，说让本金给他打折他就还，他名下十几家公司，你觉得他还不起吗？欠款人失联肯定是可以联系第三方了，但是法律的红线不要逾越！国内越来越多的老赖，反催收！实际上就是利息驱使！我将永远站在老赖的对立面！打击老赖！,0,4,23,重庆,重庆,重庆,中国
3,4905234030133571,小睡杨眉,2023-05-25 10:39:49,#催收巨头湖南永雄宣布停业#借钱的都是老大 ,0,0,1,北京,北京,北京,中国
3,4905233958571671,小橙陈Y,2023-05-25 10:39:33,#催收巨头湖南永雄宣布停业#违法手段催债不可取，安徽警方加1分 ,0,0,1,湖南,长沙,湖南,中国
3,4905233954113020,三号线太挤了,2023-05-25 10:39:32,#催收巨头湖南永雄宣布停业#欠钱不还，有法律解决；合法催收，警方也不会抓你。非法放贷，然后暴力催收，形成一个黑色产业链，该打。我读大学那会儿，暴力催收这种事就不少，有同学因此辍学打工还债，还有，L贷的视频我也看过。反正对干催收的人没啥好感。 ,0,0,3,广东,广州,广东,中国
3,4905233723164863,支点杂志,2023-05-25 10:38:37,#催收巨头湖南永雄宣布停业# 反对暴力催收！打击老赖！双管齐下,1,0,5,,武汉,湖北,中国
3,4905233619096419,郝国中杂谈,2023-05-25 10:38:12,#催收巨头湖南永雄宣布停业# 湖南讨债公司被安徽警方打击，引发社会关注：讨债公司有没有违规违法？安徽警方执法是否公正？ ,2,3,6,湖南,长沙,湖南,中国
4,4905227184244059,机圈小红帽,2023-05-25 10:12:38,#催收巨头湖南永雄宣布停业#  欠钱不还和暴力催收一样恶心 ,0,7,11,广东,深圳,广东,中国
4,4905233463120019,在外嘻嘻哈哈,2023-05-25 10:37:35,#催收巨头湖南永雄宣布停业#我有个朋友欠了我们的钱 怎么样都不还 日子过的比我们还潇洒  这些借钱不还的人还有理了。 ,0,2,2,浙江,杭州,浙江,中国
4,4905233056533940,谭浩俊微财经,2023-05-25 10:35:58,#催收巨头湖南永雄宣布停业#主要是采用违法手段催收 ,0,0,3,湖北,武汉,湖北,中国
4,4905232888238259,青山牧肥牛,2023-05-25 10:35:18,#鹰眼视角# 看看，城管又上头条了！我都没发现哪天城管不上头条的！主管部门还有存在的必要吗？#催收巨头湖南永雄宣布停业# ,0,3,7,广西,南宁,广西,中国
