页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905239860216276,angel_溜儿,2023-05-25 11:02:59,·｜🎁《世界创意儿童手工美术课堂·法国卷2》🧱🍎👍，一个好朋友拥有随机绘本一本好玩的手工书又来啦爱手工的溜蕞爱的书她现在能熟练的用✂️拆箱子，然后用胶水组合，再用画笔和贴纸进行装饰，做出不同的她脑海里的手工作品，自己完成，不需要帮忙对于没学过的小朋友来说，做的还是蛮好的有了这套书的加持，她应该能做的更好这套书延续“法国卷”系列，又增加了五个主题，分别是软陶、光影、自然素材、瓦楞纸、种子，共提供40件亲子手工作品的制作步骤，所用的材料也非常日常，家长、老师和小朋友都能轻松做出相关的手工游戏每个活动还配有多种玩法，能激发孩子的无限创意#千万不要长期喝奶茶##好书天天读#转发赠书 广州·凤凰城凤晴苑,0,0,0,广东,广州,广东,中国
2,4905239851303148,可可可江,2023-05-25 11:02:57,#千万不要长期喝奶茶#很奇怪，我就完全对奶茶提不起兴趣 ,0,0,0,广东,广州,广东,中国
2,4905239805429871,拖着奶瓶的YT_S,2023-05-25 11:02:47,#千万不要长期喝奶茶#是的 对钱包不友好 ,0,0,0,浙江,,浙江,中国
2,4905239750379668,柠檬巧果,2023-05-25 11:02:34,#千万不要长期喝奶茶# 不开心时就想喝点甜的每次也都喝不完，体重也就那样 ,0,0,0,江苏,常州,江苏,中国
2,4905239662825877,仁俊的火锅,2023-05-25 11:02:13,#千万不要长期喝奶茶#昨晚喝的这个 ,0,0,0,河南,洛阳,河南,中国
2,4905239557963875,迢迢风雨路,2023-05-25 11:01:47,#千万不要长期喝奶茶#吓唬谁呢，我哪有钱长期喝 ,0,0,0,江苏,,江苏,中国
2,4905239557442196,小何明天去哪个湖里捞龙,2023-05-25 11:01:48,#千万不要长期喝奶茶# 点进这个烫搜的五分钟内，我经历了内心剧烈的挣扎，最终打开了外卖软件。。 ,0,2,2,上海,上海,上海,中国
2,4905239512092744,请我晒太阳吧,2023-05-25 11:01:37,#千万不要长期喝奶茶#一周喝三杯奶茶，我也不想喝啊，我就是忍不住，我这个月不会再喝一杯奶茶了！！ ,0,0,0,河南,新乡,河南,中国
2,4905239462020261,郑曼丽-,2023-05-25 11:01:25,#千万不要长期喝奶茶#快撤回，我当没看见 ,0,0,0,江苏,南京,江苏,中国
2,4905239452584658,易烊千玺的霸道总裁啊,2023-05-25 11:01:23,#千万不要长期喝奶茶#考研那一年每天一杯奶茶，胖了至少十五斤，现在整个人跟肿了一样 ,0,0,0,河南,,河南,中国
3,4905239448391132,an不变的心,2023-05-25 11:01:22,#千万不要长期喝奶茶#看到这个对比图，还敢喝奶茶吗？ ,0,0,0,浙江,衢州,浙江,中国
3,4905239440266436,桔子葡萄苹果,2023-05-25 11:01:20,#千万不要长期喝奶茶#虽说奶茶是减肥路上的拦路虎，但奶茶这么好喝谁能不爱奶茶呢～ ,0,2,1,天津,天津,天津,中国
3,4905239427679585,新乡身边事,2023-05-25 11:01:17,#千万不要长期喝奶茶#我离不开奶茶～ ,0,0,0,河南,开封,河南,中国
3,4905239410381026,叶恋桃,2023-05-25 11:01:13,#千万不要长期喝奶茶#这个还好，我只会每周喝个一两次。这就是楼下没奶茶店和不爱点外卖的好处 ,0,0,0,江苏,淮安,江苏,中国
3,4905239406969941,不加糖也峥的甜o,2023-05-25 11:01:12,#千万不要长期喝奶茶# 好久没喝了 你这么一说我今天中午就要去喝！ ,0,5,7,山东,,山东,中国
3,4905239402775124,吉林共青团,2023-05-25 11:01:10,#千万不要长期喝奶茶#肝小叶、肾小球、黄色葡萄球菌……这些医学名词你知道吗？来看@南京医科大学 学生推出一系列“医学奶茶”↓↓网友：成功遏制了想喝奶茶的冲动。 ,0,0,1,,吉林市,吉林,中国
3,4905239361360311,嘉兴咖啡爸爸,2023-05-25 11:01:01,投票：你会经常喝奶茶吗？#千万不要长期喝奶茶#  网页链接 ,0,0,16,浙江,嘉兴,浙江,中国
3,4905239360310600,是邦尼酱啊,2023-05-25 11:01:01,#千万不要长期喝奶茶# 一个月2.3杯吧 奶茶一整杯喝完会有点腻 果茶还好点 偶尔偶尔 ,0,0,0,广东,揭阳,广东,中国
3,4905239351920844,如宇随行-颜烯yu,2023-05-25 11:00:59,#千万不要长期喝奶茶#  哈哈哈哈，原来如此 可是我没时间去买奶茶啊 ,0,0,0,重庆,重庆,重庆,中国
3,4905239344322085,我可是lucky仙女,2023-05-25 11:00:57,#千万不要长期喝奶茶# 额…… 公开课结束的庆祝🎉 ,0,0,0,山东,济南,山东,中国
4,4905239281406690,云中白鹤小十七,2023-05-25 11:00:42,#千万不要长期喝奶茶#哈哈哈哈哈幸好我半年喝一次 ,0,0,0,陕西,西安,陕西,中国
4,4905239239722401,在和许光汉那个,2023-05-25 11:00:32,#千万不要长期喝奶茶#但是大部分大牌奶茶店用的不都是真茶真奶吗？我点无糖就是相当于喝茶叶和牛奶呀 ,0,1,0,湖南,长沙,湖南,中国
4,4905191571196348,牵念,2023-05-25 07:51:07,｛小纸条｝  #千万不要长期喝奶茶# 你看这脸胖的和绿巨人有什么区别… ,988,3614,35505,浙江,台州,浙江,中国
4,4905201879748680,济南吃货小组,2023-05-25 08:32:05,我勒个去，大早上的刷到这个热搜#千万不要长期喝奶茶#…今天不喝奶茶了，喝果茶 ,2,11,23,山东,济南,山东,中国
4,4905239192278067,秃了的大胖蜀黍,2023-05-25 11:00:21,#千万不要长期喝奶茶# 喝果茶吧，就4个软妹币想喝到狠活都难 ,0,1,0,福建,福州,福建,中国
4,4905239172351893,小黄豆藕,2023-05-25 11:00:16,#千万不要长期喝奶茶#有段时间没喝了，立马下单霸王茶姬伯牙绝弦+一份寒天 ,0,0,0,浙江,杭州,浙江,中国
4,4905239163438619,杨毅寻股,2023-05-25 11:00:14,#千万不要长期喝奶茶#我也不怎么明白年轻人为什么喜欢喝 ,0,1,1,江苏,南京,江苏,中国
4,4905239146928956,一曲彩虹k,2023-05-25 11:00:10,#千万不要长期喝奶茶#一直都不喜欢吃甜食，可是近两年不知道为什么越来越喜欢了，也免不了喝奶茶，虽然喝的不多，体重已经在增加我要不要戒奶茶呢。#我的美食日记##随手拍# 南宁 ,0,0,0,广西,南宁,广西,中国
4,4905239146135564,King大卫U桑,2023-05-25 11:00:09,#千万不要长期喝奶茶#虽然我不喝，但是长期主义确实会让当下没有意义。你的人生是无数个当下组成的，而不是远方的目标。 ,0,0,1,天津,天津,天津,中国
5,4905239129621679,lwh祝你发大财,2023-05-25 11:00:06,#千万不要长期喝奶茶#不喝奶茶好处多多，比如省钱，哈哈哈 ,0,0,0,上海,上海,上海,中国
5,4905239125957057,肥仔肥仔真可爱,2023-05-25 11:00:05,#千万不要长期喝奶茶#一周喝4-5杯，真的忍不住 ,0,1,0,云南,红河哈尼族彝族自治州,云南,中国
5,4905239033414993,春之物MW,2023-05-25 10:59:43,#千万不要长期喝奶茶# 千万不要长期喝奶茶 不然你就会发现  你的 钱包越来越瘦 而你越来越胖 ,0,0,0,广东,揭阳,广东,中国
5,4905238991212279,金堂发布,2023-05-25 10:59:33,【#奶茶如何支配你的健康# 】#千万不要长期喝奶茶# 糖、奶精、奶盖、咖啡因……现代奶茶的主料和配料比传统奶茶复杂很多。奶茶中的各种成分，虽然大大提升了口感，也可能在悄悄影响健康↓ ,0,0,0,,成都,四川,中国
5,4905238916764252,想要睡到人间煮饭时嘞,2023-05-25 10:59:15,#千万不要长期喝奶茶# 因为会开心死吗？ ,0,0,1,甘肃,兰州,甘肃,中国
