页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905216438966765,种花家的菌事兔,2023-05-25 09:29:56,#坐高铁被窗外的中国基建所惊艳# 种花家被称为基建狂魔不是白叫的！其实啊，哪有什么基建狂魔，那是一些舍小家为大家的群众，跑进深山建设种花家！致敬为种花家努力付出的每一位亲#种花守护团# 临沂 种花家的菌事兔的微博视频 ,34,52,218,山东,临沂,山东,中国
2,4905237917995563,yiranLYH,2023-05-25 10:55:17,#坐高铁被窗外的中国基建所惊艳#【#行里航外#】#摄影#几年前乘坐华北地区的高铁，窗外高楼林立，风景如画。猜猜这是哪儿日常摄影 北京 yiranLYH的微博视频 ,1,2,0,北京,北京,北京,中国
2,4905237871854890,wainzheng,2023-05-25 10:55:06,#坐高铁被窗外的中国基建所惊艳#  希望能多给基建一线工作者一些工资。 ,0,0,2,河南,新乡,河南,中国
2,4905236642136188,我很有料,2023-05-25 10:50:12,#坐高铁被窗外的中国基建所惊艳#在世界看来中国的基建就是世界的狂魔，而在我们自己人看来，这只是在我们身边每天发生的变化。中国的大好河山，美不胜收，每个个邂逅都是如此惊艳！ ,0,0,3,重庆,重庆,重庆,中国
2,4905209451776422,一位不愿透露姓氏的小马同学,2023-05-25 09:02:10,#坐高铁被窗外的中国基建所惊艳# 基建狂魔背后是996，007 夏天室外拿命工作，到老养老钱每个月只有的几百块钱的农民工。 基建狂魔值得歌颂么？ ,1,27,67,江苏,徐州,江苏,中国
2,4905235883758155,京港地铁,2023-05-25 10:47:12,#硬币坐京张高铁一路不倒# 京津冀交通一体化正在提速。未来，如何打通区域内部协同发展的经脉？无论是飞驰而过充满高科技的京张高铁，还是国际一流水平的航空枢纽大兴机场，实现京津冀一小时生活圈的奇幻之旅都将不再是梦。交通的一体化为京津冀协同发展以及“组团”出道，成为世界级城市群奠定了坚实的基础。   #坐高铁被窗外的中国基建所惊艳#来源：北京卫视的微博视频,0,0,0,,北京,北京,中国
2,4905235858850319,淉鲱鱼,2023-05-25 10:47:06,#坐高铁被窗外的中国基建所惊艳#中国基建真的很牛，骄傲 ,0,0,0,福建,厦门,福建,中国
2,4904974863045239,人民网,2023-05-24 17:30:00,【#坐高铁被窗外的中国基建所惊艳#】近日，贵州普安，一网友分享乘坐高铁时被窗外的中国基建惊艳，许多网友在评论区晒出“邂逅”的中国基建，以及自己的家乡不断由天堑变通途，不少奋斗在建设一线的工作者也分享了自己的经历。网友：致敬中国基建人！@人民视频 人民视频的微博视频 ,269,433,4295,,北京,北京,中国
2,4905234675274753,大满小意麻麻,2023-05-25 10:42:24,#坐高铁被窗外的中国基建所惊艳#中国基建确实是最牛逼的，yyds！ ,0,0,0,河北,石家庄,河北,中国
2,4905234604230595,二十四桥ZYL,2023-05-25 10:42:07,#坐高铁被窗外的中国基建所惊艳#中国基建真的超级厉害很推荐大家坐火车去新疆，窗外美不胜收亲身经历 ,0,0,2,河南,,河南,中国
