页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905239930734782,君身一袭白衣_养乐多,2023-05-25 11:03:17,#罗云熙不上综艺的原因#  采访：为什么很少见你上综艺 罗云熙：上不上不一定巴拉巴拉…… 黑：罗云熙不上综艺！ 老师傅：？ ,0,1,5,河南,新乡,河南,中国
2,4905239922348822,123qiong琼,2023-05-25 11:03:15,罗云熙#罗云熙不上综艺的原因# lyx#罗云熙魔熙先生#   这个综艺我要夸一百次，翻出好久前的贴再回忆一遍，真的很喜欢魔熙先生2，能勾起我对一座城市的喜欢网页链接  @罗云熙Leo ,0,0,0,湖南,长沙,湖南,中国
2,4905239919203109,嘿嘿迪陌陌,2023-05-25 11:03:14,#罗云熙不上综艺的原因#别太离谱，点进来看见这个人就觉得没憋好屁 来看我们大帅哥演的《长月烬明》，超好看 ,0,1,1,辽宁,丹东,辽宁,中国
2,4905239876733718,今天仍旧喜欢小付同学吗,2023-05-25 11:03:04,#罗云熙不上综艺的原因#我熙哥不是说不一定上，没说不上啊熙哥有自己的综艺魔熙先生哦 ,0,0,0,河南,平顶山,河南,中国
2,4905239876471246,与L看星,2023-05-25 11:03:04,罗云熙#罗云熙不上综艺的原因#请不要断章取义，上不上综艺是演员自由，黑子们说完了了吗？说完就该吾了 @罗云熙Leo ,0,1,3,广东,惠州,广东,中国
2,4905239876470380,18岁哒小圆子姬,2023-05-25 11:03:04,#罗云熙不上综艺的原因#魔熙先生一二三季，超越吧英雄，特优生，书画里的中国，快乐大本营都被你吃了么 ,0,0,0,北京,北京,北京,中国
2,4905220843506825,云过熙光照眉弯,2023-05-25 09:47:26,#罗云熙不上综艺的原因# 守护罗云熙综艺自由，大帅哥明明说的是目前不去，以后看心情去。 盲猜罗云熙马上有新综艺了，打时间差到时候就可以嘲他了，还让已经去参加过综艺的人对他没有好感，这手段长月烬明已经来了无数次了，罗云熙cut受害第一人 ,0,8,68,湖北,恩施,湖北,中国
2,4905234591913359,武汉广播电视台,2023-05-25 10:42:04,【#罗云熙不上综艺的原因# ：希望通过影视作品来实现价值】@罗云熙Leo 近日接受记者采访表示，希望通过影视作品获得观众的认可，实现自我价值。罗云熙近年拍摄了多部优秀的影视作品，例如，最近很火的《#长月烬明#》。希望罗云熙今后能够有更多更优秀的作品带给观众，在演艺圈的道路实现自我价值。罗云熙 武汉广播电视台的微博视频,0,5,26,,武汉,湖北,中国
2,4905239767419283,巧克力味的铜锣烧,2023-05-25 11:02:38,#罗云熙不上综艺的原因# lyx#罗云熙顾云峥#  我的妈呀，搞这个ct的人是语文没学好吧。这明显就是说，他那段时间不上综艺是因为一直要拍戏，抽不出时间。再说了哥哥有综艺哦《魔熙先生》传承中华文化，里面有很多文化讲解和发扬哦～  @罗云熙Leo ,0,1,1,河南,郑州,河南,中国
2,4905216426643358,美神降临Leo,2023-05-25 09:29:53,#罗云熙不上综艺的原因# 搞热搜的小编语文没及格吧 问：罗云熙你想不想吃饭？ 罗云熙：我现在不饿，吃不吃都行 热一《罗云熙不吃饭的原因》 ,338,430,3022,山西,晋中,山西,中国
3,4905221950537901,Bunny娱乐,2023-05-25 09:51:49,#罗云熙不上综艺的原因# 罗云熙是知道自己想要什么，想怎么走的，有清醒的认知和规划！也没说不上综艺吧，只是更喜欢拍戏，都是个人选择 ,50,50,89,,惠州,广东,中国
3,4905237590313416,芒果捞微微,2023-05-25 10:53:59,#罗云熙不上综艺的原因# 作为演员现阶段的工作重心在拍摄上，罗云熙在采访中回应不上综艺的原因“希望能在演技上被观众认可”，有需要合理安排，未来上不上综艺都有可能！ 芒果捞微微的微博视频 ,119,119,281,山东,菏泽,山东,中国
3,4905222138758095,阿赢就是野王,2023-05-25 09:52:35,#罗云熙不上综艺的原因# 采访:你平时能多吃点零食吗？ 罗云熙:零食吃不吃不一定，我喜欢吃饭。 热搜:罗云熙一辈子不吃零食。 罗云熙粉丝:？？？ ,0,18,194,河南,郑州,河南,中国
3,4905236818300185,逮到闰土的猹,2023-05-25 10:50:55,#罗云熙不上综艺的原因#不是？咋回事？看个采访都流行cut采访了？然后给罗云熙埋线不上综艺，再拉踩其他人，跟评论区黑酸打配合，侮辱造谣罗云熙一条线？这不纯没上过学，不理解中国话啥意思嘛，这边建议不要做黑心营销号了，建议回炉重造去上学。罗云熙的回答太完美了好吗？一方面想做个好演员，让大众提其他的时候觉得他是个好演员，其次他没有说上综艺一定不一定，看工作安排。现在天天在剧组搬砖，哪有空去综艺，除非罗云熙能学孙悟空，拔下几根头发变成自己分身，一个给我拍古装，一个拍民国，一个拍现代，一个上综艺，行了吧，不讲基本法的黑子们,0,0,33,黑龙江,哈尔滨,黑龙江,中国
3,4905238450409980,落释-LY,2023-05-25 10:57:24,#罗云熙不上综艺的原因#“上不上综艺这件事，我觉得没有一定或者不一定”，这句话很难懂吗而且作为一位热爱演戏的演员来说，人家说的有问题嘛？既然这么想看罗云熙综艺的话，或许你可以了解下多次评奖的魔熙先生（共三季） ,0,1,12,湖北,武汉,湖北,中国
3,4905238450405675,独梦忆雪,2023-05-25 10:57:23,#罗云熙不上综艺的原因#别太离谱了，cut看多了，连一句话都开始cut了吗？把话看完整了再说话是会亖吗？罗云熙只是更喜欢演戏而已，可没说不上综艺。这个话题我有以下表情↓ ,0,0,14,河南,安阳,河南,中国
3,4905238430225057,彩霞满天G1,2023-05-25 10:57:19,罗云熙#罗云熙不上综艺的原因# #罗云熙# 这个问题我能回答，罗云熙不上综艺是因为正在颜心记剧组专心拍戏，听说是探案题材的，饰演男主江心白。若说综艺，记忆最深刻的是由罗云熙主理的综艺《魔熙先生》，娱乐之中又宣扬了民族文化，汉服部分上了联合国中文日，就非常有意义👍。就此打住，去看长月烬明啦@罗云熙Leo,0,2,9,江苏,徐州,江苏,中国
3,4905238421573981,neligahe,2023-05-25 10:57:17,#罗云熙不上综艺的原因#  罗云熙由于活粉多，路人缘好把黑热搜变成红热搜，让一些黑子破防，还要说粉丝捂嘴，笑死了，罗云熙部部s ➕，粉丝开心，你们继续破防。 ,0,0,13,云南,昆明,云南,中国
3,4905238316450560,眼里闪耀着星河,2023-05-25 10:56:52,#罗云熙不上综艺的原因#好家伙yxh断章取义想嘿罗云熙，结果被网友干翻车了，立马火速降热搜，别太羡慕嫉妒了我说。都来腾讯视频看罗云熙个人优秀综艺《魔熙先生》！#罗云熙长月烬明##罗云熙澹台烬#罗云熙 ,0,3,23,上海,上海,上海,中国
3,4905238181972560,心之所向熙,2023-05-25 10:56:20,罗云熙 lyx#罗云熙不上综艺的原因# lyx#罗云熙长月烬明#  做人最好不要断章取义。想看综艺可以来看我们罗云熙主理的魔熙先生。想看剧的可以来看长月烬明哦。 @罗云熙Leo ,0,5,11,广东,潮州,广东,中国
4,4905239242609068,w-wspring3,2023-05-25 11:00:33,#罗云熙不上综艺的原因# 帅哥想干啥干啥！ 广告位喊一句，长月烬明太好看了！ ,0,1,7,美国,,美国,美国
4,4905234393990863,黎钰初,2023-05-25 10:41:17,#罗云熙不上综艺的原因#罗云熙你是真的火了几年前的采访也能拿来断章取义了 ,0,0,20,陕西,西安,陕西,中国
4,4905239222423176,今天也只想发财,2023-05-25 11:00:28,#罗云熙不上综艺的原因# 这题我会，因为上综艺不能穿高跷呀 ,0,5,9,江苏,南京,江苏,中国
4,4905237939486956,澹台牌指定专用西蓝花,2023-05-25 10:55:21,罗云熙哈哈哈哈哈哈哈哈哈哈哈哈哈也无能力强的已经续部部一番S+了，废物粉还躲在互联网背后嘿人我哥无缝进组，确实没空去综艺了！虽然我想看魔熙第四季  #罗云熙不上综艺的原因# ,0,16,61,四川,成都,四川,中国
4,4905239167110655,蓝色海底那个男人,2023-05-25 11:00:15,#罗云熙不上综艺的原因# 怎么了，演技不行搞rsgj ,0,1,0,广东,广州,广东,中国
4,4905230448463406,想昵称想到疯的喵妈,2023-05-25 10:25:36,罗云熙 lyx#罗云熙不上综艺的原因#  人家没说不上啊……. 感谢对罗云熙的关注，欢迎收看由罗云熙领衔主演的奇幻仙侠巨作《长月烬明》，看他如何演绎神、魔、人、仙  @罗云熙Leo ,0,2,25,上海,上海,上海,中国
