页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905239817487718,奶茶Kiku,2023-05-25 11:02:50,#微信新增锁定功能#什么时候可以编辑朋友圈和发live图 ,0,0,0,云南,保山,云南,中国
2,4905239758507160,检察官张聪,2023-05-25 11:02:36,【#微信新增锁定功能#】这个改进非常必要，加强了信息安全和个人隐私保护。 ,0,0,0,宁夏,固原,宁夏,中国
2,4905239754573002,汐瑶小宝贝,2023-05-25 11:02:34,#微信新增锁定功能#这个看起来还不错保护了我们的隐私，还有就是能不能不要把微信文件弄成只读啊，这个功能很鸡肋耶，或者设置一下可以选只读可以关闭，别强制啊！ ,0,0,0,湖北,宜昌,湖北,中国
2,4905239729410316,把白宇偷回家,2023-05-25 11:02:29,#微信新增锁定功能#把内存杀手这个先调整一下吧 ,0,0,0,北京,北京,北京,中国
2,4905239696902829,番茄Q_,2023-05-25 11:02:21,#微信新增锁定功能# 我以为一直都可以锁定的，原来只有mac吗 ,0,0,0,北京,北京,北京,中国
2,4905239662302524,酷到没名字666,2023-05-25 11:02:13,#微信新增锁定功能# 住微博里的人，这些无感了 ,0,0,0,北京,北京,北京,中国
2,4905239650504226,flyaway要飞很远很远,2023-05-25 11:02:10,#微信新增锁定功能#快速清理公众号小程序占用的内存！！！！ ,0,0,0,广东,深圳,广东,中国
2,4905239645782688,妖月苏,2023-05-25 11:02:09,#微信新增锁定功能#QQ早就有了，垃圾微信 ,0,0,0,安徽,,安徽,中国
2,4905239611705013,泡泡崽p-,2023-05-25 11:02:01,#微信新增锁定功能#置顶什么时候更新！ ,0,0,1,河北,,河北,中国
2,4905239449440271,帅蓝,2023-05-25 11:01:22,#微信新增锁定功能#撒时候能优化朋友圈图片和视频不压缩？有些手机用户认为被压缩是手机厂商的锅，昨天还有一个用户留言建议跟微信合作推出不压缩 ,0,5,11,广东,东莞,广东,中国
3,4905239448651298,lwh祝你发大财,2023-05-25 11:01:22,#微信新增锁定功能#希望可以新增朋友圈带图评论功能 ,0,0,0,上海,上海,上海,中国
3,4905239402775438,笨丫头-nn,2023-05-25 11:01:11,#微信新增锁定功能# 解决下空间占用的问题吧，占用的那么大，也不敢随意清理，但文件没多久就过期了 ,0,0,2,陕西,西安,陕西,中国
3,4905239330685738,仁俊的火锅,2023-05-25 11:00:54,#微信新增锁定功能#占内存太大了 而且朋友圈什么时候才能发动图 ,0,0,1,河南,洛阳,河南,中国
3,4905239285073823,萌萌的莞尔一笑1996,2023-05-25 11:00:43,#微信新增锁定功能#压画质真的是一个很大的问题 ,0,0,0,上海,上海,上海,中国
3,4905239217441234,七月要幸福_,2023-05-25 11:00:27,#微信新增锁定功能#能不能把越来越大的内存更新更新只更这些没用的 ,0,0,1,河南,南阳,河南,中国
3,4905239150854360,慕紫家的小白,2023-05-25 11:00:10,#微信新增锁定功能#能不能把拍一拍取消了 ,0,0,0,吉林,长春,吉林,中国
3,4905239146400933,初雨微晴e,2023-05-25 11:00:10,#微信新增锁定功能#稍微大点的动图都发送不了，能不能改进一下？ ,0,0,0,安徽,安庆,安徽,中国
3,4905239113370183,早点睡觉是会怎么呢,2023-05-25 11:00:02,#微信新增锁定功能#啥时候可以发Live图啊 ,0,0,0,福建,泉州,福建,中国
3,4905239105243453,甜过初恋呢,2023-05-25 11:00:00,#微信新增锁定功能#这个功能应该是能从手机操作就好了，因为有时离开匆忙或者忘记了，手机上直接锁定，就棒了 ,0,0,0,山东,青岛,山东,中国
3,4905223691436883,南方日报,2023-05-25 09:58:45,【你认为微信应该新增什么功能？】#微信新增锁定功能# 近日，微信开始向部分Windows用户推送3.9.5版本更新，将新增锁定功能。部分网友认为微信还有很多需要更新的地方，你认为微信应该新增什么功能？  网页链接 ,2,10,167,,广州,广东,中国
4,4905239084534046,修键盘的键盘侠,2023-05-25 10:59:55,#微信新增锁定功能# 在家mac这个锁定一直有，舒服的一批； 单位win没有锁定，我每天中午回家吃饭还得退微信，终于要更新了。 ,0,0,0,江苏,南京,江苏,中国
4,4905239067758315,LivePhoto全聚合,2023-05-25 10:59:51,#微信新增锁定功能# 一看眼熟，貌似是一个QQ早就存在的功能~ ,0,0,1,福建,福州,福建,中国
4,4905212017381813,IT互联网那点事,2023-05-25 09:12:22,#微信新增锁定功能#在此状态下，用户将无法直接在电脑上对微信进行任何操作，有效解决了有事需要离开时，微信的隐私安全。总结了下大家希望微信推出的新功能：1.被好友删除的时候有提醒2.朋友圈互动，不要提醒共同好友3.增加语音进度条4.删除对话框不要清除聊天记录5.一键已读所有消息6.原图上传不压缩 7.取消拍一拍提醒你们还有哪些补充？,68,434,3963,湖北,武汉,湖北,中国
4,4905239012969668,沙滩羊,2023-05-25 10:59:38,#微信新增锁定功能# 一旦启用该功能，就相当于官宣，你有小九九小秘密哟，哈哈哈…… ,0,0,0,浙江,杭州,浙江,中国
4,4905239012967109,DAYTOY的潇洒小姐,2023-05-25 10:59:38,#微信新增锁定功能#这个功能不错 ,0,0,0,重庆,重庆,重庆,中国
4,4905238978366726,晨茜-Diamond,2023-05-25 10:59:30,#微信新增锁定功能# 有没有一种可能，直接电脑锁屏就好了。 希望画质可以好一点 朋友圈可以发live图 ,0,1,2,安徽,芜湖,安徽,中国
4,4905238953462043,萌萌哒蘑菇小姐,2023-05-25 10:59:24,#微信新增锁定功能#微信可以上锁了，打工人必备 呼和浩特 ,0,0,1,内蒙古,呼和浩特,内蒙古,中国
4,4905238920696231,花重里的重花,2023-05-25 10:59:16,#微信新增锁定功能#把你那个b内存清一下，我真服了 ,0,0,6,陕西,铜川,陕西,中国
5,4905238811641525,关妤華華,2023-05-25 10:58:50,#微信新增锁定功能# 1、双向删除好友 2、朋友圈设置编辑功能 3、朋友圈能发live 每更新一次我就要发一遍 ,0,0,1,广东,东莞,广东,中国
5,4905238778348793,看完小说去睡觉,2023-05-25 10:58:42,#微信新增锁定功能# 可以新增朋友圈带图带表情包评论吗🙋 ,0,0,1,天津,天津,天津,中国
5,4905238773370984,江叼B叼了个叼,2023-05-25 10:58:41,#微信新增锁定功能#QQ多少年前的功能了，QQyyds ,0,0,0,陕西,铜川,陕西,中国
5,4905238735882998,和小熊看月亮-,2023-05-25 10:58:32,#微信新增锁定功能# 好像也不是很有用… ,0,0,0,上海,上海,上海,中国
5,4905238714910205,温柔唯一一馨,2023-05-25 10:58:27,#微信新增锁定功能#我就很喜欢删除人，能不能直接双删 ,0,0,0,江西,宜春,江西,中国
5,4905238706523192,抓马公主恋爱记,2023-05-25 10:58:25,#微信新增锁定功能#希望朋友圈可以发live 我就天天发朋友圈 因为我的图片不发live就像没发 ,0,0,0,北京,北京,北京,中国
5,4905238668247922,热心市民居居,2023-05-25 10:58:16,#微信新增锁定功能#你能不能别搞这些高级且用不到的功能了！实在不行 …1：请把朋友圈好友点赞改一下 就是麻烦共同好友点赞别提醒我 不然我还得一个个点开 啥用处没有 净添堵2：还有那个 好友删除了我 麻烦改成互删 省的我一个个去查有哪些删除了的 占内存且麻烦你看看人家QQ 发个动态都光明磊落的清晰透彻的,0,0,1,江苏,苏州,江苏,中国
5,4905238648064759,饭饭和盐盐,2023-05-25 10:58:11,#微信新增锁定功能#希望你能新增一些更有用的 ,0,0,0,河南,南阳,河南,中国
5,4905238639674673,13954382175aq,2023-05-25 10:58:09,#微信新增锁定功能#美国校园枪击案不断，我们国家的校园多么安全啊！现在每个校园都有防暴保安，。。。。。四十年前的学校只有个看门的老头，有的学校连看门的老头有没有。。。。 ,0,0,1,山东,滨州,山东,中国
5,4905219492677016,小白测评,2023-05-25 09:42:04,#微信新增锁定功能#微信向部分Windows用户推送3.9.5版本更新，新增锁定功能。  看了下Mac端 这功能已经有很久了 ,11,57,181,湖北,武汉,湖北,中国
6,4905238605072135,胡为乎来哉-o-,2023-05-25 10:58:01,#微信新增锁定功能# 倒也不必，微信下架才是最大的功德 ,0,0,0,福建,泉州,福建,中国
6,4905238551071755,风庭仔,2023-05-25 10:57:48,清乾隆剔红雕“五龙宝盒”，四字底款《乾隆年制》，直径15㎝   #微信新增锁定功能# ,1,0,0,广东,江门,广东,中国
6,4905238513582300,浮老板,2023-05-25 10:57:38,#微信新增锁定功能#原来是这个作用 ,0,0,1,浙江,绍兴,浙江,中国
6,4905238512797031,周至法院,2023-05-25 10:57:39,#法治微课堂#金周灋语网友讨论～#微信新增锁定功能#，无论如何切记合理合法使用微信各种功能。【晒微信聊天记录要注意什么？】晒微信聊天记录要注意什么？民法典的相关规定你了解吗？一起来了解！ via～中国普法      法治四川的微博视频  传播法治，人人学法,0,0,0,,西安,陕西,中国
6,4905238497333801,垂直线Ineffable0813,2023-05-25 10:57:35,#微信新增锁定功能#  打工人可太需要这个功能了 某些好奇心太重的同事总是趁别人不在电脑前假装找文件翻别人微信聊天记录 我和别人的聊天内容从没跟她讨论过，她倒主动聊起，真的够烦的 ,0,0,0,广东,河源,广东,中国
6,4905238476365132,_Zwqqqqq,2023-05-25 10:57:30,#微信新增锁定功能# 最近总是消息不提醒 或者未读消息直接变已读 到底是苹果的bug还是微信的bug啊！！！ ,0,0,0,江苏,苏州,江苏,中国
6,4905238463777540,科技C先生,2023-05-25 10:57:27,#微信新增锁定功能#感觉微信好不容易推送一个新功能，大家都不太感冒的样子，其实很多上班族应该比较需要这个微信锁定，出去“带薪上厕所”的时候可以保护聊天隐私 你们觉得这个功能对自己有用吗？ ,1,4,2,陕西,西安,陕西,中国
6,4905238455389616,艺只什么羊,2023-05-25 10:57:25,#微信新增锁定功能#我就希望微信增加几个有用的功能   被删好友 对方可以直接消失在我的列表  然后就是 能不能不要有共同好友提醒  其次就是编辑朋友圈  ,0,0,1,重庆,重庆,重庆,中国
6,4905238391426722,南栀深巷dt,2023-05-25 10:57:10,#微信新增锁定功能#我不理解为什么占那么大内存的情况下，我的文件还会过期。 ,0,0,1,辽宁,丹东,辽宁,中国
6,4905238387228726,阳光明媚喝下午茶,2023-05-25 10:57:08,#微信新增锁定功能#这个功能不错，早就应该有了。 ,0,0,0,广东,佛山,广东,中国
