页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905240065999749,守护小星星的月亮,2023-05-25 11:03:48,#易烊千玺是在撒娇吗#从小到大都可可爱爱的 ,0,0,1,福建,厦门,福建,中国
2,4905240053416810,LOVE_1128珍珍,2023-05-25 11:03:46,#易烊千玺是在撒娇吗#   是在撒娇呢，这谁顶得住啊  @TFBOYS-易烊千玺 LOVE_1128珍珍的微博视频 ,0,0,1,陕西,渭南,陕西,中国
2,4905217185811388,易个猫,2023-05-25 09:32:54,报一丝报一丝这个撒娇的是我家的小男孩，素尊滴肥肠可爱 #易烊千玺栩栩华生内场饭拍##易烊千玺是在撒娇吗# ,592,389,4189,广东,广州,广东,中国
2,4905239947773821,走不出的18L,2023-05-25 11:03:21,#易烊千玺是在撒娇吗# 心软软[悲傷]好久没看到千玺撒娇了[悲傷] @TFBOYS-易烊千玺 ,0,0,1,中国台湾,,台湾,中国
2,4905239901113138,黄满满呢,2023-05-25 11:03:10,#易烊千玺是在撒娇吗#咋了，撒不撒娇你看不出来嘛 ,0,0,0,江西,南昌,江西,中国
2,4905234709613563,都要好好的喔,2023-05-25 10:42:32,他真的就不玩手机，安安静静的坐在那🥺#易烊千玺是在撒娇吗#  都要好好的喔的微博视频 ,88,19,170,中国台湾,,台湾,中国
2,4905230242154996,星姐微博,2023-05-25 10:24:47,#易烊千玺是在撒娇吗#  易烊千玺路透小合集，连续几天活动状态都好好！ 新专辑《刘艳芬》火热预售中 #明星栩栩华生内场图#  #星姐微博# （cr：net） 星姐微博的微博视频 ,42,31,297,上海,,上海,中国
2,4905239817224893,kawayi_qiuqiu_o80,2023-05-25 11:02:50,#易烊千玺是在撒娇吗#简直要我命我吃他撒娇 ,0,0,2,上海,上海,上海,中国
2,4905239797041303,易只小烊仔Y,2023-05-25 11:02:45,#易烊千玺是在撒娇吗#这么可爱？？一口亲死 ,0,0,0,山西,太原,山西,中国
2,4905228681351252,生抽x_i,2023-05-25 10:18:35,艳芬来袭网易云🪜💐✨💃🏻 #易烊千玺是在撒娇吗##易烊千玺新专辑刘艳芬# ,17,15,114,北京,北京,北京,中国
3,4905239570547296,毒舌扒爷,2023-05-25 11:01:51,#易烊千玺是在撒娇吗#哈哈哈，看惯了大荧幕上的易烊千玺，大家都忘了私下的易烊千玺其实就是个可爱的很招长辈喜欢的小孩呀！最近的易烊千玺是本我出来了！ 毒舌扒爷的微博视频 ,93,93,100,山西,太原,山西,中国
3,4905230288028379,四的我四安生学姐,2023-05-25 10:24:58,#易烊千玺是在撒娇吗#易烊千玺和我一样啊，不想自己上的时候就“你先去吧”，就那种语气表情和feel，果然儿子随妈 ,10,7,157,江苏,,江苏,中国
3,4905239406187931,茶油呀,2023-05-25 11:01:12,#易烊千玺是在撒娇吗# 可爱小男孩，即使在别人眼里很高冷，有陌生感，其实也只是一个22岁不爱说话的小大人罢了,0,0,1,内蒙古,锡林郭勒,内蒙古,中国
3,4905239327544567,易点啦,2023-05-25 11:00:53,霸总文学之：你向我撒一下娇命都给你！  @TFBOYS-易烊千玺   #易烊千玺是在撒娇吗# ,0,0,5,陕西,商洛,陕西,中国
3,4905231878193579,圈内教父,2023-05-25 10:31:16,#易烊千玺是在撒娇吗# 易烊千玺的一些可爱暴击 每个表情都透露着可爱的大男孩 ,60,67,161,内蒙古,呼和浩特,内蒙古,中国
