页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4904978047834059,精神小伙,2023-05-24 17:42:39,#都不买榴莲我就放心了#一起把榴莲价格打下来 ,1541,3191,69578,天津,天津,天津,中国
2,4905238718844580,我真的臭屁,2023-05-25 10:58:28,#都不买榴莲我就放心了# 气死了 上周26.8身体不舒服没有买 昨天去39.9  我都没敢去百果园看  让🐶的家人去买吧  劝退了 也不是非吃不可 ,0,0,1,河南,郑州,河南,中国
2,4905238689484643,sy最爱韩庚,2023-05-25 10:58:21,#都不买榴莲我就放心了#我昨天看到超市果型好的榴莲价格53一斤，果型不咋地的45一斤，把他们牛逼死了，今年我只在榴莲刚开始涨价的时候买了两个，都是裂口的，有一点点苦的。 ,0,0,0,辽宁,盘锦,辽宁,中国
2,4905238651732929,X张小落,2023-05-25 10:58:12,#都不买榴莲我就放心了#忍这这个星期，就能把囤货的SB急死。 ,0,0,3,北京,北京,北京,中国
2,4905238542686628,塔塔1105,2023-05-25 10:57:46,#都不买榴莲我就放心了#虽然我爱吃，也不是离了榴莲就不行了这些资本家怎么想的 ,0,0,0,广东,广州,广东,中国
2,4905238437561227,叽叽咕咕啦啦嘟,2023-05-25 10:57:21,#都不买榴莲我就放心了#涨价就没必要买了，这个季节不降反涨不如吃点别的大面积上市降价的应季水果。 ,0,0,0,山东,青岛,山东,中国
2,4905238030717073,十三斤的猫,2023-05-25 10:55:44,#都不买榴莲我就放心了#不买不买 去年这个时候都19.9一斤了 ,0,0,0,四川,德阳,四川,中国
2,4905187863169087,中国天气,2023-05-25 07:36:23,#都不买榴莲我就放心了#狗狗闻到榴莲后的反应哈哈哈哈哈哈哈哈哈狗：我鼻子都不想要了！！！via：神哈麦妞的微博视频 ,78,141,572,,北京,北京,中国
2,4905183114953013,陇南大小事,2023-05-25 07:17:30,#早安陇南#【陇南人的早餐，到底有多“瓷实”】陇南，最“瓷实”的模样，最悠然的姿态，藏在早餐里。当陇南人迎着日出逐渐醒来，他们手里的早餐，可能完全不同。陇南人的早餐，可以说有N种吃法，走进陇南各地街头巷尾，热气蒸腾的早餐店里，会进入一个陇南特色的早餐江湖。买榴莲不如吃个丰盛的早餐，#都不买榴莲我就放心了#！@陇南发布   陇南人的早餐，到底有多“瓷实”？,2,105,85,甘肃,陇南,甘肃,中国
2,4905237623866488,爱上一只小猪可我的家里没有CD,2023-05-25 10:54:07,#都不买榴莲我就放心了#我已经在涨价前体验了开榴莲的快乐了，本来想这个月再买一个，昨天去超市看干尧30多一斤我知道我不配了哈哈哈哈 ,0,0,0,浙江,杭州,浙江,中国
3,4905067200646005,黑龙江共青团,2023-05-24 23:36:55,几个步骤教你挑榴莲简单明了一看就会赶快马住吧 #都不买榴莲我就放心了##榴莲 贵# ,630,96,1931,,哈尔滨,黑龙江,中国
3,4905237565408916,_人间盛望故里江添,2023-05-25 10:53:53,#都不买榴莲我就放心了#我们这边48.8一斤了，金枕榴莲，绝不当冤种！ ,0,0,1,辽宁,沈阳,辽宁,中国
3,4905237300647432,ji_na,2023-05-25 10:52:50,#榴莲 贵##都不买榴莲我就放心了#  某些人能不能给我去亖啊 ,0,1,2,福建,福州,福建,中国
3,4905237171408224,精神小伙,2023-05-25 10:52:19,#都不买榴莲我就放心了#和搭子一起把榴莲价格打下来 #接下来最需要的搭子# ,253,258,343,天津,天津,天津,中国
3,4905237120549779,天使lv绝恋,2023-05-25 10:52:07,#都不买榴莲我就放心了#那次买的…真的是太无语了 ,0,0,0,甘肃,兰州,甘肃,中国
3,4905236893797248,包不理猫猫,2023-05-25 10:51:13,#都不买榴莲我就放心了#涨价之后的再也没买过五一之后楼下超市的榴莲有贵又报仇，就打咩了 ,0,0,3,北京,北京,北京,中国
3,4905236626409051,杨伊凡y,2023-05-25 10:50:09,#都不买榴莲我就放心了#这玩意又不是当饭吃 一个月吃个四五次就可以了 ,0,0,0,广东,珠海,广东,中国
3,4905236508448008,张书乐,2023-05-25 10:49:41,#都不买榴莲我就放心了#   榴莲自由都成了梦想，夏天的水果会不会吃不起呢？ 接下来涨价的，会是山竹吗？ 我希望是菠萝，因为我不喜欢吃。 ,0,1,0,湖南,株洲,湖南,中国
3,4905236353518879,j加菲猫爱消除,2023-05-25 10:49:04,#都不买榴莲我就放心了# 大家都别买榴莲 把榴莲价格打下去 ,0,0,0,安徽,合肥,安徽,中国
3,4905236131481588,互联网那些事儿v,2023-05-25 10:48:11,#都不买榴莲我就放心了##辛巴# 不是，榴莲变贵了跟辛巴有什么关系？为什么很多网友上来就喷辛巴啊？他直播带货有什么错？他带个货还能左右市场行情了？巅峰时期的薇娅李佳琪加一起也做不到啊，不要把主播当成神，振臂一呼就能呼风唤雨好吧？5月开始，金枕榴莲在泰国当地的售价达到25元/斤，同比5月上涨了10块多钱/斤，而进口到国内成本抬升零售价就几乎翻了一倍，比如新闻报道中提到了成都女罗士在水果店买榴莲，就被“带壳称重48元/斤”给吓到了，然后媒体自媒体一传播，造成了全国跟风和越贵越火越火越贵的局面。讲白了，今年的榴莲市场迎来的久违的旺市，往年从泰国批发金枕榴莲成本大约13块/斤，而今年的进货价已经到了20多块/斤，批发成本都涨了1/3左右，你说说水果店老板能不涨价吗？辛巴只不过在直播间带了几场榴莲的货而已，而且他带与不带，卖多卖少，都无法左右今掉的榴莲市场行情，因为，在泰国当地，金枕榴莲都是一货难求，估计要到下个月末价格才会稍稍下探，按生长周期测算，第二批的金枕榴莲也该成熟上市了，消费侧的旺盛需求有望达到平衡。#财商新星#,11,24,41,江苏,南京,江苏,中国
4,4905235922027304,看我不爽就拜拜,2023-05-25 10:47:20,#都不买榴莲我就放心了#尼玛我就没见过一周涨价这么多的东西 不吃了！ ,0,0,1,广东,深圳,广东,中国
4,4905235594612626,祁人祁语,2023-05-25 10:46:03,#都不买榴莲我就放心了#搞不明白为什么大量榴莲上市了，价格还不下来？ ,0,2,0,北京,北京,北京,中国
4,4905235561056388,大森淼-solo版,2023-05-25 10:45:55,#都不买榴莲我就放心了# 以前为了卖掉开口的榴莲，话术统一是开口的才是熟的，现在互联网传播快了，大家都知道开口的是熟过头最不好吃的了 去水果店买榴莲，买不开口的还会被店员翻白眼我就买不开口的回家放也不买开口的。 ,0,0,3,广西,钦州,广西,中国
4,4905235318048286,原来是333呐,2023-05-25 10:44:57,#都不买榴莲我就放心了#榴莲尾季啦，现在买榴莲风险大噢！生包死包或者过熟臭酒味，或者就是干尧核大味淡 总之吧建议等明年啦一个经常买榴莲的广西人如是说 ,0,2,3,广西,,广西,中国
4,4905235279251626,小蕴猪,2023-05-25 10:44:48,#都不买榴莲我就放心了#坚决不买，让它由屁股裂到头顶去 ,0,0,0,广东,中山,广东,中国
4,4905235199821669,作家金牛断章,2023-05-25 10:44:29,#都不买榴莲我就放心了#你喜欢吃榴莲是你的自由，但请尊重别人，不要在公共场合吃榴莲，对很多人来说，榴莲的味道，跟臭豆腐没多大区别，都是臭的。 ,0,0,0,山东,滨州,山东,中国
4,4905235170201495,白屏414,2023-05-25 10:44:22,#都不买榴莲我就放心了#什么鬼东西，我是很喜欢吃榴莲，可不是没了榴莲不行，不惯这毛病，🗡️冢 ,0,0,0,中国,,中国,中国
4,4905235123800074,ChenUSER2436634,2023-05-25 10:44:11,#都不买榴莲我就放心了##榴莲#  四月份榴莲也就29.9一斤，遇见打折也经常24.9，本来还以为5月份榴莲会更便宜，没想到突然就35以上了……有什么毛病 ,0,0,2,湖南,长沙,湖南,中国
4,4905234995088168,樱花yh594,2023-05-25 10:43:40,#都不买榴莲我就放心了#我已经好几年没买过榴莲吃了，家里人不吃我就没买了 ,0,0,0,广东,东莞,广东,中国
5,4905167743091533,雨打松枝之幸福,2023-05-25 06:16:26,#都不买榴莲我就放心了#  响应号召，我也不买榴莲了，众志成城，把榴莲价格打下来！#海生博语# ,4,21,707,黑龙江,牡丹江,黑龙江,中国
5,4905234775674081,淄博警方,2023-05-25 10:42:48,【#六旬男子专偷榴莲被抓获#：八次偷了八个店，每次偷一个】#榴莲 贵#近日，江苏盐城阜宁境内发生一起离奇案件：一骑电动车男子专门偷水果店的榴莲，八次偷了八个店，每次偷一个。5 月 15 日，现代快报记者从盐城阜宁警方获悉，民警循线追踪，抓获了盗窃榴莲的六旬男子。今年 60 岁的李某家住阜宁县南城区，最近他对榴莲情有独钟，可由于价格较贵，他又舍不得买，总想不花钱享用，于是耍起了小聪明。最近，他骑着电动车在阜宁县城转悠，看到不少水果店都在卖榴莲，很多店都没有专门看管。4 月底的一天，李某戴着头盔，利用电动车上的挡风布作掩护，顺利偷了一个榴莲。第一次作案成功，免费吃了一个榴莲，他觉得味道不错，老想着免费吃，便不停作案。“他偷了一次又一次，先后作案八次，都是不同的水果店。他怕被水果店老板发现，每次只偷一个，都没有失手。”办案民警说。5 月 11 日，阜宁警方接到县城一家水果店店主报警称，当天盘点时发现，自家水果店门前一只价值 300 元的金枕榴莲被偷了。阜宁古河派出所民警调取水果店门前的公共视频，当天下午就将李某抓获归案。原来，李某利用水果店店员接待其他顾客之际，将电动车停在摊位边上，用车上的挡风布作掩护，遮挡店员的视线，乘人不备，以极快的速度，将榴莲 &quot; 顺 &quot; 到车上，然后逃之夭夭。&quot; 他把之前的几次盗窃榴莲的事情也供述了。&quot; 民警表示，也许是李某盗窃的榴莲数量太少，或者是水果店店员粗心，摊位上少了一个榴莲并不在意，所以之前都没有接到报警。目前，案件正在进一步办理中。#都不买榴莲我就放心了#（现代快报）,0,0,0,,淄博,山东,中国
5,4905234629919455,YEJIFIFI,2023-05-25 10:42:13,#都不买榴莲我就放心了#前段时间在想25以下才买，现在看来得20以下才买。又不是什么必需品。 ,0,1,0,浙江,,浙江,中国
5,4905234570152804,泉州气象,2023-05-25 10:41:59,#福建副高即将上线##都不买榴莲我就放心了# 副高加强北抬，太阳☀️的热情感受到了吗 ,0,0,1,,泉州,福建,中国
5,4905234483120419,唯一纯白的茉莉花儿,2023-05-25 10:41:38,为什么这么多人喜欢吃榴莲，这玩意臭丝人#都不买榴莲我就放心了##榴莲 贵##辛巴# ,0,7,3,重庆,重庆,重庆,中国
5,4905213809397116,修行的猫V,2023-05-25 09:19:29,知乎上有个提问：怎么看待天天发朋友圈的人？有个最高赞回答：“每个人都有选择自己生活方式的自由，有人喜欢用朋友圈去记录自己的所见所闻所感所想，有人喜欢把一切都藏在心里。无论哪种方式，我们唯一能做的就是尊重。”发朋友圈，是一种自由，不发朋友圈，亦是一种选择。请尊重那些不发朋友圈的人，更要珍惜那些还在认真发朋友圈的人。因为，那些认真对待朋友圈的人：他们愿意真实地展现自己的日常，不会介怀他人评价；他们喜欢活在自己描绘的世界里，不会辜负每个日常；他们愿意邀请每个人进入自己的圈子，丰盈自己的生活。也请认真对待自己的朋友圈。你要相信，那些图片背后的情绪，总会有人读得懂；那些文字背后的温度，也总会有人感受得到。从今天起，认真对待每条朋友圈吧，让你爱的人往后更懂你，也让爱你的人余生不孤单。#都不买榴莲我就放心了#,6,1,12,福建,厦门,福建,中国
5,4905234235395972,李思儿apple,2023-05-25 10:40:39,#都不买榴莲我就放心了# 我在家吃榴莲喂狗子  狗子以为我罚它吃自己的屎 吓的缩在墙角 一副做错事的样子 笑死 ,0,0,1,广东,梅州,广东,中国
