页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905271145267301,百姓关注,2023-05-25 13:07:18,【#四川一中学学生打架致1死# 教育局：需尸检 多部门介入】#教育局回应中学学生打架致1死# 5月24日，有网友发视频称四川广安武胜中学有学生打架，致一名学生身亡。视频显示，有民警正在处置，旁边停有一辆120救护车，现场围观群众较多。据一名目击者称，约两名13岁左右的学生持棍棒追打另一名学生，从学校一直追赶到街上。120到现场进行了抢救，但最终未抢救成功。对此，武胜中学回应此事正在处理中。25日，记者致电武胜县教育局，工作人员称现在多个部门正在处理此事，因为涉及命案，需要对死者进行尸检。事件仍在进一步调查处理中。 百姓关注的微博视频,70,81,3026,,贵阳,贵州,中国
2,4905320532677236,为李添丁ING,2023-05-25 16:23:34,#四川一中学学生打架致1死# 又是未成年，孩子从小就要管教，要不然大了真的是无法无天了 ,0,0,0,江西,新余,江西,中国
2,4905320511702736,陈小春卷,2023-05-25 16:23:29,#四川一中学学生打架致1死#《晕倒》年轻真好，晕倒就死 ,0,0,0,广东,揭阳,广东,中国
2,4905320319029852,你还没有昵称呢,2023-05-25 16:22:43,#四川一中学学生打架致1死#不管多大，故意把人致死，建议都死刑，虽然有些年龄很小，但是那种人及时进行教育也还是有恶性心理。真是服了！每次看到这种消息就很愤恨。这种坏小孩能不能死绝！ ,0,0,2,河南,信阳,河南,中国
2,4905320230683407,骆里Go,2023-05-25 16:22:22,#四川一中学学生打架致1死# 不能处刑的话就建议直接入档案，从小就要留底 ,0,2,0,山东,,山东,中国
2,4905296914287896,财入门,2023-05-25 14:49:43,四川广安武胜中学，两名13岁左右的学生持棍棒追打另一名学生，从学校一直追赶到街上。把人打倒在地，120到现场抢救，没挽救回来。现在的初中生这么生猛吗？#四川一中学学生打架致1死# 财入门的微博视频 ,5,24,98,山东,烟台,山东,中国
2,4905320205258718,小为XW,2023-05-25 16:22:16,#四川一中学学生打架致1死#校内打到校外，我在想保安去哪里了，校门口不因该有保安吗？ 小为XW的微博视频 ,0,1,1,广东,佛山,广东,中国
2,4905308620851096,入尺牍,2023-05-25 15:36:14,#四川一中学学生打架致1死# 希望以后这种故意杀人都一定要凶手偿命不管它什么岁数，什么精神状态。 ,0,2,42,山东,济宁,山东,中国
2,4905301902626646,廖小利,2023-05-25 15:09:32,#四川一中学学生打架致1死#清醒吧，一次又一次的霸凌事件发生怎么就不能引起家长，学校，全社会的关注？现在孩子无论心智，身体都成熟早了，刑责年龄也该修改了，《未成年保护法》早已成为坏孩子的护身符。以前总觉得孩子送去学校，就是最安全的，现在连学校都不安全了。发生校园暴力事件，学校和打人者家长是脱不了干系的，必须严查，严惩，还受害者家长和社会一个公道呀！,2,1,13,湖南,衡阳,湖南,中国
2,4905320114292651,夏日晴疯,2023-05-25 16:21:54,#四川一中学学生打架致1死#这就是现在的教育导致的。家长骄纵自己的孩子，不让管，不让碰。到老师不敢管，不敢动。于是孩子叛逆了就完全不受约束了。就打人的这些孩子，不会被死刑，起码得劳教几年吧？在正常的学校里都这样了，进了劳教再出来，能变成啥样？只会更糟。放出来就是下一个案件。他们的家长现在也许还侥幸的心安理得，殊不知以后跟着这样的孩子能有啥幸福生活？,1,0,2,山东,青岛,山东,中国
3,4905320062913335,风行水上-1005,2023-05-25 16:21:42,#四川一中学学生打架致1死#初中生呢，这么小戾气太重了，打人下手都这么重吗？致死了都 ,0,1,3,吉林,延边朝鲜族自治州,吉林,中国
3,4905320034603818,田田的铲屎官YYDS,2023-05-25 16:21:35,#四川一中学学生打架致1死# 这些天先是北京通州的学生打同学老师杀邻居，这又出来一个中学生打架打死人的，这样了还不改改法律？！入刑年龄改到12岁！不要拿未成年人来做借口了！这帮畜生长大了也还是祸害社会！什么能变好啊能改造好啊，鬼信啊，这都是坏到了骨子里的！ ,0,0,4,北京,北京,北京,中国
3,4905320034601432,雪落长白十三载_,2023-05-25 16:21:35,#四川一中学学生打架致1死# 这些小出生 以后也是社会败类 未成年保护法到底是在保护谁？ ,0,0,3,云南,昆明,云南,中国
3,4905320024904776,终于有狗啦,2023-05-25 16:21:33,#四川一中学学生打架致1死#校园霸凌问题、未成年人保护法问题，青少年心理健康问题需要迫切被重视和解决 ,0,0,1,四川,资阳,四川,中国
3,4905319979028044,罗恩今天吃鸡腿了吗,2023-05-25 16:21:22,#四川一中学学生打架致1死#《未成年保护法》已经变成了畜生保护法，没有谁真的被保护 ,0,0,3,安徽,淮北,安徽,中国
3,4905319857655518,60度可不用,2023-05-25 16:20:53,#四川一中学学生打架致1死# 半大孩子下手最没个轻重，也不会考虑后果 ,0,0,1,河北,石家庄,河北,中国
3,4905319744144747,挖掘真相-揭露不公,2023-05-25 16:20:26,#四川一中学学生打架致1死#根据通报内容，当事人卢某某在沿口镇建设北路路边晕倒，警方接到报警后立即指派巡逻警力到达现场并联系120急救中心到现场抢救。然而，最终卢某某仍然经过紧急抢救后宣布死亡。现在，相关行为人已经被控制，案件正在进一步调查处理中。这个事件的发生令人非常遗憾，我们应该把握该事件中所蕴含的深刻意义：人的生命非常宝贵，我们需要重视自身健康并及时处理身体不适，成为更加健康和安全的人。,0,0,2,上海,上海,上海,中国
4,4905319660259182,明哥略懂,2023-05-25 16:20:06,#四川一中学学生打架致1死# 这个年纪的人打架下手没个轻重，最容易出事。2013年我们这就一起类似的，正月十五那天夜里，因为争风吃醋两拨人约架，打急眼了掏刀出来捅了对方一刀，赶巧捅在心脏上，被捅的人当场就没了。法医验尸的时候说动对动的情况下，职业杀手都不一定捅这么准，保不齐的就被肋骨卡着了。我一直觉得收容教养和少年犯到学校现身说法不仅不应当废止，而且还应该加强。现在是信息爆炸的年代，孩子每天接受海量的信息，十一二岁的孩子比之以前的同龄人文化水平也更高，法治意思更强，思维也方式也与跟成年人几乎无异。他们清楚的知道什么可以做什么不可以做，因此做事情更加的肆无忌惮。所以，常态化的现身说法警示教育以及少管机构的存在还是很有必要的。,0,0,0,河南,信阳,河南,中国
4,4905319529971851,洛阳的水瓶座,2023-05-25 16:19:34,#四川一中学学生打架致1死# 未成年人之间打架，到底处置的底线是什么🤔️ ,0,0,0,河南,洛阳,河南,中国
4,4905319526564689,Moonk_1,2023-05-25 16:19:34,#四川一中学学生打架致1死#初中真的很幼稚，一天打打闹闹的觉得很酷很厉害，搬砖后才知道啥也不是。 ,0,0,3,宁夏,银川,宁夏,中国
4,4905319396020012,Jackeewu,2023-05-25 16:19:03,#四川一中学学生打架致1死#未成年还不能收监 ,0,0,0,广东,深圳,广东,中国
4,4905303885743369,如皋老猫,2023-05-25 15:17:25,#四川一中学学生打架致1死#这么大的事，四川观察居然不观察了？ ,6,14,39,江苏,南通,江苏,中国
4,4905319246074385,星星and明月,2023-05-25 16:18:27,#四川一中学学生打架致1死#杀人偿命，不要什么不懂事儿童保护法，不存在的，都敢打死人，这要长大了，不得sha人全家 ,0,0,4,江苏,苏州,江苏,中国
4,4905319056542844,爱陈允,2023-05-25 16:17:42,#四川一中学学生打架致1死#建议死刑，这种垃圾坐牢出来也只会吹牛逼说他打死人了 ,0,0,3,贵州,,贵州,中国
4,4905319031898756,向上鹿先森,2023-05-25 16:17:36,#四川一中学学生打架致1死# 目击者：看到两名学生追一名学生打 目前多部门介入！案件在进一步调查处理中... #四川会理发生重大刑事案件# 向上鹿先森的微博视频 ,0,0,0,广东,中山,广东,中国
4,4905318981307041,EvaTamiaLiu,2023-05-25 16:17:24,#四川一中学学生打架致1死#我们学校前两天也有打架的，但因为打人的同学的父母太厉害了，班主任也收了很多好处，结果班主任直接把责任推到被打的人身上 ,0,0,2,广东,广州,广东,中国
4,4905318938575720,wbbzyb,2023-05-25 16:17:14,#四川一中学学生打架致1死#13岁你也叫男子？好冷的血！ ,0,0,4,山西,吕梁,山西,中国
5,4905239906355360,巨流视频,2023-05-25 11:03:11,【#网传广安一初中生被同学围殴致死#】5月24日，四川广安。网传武胜中学发生一起校园暴力事件，一男生被同学围殴致死。事发后受害者家长发朋友圈称：“把儿子好好送到学校上学，晚上放学接通知说孩子被打死了”。5月25日，#学校回应初中生被同学围殴致死# ，工作人员称确有此事，具体情况正调查处理中。#四川一中学学生打架致1死#  巨流视频的微博视频,28,103,296,,重庆,重庆,中国
5,4905318892439062,星星and明月,2023-05-25 16:17:03,#四川一中学学生打架致1死#这几天的新闻怎么都这儿 么恐怖😱 ,0,0,0,江苏,苏州,江苏,中国
5,4905318767920427,阿放的十二字,2023-05-25 16:16:33,#四川一中学学生打架致1死#初中是校园暴力高发阶段，我初中的时候还有学生拿40厘米大砍刀在外面追着人砍呢（没开玩笑真事... 还以为这两年缓解没想到还这样，建议校园暴力严厉处罚 ,0,0,0,河北,秦皇岛,河北,中国
5,4905312396509202,X110729Z,2023-05-25 15:51:13,#四川一中学学生打架致1死#但凡是涉及到娃娃的命案请一律严查严惩，因为我们大家都是为人父母。 ,0,0,14,上海,上海,上海,中国
5,4905318738563850,彩尼洛峰,2023-05-25 16:16:26,#四川一中学学生打架致1死# 对有本事杀人偿命 以后社会这些犯罪会越来越少 ,0,0,0,天津,天津,天津,中国
5,4905318662539960,兔耳夢很萌i,2023-05-25 16:16:08,#四川一中学学生打架致1死# 加强未成年犯罪法吧。十多岁的孩子应该都有明事理有轻重的能力了，都要为自己行为负责！ ,0,0,0,浙江,舟山,浙江,中国
5,4905318625315381,我不是西门庆oba,2023-05-25 16:15:59,#四川一中学学生打架致1死#四川最近是怎么了 天天出事 ,0,0,0,上海,上海,上海,中国
