页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905320495714921,人丑爱吃,2023-05-25 16:23:25,#国泰航空称空中服务员工会不代表国泰#建议该工会组织空乘人员进行罢工。 ,0,0,0,湖南,湘西土家族苗族自治州,湖南,中国
2,4905320474216763,药水药水药水,2023-05-25 16:23:20,#国泰航空称空中服务员工会不代表国泰# 本来就是从骨子里烂透的企业啊，疫情前坐就这样了，说英语态度就很好 ,0,0,0,山西,太原,山西,中国
2,4905320332132864,第八号当铺-颜容,2023-05-25 16:22:46,#国泰航空称空中服务员工会不代表国泰#服务行业没有职业素养，找那么多借口。 ,0,0,0,江苏,无锡,江苏,中国
2,4905320306970570,广西交通台,2023-05-25 16:22:40,【#国泰航空称空中服务员工会不代表国泰#】#国泰航空称不接受空中服务员工会立场#,0,0,0,,,广西,中国
2,4905314421835617,大风吹奏,2023-05-25 15:59:17,#国泰航空称空中服务员工会不代表国泰# 国泰工会可以对此发动集体辞职、集体休假等一些列活动，让国泰航空被迫停运 ,1,6,63,四川,,四川,中国
2,4905308973177598,参考消息,2023-05-25 15:37:38,【#亚裔空乘遇中国乘客努力用中文报菜名#  “这个叫尊重”】近日，飞机上的亚裔空少对待中国乘客，努力用中文报菜名。拍摄者称事件发生在新西兰航空，亚裔空少在完全不懂中文的情况下，面对中国乘客，依旧努力用中文为其提供服务。（中国新闻网）#国泰航空称空中服务员工会不代表国泰# 中国新闻网的微博视频 ,28,19,200,,北京,北京,中国
2,4905320180092446,洛阳的水瓶座,2023-05-25 16:22:10,#国泰航空称空中服务员工会不代表国泰# 这工会不是国泰自己的？演双簧🤔️ ,0,0,0,河南,洛阳,河南,中国
2,4905320079429665,每天都不想上班咧,2023-05-25 16:21:46,#国泰航空称空中服务员工会不代表国泰#ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺,0,0,0,广东,广州,广东,中国
2,4905319971687693,梦梦x5doxlx12c,2023-05-25 16:21:20,#国泰航空称空中服务员工会不代表国泰#自从香港动乱后感觉就变了，以前真的很向往香港，而且觉得大家都很和平，也很亲。现在感觉内地和香港人民之间充满了怨恨，仇视。有时真的很痛心。还没来得及去感受东方之珠，就要殁了吗？近几年真的觉得是不是真的网络间谍太多了，两边挑拨离间，故意引火内战，搞分裂，搞仇视啊。民众也真的很容易被带节奏。真的怀念以前两岸三地一家亲的美好时光啊。特别是汶川地震那年，都是真心真意同胞情。,0,1,0,四川,成都,四川,中国
2,4905319949928665,超可乐视频,2023-05-25 16:21:15,国泰航空事件后续，三名空姐被解聘！有人痛哭流涕，有人死性不改 国泰航空后续，三名空姐被解聘！有人痛哭流涕，有人死性不改 #国泰航空称空中服务员工会不代表国泰# ,0,0,0,福建,宁德,福建,中国
3,4905310228318518,上帝之鹰_5zn,2023-05-25 15:42:37,#国泰航空称空中服务员工会不代表国泰#  有乘客反映，国泰今天飞上海的航班，空乘全都努力用不太标准的普通话与内地乘客沟通 ,11,94,657,福建,福州,福建,中国
3,4905319841400760,Brescience,2023-05-25 16:20:49,#国泰航空称空中服务员工会不代表国泰#看来香港确实是法外之地，建议对国泰航空采取实质性的抵制措施，别停留在嘴上抗议，就像上次的冰淇淋事件一样，最后不了了之。 ,0,0,2,上海,上海,上海,中国
3,4905319706661618,嘉善老顾,2023-05-25 16:20:17,#国泰航空称空中服务员工会不代表国泰#国泰航空的那个事，更深层次的问题是香港回归这么多年，社会上没有认真推广普通话。中国的一个特别行政区，以讲英语或者粤语为上流社会的身份标识，连政府机关、立法会这样的官方场合都没有重视推广普通话，出现这样的事情，其实并不稀奇。 ,1,0,2,浙江,嘉兴,浙江,中国
3,4905319694341103,IKnowWhoIAm7,2023-05-25 16:20:14,#国泰航空称空中服务员工会不代表国泰# 员工不是你们招聘的吗？换一批不会歧视人的很难吗？你们要反思一下为什么就你们公司这么多港毒。。不都是你们纵容的吗？ ,0,0,0,上海,上海,上海,中国
3,4905319598131705,鄂温克融媒体中心,2023-05-25 16:19:51,#国泰航空称空中服务员工会不代表国泰#5月25日14时许，国泰航空发布声明：我们知悉空中服务员工会于2023年5月24日，就一名顾客于2023年5月21日于CX987航班上经历的事件发表声明。国泰航空就此郑重澄清，“空中服务员工会”为一个独立工会，从来不代表国泰。我们明确声明，公司不接受、支持或同意该工会对此事的立场。我们一直并将继续与机舱服务员同事直接沟通，包括通过线上及面对面等多种途径。我们会继续聆听他们的反馈，并积极回应。顾客因国泰专业优质的服务而选乘我们的航班，对他们的支持我们深表谢意。在重建国泰的过程中，我们在致力提升服务品质的同时，也会照顾我们员工的利益及福祉。（澎湃新闻）,0,0,0,,呼伦贝尔,内蒙古,中国
3,4905319577160251,I-love-panda,2023-05-25 16:19:46,#国泰航空称空中服务员工会不代表国泰#没必要垂死挣扎为难自己，你们直接放弃撤出中国，扎根欧美挺好的方便全方位服务。 ,0,0,3,重庆,重庆,重庆,中国
3,4905319522635453,杰__嫒岚,2023-05-25 16:19:33,#国泰航空称空中服务员工会不代表国泰#那北京代表处也是代表香港总公司的意思吗？ ,0,1,0,广东,佛山,广东,中国
3,4905319426424960,电影拆台君,2023-05-25 16:19:09,#细数国泰航空4起歧视风波##国泰航空称空中服务员工会不代表国泰# 劣迹斑斑！英语至上搞歧视，国泰空乘在高贵什么！ 电影拆台君的微博视频 ,0,0,3,河北,衡水,河北,中国
3,4905309702979705,小凡好摄,2023-05-25 15:40:31,#国泰航空称空中服务员工会不代表国泰# 该工会发声明称：对此表示深切遗憾。人手不足及薪酬过低，员工士气无比低落，因而引发事件，促公司从源头解决问题。国泰航空：国泰航空就此郑重澄清，“空中服务员工会”为一个独立工会，从来不代表国泰。我们明确声明，公司不接受、支持或同意该工会对此事的立场。#黄媒不会说的真相#,3,6,28,重庆,重庆,重庆,中国
3,4905319333628253,张珩Kelly家庭教育,2023-05-25 16:18:48,#国泰航空称空中服务员工会不代表国泰#这个所谓工会，其实跟那种NPO差不多性质，盯着一个吓死人的名头儿，拿着不知道哪里的钱，就是搅事儿的反贼，一封一个准。 ,0,0,0,法国,,法国,法国
4,4905318935430645,温州微博大事小事,2023-05-25 16:17:13,#国泰航空称空中服务员工会不代表国泰# 这话其实也是对的，要不资本主义国家的工会都只有组织罢工的时候出现呢 ,0,0,0,浙江,温州,浙江,中国
4,4905318771065300,人民送我学飞行,2023-05-25 16:16:33,#国泰航空称空中服务员工会不代表国泰#航空安全涉及国家安全，我不认为国泰航空这种背景，资本，人员，历史如此复杂，劣迹斑斑的外资企业继续在中国香港滋生繁殖，并在中国的领空运行是安全的。 ,0,0,0,上海,上海,上海,中国
