页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905319141217124,南阳政法,2023-05-25 16:18:02,#比亚迪回应被长城汽车举报# 【#比亚迪发布声明#：坚决反对任何形式的不正当竞争行为，相关产品及检测符合国家标准】#比亚迪称产品及相关检测符合国家标准# 5月25日，@比亚迪汽车 发布声明：我们坚决反对任何形式的不正当竞争行为。并保留法务诉讼的权力。经了解，长城所说的情况，测试车辆由长城购买、保管并安排送检，中汽中心(天津) 按长城的要求进行了相关项目的检测。测试车辆严格来说，不符合国标要求的送检状态，即应由第三方抽样、保管及送检，并要求完成3000公里磨合后测试，而长城送检的车辆在检测时，里程仅为450-670公里。鉴于以上，我们认为其检测报告无效，长城不能以此作为依据。我们的产品及相关检测符合国家标准，在国家权威机构通过认证。欢迎有关部门随时过来调查、取证和检测。 奇点财经的微博视频  网页链接,0,4,2,,北京,北京,中国
2,4905318910527236,烟雨繁梦,2023-05-25 16:17:07,#比亚迪回应被长城汽车举报#真实情况到底如何不好判断，但是长城自己去买比亚迪的车解构，虽然说暗地里估计很多车企都会这么干，但是这种东西还是不要拿到明面上来说吧…哪怕是安排个水军去办这个事呢，这种事即便自己干了，那能自己拿出来去说吗？… ,0,0,1,黑龙江,伊春,黑龙江,中国
2,4905264518796195,科技小奈,2023-05-25 12:40:59,#比亚迪回应被长城汽车举报# 看完比亚迪的回应，就四个大字：格局拉满！  长城的这波操作，真就除了恶心人之外，自己一点好处也捞不到。 ,7,133,406,陕西,西安,陕西,中国
2,4905318507352060,聆听此时,2023-05-25 16:15:31,真是看不懂长城的这些操作，就给人感觉闲不下来的样子//【比亚迪回应被长城汽车举报：反对任何形式不正当竞争行为】  比亚迪回应被长城汽车举报：反对任何形式不正当竞争行为 ,0,0,0,河北,邯郸,河北,中国
2,4905272146923774,寰亚看世界,2023-05-25 13:11:18,#比亚迪回应被长城汽车举报##比亚迪发布声明#：坚决反对任何形式的不正当竞争行为，相关产品及检测符合国家标准。并保留法务诉讼的权力！ ,10,73,306,中国香港,,香港,中国
2,4905318309955963,舒星星想要事事舒心,2023-05-25 16:14:44,#比亚迪回应被长城汽车举报#怪有意思呢，有问题说问题就行了，谈爱国是什么意思？谁不爱国？ ,0,0,1,河南,鹤壁,河南,中国
2,4905317945835654,小罗六六六六,2023-05-25 16:13:16,#比亚迪回应被长城汽车举报#我想不通为什么要磨合3000公里之后在检测，难道不磨合就不能检测了？消费者3000公里之内不用你比亚迪的车？？消费者车停着不用可以自动变成3000公里的车了？？这个回应着实有点没有对应上长城的举报内容 ,0,1,2,北京,北京,北京,中国
2,4905317617632962,电影拆台君,2023-05-25 16:11:59,#长城汽车比亚迪股价跳水##比亚迪回应被长城汽车举报# 长城汽车：举报比亚迪属实，后续会对整件事做解释！ 电影拆台君的微博视频 ,0,0,1,河北,衡水,河北,中国
2,4905317118247021,醉逝枫c,2023-05-25 16:09:59,#比亚迪回应被长城汽车举报#大家放心买迪子，长城已经帮大家检查过了，就一个啥子排放物不达标的小问题（有可能还不算） ,0,0,5,四川,成都,四川,中国
3,4905316645608357,有啥说啥的老邵,2023-05-25 16:08:07,#比亚迪回应被长城汽车举报#都是民营车企，市场很难做的情况下应该这么往死里卷吗？ 长城汽车今日放量暴跌-6.17，市值损失超百亿。 比亚迪指摘的也没错，都是主机厂不代表公信力。 谁是谁非有待事实进一步厘清，但长城捅了比亚迪一刀，谁半夜笑醒了呢？ ,0,0,0,北京,北京,北京,中国
3,4905316607854987,柳下再会123,2023-05-25 16:07:58,#比亚迪回应被长城汽车举报#爱国不是免罪符。既然人家公开举报你了，直接就举报事项自证清白回应，到底作假没有假？达标不达标？别顾左右言它，整那些情怀披挂。另，既然张口不离新能源事业。那请比亚迪向国家申请取消补贴，通过市场公平竞争，堂堂正正的击败燃油车反动派，让他们输的心服口服，让消费者也打心里认同。长期靠补贴维系的产业代表不了未来，那只是社会的吸血蚂蟥,0,2,3,河北,邢台,河北,中国
