页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905320751303678,清风上影,2023-05-25 16:24:26,#空调开18度的领导离职了#长时间18度太冷了，有些位置对着吹，简直是致命的痛苦。 ,0,0,0,广东,深圳,广东,中国
2,4905320733740265,吕腾威,2023-05-25 16:24:22,#空调开18度的领导离职了#说18度不冷的，应该不是没有坐在空调附近的。正常来说，如果是小办公室，开26度就够了，大办公室一般不止一个空调，开22到24度也够了。 ,0,0,0,广东,东莞,广东,中国
2,4905320587723069,小慌格,2023-05-25 16:23:46,#空调开18度的领导离职了#现在开17度好嘛，开到最低温度！！！到6-10月开17度还得一个座位一台电风扇！！！ ,0,0,0,广东,东莞,广东,中国
2,4905320491778189,可乐味的棒棒糖超甜,2023-05-25 16:23:23,#空调开18度的领导离职了# 开18度我觉得挺冷的    我家我开到23都觉得有点儿凉    可能我不适合吹空调 ,0,0,1,陕西,西安,陕西,中国
2,4905320386135972,宁波气象,2023-05-25 16:22:59,#台风玛娃# 夏天到了，天气可真热闹啊！江南的气温忙着升升升，海上超强台风“玛娃”还在暗搓搓的增强，14时中心附近最大风力已经达到62米/秒。从目前预报看，未来还可能提升到68米/秒。实力强劲的娃！ @中央气象台 #空调开18度的领导离职了# ,0,0,0,,宁波,浙江,中国
2,4905320298058324,高坪公安,2023-05-25 16:22:38,【6步带你远离空调病】闷热难耐的天气里，空调早已成了人们的刚需。但是，因为空调清洗不当、吹空调不当，空调给人们带来凉爽的同时，也带来了病痛。过敏、关节疼痛、颈部疼痛……空调调到几度最合适？怎么吹空调，能最大限度降低对身体的伤害？↓ #空调开18度的领导离职了# ,0,0,1,,南充,四川,中国
2,4905320294126613,不想打工的搬砖妹,2023-05-25 16:22:37,#空调开18度的领导离职了#青岛十七度，到现在了，我还没穿短袖 ,0,0,1,山东,青岛,山东,中国
2,4905320289932006,守护你的远方,2023-05-25 16:22:36,#空调开18度的领导离职了#长时间26度，大多数人也很冷吧，所以我放了小被子在实验室，党委书记检查问为啥夏天还这么冷。 ,0,0,1,辽宁,沈阳,辽宁,中国
2,4905320281278777,金秀亨的月光光,2023-05-25 16:22:34,#空调开18度的领导离职了# 我的怕热但更怕空调吹怕室内没有自然风的领导…… ,0,0,0,河北,保定,河北,中国
3,4905320160168723,淮阴区法院,2023-05-25 16:22:05,明法安淮普法小课堂 网友讨论～#空调开18度的领导离职了#，无论如何，关注健康分享知识#微分享# 【跟着视频学，洗空调不花1分钱，还不费劲儿】 天气渐渐热起来，你家的空调清洁过了吗？空调长期不清洗，不仅影响制冷，还会诱发支气管哮喘等疾病！跟着视频学，自己动手，省钱省力还干净。转需不谢！via@人民日报 #法姐分享# @四川监狱 @绵阳特巡警 转给你关心的人 法治四川的微博视频,0,0,0,,淮安,江苏,中国
