页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905239097118330,积极的麦子M,2023-05-25 10:59:58,#24岁研究生离世捐器官救多人#现在越来越多人遗嘱有一条无偿捐献器官，你怎么看呢？  网页链接 ,1,0,19,陕西,西安,陕西,中国
2,4905238860926062,黎丶月,2023-05-25 10:59:02,#24岁研究生离世捐器官救多人#这么帅的男孩子 心地还这么善良 真的好心疼 他以另外的方式活着  谢谢你  一路走好 ,0,2,102,福建,福州,福建,中国
2,4905238753182194,烨磊新蕾,2023-05-25 10:58:36,#24岁研究生离世捐器官救多人#一路走好家人的决定伟大，痛苦中的选择，这样的事情多宣传，也期待更多的人支持器官捐献和遗体捐献 ,0,0,0,陕西,西安,陕西,中国
2,4905238483961802,吃人参狗,2023-05-25 10:57:32,#24岁研究生离世捐器官救多人#妈呀…我还和老哥一起打过球怎么就 ,0,2,4,山西,临汾,山西,中国
2,4905234071814857,新闻晨报,2023-05-25 10:40:00,【“如果死后葬在地里，我更想捐出器官去帮助别人”，#24岁研究生捐器官让4人获新生#】“能多救一个就多救一个！”5月23日，今年即将毕业的24岁研究生隆星宇突发肺栓塞，最终被确认为脑死亡状态。5月24日上午，家人帮助他在华中科技大学同济医院捐献了心脏、一肝两肾和一对角膜，让4人重获新生，还给多名患者带去光明。他的家人说：“孩子出事后，学校的老师、同学，很多朋友都全力帮忙，现在他走了，我们要让爱继续传递！”①家人心中的顶梁柱，亲友眼里的热心肠2020年，来自湖南新邵县新田铺镇的隆星宇，考入中国地质大学（武汉）地质资源与地质工程专业硕士研究生。入校后他刻苦学习和钻研，还加入了校排球队，作为主力多次跟队代表学校参加比赛。在做校女排球队助教时，他结识了后来的女友。女友对他的评价是真诚、务实、与人为善，“正是他的这些品质打动了我。”幼时的隆星宇，是一个懂事、自觉性强、有条不紊的孩子，会照顾家人的起居和三餐，遇到邻居也会主动上前帮忙搬东西。隆星宇的妹妹隆佳静说：“哥哥是我的榜样，也是给我指引的人。”看到原本内敛、不擅长交际的哥哥，在高中喜爱上运动后变得开朗、人缘好，妹妹也开始对运动产生了兴趣。隆星宇的父亲是农民工，有一次在建筑工地摔伤了腿，从此丧失了部分劳动力，只能靠务农和打零工挣钱。2018年，隆星宇的母亲查出患有肝癌，高昂的手术、透析和医药费用让这个家庭背上了30多万元的债务。两年前母亲癌症复发去世，那时隆星宇22岁，家里还有两个比他小2岁和4岁的妹妹。兄妹三人都在读书，开销较大，一家人艰难度日。隆星宇作为家里的长子，承担起了家庭的重担。原本打算继续考博的他，选择尽早工作，以偿还家庭外债、减轻父亲的负担。“哥哥每年都拿到了国家励志奖学金，还会兼职补贴家用。他考上研究生后，每次拿到做项目的工资，都会给我发个红包。”隆星宇的妹妹隆佳静说，哥哥读大学后几乎没找家里要过一分钱，后来为了减轻家里负担，他也不打算继续深造了，只为让上大学的两个妹妹继续完成学业。②膝盖扭伤没太在意，为后来埋下了隐患今年3月中旬，隆星宇在学校运动时不慎摔倒导致膝盖扭伤，就近去医院做了治疗。医生表示这种情况需要外固定膝关节支架进行治疗，但定制支架费用在一千元以上。隆星宇平时是一个节俭的人，大冬天也舍不得买一件保暖的羽绒服。对他来说，自费一千元的支架无疑是一个沉重负担，于是他网购了一套一百多元的简易支架。本以为只是普通的摔伤，但由于固定不当，腿部的问题没有得到缓解，他反而出现了小腿肿胀的情况，为之后的健康埋下了巨大隐患。3月30日，隆星宇在宿舍突发心脏骤停，室友紧急拨打120将其送医。虽然经心肺复苏后恢复心跳，但由于抢救时间过长，脑水肿非常严重，自主呼吸微弱，他被确诊为肺栓塞导致呼吸心跳骤停。坏消息传来，老师和同学们都震惊了，一边积极捐款，一边在网络上寻求救助。所有人都希望这个友善、率真、阳光的男孩能够快点好过来，再次回到赛场。但奇迹没有出现，隆星宇的病情持续恶化。同济医院骨科医生李觅表示，这是十分罕见的情况。扭伤后形成下肢深静脉血栓，脱落后通过血液循环到达肺部，造成了肺血管堵塞，这是十分凶险的。扭伤肿胀一般是单层软组织损伤造成，但下肢静脉血管受损也会造成肿胀且区域会更大、更明显，一般人难以分辨。所以如果受伤后发生肿胀应该及时就医，做相关检查明确是否有深静脉血栓形成。一旦发现有深静脉血栓，要及时到血管外科就诊，介入放置滤网和及时溶栓治疗，早发现早治疗。据了解，隆星宇在入院当天接受了取栓手术，但呼吸微弱、脑部受损严重，肾功能也没有恢复，他直接住进了ICU。医护人员拼尽全力抢救，希望能救回这个年轻的生命。③生前遗愿是捐献器官，家人含泪尊重其决定“人死后就是一捧土，如果死后葬在地里，我更想捐出器官去帮助别人。”隆星宇在去年亲友去世时谈到死亡，这么说出了自己的想法。隆星宇的妹妹隆佳静试图在网上寻求红十字会的资助，偶然看见了关于器官捐献的文章。她想起和哥哥日常聊天说到过这个话题，哥哥说过器官捐献是很有意义的事情。“哥哥对我来说是最重要的人，我要努力完成他的心愿。”隆佳静说。由于当时隆星宇已经陷入昏迷状态，经过ECMO的救治仍无法醒来，而器官捐献需要捐赠人所有直系亲属签字。隆佳静把哥哥捐赠器官的想法告诉家人后，全家人都表示尊重隆星宇的决定，同时也想再等等，或许有好转的奇迹出现。经过一周的考虑和等待，隆星宇的脑细胞大量死亡，如果再等下去，其他器官也可能会衰竭。一家人虽然不舍，但最终还是达成一致，决定实现隆星宇的生前愿望，将器官捐献用来帮助他人，于是签署了《人体器官捐献亲属确认登记表》。5月23日夜间，经过同济医院脑损伤判定团队的严格判定，确认隆星宇处于脑死亡状态。5月24日，在湖北省红十字会器官捐献协调员的见证下，隆星宇捐献了心脏、一肝两肾和角膜，最终帮助4人重获新生，以及多名患者重见光明。#24岁研究生离世捐器官救多人#（极目新闻）,9,8,45,,上海,上海,中国
2,4905238413450185,金牛法院,2023-05-25 10:57:15,隆星宇，一路走好！24岁研究生离世捐献器官让4人重生。（新华社快看）#24岁研究生离世捐器官救多人#中国反邪教的微博视频 ,0,1,0,,成都,四川,中国
2,4905238382774191,文缘教育MBA考试网,2023-05-25 10:57:08,#24岁研究生离世捐器官救多人#  既有才华，又有爱心，愿你像你的名字一样，在宇宙里作一颗闪耀的恒星。 ,0,0,1,重庆,重庆,重庆,中国
2,4905238361800752,遛狗拉个绳,2023-05-25 10:57:02,#24岁研究生离世捐器官救多人#这个世界太多的残忍每天上演，医院的走廊充满祷告，急诊的门口人海茫茫，手术室里生死未知，门口的人啊，却是悲凉。！ ,0,0,2,山东,济南,山东,中国
2,4905238190623095,金华人金华事,2023-05-25 10:56:22,#24岁研究生离世捐器官救多人#隆星宇，谢谢你！一路走好！#透过窗口看志愿# 金华人金华事的微博视频 ,1,0,1,浙江,金华,浙江,中国
2,4905238164930636,枣庄在线,2023-05-25 10:56:15,#24岁研究生离世捐器官救多人#24岁研究生捐器官救4人：扭伤膝盖不舍买千元支架，埋下生命隐患（star星视频）枣庄在线 枣庄在线的微博视频 ,0,0,2,山东,枣庄,山东,中国
3,4905238156805110,倔到没脾气,2023-05-25 10:56:14,#24岁研究生离世捐器官救多人#本科的学长，学长一路走好  健康问题真的一点马虎不得，请大家一定一定要重视自己的健康问题，马虎不得 ,0,0,3,陕西,西安,陕西,中国
3,4905237968326966,人生就是扯淡-,2023-05-25 10:55:29,#24岁研究生离世捐器官救多人#  隆星宇，很好听的名字，大家都知道你的故事了，也都觉得你善良而伟大“他是一个充满正能量的人  平时就带给我们许多温暖和感动”。愿你像你的名字一样，在宇宙里作一颗闪耀的恒星。一路走好！ ,0,9,36,广东,梅州,广东,中国
3,4905237951547826,青春湖北,2023-05-25 10:55:25,24岁大男孩不幸去世，捐器官救4人，他用另一种方式继续帅气。（长江日报）  #24岁研究生离世捐器官救多人# 青春湖北的微博视频 ,0,1,1,,武汉,湖北,中国
3,4905237787706016,432应用统计小靳学姐,2023-05-25 10:54:45,#24岁研究生离世捐器官救多人#  你成为了夜空中一颗闪闪发光的小黄星，用微弱的光温暖了所有人。 ,0,0,0,内蒙古,乌兰察布,内蒙古,中国
3,4905237687307515,喵小柒xz,2023-05-25 10:54:22,#24岁研究生离世捐器官救多人# 可惜了 看着是个积极向上的男孩  愿天堂没有痛苦 谢谢你救了这么多人 以另一种方式活下来 ,0,0,2,云南,大理白族自治州,云南,中国
