页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905239893774551,哈能123,2023-05-25 11:03:08,#刘亚仁被人泼水# 垃圾微博 一个韩国人渣给那么多热搜 法老这么爱国的事情都不给 你还是人吗 ,0,0,1,天津,,天津,中国
2,4905239804904735,塞_奥米_来,2023-05-25 11:02:47,#刘亚仁被人泼水#武汉疫情，刘亚仁为武汉发声，吸毒有罪，但不能磨灭人家善良 ,0,0,1,甘肃,武威,甘肃,中国
2,4905239800973048,西栏微-娱乐摆渡,2023-05-25 11:02:46,#刘亚仁被人泼水# 据韩媒报道，刘亚仁在离开首尔麻浦警察署的途中被市民扔咖啡瓶击中，还被人泼水。 ,0,0,2,广东,湛江,广东,中国
2,4905239738324476,御风娱乐,2023-05-25 11:02:31,#刘亚仁被人泼水#近日刘亚仁被路人给泼了水。刘亚仁见状回头瞪了一眼路人，随后被工作人员拉走。,0,0,1,,平顶山,河南,中国
2,4905239722070440,腹肌哥哥的口算辅导员,2023-05-25 11:02:27,#刘亚仁被人泼水#这条热搜下，含二棒量感人 ,0,0,2,浙江,宁波,浙江,中国
2,4905239654176529,伍倩MargotWU,2023-05-25 11:02:11,#刘亚仁被人泼水#这个热搜……人得为自己的错误承担后果，不冤枉，不过依然可惜。重新看一遍《思悼》，怀念那个演技出神入化的年轻人。郑炳说的《权力与人》，从方方面面分析了相关历史事件中的人与情与势，读史，鉴今，看演绎的故事，品人生的现实，无不令旁观者唏嘘、警醒。  🙅 ,0,0,2,北京,北京,北京,中国
2,4905239629010090,文娱蜀黍,2023-05-25 11:02:05,#刘亚仁被人泼水#  刘亚仁逮捕令被驳回，在离开首尔麻浦警察署的途中被市民扔的咖啡杯击中了，还被人泼水，刘亚仁回头狠狠瞪了一眼泼水市民。  这态度，看着不像对xd诚心悔过啊……感觉如果不是被抓，他一点都不会觉得自己做错了什么。 ,50,50,51,广东,惠州,广东,中国
2,4905239625598798,剧综学姐,2023-05-25 11:02:04,#刘亚仁被人泼水#不知道刘亚仁现在心里有没有后悔，当初被捧得有多高，现在就摔的有多惨！ ,0,0,1,广东,湛江,广东,中国
2,4905239545123800,带刀侍卫王小剑,2023-05-25 11:01:45,#刘亚仁被人泼水#没想到刘亚仁被路人给泼了水，当初被捧得有多高，现在就摔的有多惨。,0,0,0,河南,平顶山,河南,中国
2,4905239196472033,无视防御365,2023-05-25 11:00:22,#刘亚仁被人泼水# 我说这是干嘛啊 来中国吧，有的是人爱你 还可以在政府影视最高奖拿最佳导演 ,0,1,0,北京,北京,北京,中国
3,4905239167633408,五条悟解除封印了吗,2023-05-25 11:00:15,#刘亚仁被人泼水# 唏嘘啊，演戏是真的不错来着 ,0,0,0,加拿大,,加拿大,加拿大
3,4905239138533750,全球时尚视线,2023-05-25 11:00:07,#刘亚仁被人泼水#这有点过分了吧 ,0,0,0,江苏,苏州,江苏,中国
3,4905238991999978,宇宙酉星,2023-05-25 10:59:33,刘亚仁被人泼水，自食其果，令人感慨。 ,0,1,1,四川,自贡,四川,中国
3,4905238869577360,娱圈狗熊岭,2023-05-25 10:59:04,#刘亚仁被人泼水#这个没啥可以洗的吧？错了就是错了，曾经站的有多高，犯错了就会摔的有多惨，没啥好同情的，学艺先做人 ,0,2,5,江苏,无锡,江苏,中国
3,4905238824489498,请叫我娱宝,2023-05-25 10:58:53,#刘亚仁被人泼水#从🇰🇷最亮眼的影帝到如今被🇰🇷人扔水瓶，刘亚仁真的是自己作的 ,108,109,118,重庆,重庆,重庆,中国
3,4905238732210235,祁人祁语,2023-05-25 10:58:30,#刘亚仁被人泼水#没有看懂，逮捕令被驳回，被谁驳回？逮捕令是谁发出的？被驳回，意味着不被逮捕了，但不等于没有问题呀！ ,0,0,0,北京,北京,北京,中国
3,4905238530622853,原来你不是我的谁,2023-05-25 10:57:43,#刘亚仁被人泼水#看刘亚仁被泼水而回头的那个眼神真的挺吓人的，看得出来刘亚仁是有多么的愤怒，好在助理拉着他走开了，要不然一定会上去给泼他水的人一个耳巴子。 原来你不是我的谁的微博视频 ,6,4,19,河南,平顶山,河南,中国
3,4905238525905092,追剧仙君,2023-05-25 10:57:42,#刘亚仁被人泼水#泼水是轻的，我要是在现场就是一耳光 ,0,0,0,河南,周口,河南,中国
3,4905238479504875,吃瓜不可错过,2023-05-25 10:57:31,#刘亚仁被人泼水# 这水泼的是后面采访的记者吧。 ,0,0,0,北京,北京,北京,中国
4,4905238374387928,晏一Fairy,2023-05-25 10:57:06,#刘亚仁被人泼水#不愧是首尔人民，扔的都是咖啡瓶 ,0,0,12,甘肃,兰州,甘肃,中国
4,4905223829325197,吃瓜女汉子d,2023-05-25 09:59:18,这么多人认识他啊，看来我老了请问这个人在韩国的影响力 相当于中国的哪个明星  #刘亚仁被人泼水# ,0,11,36,广东,深圳,广东,中国
4,4905238114598919,资深追剧鹅,2023-05-25 10:56:03,#刘亚仁被人泼水#没想到刘亚仁被路人给泼了水，当初被捧得有多高，现在就摔的有多惨！谁能想到一代影帝有一天会沦落到这种地步？ ,50,50,50,广东,湛江,广东,中国
