页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905238517778004,云想衣裳花想容9788,2023-05-25 10:57:40,#员工每天带薪拉屎3至6小时被解雇#我无语了，新闻不是讲究时效性吗，这么多年前的事情了 ,0,1,1,广东,广州,广东,中国
2,4905238421051428,Doraemon梦梦兮,2023-05-25 10:57:17,#员工每天带薪拉屎3至6小时被解雇#带薪拉屎，这就过分了啊！哈哈哈！这届网友都帮不了你了被解雇是你的活该#带薪拉屎# ,0,0,0,广东,东莞,广东,中国
2,4905238178562816,吃好喝好睡好学好做好,2023-05-25 10:56:19,#员工每天带薪拉屎3至6小时被解雇#额…厕所这么“香”吗？ ,0,0,0,广东,广州,广东,中国
2,4905237901738494,巴中公安交警,2023-05-25 10:55:12,【劳动法中，辞退、开除、劝退三者有什么区别？】劳动关系中存在很多的问题，其实都是两个主体之间的问题，劳动者和用人单位之间的矛盾关系。想要了解两者存在哪些重要的矛盾，其必须要了解的就是辞职、开除以及劝退三者之间的区别问题，那么究竟他们在劳动法律关系中处于什么情形？什么关系？又有何种关联呢？via~黄骅司法  四川共青团据媒体～#员工每天带薪拉屎3至6小时被解雇#，相关法律知识多了解，学法律涨知识 凉山公安的微博视频,0,0,0,,巴中,四川,中国
2,4905237884178609,文从沈梦,2023-05-25 10:55:09,#员工每天带薪拉屎3至6小时被解雇#看起来似乎不合情理，一个员工怎么能在卫生间待那么长时间？一看剧情才清楚，这是手术后遗症……这种身体条件应该确实不能上班了，但这样被开除，显得这个公司有些不够人情味了！毕竟人家都上班9年了，为公司付出那么多年，仅仅出现这样的问题，几十天就把人家开除了，也真是资本家的本性暴露无遗了！这个员工该怎么办呢？也许他主动辞职是很好的选择！但是很无语的是这样一个标题上了热搜，会让普通人误以为是有一个磨洋工大师被正义开除，大家进来是看笑话的，结果却看得五味杂陈！但愿我们不是因为类似的问题而离职而被人看成笑话！,0,0,0,陕西,西安,陕西,中国
2,4905237875263628,西安律师邱新昌,2023-05-25 10:55:07,#员工每天带薪拉屎3至6小时被解雇#2015年到现在才打完诉讼吗？ ,0,0,0,陕西,西安,陕西,中国
2,4905236509231651,淡然de陈,2023-05-25 10:49:41,#员工每天带薪拉屎3至6小时被解雇# 这牛拉拉的肛门也没谁了我只好奇这么长时间蹲厕所屁股不疼脚不麻吗？ ,0,0,0,浙江,宁波,浙江,中国
2,4905236222970794,希望我父亲是你岳父,2023-05-25 10:48:33,#员工每天带薪拉屎3至6小时被解雇# 我以为我20分钟就够离谱了 ,0,0,0,广东,清远,广东,中国
2,4905235326441427,言司雨禾,2023-05-25 10:44:59,#员工每天带薪拉屎3至6小时被解雇#什么公司厕所能让员工在厕所蹲3～6小时啊，得了什么毛病吗。这公司中途不找人吗 ,0,0,0,广东,深圳,广东,中国
3,4905194893346230,锋潮科技,2023-05-25 08:04:19,#员工每天带薪拉屎3至6小时被解雇# 这在带薪拉屎里，也是相当炸裂的…… 连续多天在公司厕所，最短待接近4小时，最长能待快6小时，怎么办到的 ？ ,4,34,71,广东,广州,广东,中国
3,4905226908472082,颜狗柯研所,2023-05-25 10:11:32,#员工每天带薪拉屎3至6小时被解雇#他的后面还好吗？ ,0,10,21,安徽,合肥,安徽,中国
3,4905234697030631,兴文公安,2023-05-25 10:42:29,【马住！哪种情况下可以解除劳动合同】 你的劳动合同上可能存在陷阱，身为“打工人”，一定要了解：①员工重病、医疗期内被强行辞退；②因末位淘汰制被解聘；③孕期、产期、哺乳期内辞退……通通违法！(财经网) #员工每天带薪拉屎3至6小时被解雇#法院判定:解雇合法！哪种情况下可以解除劳动合同？相关法律知识学起来！,0,4,3,,宜宾,四川,中国
3,4905234319278848,达州司法,2023-05-25 10:40:59,法治达州【#员工每天带薪拉屎3至6小时被解雇# ，法院判定：解雇合法】公司员工王某因肛肠手术尚未恢复的原因，自2015年9月7日至17日（9月13日除外），每天停留时间3至6小时，被公司据此开除。王某诉至法院后，历经一审、二审和高院再审，法院认定与该员工解除劳动关系，不违反法律规定，原判决认定公司解除合同行为并不违法。看案例学法律@四川监狱 @法治新都 via~劳动报,0,2,2,,宜宾,四川,中国
3,4905176479041081,快乐的60后小胖子,2023-05-25 06:51:09,#员工每天带薪拉屎3至6小时被解雇# 奇葩的事天天有啊，有病就得治，要不怎么能上班呢。 ,0,19,24,黑龙江,绥化,黑龙江,中国
3,4905234092526385,Space饮水,2023-05-25 10:40:05,#员工每天带薪拉屎3至6小时被解雇# 2006年4月，王某进入公司工作；2013年4月，双方签订无固定期限劳动合同；2014年12月，王某因肛肠疾病在医院进行手术；2015年1月，伤口愈合，但其表示一直存在疼痛感；2015年7月开始，王某每天在厕所停留的时间为3至6个小时；2015年9月23日，公司解除同王某之间的劳动关系；2015年10月，王某提起仲裁，裁决公司继续履行劳动合同；最后，公司不服判决，向法院提起诉讼，原判决认定公司解除合同行为并不违法，是正确的。从公司的角度来看，每天去公司厕所长达3至6个小时，这是很严重的事情啊，即使因为做过手术，可以给予一定的安抚，但这带薪拉屎时间也太长了吧。,0,0,0,陕西,西安,陕西,中国
3,4905234080729448,高坪公安,2023-05-25 10:40:02,#员工每天带薪拉屎3至6小时被解雇#【劳动合同解除(终止)及赔偿一览表，超实用！】你知道吗？解除和终止都有结束的意思，在生活中并不会特意加以区分。可是当这两个词放在劳动法中，却会产生极大的不同。如果你一不小心弄错的话，就会产生不同的法律责任...... （山东高法） ,0,0,0,,南充,四川,中国
