页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905240225385497,苏伯特的莉莉安,2023-05-25 11:04:27,#护心十五集前后不是一个编剧#后面真的很💩 前期把女主师傅和女二渲染的牛得一批 结果都一两分钟就噶了 男二人设从一个人见人爱的cp粉变成绿茶男二真的蛮无语的 高开低走 ,0,0,0,重庆,重庆,重庆,中国
2,4905240225124347,吧唧一口GIDDBAI,2023-05-25 11:04:27,#九鹭非香#    作为一个追过招摇又追护心的人   真想说九鹭非香你可别再当编剧了      护心这后面写的是一个什么乱七八糟的走向     浪费侯 也的用心演绎和宣传      浪费剧组大家的付出      还想说    前15集的编剧@长生少艾您超级棒       是金子早晚都会发光     希望您未来可以多多写出好剧本  越来越好,0,1,0,北京,北京,北京,中国
2,4905240081730595,泗葉里-,2023-05-25 11:03:53,#护心十五集前后不是一个编剧#原来如此，先十几集的编剧真的很强，制片方到底懂不懂好坏啊 ,0,0,0,福建,福州,福建,中国
2,4905233736536222,八酱日常,2023-05-25 10:38:40,原来《护心》前十五集不是九鹭非香编的  #护心十五集前后不是一个编剧##九鹭非香# ,1,25,227,北京,北京,北京,中国
2,4905239876210719,AAA吃喝玩乐包总,2023-05-25 11:03:04,#护心十五集前后不是一个编剧#关于这个我有以下六点要说…… ,0,0,0,中国香港,,香港,中国
2,4905239867561966,2022年备考光年,2023-05-25 11:03:02,#九鹭非香#好的小说作者不代表能成为好编剧，从女主胸口取护心鳞那里就很割裂，虽然目前整体看还是能看进去的，我真的很喜欢女主角雁回的性格，洒脱大气，快快乐乐的！男主角也很好，但是他不该如此取护心鳞，一句话不解释，如果说没时间解释了，那何必说一句“对不起”，最后扶都不扶一下，雁回摔倒的时候感觉能摔出脑震荡虽然后面有尽力在圆在话外音解释带观众走剧情。。但还是和前面正常时期不一样了,0,0,0,山东,青岛,山东,中国
2,4905239834788490,春春卷1H字嘒兮,2023-05-25 11:02:53,#护心十五集前后不是一个编剧# 真的不知不觉中我和我姐没有看后面了 属于是看了预告都不想看的程度 ,0,0,1,北京,北京,北京,中国
2,4905239822730301,Nnmm轩,2023-05-25 11:02:51,#护心十五集前后不是一个编剧#烙铁 炸裂得很    本人被骗的遍体鳞伤 这后几集是看了会吐血的程度 ,0,0,0,湖南,长沙,湖南,中国
2,4905239818535382,好运浪浪鱼er,2023-05-25 11:02:49,顺着这条打开护心前十五集编剧的主页，好心酸啊真的好心酸。在大染缸里摸爬滚打的小编剧，怀揣着梦想却被上位者不断打压。用心交出的作品，奠定了整个作品的好口碑，自己却只能排在署名最末位，还要看着自己的心血不断被践踏被撕碎。共情到这里，我都要一起心碎了💔现在的观众早就领先在行业之前了，大家对好故事是如饥似渴的，被烂片逼得自己从小成本剧里扒拉出好东西来吃。希望内娱的好编剧能有真正的话语权，能有属于自己的完整的编剧作品。希望行业的老资历们能早点知道，现在的观众不是好糊弄的。,0,0,0,辽宁,大连,辽宁,中国
2,4905239755359020,谁又莓咯,2023-05-25 11:02:35,#护心十五集前后不是一个编剧#前十五集为了剧情看，后二十五集为了我们昊也看 ,0,0,3,,,,中国
3,4905230326039568,橄榄不菜,2023-05-25 10:25:07,所以其实并不是九鹭非香突然创亖观众，而是前十五集和后面压根就不是一个编剧……护心前十五集真的值得8分啊 也不是个例了，资方以为观众会喜欢的剧情跟观众实际喜欢的剧情完全不一样，他们真的不懂吗？？ #护心十五集前后不是一个编剧# ,4,19,415,江苏,苏州,江苏,中国
3,4905239741731452,墙头多如米,2023-05-25 11:02:32,#护心十五集前后不是一个编剧#很难评，我没看过原著我对原著作者没有任何想法，但是前面剧情真的还不错，后面真的很割裂，看的时候真的很痛苦，只能说演员们辛苦了 ,0,0,0,北京,北京,北京,中国
3,4905239683794634,芋圆皮皮,2023-05-25 11:02:18,#护心十五集前后不是一个编剧#  没开玩笑 和颂赶紧邀请这姐@长生少艾 当编剧 马上安排二搭现代剧 ,0,1,2,江苏,无锡,江苏,中国
3,4905233857644472,叫我姨太好了,2023-05-25 10:39:09,原来《护心》的前十五集编剧不是九鹭非香 但是之前九鹭非香还发微博认领过… ,2,11,77,河北,石家庄,河北,中国
3,4905239659152545,不想让你变成我的回忆,2023-05-25 11:02:12,#护心# 前15集是这位编剧写的！果然不一样！,0,0,0,四川,乐山,四川,中国
3,4905239650240938,有限废话,2023-05-25 11:02:10,#护心十五集前后不是一个编剧# 很明显画风不一样，15集往后人设变化，狗血聚集地 ,0,0,0,山东,泰安,山东,中国
3,4905228363369188,晨Cheng1004,2023-05-25 10:17:19,#护心前15集不是九鹭非香写的#看到有人会说这位编剧出来揽功埋剧的，咋的非要道德绑架做好事不留名是吧，怪不得内娱越来越烂，真正写好的不仅没有话语权，还不让人出来发声，这样好编剧只会被埋没，烂编剧越来越猖狂。 ,0,3,101,江苏,南通,江苏,中国
3,4905239620616743,清漪白露,2023-05-25 11:02:02,#护心十五集前后不是一个编剧#九姐还有制片方，我真的恨！你们知不知道我们剧粉都是被前15集永州城的剧情吸引进来看的，天知道我看到永州城剧情有多惊喜，真的觉得护心真正做到了“仙侠”而不是“仙偶”，梦回看仙剑三的时候。原本按照前15集的水准一直保持下去，我敢打包票护心绝对会小爆，周也侯明昊的事业也能更上一层楼。没有金刚钻别揽瓷器活，你在16集亲手创飞了我，我现在真的就是为了这两人的脸看下去。你对得起这两张脸吗！！,0,0,2,广东,广州,广东,中国
3,4905239616948821,NoMatchingDocumentsFound,2023-05-25 11:02:02,#护心十五集前后不是一个编剧#笑死 九转大肠的粉还攻击别人 真好笑 你猜为什么护心豆瓣开分能7.5 不会是因为现在的剧情吧 给前十几集的编剧好好磕头吧 ,0,0,0,陕西,西安,陕西,中国
3,4905239612755880,VinonaRosiy,2023-05-25 11:02:01,#护心十五集前后不是一个编剧#这个编剧姐姐是不是卿卿日常的编剧之一？九鹭非香我真的恨死你了 ,0,0,0,荷兰,,荷兰,荷兰
4,4905239603316127,热剧匣子,2023-05-25 11:01:59,#护心编剧被区别对待#原来护心有四个编剧 前十五集的编剧也太惨了 ,0,0,0,,郑州,河南,中国
4,4905233413832999,深总的琉璃苣,2023-05-25 10:37:22,#护心十五集前后不是一个编剧# 原来如此，我说呢，怎么前面是护心，后面就变扎心之绿茶晓生传了，原来不是一个编剧啊。九鹭非香你羞不羞啊，别人比你更懂你的小说 ,0,4,21,四川,自贡,四川,中国
4,4905239553246590,-不是下下签-,2023-05-25 11:01:47,#护心十五集前后不是一个编剧#哦，原来如此，原来这都不叫剧情割裂，是她@九鹭非香 本来就烂啊，前面根本和她没关系，十六集开始才是她真实水平，业内可以避雷她吗？劣币驱逐良币。同时有理由合理怀疑小侯只看到了前面最多十五集的剧本，不然为什么从十六集他都不主打一个陪伴了，还被人说表情像便秘一样，没错，因为他不理解，如同很多剧粉看剧也是如此便秘的表情昨晚上小侯又上线陪伴了，大概因为剧情顺了🤏了，心疼渡劫的主演。现在谁再说不是编剧的问题只能说明你真的很爱如今的剧情和编剧吧，主线也不走，好几集了都不知道要干嘛，弦歌和凤公子在青丘呢吧，人呢？,0,0,3,四川,德阳,四川,中国
4,4905223569015694,吃瓜冲浪日记,2023-05-25 09:58:16,所以说护心后面剧情突然割裂是有原因的，备受好评的前15集是别的编剧写的，大家真没冤枉九鹭非香。#九鹭非香# ,18,38,855,河南,济源,河南,中国
4,4905239541449584,玖柒不是染,2023-05-25 11:01:44,#护心十五集前后不是一个编剧#从龙谷开始后就让我有一种割裂的感觉，加了一些奇怪的没必要的剧情，本来以为只是男女主感情的催化，但这是想创死我啊这俩集有些台词真的令人无语啊 ,0,0,1,上海,上海,上海,中国
4,4905192200078617,远在远远远,2023-05-25 07:53:37,#护心编剧# 我的朋友刘宝琛是#护心# 永州城之前的主笔编剧（交付了初稿完整的大纲分集和前十五集剧本），署名在护心片尾四个编剧之末。@长生少艾 因为这个位置大家基本都看不到，所以我拉出片尾截图将我这位朋友介绍给大家。她是中国传媒大学硕士毕业，多年影视剧从业经历，参与过很多影视剧的创作。为人低调谦和，这些年也跟我的许多挚友一样，心怀赤诚，却在这条不好走的路上一路筚路蓝缕，跌跌撞撞，不愿以他人的荣耀充填自己的虚名，只能一遍又一遍质疑自己的笔杆是否足够硬实，常年在自我怀疑和自我否定中度过。我想大声告诉她，她很棒。我也希望觉得她很棒的人都能直接告诉她，她很棒。也希望那些有合适项目的资方制片人，（如果你想要找到一个认真负责，低调踏实，能力足以扛鼎一个好项目的编剧，且愿意把她的名字署在片头，不搞区别对待的话）能够借由这条微博找到她。我亲爱的朋友，希望你之后的事业顺利，每一天都开心。,2345,1352,24987,河南,洛阳,河南,中国
4,4905239499505865,暖暖的糯糯,2023-05-25 11:01:33,#护心十五集前后不是一个编剧#男女主演技在线，颜值绝配。活泼灵动。少年少女侠义江湖，闯关破阵。欢迎大家来看看护心#护心# ,0,0,0,天津,天津,天津,中国
4,4905239482466497,Rachel桜,2023-05-25 11:01:29,#护心十五集前后不是一个编剧# 为了天曜可以继续看…难得看到个喜欢的仙侠剧男主 ,0,1,0,浙江,衢州,浙江,中国
5,4905218788034926,季节限定sally,2023-05-25 09:39:16,九鹭非香我还愿意给她一点信任，纯粹是因为我是因为护心这本小说原著粉才来看这部电视剧的所以我一定会看完护心，我要看看老九什么时候才觉醒，真的没道理，护心小说很好看诶？前十五集的编剧说的对（如图），现在观众不像以前好敷衍给什么都吃了，前十五集写得好能自来水到处夸封神，但写得烂也会很轻松感知到的 老九我求你保留打斗戏的结印口诀，就这一个念想 #护心十五集前后不是一个编剧#,8,78,996,江苏,泰州,江苏,中国
5,4905239406186724,给樱桃以温伈,2023-05-25 11:01:12,#护心十五集前后不是一个编剧# 果然，以后有她编剧的绝对不看，与凤行我那么喜欢那么期待，现在除非结局观望一下，不然不看 ,0,0,0,河北,邯郸,河北,中国
5,4905239389406701,焦糖甜咖啡,2023-05-25 11:01:08,#护心十五集前后不是一个编剧#追完前面14集，还给同事安利了，结果晚上看到大家对后续剧情疯狂吐槽，直到现在自己也没敢往下看 ,0,1,0,江苏,南京,江苏,中国
5,4905239377873078,众多墙头的活粉之一,2023-05-25 11:01:05,#护心十五集前后不是一个编剧#真烦，护心天天被倒油，正面热搜没几个，负面热搜一堆。编剧内部事情能不能剧播完再讨论啊，这样多劝退观众啊！心疼侯明昊和周也两个演员。#侯明昊护心# [八重神子][宵宫]#周也护心# ,0,0,1,江苏,常州,江苏,中国
