页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905271404528934,李苦舟,2023-05-25 13:08:21,#专家建议新冠二阳不要带病上班#  没用。 “清零”的时候感染了不上班是允许的，现在“和病毒共存”了，感染了不上班谁发工资？自己的工作谁做？同事不会抱怨？所以，很多人的想法必然是“要感染都感染算了”。 ,2,7,33,河南,安阳,河南,中国
2,4905320277349860,七八玖拾零零,2023-05-25 16:22:33,#专家建议新冠二阳不要带病上班# 建议专家发给钟帼CDC啊！发给全帼各单位的大领导和小领导啊……发给全帼大老板和小老板啊……重点要发给做饮食那些厨师和老板啊，病了不休息不关门还不带口罩一边咳嗽一边把咳嗽出来的口水咳到食物里…… ,0,0,1,广西,梧州,广西,中国
2,4905320255591437,太阳是我啃圆地,2023-05-25 16:22:28,#专家建议新冠二阳不要带病上班#又出来口嗨，能上班阳了也要上，不能上5倍工资也上不了，就别出来找骂了，大家要挣钱配合你的建议买药，要不买药钱哪里来，你的别墅豪车哪里来。 ,0,0,2,山西,大同,山西,中国
2,4905320126617544,陆公瑾大人,2023-05-25 16:21:57,#专家建议新冠二阳不要带病上班#哪个专家，好想认识一下，这么体贴 ,0,0,1,北京,北京,北京,中国
2,4905320092537647,念念的远方,2023-05-25 16:21:49,#专家建议新冠二阳不要带病上班#说的什么屁话，能休息谁想上岗？ ,0,0,1,河南,郑州,河南,中国
2,4905319999996354,我是一片云1818,2023-05-25 16:21:27,#专家建议新冠二阳不要带病上班#那上班有意传染别人的有人管吗？呵呵 ,0,0,0,江苏,常州,江苏,中国
2,4905319992660013,做你的春秋白日梦吧,2023-05-25 16:21:25,#专家建议新冠二阳不要带病上班#好的，请专家直接向劳动保障部门建议，制定相关文件并下发各单位，谢谢。 ,0,0,1,上海,上海,上海,中国
2,4905319949668523,jin412486581_454,2023-05-25 16:21:15,#专家建议新冠二阳不要带病上班#我跟我老公老公本周日都是第一次阳，我请了三天病假还有60%工资，今天好点了就上班了。我老公休息就一分钱没有。不上班专家给我钱家里开销吗两个人在家喝西北风吗？  （上班我一个人一间办公室，全程N95，中午到点回家吃饭，上班还点了两次艾条熏屋子） ,0,0,1,江苏,无锡,江苏,中国
2,4905319949665931,伊琳Ealing,2023-05-25 16:21:15,#专家建议新冠二阳不要带病上班#这个建议很好，下次别建议了！ ,0,0,0,上海,上海,上海,中国
2,4905319782940831,说给国货,2023-05-25 16:20:34,#专家建议新冠二阳不要带病上班# 建议专家不要乱建议。只要不是强制执行企业就不会主动执行……不利于企业效益的事情哪个企业会主动做。怎么现在专家随便说两句不靠谱的话都能上热搜了！ ,0,0,5,湖南,长沙,湖南,中国
