页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905317627069833,竹暄小笼包,2023-05-25 16:12:01,#四川会理发生重大刑事案件#  谢谢，四川两个恶性时间热搜在榜，本四川打工人也觉得很抑郁都怕自己忍不住也有暴力倾向中 ,0,0,1,四川,,四川,中国
2,4905317202660757,剧综鸭鸭,2023-05-25 16:10:20,#四川会理发生重大刑事案件#有人能说一下发生什么重大事件了吗 ,0,0,1,山东,济南,山东,中国
2,4905316581379410,若红颜就成,2023-05-25 16:07:52,#四川会理发生重大刑事案件#四川会理发💇人人都是理发师吗 ,0,0,3,福建,厦门,福建,中国
2,4905315080865364,六月猫的姐姐,2023-05-25 16:01:54,#四川会理发生重大刑事案件#到底是什么案子啊，对其他人有危害不？ ,0,0,3,湖南,张家界,湖南,中国
2,4905314972078206,恋枫居士,2023-05-25 16:01:28,#四川会理发生重大刑事案件# 在这种话题下拼命喊社会治安好比什么国家好的都是些什么51号元素？ ,0,1,2,广东,揭阳,广东,中国
2,4905314111198108,花容不可失色,2023-05-25 15:58:03,#四川会理发生重大刑事案件##能开得起大女主古偶的女演员# 这两个话题放在一起看就很可笑，粉圈总觉得流量有热度，跟社会事件完全没得比好吗？关键是阅读量一亿的还没娱乐圈热搜靠前，真是花了大价钱啊 ,0,1,16,辽宁,朝阳,辽宁,中国
2,4905286013815452,李英俊律师,2023-05-25 14:06:24,#四川会理发生重大刑事案件#与往年相比，全国范围内，今年重大刑事案件的发案量有没有增加？,3,51,518,四川,成都,四川,中国
2,4905307774655611,李诺言,2023-05-25 15:32:52,#四川会理发生重大刑事案件#有三个疑问：一是这个“重大刑事案件”有多重大？二是既然是“重大刑事案件”，这个奖励是不是少了点？三是这个“重大刑事案件”的“重大嫌疑人”会不会有重大的危险性？老百姓去抓获他时要不要重大的注意安全！ ,0,0,15,四川,成都,四川,中国
2,4905313579305927,Naive狂战士z总,2023-05-25 15:55:56,#四川会理发生重大刑事案件#@Abbreviation_ 看，你又没妈了1450 ,0,0,1,广东,广州,广东,中国
2,4905313494368712,游资饶不凡,2023-05-25 15:55:35,#四川会理发生重大刑事案件#犯了什么罪也不说，就让人去抓人 ,0,2,9,上海,上海,上海,中国
3,4905282884341783,白金属史莱姆王,2023-05-25 13:53:58,#四川会理发生重大刑事案件#这是炒股亏了三年还是工作丢了？他怎么不卖掉多余的房子或者用闲置的汽车去跑滴滴呢？太急了，看不见一切向好？ ,0,1,31,安徽,合肥,安徽,中国
3,4905312941774225,钻石男高耀强顶,2023-05-25 15:53:24,#四川会理发生重大刑事案件#所以是什么案件？ ,0,0,0,福建,漳州,福建,中国
3,4905047609311697,新浪热点,2023-05-24 22:19:03,#四川一地警方悬赏缉拿42岁在逃嫌疑人#【#四川会理发生一起重大刑案#：42岁嫌疑人潜逃，警方悬赏缉拿】　5月24日，四川省凉山州会理市公安局发布悬赏公告称，5月23日，会理市发生一起重大刑事案件。顾廷华（男，42岁，身份证号：51342519800808181X，户籍地：四川省会理市彰冠镇万红村12组34号）有重大嫌疑。该人身高约1.7米，短发，中等身材，会理口音，作案后潜逃，潜逃时驾驶一辆红色无牌摩托车。　警方希望广大群众提供线索，举报、动员、规劝在逃人员投案自首。对抓获犯罪嫌疑人提供有价值线索，经查证属实的，对举报人予以奖励五千至一万元人民币，对直接抓获的奖励两万元人民币，并对举报人严格保密。同时，对窝藏、包庇、资助在逃人员的将依法追究刑事责任。举报电话：李警官：18981552601杨警官：18981552686（成都商报）,7,22,42,,,,
3,4905312866537414,叫我袁夫人luna,2023-05-25 15:53:06,#四川会理发生重大刑事案件# 转了一大圈，都没发现是什么案子 ,0,0,8,日本,,日本,日本
3,4905312400969213,意早归,2023-05-25 15:51:15,#四川会理发生重大刑事案件#我还以为是个什么组织，搞半天是个地名 ,0,0,0,湖北,鄂州,湖北,中国
3,4905312227954534,DingSuNu兔兔,2023-05-25 15:50:34,#四川会理发生重大刑事案件# 不知道发生什么重大行事案？？希望尽快找到嫌疑犯！大家要注意安全！保护好自己。 ,0,2,8,中国台湾,云林县,台湾,中国
3,4905272546170430,疯狂的幽灵1314,2023-05-25 13:12:53,#四川会理发生重大刑事案件#这通报没说清楚是什么事就敢怂恿人民去抓人，万一出事情怎么办 ,0,18,185,广西,南宁,广西,中国
3,4905311288694667,青竹视频,2023-05-25 15:46:50,#四川会理发生重大刑事案件#中国地大物博人口众多，单看网络，不是今天这发生打架斗殴，就是后天发生刑事案件。但是扪心自问，现实中的我们一年能遇到几次这样的事情，还不是因为网络拉近了各地方信息传播的距离，猛的一看感觉这种事件多了，其实不然。你看看老美和中东一些国家，不是打仗就是枪击，咱们国家不说已经做到夜不闭户吧，起码在大晚上可以随意出行。一些醉汉夜宿街头时，也不见丢任何东西，而且基本被路人报警后拉医院睡觉去了。满满的安全感啊！很反感有些人，一边享受着安全无忧的生活环境，一边拿着放大镜诋毁咱们的治安环境，这些人有些是说话不经大脑，有些人是唯恐天下不乱歪曲事实。网络上看到的刑事案件多，你怎么认为？  网页链接,0,1,36,,许昌,河南,中国
3,4905311074520469,温柔的夜11,2023-05-25 15:45:59,#四川会理发生重大刑事案件#什么情况😳希望早日抓到嫌犯，就知道是什么事情了。 ,0,2,5,江西,南昌,江西,中国
4,4905310227007162,斗城半夏,2023-05-25 15:42:37,#四川会理发生重大刑事案件#看到此人请立刻报警！ ,0,0,2,四川,遂宁,四川,中国
4,4905310182181408,小为XW,2023-05-25 15:42:26,#四川会理发生重大刑事案件#四川会理发生重大刑案，警方悬赏 2 万缉拿嫌犯：42岁男子顾廷华有重大嫌疑，作案后驾红色无牌摩托车潜逃 小为XW的微博视频 ,0,0,1,广东,佛山,广东,中国
4,4905310073128286,十四猫201508,2023-05-25 15:42:00,#四川会理发生重大刑事案件#什么叫“望大家提供线索”，都有嫌疑犯脸和信息了，难道用科技不是应该更好抓吗。  或者还是发出来让群众看到此嫌疑犯远离，毕竟是危险人物。 ,0,2,1,云南,昆明,云南,中国
4,4905267840159357,苏打气泡柠檬茶,2023-05-25 12:54:11,"四川会理的小伙伴过来说一下到底发生了什么重大案件,看了一圈都没看见明白啥事  #四川会理发生重大刑事案件# ",6,89,467,江苏,南京,江苏,中国
4,4905309715302742,曲辰·恩恩,2023-05-25 15:40:35,#四川会理发生重大刑事案件#有多重大，有这么重大 ,0,0,5,山东,青岛,山东,中国
4,4905309690134637,随县检察,2023-05-25 15:40:28,#会理警方悬赏缉拿重大刑案嫌疑人#【四川会理发生一起重大刑案：嫌疑人潜逃，警方悬赏缉拿】5月24日，四川省凉山州会理市公安局发布悬赏通告：5月23日，会理市发生一起重大刑事案件。嫌疑人作案后潜逃，潜逃时驾驶一辆红色无牌摩托车。网页链接 澎湃新闻的微博视频  澎湃新闻的微博视频 ,0,0,1,,随州,湖北,中国
4,4905309657895101,米泥萨,2023-05-25 15:40:21,#四川会理发生重大刑事案件#没想到会理上热搜是因为这样的事。 ,0,0,2,四川,凉山,四川,中国
