页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905321409282275,作别于维夏,2023-05-25 16:27:02,#护心编剧回应# 我先去看看回应的内容再说吧 ,0,0,0,上海,上海,上海,中国
2,4905321380710137,-刑法车润梅,2023-05-25 16:26:56,#护心编剧回应#别的剧剧情不正常三观不正：演员粉丝撕来撕去 护心剧情不正常：编剧们轮番上阵，发律师函 ,0,0,1,江苏,苏州,江苏,中国
2,4905321363934114,月笑天狼,2023-05-25 16:26:52,#护心编剧回应#别搞那么多，最新的剧情又好看了，就等着最新一集了，👖该加更了 ,0,0,0,河南,安阳,河南,中国
2,4905321355546770,妥妥很委屈,2023-05-25 16:26:50,#护心编剧回应##护心# 额，不知道的还以为我们护心是绝世大爆剧呢，编剧上热搜次数比一些演员还多，结果一看热度还没破万。真是麻了，人男女主没得罪你们任何人，又是直播又是合体宣传的，你们几位神人编剧不宣传剧还跑热搜上倒油，真麻了 ,0,0,0,江西,宜春,江西,中国
2,4905321346110890,_Mackenyu,2023-05-25 16:26:48,#护心编剧回应#虽然很感慨内娱编剧还能发声，毕竟这个大环境之下几乎看不到精彩的原创剧本，影视团队对于编剧的重视程度到底还是不够，国产剧多数制作班底精良，但是剧本空空，所以一直不被看好。而如今当打磨的剧本不被观众看好，所想所思不是吸取教训积累经验而是撕头花，幕后工作的评价更是雪上加霜 ,0,0,1,江西,宜春,江西,中国
2,4905321308357773,无奢不欢2016,2023-05-25 16:26:39,#护心编剧回应#十五集以后的剧情，我说下自己的看法，不喜勿喷，谢谢！我个人认为换命咒是为了给后面天曜替雁回死做铺垫！雁回不可能让天曜替她死，所以捅刀子这里不但不能解释，天曜还要让雁回恨透自己，这样雁回就不会在自己死后替自己报仇，才能平安活下去。天曜知道自己百分百打不过素影的，只能这么做，可没想到素影只剩一成功力，自己全身而退！这段我觉得写的很好，天曜的爱就是这样默默付出的，符合天曜人设，就像雁回的爱是热烈的一样！说明一下我也不喜欢这样的编剧这样的设定！,0,0,0,河北,沧州,河北,中国
2,4905315374733919,闲赋五月,2023-05-25 16:03:04,#护心编剧回应# 好的部分你们抢着认领，烂的部分都是共同创作的都不愿意承认hhhhh。 ,0,0,22,四川,自贡,四川,中国
2,4905321204552172,紫霞微梦想,2023-05-25 16:26:14,#护心编剧回应#编剧都回应了，拒绝造谣，好好追剧 ,0,0,0,山西,,山西,中国
2,4905321179386043,要喝草莓奶冻吗,2023-05-25 16:26:08,#护心编剧回应#编剧团队怎么这么戏多，剧情写的不好观众不骂你们骂谁？平等的骂每一个署了名的编剧第一次见男女主两家没吵架反倒是编剧团队开始吵架的！你们对得起男女主吗？我们昊也的命也是命！剧情烂，侯明昊周也直播解释。卡剧情，周也侯明昊扫楼宣传。周也微博实时宣传发动态，侯明昊大半夜收工凌晨两点陪着追剧解答疑惑。编剧团队扯什么头花？想出道了？,0,0,0,山西,太原,山西,中国
2,4905321169947854,春情不摇晃,2023-05-25 16:26:06,#护心编剧回应# 下班回家继续看护心了！快乐 ,0,0,0,上海,上海,上海,中国
3,4905313629115568,-小芽快跑,2023-05-25 15:56:08,#护心编剧回应# 播前信誓旦旦说“不落入俗套”，然后开始为虐而虐追妻火葬场，这种烂俗套路用了也就算了，关键是！连追妻这段都嗯是演出了小团体80的膈应感，这怎么没人认领啊喂 ,0,0,15,河南,开封,河南,中国
3,4905321120661949,快退出熬夜大军,2023-05-25 16:25:54,#护心编剧回应#这一天天的真的会让本护心自来水以为护心已经是大爆剧了，无语… ,0,0,0,云南,昆明,云南,中国
3,4905321095499469,豆豆包豆包,2023-05-25 16:25:48,#护心编剧回应##九鹭非香# 有没有人记得护心的主演是侯明昊和周也 ,1,1,0,河南,洛阳,河南,中国
3,4905316251077034,那边趴在树上的那个,2023-05-25 16:06:33,#护心编剧回应# @九鹭非香 @彭蕴睿pyr @Loreley_K @六酷村妇  你们每个人都有那么多委屈 说 这段谁写的 ,1,6,60,上海,上海,上海,中国
3,4905321066402388,FranRye,2023-05-25 16:25:41,告诉我16--20集是谁写的哇#护心编剧回应# //@蒜球_:都在认领前15集，16-20合着是chatgpt写的和颂这时候出来官宣二搭就是最好的公关,0,0,2,北京,北京,北京,中国
3,4905321061155272,双标针灸带师阳刚男宝给我滚嗷,2023-05-25 16:25:39,#护心编剧回应# 说实话这个编剧以及她自认“正义”的朋友属实了。就算真是你改编的，这不也是在原作者小说上改编的吗？除非你独立编剧，那你出来冷嘲热讽无所谓，拾人牙慧还要踩人一脚真的挺…… ,0,0,1,江苏,无锡,江苏,中国
3,4905321057747426,WakameCheese,2023-05-25 16:25:38,#护心编剧回应#主演的命也是命，剧粉的命也是命，cpf的命也是命。你们编剧要打你们出去打，别带护心🙏 ,0,0,0,河北,唐山,河北,中国
3,4905316863705498,死亡碳基元素,2023-05-25 16:08:58,#护心编剧回应#护心唯一一番大女主——九鹭非香两演员真挺惨的，兢兢业业宣传剧，也从不作妖，没有两主演很多人早弃剧了，头一次见到编剧戏比主演多的 ,0,1,27,北京,北京,北京,中国
