页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905311716773349,wendy0207,2023-05-25 15:48:32,#能开得起大女主古偶的女演员# 不管刘诗诗断档多少年，一出来还是头部艺人， 一姐不愧是是一姐 ,1,18,84,浙江,宁波,浙江,中国
2,4905310285991879,远于林下见春山,2023-05-25 15:42:51,#能开得起大女主古偶的女演员#  好剧本与好演员都是相辅相成的，一部剧可以让演员火起来，一个演员也可以决定一部剧的未来。赵丽颖一步一个脚印从配角走到大女主，绝不是仅仅凭借运气，更多的是对自己有清醒的认知，还有旁人无法想象的努力。她的事业成长就是一部绝好的大女主剧！ ,0,0,28,山东,青岛,山东,中国
2,4905305874368549,银铃儿cici,2023-05-25 15:25:19,#能开得起大女主古偶的女演员# 只知道2017年至今 云合百亿俱乐部里 12部剧中杨紫主演的就占了3部 其中一番剧就两部，杨紫既是古偶的神 也是现偶的神。 ,1,2,75,广东,,广东,中国
2,4905288958219333,Renmutou,2023-05-25 14:18:06,#能开得起大女主古偶的女演员# 刘诗诗最近两部古偶单抗S+，是真的牛哇 《一念关山》原本S级，刘诗诗加入后升S+ 《狐妖小红娘竹业篇》双平台S+头部项目，刘诗诗一人单抗招商，这就是天选古人的底气 ,0,1,41,河北,沧州,河北,中国
2,4905320189791915,冉冉颖火,2023-05-25 16:22:12,#能开得起大女主古偶的女演员# 演技加持，作品傍身，行走的剧名，大写的实力，不断突破自我，拓展更广阔的影响力 陆贞传奇杉杉来了花千骨胭脂楚乔传幸福到万家风吹半夏，做“大女主”的剧粉真爽 ,0,0,16,新疆,和田地区,新疆,中国
2,4905320167506252,娱儿哈,2023-05-25 16:22:06,#能开得起大女主古偶的女演员# 不得不承认。👍 论代表作，论爆剧，谁与争锋？杨幂爆剧女王，票房女神，时尚女王，代言女王，杨幂爆剧最多女演员杨幂，85后女演员一番收视和电影票房都是top1🏆 你说85后里还有谁有这样的实绩？ ,0,0,5,江苏,苏州,江苏,中国
2,4905320067633740,只能在后面默默支持你,2023-05-25 16:21:43,#能开得起大女主古偶的女演员# 赵丽颖不限题材，行走的剧名。 《陆贞传奇》的陆贞、《花千骨》的花千骨、《杉杉来了》的杉杉、《胭脂》的胭脂、《楚乔传》的楚乔、《明兰传》（《知否》）的盛明兰、《有翡》的周翡、《幸福到万家》的何幸福、《风吹半夏》的许半夏…… 未完待续 ,0,0,18,北京,北京,北京,中国
2,4905319450283975,蓝蓝蓝蓝蓝蓝被占用了啊,2023-05-25 16:19:16,#能开得起大女主古偶的女演员#为什么大美女赵丽颖又要配林更新，我想看赵丽颖与凤行但是真的不想看林更新这么丑的男主 ,0,2,5,上海,上海,上海,中国
2,4905319341229075,fret思考156,2023-05-25 16:18:50,#能开得起大女主古偶的女演员# 杨幂不算吧，她从来没火过，一直是十八线小演员 ,0,2,0,湖南,株洲,湖南,中国
2,4905319229033001,喜塔腊尔-静Vicky,2023-05-25 16:18:23,#能开得起大女主古偶的女演员# 什么？你也知道纪云禾是s＋古偶大女主@Dear-迪丽热巴 ,0,3,14,江苏,镇江,江苏,中国
3,4905315814867042,一起去看夕阳和极光,2023-05-25 16:04:48,#能开得起大女主古偶的女演员#刘亦菲，赵丽颖，迪丽热巴，古偶必须纯天然的真美女来演，你看哪个古代人动脸了 ,0,0,47,辽宁,锦州,辽宁,中国
3,4905313503286065,妖魅,2023-05-25 15:55:38,#能开得起大女主古偶的女演员#只想到杨幂刘诗诗赵丽颖刘亦菲杨紫这五位，还有犯事白月光冰冰 ,0,0,23,浙江,湖州,浙江,中国
