页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905308881685163,来一口粥粥丸子,2023-05-25 15:37:16,#Angelababy素颜睡衣# 说这不是素颜的你眼睛可以捐了承认ab素颜照样能打很难吗？之前节目又不是没露过素颜的样子，大美女可不需要搞什么素颜妆来欺骗观众，你们文字散发🍋味道的样子尊滴很搞笑 ,0,1,54,云南,昆明,云南,中国
2,4905319824625620,狗子牛奶,2023-05-25 16:20:45,#Angelababy素颜睡衣# 很美啊怎么你们了 ,0,2,8,黑龙江,佳木斯,黑龙江,中国
2,4905306817564347,矫情预备役,2023-05-25 15:29:04,#Angelababy素颜睡衣#难怪黄教主想把她甩了。原来在家没一点形象。 ,0,18,72,广东,东莞,广东,中国
2,4905309837203206,西红柿面鸡蛋,2023-05-25 15:41:04,#Angelababy素颜睡衣#你可以质疑baby的演技，但不能质疑她的颜值。 ,0,0,19,陕西,榆林,陕西,中国
2,4905242032079951,追星少女卓小宴,2023-05-25 11:11:38,#angelababy奔跑吧素颜##杨颖奔跑吧素颜路透#杨颖好牛的一张脸！奔跑吧穿睡衣素颜路透，长得好省化妆品！ 追星少女卓小宴的微博视频 ,124,123,194,山西,太原,山西,中国
2,4905319622252096,捌肆叁零,2023-05-25 16:19:57,#Angelababy素颜睡衣#现在又不叫杨颖了？ ,0,0,2,河北,张家口,河北,中国
2,4905319563790587,protectbelieve,2023-05-25 16:19:43,#Angelababy素颜睡衣#为什么明星不长痘 ,0,0,1,浙江,杭州,浙江,中国
2,4905319182635032,DEVIL26865,2023-05-25 16:18:12,#Angelababy素颜睡衣#什么？？？你也知道我姐明天官宣Charlotte Tilbury全球护肤及彩妆代言人 ,0,0,12,湖南,湘西,湖南,中国
2,4905318389125047,八卦名探,2023-05-25 16:15:03,#Angelababy素颜睡衣# Angelababy杨颖和白鹿在节目中素颜+睡衣出镜，你们觉得谁状态更好一些！值得一提的是之前张小寒曾说认不出素颜的白鹿，意指白鹿素颜和化妆差距大。 ,32,33,2084,天津,天津,天津,中国
2,4905318222140281,醋伴香菜,2023-05-25 16:14:23,#Angelababy素颜睡衣#说实话，baby真的好看 ,0,0,3,河南,,河南,中国
3,4905318168136335,拾酒同学,2023-05-25 16:14:10,奔跑吧#angelababy素颜睡衣# 忽然知道baby早上为啥不洗头了哈哈哈这是个明智的选择 ,0,1,26,安徽,合肥,安徽,中国
3,4905317978866537,白白也要努力呀,2023-05-25 16:13:25,#Angelababy素颜睡衣#梦回第一季啊，哭死 ,0,0,5,辽宁,大连,辽宁,中国
3,4905267332908881,帽子被偷啦,2023-05-25 12:52:10,#Angelababy素颜睡衣# 这黑不了，颜值这块她还真没崩过吧…… ,0,2,130,甘肃,陇南,甘肃,中国
3,4905317844914950,饭真多恰饭了,2023-05-25 16:12:53,#Angelababy素颜睡衣#我滴妈我怎么在yxh那看见某家粉说秒了的 怎么敢的啊 镜子这个东西不贵 眼珠子也都长着 怎么敢说秒了这种话 ,0,0,7,陕西,延安,陕西,中国
3,4905317810836597,_早餐时间,2023-05-25 16:12:45,#Angelababy素颜睡衣#有着顶级美貌（我给baby封的 别管）就是可以为所欲为 头也不洗衣服也乱糟糟的，但就是很美啊啊啊啊啊啊啊 ,0,0,5,湖南,娄底,湖南,中国
3,4905317484463679,易小星文案馆,2023-05-25 16:11:27,#Angelababy素颜睡衣#@玉锵与璆鸣：哪里普了，在男士当中可是佼佼者#白鹿# ,0,0,16,广东,广州,广东,中国
3,4905317462967725,0烦恼美女,2023-05-25 16:11:22,#Angelababy素颜睡衣#姐这张脸再打二十年都没问题 ,0,0,3,重庆,重庆,重庆,中国
3,4905271597991336,职业观众孙楚楚,2023-05-25 13:09:07,#Angelababy素颜睡衣# 我天，她头都不洗再说一句 get不到angelababy美貌的人真的没品 ,184,183,243,山西,忻州,山西,中国
3,4905317051140753,修梓祁7777777-,2023-05-25 16:09:44,#Angelababy素颜睡衣# 她每次的造型都会惊到我… 每次都好好看 有几次造型不行全靠鼻姐脸撑着… 就像女蜗捏出来的脸一样 ,0,0,11,上海,上海,上海,中国
3,4905308760311216,评点全球,2023-05-25 15:36:47,#angelababy素颜睡衣# 这个字母，不就是小短腿黄晓明他前妻吗？黄脸婆了天天自己个儿当小姑娘炒…… ,1,3,32,广东,深圳,广东,中国
4,4905291193780933,池中鱼的花园,2023-05-25 14:26:59,#Angelababy素颜睡衣#这年头男人都开始跟女人比美比精致了 ,0,5,87,江苏,南京,江苏,中国
4,4905280452430412,剧综少女小丸子,2023-05-25 13:44:18,#Angelababy素颜睡衣#  因为跑男喜欢上baby了，每次看跑男的时候，总是会下意识的希望baby在的那队赢，谁懂啊 剧综少女小丸子的微博视频 ,213,209,278,江苏,淮安,江苏,中国
4,4905316167189253,丨东篱下丨,2023-05-25 16:06:13,#Angelababy素颜睡衣#本来不看好这姐，但是现在看来，85花就这姐最松弛最自在最有路人缘了，那几个就比较有意思，一个油腻了，一个成端妃了，还有一个疯狂拍戏，已经超越这个赛道，就AB还算潇洒。 ,0,0,17,四川,成都,四川,中国
4,4905280330271495,绯色失控,2023-05-25 13:43:49,你鼻姐素颜穿睡衣都能美得当壁纸的程度  笑起来好可爱  #Angelababy素颜睡衣# ,0,3,15,河南,,河南,中国
4,4905314690009552,妹力翻倍,2023-05-25 16:00:21,#Angelababy素颜睡衣#只想说各花入各眼 有些人不用急着发辣菜通稿 踩我姐的美貌往上爬 把我姐架起来当工具人 毕竟美是客观的 喜爱是主观的 ,0,1,19,吉林,辽源,吉林,中国
4,4905315693236077,快乐溜啦溜啦,2023-05-25 16:04:20,#Angelababy素颜睡衣#   别的不说，baby的颜我服的五体投地 ,0,0,15,江西,,江西,中国
4,4905315029746727,常酱逃跑成功了吗,2023-05-25 16:01:42,投稿 Angelababy 可爱风睡衣 #Angelababy素颜睡衣# ,0,6,17,北京,北京,北京,中国
4,4905314962381961,往疯的嗨皮,2023-05-25 16:01:26,#Angelababy素颜睡衣#baby好好看，某人热搜竟然说能秒了baby我真的笑了，baby美貌真的没法比的，这个姐姐是真的美，尤其早些年看她的美图 ,0,1,36,山东,济南,山东,中国
4,4905314841268069,我的老婆在二次元,2023-05-25 16:00:57,黄晓明和杨颖有多放得开？看到他们的结婚照后  #Angelababy素颜睡衣# 我的老婆在二次元的微博视频 ,0,0,1,天津,天津,天津,中国
4,4905314812168506,那一沫真挚的爱情寄情于心,2023-05-25 16:00:50,#angelababy素颜睡衣#  @angelababy 状态不错 #一沫真挚的情话# ,0,0,4,河南,三门峡,河南,中国
5,4905314762100884,記颖女士,2023-05-25 16:00:38,#Angelababy素颜睡衣#说ab素颜黑的怕是不知道ab早期美黑了吧，跑男第一季那时候就是美黑后的皮肤自然黑啊，之后又白回来了有什么问题吗？一堆人就抓着ab不放了都善良点好吗，人家注重护肤的不管多大年龄皮肤都不会差，反倒一堆人一直说人家伪素颜还是看看自己的脸有多大吧一群人都什么心态啊生活这么不如意总要来网上找存在感,0,0,21,河南,安阳,河南,中国
5,4905314610318069,夏予荷,2023-05-25 16:00:02,angelababy素颜 穿睡衣一点也不影响颜值，白鹿磨皮有点严重了！ ,0,0,0,广东,汕尾,广东,中国
5,4905314287618147,金校园,2023-05-25 15:58:45,#Angelababy素颜睡衣#果然素颜也跟普通人差不多，现在的明星都还是得靠妆造才能看 ,1,0,2,湖南,益阳,湖南,中国
5,4905255496321990,温妲己,2023-05-25 12:05:08,#Angelababy素颜睡衣# 鼻姐还是太实诚了，不会戴眼镜遮挡，粉丝也不会用磨皮滤镜拿精修图去辣菜 ,27,231,10008,广东,佛山,广东,中国
5,4905313436176249,彧柚白,2023-05-25 15:55:22,#Angelababy素颜睡衣#她一直都长这样没变诶，还是好漂亮，果然漂亮的人素颜也好看 ,0,0,7,福建,福州,福建,中国
5,4905313355956385,灵樨淡雪,2023-05-25 15:55:02,#Angelababy素颜睡衣#颜值这块baby确实出色，素颜还是很能扛打的#angelababy奔跑吧睡衣素颜路透# ,0,2,15,浙江,绍兴,浙江,中国
5,4905266950443585,晚晚有个颖,2023-05-25 12:50:39,#Angelababy素颜睡衣#  时间会证明baby的素颜从末塌过，说baby整容的八成是羡慕baby的美貌 ,0,3,98,广东,汕头,广东,中国
5,4905307778846630,大澡堂子,2023-05-25 15:32:53,奔跑吧 延吉 20230525路透 白鹿 孙珍妮 施柏宇 Angelababy  范丞丞 沙溢 周深 魏大勋 李晨  #白鹿素颜碎花睡衣路透##Angelababy素颜睡衣##白鹿孙珍妮奔跑吧同框# 延吉市 ,2,5,30,吉林,延边,吉林,中国
5,4905312752504430,简言郭,2023-05-25 15:52:39,这一生，愿你能够趟过世俗的浑水，仍然不沾染一身的世故。 #Angelababy素颜睡衣# ,0,0,4,山西,太原,山西,中国
5,4905312659705142,蛙蛙冲浪版,2023-05-25 15:52:17,#Angelababy素颜睡衣#我鼻姐yyds 被美哭 ,0,0,11,湖南,长沙,湖南,中国
6,4905258688188193,狐厂大拷问,2023-05-25 12:17:49,《奔跑吧》素颜睡衣路透，看出来了没有人喜欢起床  Angelababy、白鹿、周深、范丞丞   #Angelababy素颜睡衣# #奔跑吧# ,16,53,775,,北京,北京,中国
6,4905312190727017,一个人哒放空,2023-05-25 15:50:25,#Angelababy素颜睡衣#女明星就别买这种话热搜了，心机裸妆是挺难画的但是大家也不傻，她最大的bug厚嘴唇子这都遮了一半了还说素颜…话说素颜第一季那才是真素，什么样子大家也都记得。话说回来，她化妆之后就是很美，都是化妆她就是美的无可挑剔也是一种实力，就是别再装素颜了，这热搜看了太多次了……过于假了！,1,4,9,广东,佛山,广东,中国
6,4905311813238865,咪咕头条资讯,2023-05-25 15:48:54,#Angelababy素颜睡衣# Angelababy《奔跑吧》素颜出镜，直接梦回第一季！来看看Angelababy那些年的素颜时刻，五官立体，皮肤状态超好，有时候连头都不会洗，这就是有颜任性吧。 ,0,0,21,,成都,四川,中国
6,4905295006404333,二娃二话不说,2023-05-25 14:42:07,#Angelababy素颜睡衣##白鹿素颜碎花睡衣路透# 跑男姐妹花，一个真素颜头发乱糟糟还是美，一个糊了，滤镜糊的意思 ,0,7,84,江苏,常州,江苏,中国
6,4905272587322555,橘子酸君,2023-05-25 13:13:03,网友热评:女明星和女网红还是有壁 #Angelababy素颜睡衣# ,12,34,537,湖南,长沙,湖南,中国
6,4905308218460686,BMJ不露声色,2023-05-25 15:34:38,#Angelababy素颜睡衣#  有一说一！素颜状态真的不错！ ,0,1,27,上海,上海,上海,中国
6,4905311418716764,不会讲故事的叶子,2023-05-25 15:47:21,Angelababy睡衣素颜生图 鼻姐素颜好伟大杨颖睡衣生图#亿点曝光计划##给视频加buff##搞笑##幽默吐槽# 不会讲故事的叶子的微博视频 ,0,1,0,河北,保定,河北,中国
6,4905311364189112,大查的小甜心,2023-05-25 15:47:08,#Angelababy素颜睡衣#谁懂啊  梦回第一季哇 ,0,0,8,陕西,西安,陕西,中国
6,4905255869351284,一只黏人的小猫咪_,2023-05-25 12:06:37,#Angelababy素颜睡衣# angelababy、白鹿素颜照 ,49,353,32693,山东,济宁,山东,中国
6,4905311331157864,迷妹爱电影,2023-05-25 15:47:00,baby生图真的好美！！！  #Angelababy素颜睡衣##杨颖##奔跑吧# ,0,2,10,天津,天津,天津,中国
