页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905322030039508,你我他三个人,2023-05-25 16:29:30,#四川一中学学生打架致1死#杀人必须偿命，不能因为是未成年人就要保护他未成年人保护法，是保护受害人的法律而不是保护施暴者的法律。 ,0,0,2,河南,郑州,河南,中国
2,4905321980761779,生生沉默,2023-05-25 16:29:19,#四川一中学学生打架致1死#“晕倒”？年轻真好，一倒就死 ,0,0,0,甘肃,张掖,甘肃,中国
2,4905321888482510,张悦蓉,2023-05-25 16:28:57,#四川一中学学生打架致1死#我的天，好心疼，好惋惜，如花的年龄。希望这个世界都对祖国的花朵🌺温柔以待  愿另外一个世界没有疼痛，没有痛苦，家属请节哀 ,0,0,4,四川,成都,四川,中国
2,4905321880094554,爱狼人杀的yaya,2023-05-25 16:28:55,#四川一中学学生打架致1死#这个新闻看的真的很心疼。反对校园霸凌，中学生叛逆期，希望家长老师多点关爱。 ,0,0,2,上海,上海,上海,中国
2,4905321854932185,扎心摸仙小喇,2023-05-25 16:28:49,#四川一中学学生打架致1死#天，下手好狠，希望打人的能被判刑 ,0,0,1,四川,雅安,四川,中国
2,4905302232662419,是我不值一提,2023-05-25 15:10:50,#四川一中学学生打架致1死#不管几岁  不管是不是神经病还是残疾人   杀人就要偿命啊不然一 个个未成年   神经病  残疾人  觉得可以杀人不用坐牢不用死刑 个个都杀人 ,1,6,166,福建,莆田,福建,中国
2,4905321695548785,踏月追星,2023-05-25 16:28:11,#四川一中学学生打架致1死#现在青少年有必要普及法律知识，定期开展针对于青少年的法律讲座，不然就不会意识到自己的某些行为是多么的可怕。 ,0,0,0,陕西,榆林,陕西,中国
2,4905296219083564,成都政法,2023-05-25 14:46:57,【#警方通报中学生晕倒路边后死亡#】#四川一中学学生打架致1死# ,0,32,33,,成都,四川,中国
2,4905321577316892,是丫丫Yi,2023-05-25 16:27:43,#四川一中学学生打架致1死# 唉！看到此类事件真的好心痛！13岁人生才刚开始啊！这种校园暴力事件，从小到大就没断过，几乎每年都能听到此类事情发生。或大或小，或重或轻，归根究底到底是父母的错，学校的错，还是孩子的错？究竟怎样的家庭环境导致了孩子的暴力倾向？ ,0,0,2,山东,济宁,山东,中国
2,4905321472464014,生生沉默,2023-05-25 16:27:18,#四川一中学学生打架致1死#年纪小不能成为不用负责的保护伞，这种孩子必须得付出代价，别人爹妈给的生命岂容你随意剥夺！ ,0,0,2,甘肃,张掖,甘肃,中国
3,4905321447033283,Sharehilton,2023-05-25 16:27:12,#四川一中学学生打架致1死#哎，如果真是如此，那就太可怜了。 ,1,0,4,浙江,宁波,浙江,中国
3,4905303151220361,萌萌哒红色小象,2023-05-25 15:14:30,#四川一中学学生打架致1死#现在是怎么了，这些新闻一波接一波的，只想问一句，这几名学生从学校追敢一直打到校外的街上，老师就不说了，这学校保安是干嘛的，摆设吗，从你面前过你不知道吗，太可惜了，一个家庭养个孩子太不容易了，一定要追察到底，不然这些孩子长大进入社会，也是一种危险。 ,3,50,135,安徽,芜湖,安徽,中国
3,4905293635128909,批奏折,2023-05-25 14:36:41,#四川一中学学生打架致1死#学生打架从学校追到街上，保安看不到吗？ ,6,134,923,北京,北京,北京,中国
3,4905321258027622,不想上早读的英语老师,2023-05-25 16:26:27,#四川一中学学生打架致1死#  班里几个男生欺负一个有点缺陷的男生   拧的胳膊青一块紫一块  用圆规扎的胳膊有印子 真想揍他们 可是除了教育 我什么都做不了 ,0,2,0,山东,德州,山东,中国
3,4905321237841491,寝住丶,2023-05-25 16:26:22,#四川一中学学生打架致1死#现在的孩子无法无天 家长一个劲的护着👶🏻 长大活该被👶🏻打 ,0,0,0,北京,北京,北京,中国
3,4905321065617381,Biba布,2023-05-25 16:25:41,#四川一中学学生打架致1死# 初中是最叛逆的时候，我们这边的中学一放学，校门口聚众好多学校二流子 ,0,0,1,山西,太原,山西,中国
3,4905321003223689,激灵囧弟弟,2023-05-25 16:25:26,#四川一中学学生打架致1死#我上初中那会，就很乱，有的学生连老师都欺负。一般一个小打架校领导就算知道了也是大事化小小事化了。最后受欺负的学生大概率继续受欺负，最终不是忍着，就是退学，要么就是出现点极端的事儿。  建议此类事件给家长、校领导都挂上相应的记录甚至永久性的黑点惩治。 ,0,0,1,河北,石家庄,河北,中国
3,4905320918291491,木夏89783,2023-05-25 16:25:06,#四川一中学学生打架致1死#  如果不死刑那独生子女的估计会自己动手吧， ,0,1,0,河北,邯郸,河北,中国
3,4905320914096806,终于有狗啦,2023-05-25 16:25:05,#四川一中学学生打架致1死#路边的人们如果制止，也许就不会发生这种事了，哎 ,0,0,0,四川,资阳,四川,中国
4,4905314913356010,顽皮的郭贝勒,2023-05-25 16:01:14,从学校追到街上，居然校方没制止。可真别说，保安几千工资，不值得去拼命。不过是中学生，手持钝器而已，来三五个保安，就算镇不住，也武力碾压，没太多风险，还有钢叉盾牌。先免校长，后判学生，校园霸凌就少多了。#四川一中学学生打架致1死# ,6,7,14,北京,北京,北京,中国
