页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905322508193678,天天都是小仙女,2023-05-25 16:31:25,#国泰航空称空中服务员工会不代表国泰#以后谁还敢坐国泰航班？空乘说不定为了报复内地乘客，在吃的喝的里放些乱七八糟的东西也说不定。记得之前台湾的空乘员被爆拿抹布擦餐具么… ,0,0,0,北京,北京,北京,中国
2,4905322328361473,爱抓鱼的蓝胖子,2023-05-25 16:30:42,#国泰航空称空中服务员工会不代表国泰#工会硬气点 既然嫌工资低 赶紧带领全体员工罢工 别干啦别干啦 ,0,0,0,广东,广州,广东,中国
2,4905321963458746,丑点儿亢姆,2023-05-25 16:29:15,#国泰航空称空中服务员工会不代表国泰#既然是独立工会，为什么冠名国泰？这是侵权啊，你们国泰不告它们吗？ ,0,0,1,江苏,南通,江苏,中国
2,4905321702622534,中二大叔Xeno,2023-05-25 16:28:13,#国泰航空称空中服务员工会不代表国泰#对哦，工会不代表国泰行政人员，但绝对工会代表你们国泰空中服务员的心声和态度。上次这工会支持gd黑暴，你们也表示工会不代表国泰，结果这种歧视普通话口音旅客现象屡见不鲜。要不停飞内地航线三四年，好让你们国泰与工会谈判如何 ,0,0,0,广东,阳江,广东,中国
2,4905321648361966,鄂温克融媒体中心,2023-05-25 16:28:00,#国泰航空称空中服务员工会不代表国泰#5月25日14时许，国泰航空发布声明：我们知悉空中服务员工会于2023年5月24日，就一名顾客于2023年5月21日于CX987航班上经历的事件发表声明。国泰航空就此郑重澄清，“空中服务员工会”为一个独立工会，从来不代表国泰。我们明确声明，公司不接受、支持或同意该工会对此事的立场。我们一直并将继续与机舱服务员同事直接沟通，包括通过线上及面对面等多种途径。我们会继续聆听他们的反馈，并积极回应。顾客因国泰专业优质的服务而选乘我们的航班，对他们的支持我们深表谢意。在重建国泰的过程中，我们在致力提升服务品质的同时，也会照顾我们员工的利益及福祉。（澎湃新闻）,0,0,0,,呼伦贝尔,内蒙古,中国
2,4905321619001033,ss_kt鱼,2023-05-25 16:27:53,#国泰航空称空中服务员工会不代表国泰#坐国泰 可能得有雅思6以上 ,0,0,0,广东,深圳,广东,中国
2,4905321459615442,40老黄兔,2023-05-25 16:27:15,#国泰航空称空中服务员工会不代表国泰#   大家都挺支持国泰空服工会搞罢工。 ,0,1,3,江苏,南京,江苏,中国
2,4905321191446171,北极熊爱极光,2023-05-25 16:26:11,#国泰航空称空中服务员工会不代表国泰#公会不是你的，但员工是你的，港独空乘在飞行途中是安全隐患，所以大家尽量不坐，命重要。 还有你们的美女公关该辞退了@国泰航空 ,0,0,0,河北,石家庄,河北,中国
2,4905320822868344,羊又走丢了,2023-05-25 16:24:43,#国泰航空称空中服务员工会不代表国泰#  网友精彩评论：没有了国泰就没有了该工会了吧 ,1,0,9,广西,贺州,广西,中国
2,4905320789315256,千yuqian寻,2023-05-25 16:24:35,#国泰航空称空中服务员工会不代表国泰#工会就是你们公司的人，公然歧视大陆人，民航局对次应该作出反应，减少国泰航空的航班 ,0,0,1,湖北,武汉,湖北,中国
3,4905320781185674,我有小豆包,2023-05-25 16:24:32,#国泰航空称空中服务员工会不代表国泰# 啥也不说，国泰航空直接倒闭就完事儿了,0,0,0,北京,北京,北京,中国
3,4905320746582813,河马的棒球帽,2023-05-25 16:24:25,#国泰航空称空中服务员工会不代表国泰#国泰得有英语8级证书才能买票 ,0,0,2,四川,,四川,中国
3,4905320495714921,人丑爱吃,2023-05-25 16:23:25,#国泰航空称空中服务员工会不代表国泰#建议该工会组织空乘人员进行罢工。 ,0,0,2,湖南,湘西土家族苗族自治州,湖南,中国
3,4905320474216763,药水药水药水,2023-05-25 16:23:20,#国泰航空称空中服务员工会不代表国泰# 本来就是从骨子里烂透的企业啊，疫情前坐就这样了，说英语态度就很好 ,0,0,0,山西,太原,山西,中国
3,4905320332132864,第八号当铺-颜容,2023-05-25 16:22:46,#国泰航空称空中服务员工会不代表国泰#服务行业没有职业素养，找那么多借口。 ,0,0,1,江苏,无锡,江苏,中国
3,4905320306970570,广西交通台,2023-05-25 16:22:40,【#国泰航空称空中服务员工会不代表国泰#】#国泰航空称不接受空中服务员工会立场#,0,0,0,,,广西,中国
3,4905308973177598,参考消息,2023-05-25 15:37:38,【#亚裔空乘遇中国乘客努力用中文报菜名#  “这个叫尊重”】近日，飞机上的亚裔空少对待中国乘客，努力用中文报菜名。拍摄者称事件发生在新西兰航空，亚裔空少在完全不懂中文的情况下，面对中国乘客，依旧努力用中文为其提供服务。（中国新闻网）#国泰航空称空中服务员工会不代表国泰# 中国新闻网的微博视频 ,30,21,242,,北京,北京,中国
3,4905320180092446,洛阳的水瓶座,2023-05-25 16:22:10,#国泰航空称空中服务员工会不代表国泰# 这工会不是国泰自己的？演双簧🤔️ ,0,0,1,河南,洛阳,河南,中国
3,4905320079429665,每天都不想上班咧,2023-05-25 16:21:46,#国泰航空称空中服务员工会不代表国泰#ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺ig发了吗🆘 fb发了吗🎺,0,0,1,广东,广州,广东,中国
4,4905319949928665,超可乐视频,2023-05-25 16:21:15,国泰航空事件后续，三名空姐被解聘！有人痛哭流涕，有人死性不改 国泰航空后续，三名空姐被解聘！有人痛哭流涕，有人死性不改 #国泰航空称空中服务员工会不代表国泰# ,1,0,0,福建,宁德,福建,中国
4,4905310228318518,上帝之鹰_5zn,2023-05-25 15:42:37,#国泰航空称空中服务员工会不代表国泰#  有乘客反映，国泰今天飞上海的航班，空乘全都努力用不太标准的普通话与内地乘客沟通 ,13,101,749,福建,福州,福建,中国
4,4905319841400760,Brescience,2023-05-25 16:20:49,#国泰航空称空中服务员工会不代表国泰#看来香港确实是法外之地，建议对国泰航空采取实质性的抵制措施，别停留在嘴上抗议，就像上次的冰淇淋事件一样，最后不了了之。 ,0,0,3,上海,上海,上海,中国
