页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905304816354694,馋嘴番茄酱,2023-05-25 15:21:06,在昆明的最后一天终于吃到了米布和炸洋芋🥔3月份的时候去了一趟云南，一口气玩了昆明，大理，丽江和香格里拉真的感受到了#在云南连吃7天有多爽# ！！好吃的真多米布我之前从来没吃过，所以很好奇！有点介于麻薯和米糊之间的质地，糯糯的，奶香味很足，甜丝丝的喝起来很舒服！炸洋芋是来昆明一定要试试的！这家做的也还不错，酸辣入味，我真的很爱吃土豆还意外吃到了很不错的肥肠酸辣粉！肥肠很糯，粉口感劲道又不软烂我好爱！！总而言之，一定要找个长假再去云南玩一次！！#美食好物心选节##美味好店鉴定团# @鲜城  昆明·赵老倌(总店),210,192,179,北京,北京,北京,中国
2,4905304842046132,豹纹儿er,2023-05-25 15:21:13,#在云南连吃7天有多爽#超详细🔎云南七日游旅行攻略！一次玩儿好昆明—大理—丽江—香格里拉！就是这么爽～  #微博厨房大赛##我的美食日记# @鲜城 @微博美食 ,2326,1733,5703,四川,成都,四川,中国
2,4905321892414321,北京晚报,2023-05-25 16:28:58,#在云南连吃7天有多爽#？#你会为了存钱克制消费吗#？,0,0,0,,北京,北京,中国
2,4905321103099564,盘龙文旅MoreLife,2023-05-25 16:25:50,#在云南连吃7天有多爽# 【埋在土里的“救命粮” #说洋芋救过云南人的命不过分#】“吃洋芋，长子弟”，这是云南人老少皆知的一句俗语。一颗小小的洋芋，煎炸炖炒一通操作后，容下了酸甜苦辣咸的百味，也透出云南人骨子里对它的爱。你可曾想过，这种近乎偏执的喜爱，隐藏着的也许是苦难的历史……#盘龙君带你吃遍云南# （云南广播电视台）云南广播电视台的微博视频,0,0,1,,昆明,云南,中国
2,4905321011612302,85斤的执念,2023-05-25 16:25:28,#在云南连吃7天有多爽#云南铁网烧烤真的绝绝子，大家快来吃 ,0,0,0,广西,南宁,广西,中国
2,4905321006367550,么蛋乐园,2023-05-25 16:25:27,#在云南连吃7天有多爽# 点名烤乳扇 汽锅鸡 老奶洋芋🥔好吃到爆炸💥 ,0,1,0,上海,上海,上海,中国
2,4905320050071855,云南平安高速,2023-05-25 16:21:39,#五大曝光行动# 【惊险！雨天路滑要谨慎  半挂车“蛇形走位”侧翻倒地】近日，昆磨（昆玉）高速刺桐关长下坡路段，一辆重型半挂牵引车遇下大雨路面湿滑，驾驶人行驶中感到挂车有点“甩尾”，急忙踩了一脚刹车，结果车辆失控撞到避险车道旁的挡墙后侧翻倒地，所幸驾驶人系好安全带未受伤。@云南交警 @云南警方 @云南政法 #专家建议新冠二阳不要带病上班#接警后，路面巡逻民警赶到现场紧急处置，只见车头受到撞击后与挂车重叠在了一起，路面散落着车辆碎片和墙砖，民警立即采取临时交通管制措施，快速施救清障并防止发生二次事故。最终，因未安全规范操作，半挂车驾驶人负全责。#在云南连吃7天有多爽##高速交警来提醒# 雨天行车影响视线，且道路湿滑增加了危险系数，请降低车速并保持安全车距，不随意超车和变更车道，及时打开前后雾灯、示廓灯和近光灯，能见度不足50米时，应及时开启双闪灯，切忌急打方向、急踩刹车，防止车辆出现“打水漂”现象导致车辆失控发生交通事故。 云南平安高速的微博视频,1,2,2,,昆明,云南,中国
2,4905319799723152,-阿酒,2023-05-25 16:20:39,#在云南连吃7天有多爽# @我就是李清华 什么时候来也让你连吃！ ,0,0,0,云南,普洱,云南,中国
2,4905319669176950,梁晨linck,2023-05-25 16:20:08,#在云南连吃7天有多爽#来广西吧，10元3斤水果开始要摆满大街了 ,0,0,1,广西,南宁,广西,中国
2,4905319505333463,如琢如磨2010,2023-05-25 16:19:29,#在云南连吃7天有多爽#之前在云南旅游14天，从楚雄入，到腾冲结束，天天吃米线，居然一点都没吃腻，到现在还在想念 ,0,0,0,四川,成都,四川,中国
