页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905321544553046,抓一只奶茶兔tui,2023-05-25 16:27:35,#女生黄体破裂医生暖心陪护参加中考# 看了一下科普 医生真好为孩子保驾护航 ,0,0,1,江苏,宿迁,江苏,中国
2,4905321472462414,力求后宫三千的笑笑,2023-05-25 16:27:18,#女生黄体破裂医生暖心陪护参加中考# 感动无处不在，致敬温暖的人，感谢你们！ ,0,0,1,安徽,安庆,安徽,中国
2,4905321355807771,叶恋桃,2023-05-25 16:26:50,#女生黄体破裂医生暖心陪护参加中考#这就是白衣天使啊，她们在用心爱护，考虑到病人的情况，太暖心！给暖心的医护人员点个赞！ ,0,0,0,江苏,淮安,江苏,中国
2,4905320994574659,与旎一起健身的帅猛10,2023-05-25 16:25:24,#女生黄体破裂医生暖心陪护参加中考#好暖心的医护人员啊陪伴女孩 ,0,0,0,山东,济南,山东,中国
2,4905320826537982,金刀王,2023-05-25 16:24:44,#女生黄体破裂医生暖心陪护参加中考#黄体破裂是妇科常见的急腹症之一，好发于14～30岁的年轻女性。【病因】1.自动破裂正常黄体内有少量出血，但如果出血太多，可能增加黄体内的压力，发生自发性黄体破裂。有人认为，血管黄体化期间，功能不全，易发生黄体内毛细血管出血，从而导致黄体破裂。2.外力作用如下腹受到撞击，以及剧烈跳跃、奔跑、用力咳嗽或解大便时，腹腔内压力突然升高，可促使成熟的黄体发生破裂。此外，性生活时女性生殖器官扩张充血，黄体内张力升高，加上男方动作粗鲁，女方下腹部受到强烈冲击，也可导致黄体破裂。治疗原则和宫外孕基本相同，有保守和手术两种方法。1.保守治疗部分黄体囊肿破裂出血不多者，经保守治疗破裂口可自行闭合。如经腹腔镜检查证实本病诊断，则保守治疗。以腹痛、积液消失为治愈。2.手术治疗发病急，临床症状重，内出血多或者合并宫外孕，尽早手术可减少失血量。方法为剖腹止血，破裂之黄体常须剔除后再行缝合。术中同时清除积血，新鲜内出血亦可行自体回输。,2,2,7,甘肃,兰州,甘肃,中国
2,4905320671090191,lisa爱桃桃,2023-05-25 16:24:07,#女生黄体破裂医生暖心陪护参加中考#真的要给这个女生点个赞，也要给暖心的医护人员点个赞，这才是和谐社会该有的样子。真的很好。 ,0,0,3,湖北,随州,湖北,中国
2,4905320604764221,小红豆的草莓大布丁,2023-05-25 16:23:51,#女生黄体破裂医生暖心陪护参加中考# 这个医生好好喔。 ,0,0,0,广东,广州,广东,中国
2,4905320521138538,一抹茶色阳光v,2023-05-25 16:23:30,#女生黄体破裂医生暖心陪护参加中考# 黄体破裂值得科普一下，给暖心的医生点赞 ,0,0,0,广东,珠海,广东,中国
2,4905299247367222,平安泸县,2023-05-25 14:58:59,健康冷知识：警惕青春杀手，黄体破裂 。#女生黄体破裂医生暖心陪护参加中考# ,2,27,36,,泸州,四川,中国
2,4905320356775646,高坪公安,2023-05-25 16:22:52,【黄体是一个能夺命的小囊腔】正常黄体直径2~3厘米，位于卵巢表面，张力较高但弹性差，易破裂，可引发休克，甚至危及生命。黄体破裂起病较急，往往为一侧下腹突然剧痛，可在短时间内发展为持续性坠痛，更严重时可出现恶心呕吐、肛门坠胀感等，也可有异常阴道出血。一旦盆腔内出血严重，患者可有大汗淋漓、面色苍白、心慌心悸、头晕乏力等休克症状，必须尽快就医。#女生黄体破裂医生暖心陪护参加中考##团青微课堂# （生命时报）,1,1,1,,南充,四川,中国
3,4905319493012731,我是吃肉小能手,2023-05-25 16:19:26,#女生黄体破裂医生暖心陪护参加中考#看了科普有点吓人啊我之前也有过腹痛啥的都没救医，睡了一觉好了 ,0,0,0,江苏,苏州,江苏,中国
3,4905319324977931,我是你额前的碎发呀,2023-05-25 16:18:46,#女生黄体破裂医生暖心陪护参加中考#是真的痛 还因此做了个手术 ,0,0,1,四川,,四川,中国
3,4905319106351844,李现的乐园三,2023-05-25 16:17:54,#女生黄体破裂医生暖心陪护参加中考# 做女人真的太不容易了~医护人员真的挺暖心，全程陪护！ ,1,3,8,辽宁,鞍山,辽宁,中国
3,4905318968197217,豆芽和慧慧,2023-05-25 16:17:20,#女生黄体破裂医生暖心陪护参加中考# ？？？这试就非考不可吗？ ,0,5,5,上海,上海,上海,中国
3,4905310656136419,喔喔哇唔,2023-05-25 15:44:19,#女生黄体破裂医生暖心陪护参加中考#所以女孩子经期不要剧烈运动的说法是对的，但竟然很多老师把这个看作是请假的借口。之前上体育课跑步前去和老师请假，老师不给不跑，还说这个时候就要多跑多动，能帮助促进血液循环，完完全全就是误导女孩子，我当时听到都震惊了 ,0,0,23,湖北,武汉,湖北,中国
3,4905318737515675,天天快乐宁天天快乐,2023-05-25 16:16:26,#女生黄体破裂医生暖心陪护参加中考#原来腹痛还有这个原因！涨知识了！白衣天使就是温暖！中考算孩子的转折点了！陪护考试真好！ ,0,5,16,四川,成都,四川,中国
3,4905318569477194,山西共青团,2023-05-25 16:15:46,#女生黄体破裂医生暖心陪护参加中考# 女生黄体破裂，医生暖心陪护参加中考，120送到校考试全程陪同。#青春微话题# 山西共青团的微博视频 ,0,0,0,,太原,山西,中国
3,4905318260409236,米淇_17,2023-05-25 16:14:32,#女生黄体破裂医生暖心陪护参加中考# 医护人员   不仅关心病人的身体健康， 还顾及到她的学业 真暖心！ ,0,0,0,韩国,,韩国,韩国
3,4905317672424091,杨小屁ing,2023-05-25 16:12:12,#女生黄体破裂医生暖心陪护参加中考# 医生真的好暖心啊，有被感动到~ ,0,3,6,辽宁,鞍山,辽宁,中国
5,4905315277477267,琪乐说育儿,2023-05-25 16:02:41,#女生黄体破裂医生暖心陪护参加中考#出现黄体破裂后需要怎样处理？一般的情况，黄体破裂会造成腹腔出血的，这时需要住院观察的如果黄体破裂腹腔内出血少，病情比较平稳，是可以先观察心率、血压、血氧饱和度、血红蛋白等情况的，如无异常，通过止血治疗，卧床休息几天后，就可以出院。如果黄体破裂后持续出血，腹腔内出血较多，这样就可能会导致重度贫血，甚至休克、失去生命，这种情况就必须要接受急诊手术了。  网页链接,1,2,22,河北,保定,河北,中国
5,4905314887141756,海上一浪花,2023-05-25 16:01:08,#女生黄体破裂医生暖心陪护参加中考#这是一个感人的故事，让我们看到了医生和学生之间的真挚的关爱和支持。这位女生不畏困难，坚持参加中考，展现了她的毅力和信心。这位医生不仅治疗了她的身体，还给了她精神上的鼓励和安慰，体现了他的职业素养和人文关怀。 ,0,0,1,上海,上海,上海,中国
