页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905320000520391,钱北斗,2023-05-25 16:21:26,多少年没有开怀大笑啦？ 真希望她们不要长大，永远开心快乐  人事有代谢， 往来成古今。 羊公碑尚在， 读罢泪沾襟。  #她背诵的不是课文是全班的希望# ,0,0,2,重庆,重庆,重庆,中国
2,4905319526829802,Jackeewu,2023-05-25 16:19:34,#她背诵的不是课文是全班的希望#这老师可是真会教书，简直绝了 ,0,0,4,广东,深圳,广东,中国
2,4905319032165552,落日之前快逃走,2023-05-25 16:17:36,#她背诵的不是课文是全班的希望#真好 那时候一起看电影真的是很特别的回忆 ,0,0,3,四川,成都,四川,中国
2,4905318931236040,河南农业大学团委,2023-05-25 16:17:12,微晓 #她背诵的不是课文是全班的希望##晓晓译站# 为共同目标而一起努力的氛围简直太棒啦  网页链接 ,0,0,16,,,河南,中国
2,4905318574720595,张珩Kelly家庭教育,2023-05-25 16:15:47,#她背诵的不是课文是全班的希望#想起了小时候全班背课文的时光，有时候语文老师会跟别的课调时间，放在最后一节课，老师坐在讲台后面，背好一个回家一个，有一次记得背的是《桃花源记》，我和小伙伴一前一后流利背完，高高兴兴回家，看到路边枝头残留着几朵白花的梨树园在橘红的夕阳下美不胜收，那场景和“落英缤纷”“黄发垂髫，怡然自乐”这些文字一起，永远留在了心里。这就是童年的意义吧……,0,0,3,法国,,法国,法国
2,4905316674176166,德阳公安,2023-05-25 16:08:14,一人背书全班同学在旁边加油，网友：#她背诵的不是课文是全班的希望#（新华每日电讯）中国反邪教的微博视频 ,0,2,0,,德阳,四川,中国
2,4905316586888309,河南省青少年发展基金会,2023-05-25 16:07:53,#她背诵的不是课文是全班的希望#【试试背诵当年的语文课文 】语文教材精选反映中华优秀传统文化的经典名篇，共选入古代诗文67篇，其中古诗词33首，古文34篇。要求学生背诵的古诗文数量为20篇。说起让人瑟瑟发抖的背诵全文，送你30首中小学生经典诵读名篇，那些年 我们一起背过的古诗文你还记得到多少呢 ,0,0,0,,郑州,河南,中国
2,4905316389753427,汉阴法院,2023-05-25 16:07:06,灵魂拷问！学生时代背诵的古诗文，你还记得多少？《离骚》《赤壁赋》《滕王阁序》……30篇中小学必背古诗文名篇↓↓你还会几首？转走默默补节语文课！#她背诵的不是课文是全班的希望# ,1,6,5,,,陕西,中国
2,4905316091171236,爱晒太阳的猫_5354,2023-05-25 16:05:55,#她背诵的不是课文是全班的希望#我记得我以前背出师表的时候，我们老师让同学挨个上讲台背的一方面紧张，还有一方面有同学搁下面做小动作引你笑。然后背的磕磕绊绊的，本来自己背的很熟练的 ,0,0,5,安徽,蚌埠,安徽,中国
3,4905316044505312,贺朝超级无敌帅,2023-05-25 16:05:43,#她背诵的不是课文是全班的希望#好快乐啊！！突然想起小学的时候六一学校每次发零食也会好开心的，还有各种小游戏真的好快乐 ,0,0,0,广东,深圳,广东,中国
3,4905315948042811,可以叫我小贾,2023-05-25 16:05:21,#她背诵的不是课文是全班的希望#大家有没有已经讨厌的老师，我高中就遇见班主任，他风雨无阻每周五去我们学校门口宾馆打麻将，恨透了他 ,0,0,0,湖南,邵阳,湖南,中国
3,4905315772666616,许凯的玲珑,2023-05-25 16:04:39,#她背诵的不是课文是全班的希望# 这篇课文记忆深刻小女孩记忆力真好 ,0,0,3,吉林,长春,吉林,中国
3,4905315467004830,涔与浠偌-,2023-05-25 16:03:26,#她背诵的不是课文是全班的希望#考验积累的时候到了#背诵过最难的课文# ,0,0,0,山东,德州,山东,中国
3,4905315081128907,tg刘辉,2023-05-25 16:01:54,#她背诵的不是课文是全班的希望#压力三大，全班同学的希望，有时候，这种绑架的力量很大，同时也让人更紧张。如果我是老师，即使最后一个同学背不出，我也会让孩子们看电影，就凭他们这种团队精神！#爱上红谷滩# ,0,1,3,江西,宜春,江西,中国
3,4905292695079468,寿光市融媒体中心,2023-05-25 14:32:57,#她背诵的不是课文是全班的希望#【试试背诵当年的语文课文 】语文教材精选反映中华优秀传统文化的经典名篇，那些年我们一起背过的古诗文，你还记得到多少呢？送你30首中小学生经典诵读名篇，一起欣赏 ,37,50,72,,潍坊,山东,中国
3,4905314157596182,山西临汾尧都区反邪教,2023-05-25 15:58:14,#她背诵的不是课文是全班的希望#,0,0,1,,临汾,山西,中国
3,4905313964922392,她是我的光啊,2023-05-25 15:57:28,#她背诵的不是课文是全班的希望# 人人都有了集体荣誉感 ,0,0,0,湖北,武汉,湖北,中国
3,4905313952858117,直播大咖那点事,2023-05-25 15:57:24,#她背诵的不是课文是全班的希望##社会百态#  你小时候怎么背课文呢~ 直播大咖那点事的微博视频 ,0,0,0,天津,天津,天津,中国
3,4905313662145327,是只小虾虾,2023-05-25 15:56:16,#她背诵的不是课文是全班的希望#小孩子记忆力真的好，越长大，记忆力越来越差！ ,0,0,0,河南,鹤壁,河南,中国
4,4905313470518273,你是我心里的阳光201910,2023-05-25 15:55:30,#她背诵的不是课文是全班的希望#小孩子的童年简单又快乐，老师只要稍微有点奖励，就会激起他们努力向前跑的动力，最后一个背诵的，真的是肩付起了全班的希望，看得我都好紧张 ,0,0,0,广东,惠州,广东,中国
4,4905313432242177,小猪2012575,2023-05-25 15:55:21,#她背诵的不是课文是全班的希望#看了一眼评论就知道现在的一些人是多么喜欢臆想，赞叹下小孩子们的单纯，快乐很难吗？ ,0,0,0,广东,江门,广东,中国
4,4905312786318986,芙一,2023-05-25 15:52:47,#她背诵的不是课文是全班的希望#哈哈，当时一定压力很大 ,0,0,0,浙江,杭州,浙江,中国
4,4905311918100503,金华人金华事,2023-05-25 15:49:20,#她背诵的不是课文是全班的希望#老师答应只要全班都会背课文，就给大家放电影看。当最后一个同学备课文时，大家都一直在给她加油，背完后所有人都一起激动欢呼。#透过窗口看志愿# 金华 金华人金华事的微博视频 ,0,0,2,浙江,金华,浙江,中国
4,4905311821367439,湖南教育发布,2023-05-25 15:48:57,【品美食 看走秀 找工作！高校食品文化艺术节创意满满】近日，湖南农业大学举行第十六届食品文化艺术节，通过品鉴美食、文艺表演、互动游戏等，带来了一场食物与味蕾、味觉与视觉的交流碰撞。#湖南教育事##她背诵的不是课文是全班的希望# 湖南教育发布的微博视频 ,0,1,2,,长沙,湖南,中国
4,4905311779947110,旮旯gei,2023-05-25 15:48:47,#她背诵的不是课文是全班的希望#小时候觉得自己背不出书就完蛋了，长大后当了老师才知道，老师更希望你能背出来然后给你奖励，所以他们会悄悄放水。 ,0,0,5,湖南,长沙,湖南,中国
4,4905311384638739,南子咕Nan,2023-05-25 15:47:13,#她背诵的不是课文是全班的希望# 这样的氛围好幸福 ,0,0,0,泰国,,泰国,泰国
4,4905311289479478,今天天气不错哦82475,2023-05-25 15:46:50,#她背诵的不是课文是全班的希望# 自己上学时，老师也有类似的奖励，当时就感觉干劲十足，青春真好呀 ,0,0,1,山东,济南,山东,中国
4,4905311268244526,慕沐DAYTOY·,2023-05-25 15:46:45,#她背诵的不是课文是全班的希望#孩子们的快乐就是那么简单 ,0,0,1,上海,上海,上海,中国
5,4905310932959407,meng紫雨1005,2023-05-25 15:45:24,#她背诵的不是课文是全班的希望#读书的时候记忆力挺好的，现在的不行了 ,0,0,0,四川,,四川,中国
5,4905310903338688,唱作人李川HE,2023-05-25 15:45:18,#她背诵的不是课文是全班的希望#果然厉害的人都是在压轴的呀，太厉害了吧妹妹，班上其他不会背的同学都留下来我小时候就是不会背课文，老师天天留我到7点多，夏天还好，冬天又冷，还要被青椒炒肉丝，回去还有一次所以现在对文字特别敏感。 ,0,0,1,重庆,重庆,重庆,中国
5,4905310592439978,骆一锅碗瓢盆_,2023-05-25 15:44:04,#她背诵的不是课文是全班的希望#哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好可爱 ,0,0,0,辽宁,沈阳,辽宁,中国
5,4905310395566856,一夜暴富的我见一个爱一个,2023-05-25 15:43:17,#她背诵的不是课文是全班的希望# 初中每周五历史老师让我们背书两页才让走  打了鸡血一样就想冲第一个 ,0,0,2,广东,深圳,广东,中国
5,4905310348902541,程栀栀Clover,2023-05-25 15:43:05,#她背诵的不是课文是全班的希望# 哈哈哈哈哈我以为是什么大事 但是小朋友们好童真啊，以前上学的时候也喜欢让老师放电影 ,0,0,0,河南,郑州,河南,中国
5,4905309506635893,湖光秋水,2023-05-25 15:39:45,#她背诵的不是课文是全班的希望#这也是一种鼓励方式，放电影就是放视频吧？ ,0,0,0,北京,北京,北京,中国
5,4905309389194736,慕夏CCC,2023-05-25 15:39:17,#她背诵的不是课文是全班的希望#哈哈。厉害了，我女2岁，会背很多首诗了，她舅舅让她背《滕王阁序》，嗯，2岁 ,0,0,0,安徽,合肥,安徽,中国
5,4905308977628431,疏影横斜1029,2023-05-25 15:37:39,#她背诵的不是课文是全班的希望#集体的力量大，她会记一辈子的 ,1,2,5,北京,北京,北京,中国
6,4905308672231962,携夏花揽星河,2023-05-25 15:36:26,#她背诵的不是课文是全班的希望#  看着有点点可爱 有没有 小盆友抗压能力不错 【重任】在肩 背诵如流 ,0,0,0,江苏,无锡,江苏,中国
6,4905308655192264,深雨桃花灼,2023-05-25 15:36:22,#她背诵的不是课文是全班的希望#从旁边同学的加油鼓劲儿当中可以看出。他真的不是在背课文，而是在背全班的希望啊。 ,0,0,0,辽宁,铁岭,辽宁,中国
6,4905308130378030,读心砖家,2023-05-25 15:34:16,成熟是不再认为自己无所不能，而是认识到自己的无能为力。有些人，有些事，你是改变不了什么的，能做到的只有接受。   敌人—旦变成朋友，比朋友更可靠;朋友一旦变成敌人，比敌人更危险。#欠我一万块钱的同事离职了##她背诵的不是课文是全班的希望# ,0,2,7,广东,东莞,广东,中国
6,4905307945831674,卡脆卡翠,2023-05-25 15:33:33,#她背诵的不是课文是全班的希望#哈哈哈，想起来当年无机化学，跟别的学院班级一起上的大课，临近下课5分钟，教授出了一道题，讲sp杂化的，说哪个班只要有人能回答出来，那个班的所有人就能提前下课，刚好我热爱化学，刚好我做了笔记，用假设法磕磕绊绊地解出来了，我们全班人提前下课，另一个学院的听说最后也没人答出来。,0,0,0,广西,南宁,广西,中国
6,4905307635977539,水晶椰椰,2023-05-25 15:32:19,#她背诵的不是课文是全班的希望#哈哈哈肩负重任呀 ,0,0,0,浙江,丽水,浙江,中国
6,4905307383272092,肖·灵芸,2023-05-25 15:31:19,#她背诵的不是课文是全班的希望# 团结的力量，有时候努力不是为了自己。 ,0,0,0,江苏,,江苏,中国
6,4905307182996272,行山高路远醒梦皆人间,2023-05-25 15:30:31,#她背诵的不是课文是全班的希望# 有些求学时候的和伙伴一起经历的团结一致的活动，比如说全班背课文接龙，是求学生涯中的巨大小确幸，实在怀念学生时代和同学友好相处的时光 ,0,0,0,浙江,金华,浙江,中国
6,4905307095175855,LDL漠北北极光DAYTOY,2023-05-25 15:30:10,#她背诵的不是课文是全班的希望#确实你背诵的不是课文而是全班的希望，有爱暖心的老师和同学们 ,0,0,0,甘肃,兰州,甘肃,中国
6,4905306682823007,小岛优衣,2023-05-25 15:28:32,#她背诵的不是课文是全班的希望#孩子们的快乐🙂 ,0,0,0,北京,北京,北京,中国
