页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905320071562759,况郈燚燚,2023-05-25 16:21:44,#我是中国人我想举自己的国旗# 为他的旗帜鲜明点赞！ ,0,0,0,广东,广州,广东,中国
2,4905212634989827,威海日报,2023-05-25 09:14:49,【#网友海上遇到祖国军舰激动转圈大喊#】“非常自豪，相当提气！”近日，网友在印度洋遇到了去马来西亚参展的中国海军湛江舰。一船人激动地举起五星红旗，对着祖国军舰高喊，还绕着湛江舰转了几圈致敬。海军也向他们挥手打招呼，#中国军舰在印度洋和网友互拍超有爱#↓ #我是中国人我想举自己的国旗# （央视新闻）央视军事的微博视频,22,28,35,,威海,山东,中国
2,4905205399554121,-四分三十三秒-,2023-05-25 08:46:04,#我是中国人我想举自己的国旗#这是美丽的祖国，这是英雄的祖国 ，这是强大的祖国 。 ,25,14,572,安徽,蚌埠,安徽,中国
2,4905318801473685,喵斯拉大王二号机,2023-05-25 16:16:40,#我是中国人我想举自己的国旗#  推荐一个很好的外籍专家，  上海日报的@安柏然Andy   大家可以关注下他的微博账号，  对中国感情深厚，极为友善，中文流利，  为人充满正义感！ ,4,5,15,上海,,上海,中国
2,4905317193748484,黑龙江共青团,2023-05-25 16:10:18,#我是中国人我想举自己的国旗#举五星红旗的台湾运动员李东宪，面对绿营“网暴”不以为意，他只怕“台湾人忘了历史，忘了回家的路。”回家吧，祖国的怀抱永远敞开！ 黑龙江共青团的微博视频 ,0,4,6,,哈尔滨,黑龙江,中国
2,4905196172612419,难舍深蓝,2023-05-25 08:09:24,中国台湾选手李东宪领奖时展示五星红旗，果然，民进党当局不乐意了：会请相关单位务必清查厘清。#我是中国人我想举自己的国旗##蛟龙军事# 难舍深蓝的微博视频 ,9,16,155,广东,深圳,广东,中国
2,4905212164706264,空天砺剑,2023-05-25 09:12:57,#我是中国人我想举自己的国旗# 承认自己是堂堂正正的中国人，这才是台湾省所有人该有的样子！ ,3,6,206,山东,东营,山东,中国
2,4905315470411114,安徽反邪教,2023-05-25 16:03:27,#我是中国人我想举自己的国旗#【#举五星红旗的台湾选手身后是强大祖国#,11,5,5,,合肥,安徽,中国
2,4905310630184310,钮钴禄大脸咪,2023-05-25 15:44:13,#我是中国人我想举自己的国旗#民族认同感往往身在异乡才能感受的最为强烈 今天看到同胞为自己的祖国举旗 昨日听闻最爱的rapper法老把钱捐给祖国需要的人 我深受感慨 也立志做一个大写的人 一个无私的人 一个被历史铭记的人从前 我只希望变有钱 现在 发现钱才是最不值钱的人生短暂 我的优先权会放在世间的正义和爱上,0,0,0,荷兰,,荷兰,荷兰
3,4905221014422978,阿森纳著名教授,2023-05-25 09:48:07,最感动的升旗 中国国歌 刘翔亚运版#阿森纳著名教授##为汗水加油##我是中国人我想举自己的国旗# 阿森纳著名教授的微博视频 ,0,0,18,北京,北京,北京,中国
3,4905292275385813,银言慧语,2023-05-25 14:31:17,这是美丽的祖国 这是英雄的祖国 这是强大的祖国 #山东孙九银正能量传递#美林工艺品#致敬人民子弟兵#我是中国人我想举自己的国旗微博头像挂件 乐陵市 ,0,0,0,山东,德州,山东,中国
3,4905218490237022,迷彩的格调你的味道,2023-05-25 09:38:04,五星红旗，我为你骄傲🇨🇳#我是中国人我想举自己的国旗# ,2,3,15,山东,青岛,山东,中国
3,4905197338363420,云南共青团,2023-05-25 08:14:02,【#我是中国人我想举自己的国旗#】中国台湾省跆拳道选手李东宪：“我是中国人，我想举自己的国旗那就是五星红旗。”🇨🇳🇨🇳🇨🇳 ,18,7,539,,昆明,云南,中国
3,4905262588365510,不然的老板娘,2023-05-25 12:33:19,#我是中国人我想举自己的国旗# 说的好！ 湾湾呀 要乖乖听祖国妈麻麻的话呀   要乖乖滴哦 ,0,0,3,浙江,杭州,浙江,中国
3,4905262543014864,同样讨厌茄子的肖兔子姐姐,2023-05-25 12:33:08,#我是中国人我想举自己的国旗#国旗一定保存了好久，看那小小碎碎的折痕，心中很是感动。盼望湾湾早日回家 ,0,0,2,陕西,西安,陕西,中国
3,4905204833848565,小米大咖,2023-05-25 08:43:49,#我是中国人我想举自己的国旗#  台湾人，别忘了历史，别忘了回家的路！ ,26,25,44,浙江,丽水,浙江,中国
