页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905311142151166,娜娜bang,2023-05-25 15:46:15,#真情侣版偷偷藏不住# ？？？偷偷藏不住不是赵露思和陈哲远的剧吗 ？这俩没自己剧吗？咋还代人家话题。。。 ,0,14,87,北京,北京,北京,中国
2,4905323045587988,拜托一定要努力,2023-05-25 16:33:33,#真情侣版偷偷藏不住#两张老脸能别蹭小学生名著吗 ,0,1,8,广东,茂名,广东,中国
2,4905323028026228,喜欢蜂蜜罐头的楠木,2023-05-25 16:33:29,#真情侣版偷偷藏不住# ？我们国家男/同合法了是吗 ,0,1,14,安徽,芜湖,安徽,中国
2,4905323012561280,BIG董大壮,2023-05-25 16:33:25,#真情侣版偷偷藏不住# 某某人到底要毁我多少本小说，真是永远撇不掉啊！怎么这么能蹭，蹭饭代言人吗？ ,0,0,2,陕西,咸阳,陕西,中国
2,4905322941258754,此花結滕,2023-05-25 16:33:08,#真情侣版偷偷藏不住#我记得偷偷藏不住是bg小说和言情剧吧？ ,0,0,1,重庆,重庆,重庆,中国
2,4905322847670364,言姐呀,2023-05-25 16:32:46,#真情侣版偷偷藏不住#不得不说，是挺像的。但是张凌赫比较像桑延 ,0,1,1,广东,惠州,广东,中国
2,4905230922155753,娱乐榜姐,2023-05-25 10:27:29,#真情侣版偷偷藏不住# 白鹿 张凌赫真情侣版《偷偷藏不住》太好嗑了吧，录制顺利 玩得好开心啊，期待两人的《宁安如梦》啦（图源cr.@Bunny小课堂 ） ,247,875,25098,广东,中山,广东,中国
2,4905317176972349,我吃白鹿胖,2023-05-25 16:10:14,#真情侣版偷偷藏不住# 生拉硬嗑，无聊至极。 白鹿热剧有，待播有，拍摄有，常驻有，不需要这些，别反反复复拉她当垫脚石，请独立行走！是演员就拿作品说话，期待《宁安如梦》姜雪宁《以爱为营》郑书意 ,0,0,16,河北,沧州,河北,中国
2,4905319438224799,十三停,2023-05-25 16:19:13,#真情侣版偷偷藏不住#藏不住的是白鹿的颧骨和张凌赫的褶子吧，还是藏不住的男同爱情啊喂 ,0,14,88,山东,青岛,山东,中国
2,4905322528904537,冻柠茶飞奶-,2023-05-25 16:31:30,#真情侣版偷偷藏不住#真情侣就去蹭自己的剧，不要蹭别人的剧啦。说的就是你们两个楠的。 ,0,2,17,广东,广州,广东,中国
3,4905243454215046,温如也,2023-05-25 11:17:17,#真情侣版偷偷藏不住# 白鹿张凌赫跑男生图路透 是你们心目中的桑稚和段嘉许嘛 ,37,315,8678,广东,佛山,广东,中国
3,4905313608404250,快乐肥宅宅宅,2023-05-25 15:56:03,#真情侣版偷偷藏不住#请大家多多包容同性恋者 ,0,3,64,四川,成都,四川,中国
3,4905322373979096,想do大哥的萝莉,2023-05-25 16:30:53,#真情侣版偷偷藏不住#真的无语别侮辱原著！！！！ ,0,0,5,广东,江门,广东,中国
3,4905300329238072,出月,2023-05-25 15:03:17,#真情侣版偷偷藏不住#同性恋还是藏起来吧 ,0,7,175,福建,厦门,福建,中国
3,4905322273309213,合肥瑶海富茂大饭店,2023-05-25 16:30:28,结婚的意义到底是什么，人为什么非得结婚？  “人为什么要结婚 ，这是我听过最好的答案 ，遇事能有个人商量 ，无聊了能有个人说说话， 累一天能在一桌开开心心吃个饭 ，人生太长， 总要有个相知相伴的人 ……”#真情侣版偷偷藏不住# ,1,0,1,安徽,合肥,安徽,中国
3,4905322265186821,大众网·菏泽,2023-05-25 16:30:27,#真情侣版偷偷藏不住#婚礼现场 菏泽两位妈妈合唱歌曲 大众网·菏泽的微博视频 ,0,0,1,,菏泽,山东,中国
3,4905243198096980,草莓夹心酱i,2023-05-25 11:16:16,#真情侣版偷偷藏不住# 别整尬的。。退！  这么爱白鹿 不如来爱奇艺看预约已突破500w的IP大剧《宁安如梦》 倦归舟的微博视频 #白鹿宁安如梦# ,83,844,4234,湖南,郴州,湖南,中国
3,4905322076967474,N底67,2023-05-25 16:29:42,#真情侣版偷偷藏不住#🌿😁我甜美笑死了，当段嘉许看到白鹿回头的那一刻就全剧终了哈哈哈哈哈哈哈哈哈哈 ,0,0,3,广东,汕尾,广东,中国
3,4905321988098742,时光飞逝dzlwmdyq,2023-05-25 16:29:21,#真情侣版偷偷藏不住#难得有真情侣一起上跑男，想看了 ,0,0,4,浙江,杭州,浙江,中国
3,4905321904476432,纯情推土机,2023-05-25 16:29:01,#真情侣版偷偷藏不住#中老年乡村爱情故事 (同志版 ,0,2,12,河北,石家庄,河北,中国
4,4905321854146166,贤鱼不是闲鱼,2023-05-25 16:28:49,#真情侣版偷偷藏不住#期待露思偷偷藏不住可爱桑稚快来吧远子哥的演技我也是服的 太会演偶像剧男主了 ,0,0,4,山东,济南,山东,中国
4,4905321836844522,红凝不成仙,2023-05-25 16:28:45,#真情侣版偷偷藏不住# 差不多得了 还是赵露思比较适合桑稚 圆脸甜妹 ,0,0,5,江苏,南京,江苏,中国
4,4905321816921992,小李抓水母,2023-05-25 16:28:40,#真情侣版偷偷藏不住#那个 这本bl名著我没看过 好看吗 ,0,3,8,湖南,,湖南,中国
4,4905312882527620,嘘原来是双双啊,2023-05-25 15:53:10,#真情侣版偷偷藏不住#啥都炒，不用在试探路人了…… ,0,0,51,上海,上海,上海,中国
4,4905321715729139,娱圈少女妮,2023-05-25 16:28:16,#真情侣版偷偷藏不住#一直被传在恋爱的白鹿 张凌赫一起录节目，白年好赫又又又上分了，这身高差是真的好嗑 娱圈少女妮的微博视频 ,0,4,15,广东,佛山,广东,中国
4,4905316674440309,孙孙孙晓桐耶,2023-05-25 16:08:14,#真情侣版偷偷藏不住#啥意思 俩男的啥俩男的广场上怎么看不懂啊啊啊 ,0,4,41,福建,厦门,福建,中国
4,4905321665399087,黄其淋别再散发魅力了,2023-05-25 16:28:04,#真情侣版偷偷藏不住# 放过段嘉许桑稚🙏🙏🙏🙏🙏 ,0,0,14,青海,海北,青海,中国
4,4905310022534722,都别来骂我,2023-05-25 15:41:48,#真情侣版偷偷藏不住# ？别瞎买行吗？真的很尬还以为事素人谁知道是俩男人啊 ,0,7,102,广东,深圳,广东,中国
4,4905267735037147,郑好饿,2023-05-25 12:53:46,#真情侣版偷偷藏不住# 行了知道你俩男人在谈恋爱了 剧上不了就综艺炒  天天炒下一部剧换个人再炒就不合适了吧 ,0,0,179,浙江,衢州,浙江,中国
5,4905316653208073,暂无取名灵感,2023-05-25 16:08:09,#真情侣版偷偷藏不住#还以为赵露思陈哲远在一起了😅这个蹭法 ,0,0,25,内蒙古,呼和浩特,内蒙古,中国
5,4905319484884883,小熊新窝呀,2023-05-25 16:19:24,#真情侣版偷偷藏不住# 虽然我对白鹿无感 但她的风评已经差到这种程度了吗？ ,0,12,78,湖北,荆州,湖北,中国
