页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905322696938978,忍心骂猫咪吗,2023-05-25 16:32:10,#空调开18度的领导离职了#深圳热的都30度了，公司还不给开空调我一定要换个夏天开空调的公司 ,0,0,0,广东,深圳,广东,中国
2,4905322394950395,狗子牛奶,2023-05-25 16:30:58,#空调开18度的领导离职了# 今天26℃热的想吐。。 ,0,0,1,黑龙江,佳木斯,黑龙江,中国
2,4905322151941798,妞小蛋de,2023-05-25 16:30:00,#空调开18度的领导离职了#去别的地方开18度了 ,0,0,1,北京,北京,北京,中国
2,4905322126773342,我爱媛圈,2023-05-25 16:29:54,#空调开18度的领导离职了#怕冷的要么多穿衣服，要么滚出克 ,0,0,2,河南,焦作,河南,中国
2,4905322085091142,宣城市人民政府发布,2023-05-25 16:29:44,【中国之声关注！中国传统村落绩溪县瀛洲村】中国之声关注！中国传统村落绩溪县瀛洲村  今年3月，1336个村落被列入第六批中国传统村落名录。至此，我国已有8155个传统村落列入国家级保护名录，保护了53.9万栋历史建筑和传统民居，传承发展了4789项省级以上非物质文化遗产，形成了世界上规模最大、内容和价值最丰富、保护最完整、活态传承的农耕文明遗产保护群。中国之声联合住房城乡建设部村镇建设司特别策划《中国传统村落》，在乡村里看见中国，在乡音里解开乡愁。#空调开18度的领导离职了#  ,0,0,0,,宣城,安徽,中国
2,4905321951399651,广西共青团,2023-05-25 16:29:12,【6步带你远离空调病】闷热难耐的天气里，空调早已成了人们的刚需。但是，因为空调清洗不当、吹空调不当，空调给人们带来凉爽的同时，也带来了病痛。过敏、关节疼痛、颈部疼痛……空调调到几度最合适？怎么吹空调，能最大限度降低对身体的伤害？↓ （来源：高坪公安）#空调开18度的领导离职了##广西团团微分享#,0,0,0,,南宁,广西,中国
2,4905321909456459,33秋生菜,2023-05-25 16:29:02,#空调开18度的领导离职了#那些一到单位所有空调开16度的人他们能明白别人有多冷吗？ ,0,0,1,北京,北京,北京,中国
2,4905321736440442,秋水文鸳,2023-05-25 16:28:21,#空调开18度的领导离职了#那不是领导，那是海鲜 ,0,1,0,江苏,苏州,江苏,中国
2,4905321712320862,礼泉检察,2023-05-25 16:28:14,网友讨论～#空调开18度的领导离职了#，无论如何，关注健康分享知识#微分享# 【跟着视频学，洗空调不花1分钱，还不费劲儿】 天气渐渐热起来，你家的空调清洁过了吗？空调长期不清洗，不仅影响制冷，还会诱发支气管哮喘等疾病！跟着视频学，自己动手，省钱省力还干净。转需不谢！via@人民日报 @法治四川 #法姐分享# 法治四川的微博视频,0,0,0,,咸阳,陕西,中国
2,4905321279522279,两万贰,2023-05-25 16:26:32,#空调开18度的领导离职了# 空调18度和26度吹出来的风是一样的温度，基本都是13度左右（空调质量不一样，出风口温度也不一样），区别就是不同的温度，空调运转时间长短不一样，等空调达到设定温度后，就会停或者低速运转。 ,0,0,1,浙江,杭州,浙江,中国
