页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4905320414971287,我就是喜欢撅嘴的佳鸽-诗奕版,2023-05-25 16:23:06,#谢楠说吴京最长一年半不回家# 虽然一年半不回家但是还是可以见到面吧，不还是一样恩爱嘛 ,0,0,2,吉林,延边,吉林,中国
2,4905320335546680,CHH19991226,2023-05-25 16:22:47,#谢楠说吴京最长一年半不回家#我也想要这样的老公你负责赚钱养家我负责貌美如花，哈哈，开玩笑，不过谢楠自己也很有能力，内娱最喜欢的一对夫妻了，很真 ,0,0,1,浙江,温州,浙江,中国
2,4905320217841002,小贝想world-tour,2023-05-25 16:22:19,#谢楠说吴京最长一年半不回家#明星还好吧，至少还有钱。没钱家庭两地分居，一个人拼命挣钱，一年就探亲假回来一次，一个人带娃也要上班挣钱生活才勉强过的下去。这种太多了 ,0,0,2,四川,,四川,中国
2,4905302544090767,思姐观脸,2023-05-25 15:12:05,谢楠吴京组合 一个鼻小颧高责任心爆棚爱管事 一个鼻大颧低自我意识极高不服管 这种组合的夫妻偶尔分开、出差、分床睡实际算是一种化解危机。天天在一起拌嘴就各奔东西了。#谢楠说吴京最长一年半不回家# ,4,2,11,广东,东莞,广东,中国
2,4905319300337833,会飞的兔子825,2023-05-25 16:18:40,#谢楠说吴京最长一年半不回家#  我觉得这是最好的夫妻关系！一个主内一个主外，互相理解，包容，为了一个家打拼！没有小三，没有出轨！ ,0,0,5,上海,上海,上海,中国
2,4905319216716422,Jackeewu,2023-05-25 16:18:20,#谢楠说吴京最长一年半不回家#为了赚钱真实拼了老命，打工人很多这样的 ,0,0,0,广东,深圳,广东,中国
2,4905319211470918,月落星沉Atopos,2023-05-25 16:18:19,#谢楠说吴京最长一年半不回家# 其实在外面你想做点啥事都不是很容易的，一般都只看到成功后的光鲜亮丽和人声鼎沸。在这个过程中需要承担的风险和责任与成功是对等的，所以说背后默默支持的人更不容易。 ,0,1,2,湖北,武汉,湖北,中国
2,4905311217388188,娱情舆理,2023-05-25 15:46:33,#谢楠说吴京最长一年半不回家#吴京的成功少不了他老婆谢楠的支持和理解！其实不光是演员，还是有很多职业的人也长时间回不了家，真是各行有各行的艰辛。在工作的地方待这么长时间陪伴不了家人，如果是你能接受另一半长久不在身边吗？ ,1,25,287,福建,福州,福建,中国
2,4905318833979832,耶耶小奶包_,2023-05-25 16:16:48,#谢楠说吴京最长一年半不回家#太忙了吧 我感觉他们很恩爱又长久这一对也好好磕张彬彬 错过宁安如梦为什么这么说？ ,0,0,1,广东,深圳,广东,中国
2,4905318201429270,你好我是小猫吐司,2023-05-25 16:14:18,#谢楠说吴京最长一年半不回家#吴京能够向我们呈现出许多部优秀的作品，不只有自身的努力还有谢楠在背后提供的强大支持。谢楠把家里管理的井井有条，吴京才能够安心的工作。这样的夫妻和谐相处模式很让人羡慕了 ,0,1,2,河北,唐山,河北,中国
3,4905317965500894,重生之王丽本人,2023-05-25 16:13:22,#谢楠说吴京最长一年半不回家# 好可怜哦，真让人心疼 要不让吴京来上我的班，我去替他受这份苦吧 ,0,0,2,江苏,南京,江苏,中国
3,4905317785928074,小女孩看热剧,2023-05-25 16:12:38,#谢楠说吴京最长一年半不回家#谢楠在节目里透露了吴京曾经拍戏一年半不回家，她自己在家里带着孩子真的感觉很辛苦。果然成功男人的背后一定会有一个女人做最坚实的后盾，真的太佩服谢楠。 ,0,0,0,河北,唐山,河北,中国
3,4905317731667942,Lynne661971,2023-05-25 16:12:26,#谢楠说吴京最长一年半不回家# 有多少在外打工人几年都不回家，比起来挣的钱微不足道。所以很难共情。 ,0,0,13,广东,深圳,广东,中国
3,4905306558304014,当代娱乐,2023-05-25 15:28:02,#谢楠说吴京最长一年半不回家# 在《当燃青春》这档节目里，谢楠说吴京曾经“一年半”没有回家，言辞中虽然没有抱怨，但也能听出一点委屈。作为吴京最坚实的后盾，谢楠一个人要带两个娃，其中的心酸也只有她自己知道。看来京哥平时除了忙事业，也要多回家陪陪楠姐啊 ,273,305,373,,长沙,湖南,中国
3,4905316934747064,护肤,2023-05-25 16:09:16,#谢楠说吴京最长一年半不回家#   吴京老师在外面工作，离不开谢楠的理解支持啊，两个人就是因为有爱才能一直如此 (源于网络，侵删) 护肤的微博视频 ,0,0,1,山西,忻州,山西,中国
