页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905345681985730,是只小虾虾,2023-05-25 18:03:30,#四川会理发生重大刑事案件#看起来面就不善，希望尽快抓捕，别再伤及无辜了！ ,0,0,3,河南,鹤壁,河南,中国,star 5
2,4905047609311697,新浪热点,2023-05-24 22:19:03,#四川一地警方悬赏缉拿42岁在逃嫌疑人#【#四川会理发生一起重大刑案#：42岁嫌疑人潜逃，警方悬赏缉拿】　5月24日，四川省凉山州会理市公安局发布悬赏公告称，5月23日，会理市发生一起重大刑事案件。顾廷华（男，42岁，身份证号：51342519800808181X，户籍地：四川省会理市彰冠镇万红村12组34号）有重大嫌疑。该人身高约1.7米，短发，中等身材，会理口音，作案后潜逃，潜逃时驾驶一辆红色无牌摩托车。　警方希望广大群众提供线索，举报、动员、规劝在逃人员投案自首。对抓获犯罪嫌疑人提供有价值线索，经查证属实的，对举报人予以奖励五千至一万元人民币，对直接抓获的奖励两万元人民币，并对举报人严格保密。同时，对窝藏、包庇、资助在逃人员的将依法追究刑事责任。举报电话：李警官：18981552601杨警官：18981552686（成都商报）,7,29,48,,,,,star 4
2,4905344905516144,痞_蜀黍,2023-05-25 18:00:25,会理发？发生重大刑事案件？#四川会理发生重大刑事案件# ,0,0,1,贵州,六盘水,贵州,中国,star 5
2,4905308411396699,大强,2023-05-25 15:35:24,#四川会理发生重大刑事案件#中国地大物博人口众多，单看网络，不是今天这发生打架斗殴，就是后天发生刑事案件。但是扪心自问，现实中的我们一年能遇到几次这样的事情，还不是因为网络拉近了各地方信息传播的距离，猛的一看感觉这种事件多了，其实不然。你看看老美和中东一些国家，不是打仗就是枪击，咱们国家不说已经做到夜不闭户吧，起码在大晚上可以随意出行。一些醉汉夜宿街头时，也不见丢任何东西，而且基本被路人报警后拉医院睡觉去了。满满的安全感啊！很反感有些人，一边享受着安全无忧的生活环境，一边拿着放大镜诋毁咱们的治安环境，这些人有些是说话不经大脑，有些人是唯恐天下不乱歪曲事实。,19,59,189,重庆,重庆,重庆,中国,star 4
2,4905324269535930,Mr_Dong23,2023-05-25 16:38:25,#四川会理发生重大刑事案件#  “以前也有只不过现在信息发达了”  信息也不是今年发达的 ,0,0,15,天津,天津,天津,中国,star 3
2,4905343283102372,远去背影,2023-05-25 17:53:57,#四川会理发生重大刑事案件#一般情况下，一说重大刑事案件，就是发生了命案，不是杀人，就是伤害致死，或抢劫致人死亡！而悬赏通缉并且向社会全网通报的，一般都不是死亡一人的，所以，重大刑事案件真的让人触目惊心，必须尽早把嫌疑人抓获归案！但是，这些年看媒体上网上的公安通报和悬赏通缉的公文，最好是把案由标明，或者说明案件性质，哪怕叙述几句简单案情，让公众百姓一看就知道发生了啥事，嫌疑人作了啥案，这样，有利于民众留下深刻印象，便于在日常生活中发现和留意嫌疑人！,0,0,3,北京,北京,北京,中国,star 5
2,4905342407021402,山东事儿哥,2023-05-25 17:50:29,#四川会理发生重大刑事案件#这个事挺让人震惊。由此，很多人不禁问：那么正常理发的时候，如果头发长了怎么办呢？ ,0,0,0,山东,滨州,山东,中国,star 4
2,4905341352938921,闻舞,2023-05-25 17:46:18,#四川会理发生重大刑事案件#各地重大刑事案件频发，基层潜存的矛盾不容忽视。 ,0,0,0,山东,滨州,山东,中国,star 4
2,4905341084767201,娱乐圈社长Sibe,2023-05-25 17:45:14,#四川会理发生重大刑事案件# 虽然是严肃的事情，但是这个地名连起来，“会理发”？？有没有人和我一样 ,0,0,0,北京,北京,北京,中国,star 4
3,4905340989344630,壹點觀,2023-05-25 17:44:51,到处都是重大…是什么后遗症？#四川会理发生重大刑事案件# ,0,0,1,江苏,淮安,江苏,中国,star 4
3,4905340544225436,刘松涛VVV,2023-05-25 17:43:05,四川凉山发生重大刑事案件 警方发布悬赏公告 #四川会理发生重大刑事案件#  网页链接 ,1,0,0,北京,北京,北京,中国,star 4
3,4905340174862211,刘江315,2023-05-25 17:41:37,四川会理发生重大刑事案件！42岁嫌疑人潜逃，警方悬赏缉拿 @新浪新闻 四川会理发生重大刑事案件！42岁嫌疑人潜逃，警方悬赏缉拿 ,0,0,0,四川,成都,四川,中国,star 5
3,4905339537589794,頋紅,2023-05-25 17:39:05,#四川会理发生重大刑事案件#2万人民币的悬赏。现在还有赏金猎人吗？没点硬背景、硬实力干不了啊…… ,0,0,2,山东,青岛,山东,中国,star 4
3,4905339424868187,夏天就足以让人快乐,2023-05-25 17:38:38,#四川会理发生重大刑事案件# 我就晓得会理每次上热搜都没啥子好事😅 ,0,0,1,四川,成都,四川,中国,star 4
3,4905339290125956,羡兔子一只1005,2023-05-25 17:38:06,#四川会理发生重大刑事案件#也不知道到底发生什么重大行事案？？希望尽快找到嫌疑犯吧！大家要注意安全！好好保护自己。 ,0,0,0,湖南,郴州,湖南,中国,star 1
3,4905339089060538,人生长裟水长安6,2023-05-25 17:37:18,#四川会理发生重大刑事案件#评论里说是因为网络传播速度太快了才会感觉恶性案件增加了，可是我又不是第一天上网，增加没增加会没有感觉，接下来就自求多福，各安天命吧 ,1,0,3,河南,济源,河南,中国,star 4
3,4905339038728390,郝吉林,2023-05-25 17:37:05,#四川会理发生重大刑事案件# 不用身份证，只能躲到山上去。吃野果喝泉水。跑不了多久，很快就会被拿到。跑了没用，不如自首。 ,0,0,3,山西,太原,山西,中国,star 3
3,4905338656789692,杨伊凡y,2023-05-25 17:35:35,#四川会理发生重大刑事案件#这种事情每天都有，昨天还看了一个当街被看掉手的视频，看评论说是砍错人了？ ,0,0,0,广东,珠海,广东,中国,star 2
3,4905301453049891,916jnk,2023-05-25 15:07:45,#四川会理发生重大刑事案件#吉林丢那么多大学生咋就没上个热搜啊 ,4,25,32,吉林,吉林市,吉林,中国,star 4
4,4905337791975730,菜英俊,2023-05-25 17:32:09,其实并不是最近恶性事件频发，只是现在网络发达发生点事根本瞒不住，所以有些人也不要阴阳怪气说国内治安不好了！  #四川会理发生重大刑事案件# ,0,2,7,上海,上海,上海,中国,star 4
4,4905337503355312,YOLO_吼,2023-05-25 17:31:00,#四川会理发生重大刑事案件# 眼神好吓人啊 ,0,0,1,新疆,乌鲁木齐,新疆,中国,star 5
4,4905336471818174,墩墩酾酾,2023-05-25 17:26:54,#四川会理发生重大刑事案件# 等到现在也没看见究竟是怎么了？越是这样越是案件重大吧？ ,0,1,3,江苏,南京,江苏,中国,star 3
4,4905335473574286,zfw平安浦城,2023-05-25 17:22:56,#四川会理发生重大刑事案件# 5月24日，#四川警方悬赏缉拿42岁嫌疑人#：会理发生重大刑事案件，顾廷华有重大嫌疑，该人身高1.7米，短发，中等身材，作案后驾驶红色无牌摩托车潜逃，警方悬赏缉拿，直接抓获奖励两万，望大家提供线索。 浙江之声的微博视频 ,11,16,25,,南平,福建,中国,star 4
4,4905335113124563,大猫猫猫王,2023-05-25 17:21:30,#四川会理发生重大刑事案件#  已经进山了 往东北方向跑的（案发地的东北）无人机找起来 小心他伤及无辜女性 ,0,4,0,四川,成都,四川,中国,star 4
4,4905333674214023,竹山检察,2023-05-25 17:15:46,#会理警方悬赏缉拿重大刑案嫌疑人#【四川会理发生一起重大刑案：嫌疑人潜逃，警方悬赏缉拿】5月24日，四川省凉山州会理市公安局发布悬赏通告：5月23日，会理市发生一起重大刑事案件。嫌疑人作案后潜逃，潜逃时驾驶一辆红色无牌摩托车。网页链接 澎湃新闻的微博视频 澎湃新闻的微博视频 澎湃新闻的微博视频,0,1,1,,十堰,湖北,中国,star 3
4,4905333526627580,Y柚柚糯米麻薯,2023-05-25 17:15:12,#四川会理发生重大刑事案件#为什么总是发生这种事 ,0,1,0,河南,郑州,河南,中国,star 4
4,4905333489142028,黄胜友,2023-05-25 17:15:03,#四川会理发生重大刑事案件#这里是少数民族聚集地。抓住犯罪嫌疑人了吗？普通老百姓发现线索还是报警为好，这样刑事案件的犯罪嫌疑人都是亡命徒。 ,0,2,5,湖北,武汉,湖北,中国,star 1
4,4905333149406292,被新郑市机关单位杀死的张哲,2023-05-25 17:13:42,#四川会理发生重大刑事案件# 这种事情越来越多了 #实名举报新郑市领导马志峰、朱郁琦、朱海新残害群众生命健康财产##新郑市G107使用假信号灯残害群众生命健康财产# @紫光阁 @新郑发布 @郑州发布 @中国交通 @河南政府网 @公安部交通管理局 @河南省交通事业发展中心 @中国政府网 @平安中原 @清风新郑 ,0,0,0,河南,郑州,河南,中国,star 5
4,4905332998146725,风起月汐,2023-05-25 17:13:06,#四川会理发生重大刑事案件#其实吧，不说在我国，在全球每天都有无数的刑事案件发生，在网上刷到的也只是极个别例子而已，无需惊慌 ,0,0,0,广东,茂名,广东,中国,star 4
5,4905332122061205,陇南成县抛沙司法所,2023-05-25 17:09:37,【#四川会理发生重大刑事案件#】#四川警方悬赏缉拿42岁嫌疑人#：作案后驾驶红色无牌摩托车潜逃。 ,0,0,0,,陇南,甘肃,中国,star 4
5,4905321518335394,潜意识幸福68,2023-05-25 16:27:29,#四川会理发生重大刑事案件#大唐盛世，如尔等所愿 ,0,13,28,陕西,西安,陕西,中国,star 4
5,4905286013815452,李英俊律师,2023-05-25 14:06:24,#四川会理发生重大刑事案件#与往年相比，全国范围内，今年重大刑事案件的发案量有没有增加？,5,66,744,四川,成都,四川,中国,star 4
5,4905272546170430,疯狂的幽灵1314,2023-05-25 13:12:53,#四川会理发生重大刑事案件#这通报没说清楚是什么事就敢怂恿人民去抓人，万一出事情怎么办 ,0,19,229,广西,南宁,广西,中国,star 2
5,4905330724570583,每天文章推荐,2023-05-25 17:04:04,#四川会理发生重大刑事案件#《突发！四川会理发生重大刑案，嫌疑人长相凶狠，杀死叔叔后潜逃》  突发！四川会理发生重大刑案，嫌疑人长相凶狠，杀死叔叔后潜逃 ,0,0,1,福建,宁德,福建,中国,star 4
5,4905330591665472,浮云月中M,2023-05-25 17:03:32,来来来都看看#四川会理发生重大刑事案件# ,0,0,5,北京,北京,北京,中国,star 5
5,4905330175906409,轻漾之舟,2023-05-25 17:01:53,#四川会理发生重大刑事案件#类似新闻的过份报道会产生模仿效应，并会大大降低罪犯的羞耻感。 ,0,0,5,广东,广州,广东,中国,star 4
5,4905330170921747,诗人山月,2023-05-25 17:01:52,#四川会理发生重大刑事案件#从现在开始为人温和，不和任何人起冲突。吃哑巴亏也很好。做个快乐的笑面虎！ ,0,2,3,河北,廊坊,河北,中国,star 5
5,4905329584768922,相思肖,2023-05-25 16:59:32,#四川会理发生重大刑事案件#最近案件有点多，也没说是啥。 ,0,0,2,江西,赣州,江西,中国,star 4
6,4905328514435722,思想杂谈,2023-05-25 16:55:17,#四川会理发生重大刑事案件#望大家提供线索 ,1,0,1,安徽,黄山,安徽,中国,star 5
6,4905299246584274,兴动朵,2023-05-25 14:58:59,#四川会理发生重大刑事案件#什么事情看了半天原因是什么？是老实人被逼急了还是有意  故意伤人？ ,0,11,14,福建,,福建,中国,star 3
