页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905348408279712,古黛鱼,2023-05-25 18:14:20,#女孩剪了一撮头发家长赔了1万多#？？？你对一撮有什么误解吗？ ,0,0,0,江苏,常州,江苏,中国,star 1
2,4905348375515207,畔夏,2023-05-25 18:14:12,#女孩剪了一撮头发家长赔了1万多# 一个小孩拿剪刀乱玩，幸好这次只是剪到头发 ,0,0,1,海南,三亚,海南,中国,star 5
2,4905348329114151,LDL漠北北极光DAYTOY,2023-05-25 18:14:01,#女孩剪了一撮头发家长赔了1万多#孩子闯祸家长赔礼道歉很正常，话说现在的神兽真难管，一不小心就会闯祸 ,0,0,0,甘肃,兰州,甘肃,中国,star 1
2,4905333880002704,养猫搞钱打游戏,2023-05-25 17:16:36,#女孩剪了一撮头发家长赔了1万多#家长赔了钱亏了，女子头发被剪也很亏，到底是谁赢麻了 ,0,7,21,浙江,杭州,浙江,中国,star 1
2,4905348069067645,战小饭,2023-05-25 18:12:59,#女孩剪了一撮头发家长赔了1万多#所以剪刀这种东西一定要放好，千万别让小孩子拿到 ,0,0,1,浙江,湖州,浙江,中国,star 3
2,4905348047837005,随便逛逛的路人该写名字啦,2023-05-25 18:12:54,#女孩剪了一撮头发家长赔了1万多#就没人注意到小孩头上贴着退热贴吗？就光共情女顾客被剪了头发惨，那小孩子发烧，经历这整个过程，回家还要被家长教育，怎么没人说呢？小孩子就是看理发师在剪头发，要模拟很正常啊。那理发店的理发师为什么会离开顾客？理发师一般不都紧紧跟着顾客吗？而且为什么协调后的结果是接发？而且在同一家理发店接发？理发店呢，理发师呢？美美隐身赚钱了？理发师才应该负全责啊，自己的顾客都看不好。,1,0,2,北京,北京,北京,中国,star 1
2,4905347913876700,老王的格桑花,2023-05-25 18:12:22,#女孩剪了一撮头发家长赔了1万多#   顾客心疼头发，家长赔了钱，都无可指摘。就是这个理发店，纯赚啊，在你店里发生的事，你不但不用承担责任，还含泪赚了11500 ,0,0,2,山东,青岛,山东,中国,star 1
2,4905347728545566,一只活了一百万次的猫,2023-05-25 18:11:38,#女孩剪了一撮头发家长赔了1万多# 单看题目:至于么！  看到图片:啊啊啊啊啊啊啊啊啊啊啊！赔我头发！  我可能当场发疯 ,0,0,0,天津,天津,天津,中国,star 1
2,4905347645442204,春华华秋果果,2023-05-25 18:11:18,#女孩剪了一撮头发家长赔了1万多#家长正确引导，孩子以后长记性，不闯祸，1万多就不贵……不然，孩子下次剪爱马仕，再下次剪豪车，再下次直接剪人，1万更不算啥了……只是孩子的教育成本太高了…… ,0,0,1,北京,北京,北京,中国,star 4
2,4905347359704355,樂吖无限,2023-05-25 18:10:10,#女孩剪了一撮头发家长赔了1万多#这发量，这剪的这大把都是我头发的一半了，不过剪刀是利器，家长真的需要提醒教育小孩不能随便碰。 ,0,0,2,四川,成都,四川,中国,star 4
3,4905329911927956,吃瓜女汉子d,2023-05-25 17:00:50,1.2w多？都在说这点头发真值钱，剪的不是你们头发净在这里说风凉话，好好一头长发剪的这样还能看？旁边不还有一个脑袋，她咋不剪自家妈脑袋呢，手多就是要付出代价  #女孩剪了一撮头发家长赔了1万多# ,2,15,451,广东,深圳,广东,中国,star 1
3,4905347213165516,郭得友倒拔垂杨柳,2023-05-25 18:09:35,#女孩剪了一撮头发家长赔了1万多#我的关注点是：小姐姐头发好厚啊，羡慕；理发店赚麻了，羡慕。今天又是羡慕别人的一天 ,0,0,0,山东,青岛,山东,中国,star 5
3,4905347183023451,千度Light,2023-05-25 18:09:28,#女孩剪了一撮头发家长赔了1万多#长发真的很难留，为了我的长发留到了大三才差不多滴，一般到这个长度就说明人家很在意自己的头发啊，这个标题是想？？ ,0,0,0,广西,柳州,广西,中国,star 1
3,4905347179086318,这个博主是小枫,2023-05-25 18:09:26,#女孩剪了一撮头发家长赔了1万多#理发店：接个大活儿，以后得把这孩子当祖宗供起来！ 不仅不用负责还赚了一万块，赢家啊，比尔盖茨都没你们会做生意 ,0,0,0,天津,天津,天津,中国,star 1
3,4905347167551773,色柿子树,2023-05-25 18:09:23,#女孩剪了一撮头发家长赔了1万多# 这都有三分之一头发了 还一撮？ ,0,0,1,辽宁,大连,辽宁,中国,star 1
3,4905347145533151,·悬崖上的多妞·,2023-05-25 18:09:19,#女孩剪了一撮头发家长赔了1万多# 你管这叫一撮？？一撮头发和一把头发是不一样的吧 ,0,0,0,河南,焦作,河南,中国,star 1
3,4905347016037533,花蕊语_初见,2023-05-25 18:08:48,#女孩剪了一撮头发家长赔了1万多#这都剪掉一半了啊，接头发是要花时间的，为什么还得人家时间出500，真是的。 ,0,0,1,中国香港,,香港,中国,star 1
3,4905346990611059,hybd666888,2023-05-25 18:08:42,#女孩剪了一撮头发家长赔了1万多#剪了这么一大把，看着闹心，头发多会才能长大以前的长度啊 ,0,0,0,山西,晋中,山西,中国,star 2
3,4905346983003295,三只小茶杯,2023-05-25 18:08:40,#女孩剪了一撮头发家长赔了1万多# 刚发了上面一条微博，就看到这个热搜，如果你是孩子家长，会打孩子吗？  打的话下手轻点 ,0,0,0,广东,揭阳,广东,中国,star 5
3,4905346856649972,绿绮扶槛,2023-05-25 18:08:10,#女孩剪了一撮头发家长赔了1万多#首先小孩确实有问题，但是真的还是要接发留长发吗？减掉更省事！ ,0,1,0,山东,潍坊,山东,中国,star 3
4,4905346818638273,OH-JiE,2023-05-25 18:08:01,#女孩剪了一撮头发家长赔了1万多#  犯错就要承担后果。  谁喊你平时 不教育好小孩。  她怎么不剪她妈的头发。  出门在外，没人会惯着“你”。 ,0,0,5,广东,深圳,广东,中国,star 1
4,4905346810255746,葡萄味记录册,2023-05-25 18:07:59,#女孩剪了一撮头发家长赔了1万多# 大把还是一撮？没学过语文还是不认识大小 ,0,0,3,北京,北京,北京,中国,star 2
4,4905346746812289,不知羞o,2023-05-25 18:07:44,#女孩剪了一撮头发家长赔了1万多# 你的一撮我的一把 好像不一样？？？ ,0,0,1,山东,潍坊,山东,中国,star 1
4,4905346742624204,玄寅月,2023-05-25 18:07:43,#女孩剪了一撮头发家长赔了1万多# 这下家长该长脑子了带孩子出门不看好，活该 ,0,0,0,马来西亚,,马来西亚,马来西亚,star 1
4,4905346546271039,淇淇落落,2023-05-25 18:06:55,#女孩剪了一撮头发家长赔了1万多# 这一撮有点大 剪刀是利器 要看好孩子啊 ,0,0,0,上海,上海,上海,中国,star 5
4,4905346341017088,安迪造福开运命理师,2023-05-25 18:06:07,#女孩剪了一撮头发家长赔了1万多# 子不教，父之过，教不严，就罚钱！ ,0,0,3,,,,中国,star 1
4,4905346152008999,非必要不何作,2023-05-25 18:05:22,#女孩剪了一撮头发家长赔了1万多#小孩子拿着剪刀幸好没剪到其他地方，这么危险家长都不看着的嘛 ,0,0,3,广东,广州,广东,中国,star 1
4,4905346122390815,就是菲菲菲呀,2023-05-25 18:05:15,#女孩剪了一撮头发家长赔了1万多#女生很注意自己的头发的好吗 这钱赔的少了 ,0,0,0,广西,南宁,广西,中国,star 1
4,4905346096957050,X5V587,2023-05-25 18:05:09,#女孩剪了一撮头发家长赔了1万多# 这不是一点头发了吧？不过小孩子家长没管好，赔也是应该的。花钱买教训吧 ,0,0,0,上海,上海,上海,中国,star 1
4,4905345983976820,贾斯托愛瓜瓜,2023-05-25 18:04:42,#女孩剪了一撮头发家长赔了1万多# 媒体为了挑起矛盾故意说是一小撮头发，假以时日是不是视频它们也会p成它们想要的样子 ,0,0,0,四川,成都,四川,中国,star 1
5,4905334814017522,Doctorcui,2023-05-25 17:20:19,#女孩剪了一撮头发家长赔了1万多#这是一撮吗 而且为什么顾客还要出钱 火上来了 ,0,0,37,北京,北京,北京,中国,star 1
5,4905345904280608,星晨繁花,2023-05-25 18:04:23,#女孩剪了一撮头发家长赔了1万多#熊孩子也算得到教训了。可怜了被剪的。 ,0,0,0,广东,,广东,中国,star 1
