页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905305312070085,瑞瑞妈的实穿主义,2023-05-25 15:23:05,#女生黄体破裂医生暖心陪护参加中考#科普一下黄体破裂，转（发现很多人的医学常识近乎0，尤其是某些在pl区造黄谣的）：1⃣️并不是一定同房之后才会破裂，有的女孩子真就是憋尿 拉粑粑太用力也会破裂，经期前一周一定要注意。2⃣️肚子疼赶紧去医院。不单单是小肚子疼，黄体破裂可能会觉得肚脐眼以下的部位都疼。这个病是个急腹症，如果没有正确的治疗，分分钟都有生命危险。3⃣️关于做手术，大家不要有太大的压力，千万不要因此耽误病情。,0,1,93,北京,北京,北京,中国,star 4
2,4905345316817333,捞姐,2023-05-25 18:02:03,#女生黄体破裂医生暖心陪护参加中考#建议不懂得可以去了解，而不是一上来就无知的骂请对女生多一点关怀，对医护多一点暖心 ,0,0,2,湖北,武汉,湖北,中国,star 3
2,4905344700518944,泪泪泪酱,2023-05-25 17:59:36,#女生黄体破裂医生暖心陪护参加中考# 黄体破裂真的很难受的……考生太不容易了 ,0,0,3,湖北,武汉,湖北,中国,star 4
2,4905344633932012,咪823,2023-05-25 17:59:20,#女生黄体破裂医生暖心陪护参加中考#黄体破裂是整个从胸口到小肚子，这一段都在痛苦先从上腹部胃部不适慢慢下转，人分三段整个中段位置疼的怀疑人生！！！ 剧痛还要挨着，去医院做一堆检查。。 ,0,0,0,广东,深圳,广东,中国,star 1
2,4905305316786917,毅妤紅妆,2023-05-25 15:23:06,#女生黄体破裂医生暖心陪护参加中考#  有些人真的是不懂可以去baidu，导致黄体破裂的原因有很多，而你就只知道造黄谣。 ,6,17,665,重庆,重庆,重庆,中国,star 1
2,4905343643812175,内江公安,2023-05-25 17:55:23,健康冷知识：警惕青春杀手，黄体破裂 。#女生黄体破裂医生暖心陪护参加中考# ,0,0,0,,内江,四川,中国,star 4
2,4905343400282500,孙旖Jojo医生,2023-05-25 17:54:26,#女生黄体破裂医生暖心陪护参加中考##让她健康# 黄体破裂，Jojo医生之前也科普过。黄体囊肿，属于卵巢瘤样病变。是在我们排卵之后，卵巢上形成的生理性的囊肿，一般是单侧，壁薄，大多数小于8cm。黄体囊肿形成后，一般会在2-3个月自然消失。但是偶尔情况下，可能会导致黄体囊肿破裂，会引起腹腔内出血。一、什么情况会引起黄体破裂呢？1⃣️一种是自发性破裂。比如由于凝血功能不全导致黄体的自发性破裂。2⃣️第二种是腹压升高导致的。当腹部受到撞击、剧烈跳跃奔跑，甚至有的姐妹在用力解大便、用力咳嗽后也会导致腹压升高引起黄体破裂。3⃣️第三种就是滚床单引起的（也是我们临床医生最常见到）。性GC时，黄体内张力被迫升高，加之对方动作太粗暴，也会导致黄体破裂。二、黄体破裂都要手术吗？黄体破裂之后，经过严重程度不一样，接近一半患者会自然痊愈。对于单纯性黄体囊肿破裂患者，如果没有持续活动性出血、感染等问题，则无需手术。我们推荐观察而非手术干预。但是如果是女生大出血到休克那必须得手术治疗。我曾经也遇到过一个患者几年内2次因为黄体破裂导致腹腔出血来院手术的。三、如何避免黄体破裂呢？鉴于太多姐妹是因为同房后引起的黄体破裂，大半夜肚子痛来看急诊，有姐妹开玩笑说，没对象就能保平安。哈哈，但对大多数人不现实。比较靠谱一点方法就是不要排卵。比如口服复方短效避孕药抑制排卵，不排卵了，黄体也就不会形成了。但口服复方短效避孕药，排卵可能性仍有大约2%。还有一种方法就是避开黄体破裂的诱因，比如尽量不要再黄体期做增加腹压的动作，不要在黄体期去安排功课等。最后的最后，Jojo再次强调，如果身体出现不舒服，一定不要拖，要及时去医院看医生！  网页链接,0,0,12,上海,上海,上海,中国,star 4
2,4905343073910972,李同学不化妆,2023-05-25 17:53:07,#女生黄体破裂医生暖心陪护参加中考#这些医护，真的在努力帮考生。 ,0,0,1,北京,北京,北京,中国,star 4
2,4905342901946689,上海律师裴仁超,2023-05-25 17:52:27,#女生黄体破裂医生暖心陪护参加中考#这个话题也怪有意思的！ 不写：女生受伤医生暖心陪护参加中考 特意把“黄体破裂”写出来，本来关注点在话题后面“陪护” 现在全是在关注破裂原因。 ,0,0,6,上海,上海,上海,中国,star 3
2,4905315033684121,李鸿政,2023-05-25 16:01:43,#女生黄体破裂医生暖心陪护参加中考#黄体破裂最常见的诱因是性生活，但不总是，所以大家不要看到黄体破裂就以为是性生活导致的。有些女生可能散个步、游个泳、扭个腰都出现黄体破裂了，因人而异。 ,6,58,925,广东,广州,广东,中国,star 4
3,4905342313435793,医生不饿,2023-05-25 17:50:07,#女生黄体破裂医生暖心陪护参加中考#夜班遇到过好多次腹腔出血的小姑娘，黄体破裂算是常见的病因了。诱因千奇百怪，大部分是腹部过于用力。出血量也有多有少，最多的腹盆腔都是血，还是挺恐怖的 ,0,2,5,江苏,,江苏,中国,star 4
3,4905341824012932,有钱家der兔子,2023-05-25 17:48:10,#女生黄体破裂医生暖心陪护参加中考#给医护工作者点赞，陪护需要承担风险，谢谢暖心的医生。 ,0,0,0,中国台湾,,台湾,中国,star 5
3,4905341235758872,Minecraft人生有梦bOT,2023-05-25 17:45:50,#女生黄体破裂医生暖心陪护参加中考#O，嗯，所以说建议取消中考体育 ,0,0,1,,,,中国,star 4
3,4905340477636882,医疗圈那点事,2023-05-25 17:42:48,#女生黄体破裂医生暖心陪护参加中考#黄体破裂还是很危险的。患者一般会有内出血，如果病情稳定，可以保守治疗。但是一旦出现大出血的话，就需要及时手术治疗，否则有可能引发失血性休克，危及生命。每个患者的病情程度有所不同，出血量也不一样，因此治疗的方式也不一样，医生陪同参加中考，对医患双方都是一种考验，还好有惊无险。,0,0,2,河北,廊坊,河北,中国,star 4
3,4905307626802885,生命时报,2023-05-25 15:32:17,【#黄体为什么会破裂# 】#女生黄体破裂医生暖心陪护参加中考# 正常黄体直径2~3厘米，位于卵巢表面，其中布满丰富的毛细血管。由于黄体张力较高但弹性差，因此容易破裂，可引发休克，甚至危及生命。1. 不当性生活临床中，黄体破裂的首要原因是不当性生活。据报道，70%的黄体破裂与激烈性行为有关。性生活时，女性生殖器官充血扩张，黄体内张力升高，如果动作太激烈，可引发内部血管破裂，出血进一步增加压力，最终导致黄体破裂。2. 下腹剧烈受力下腹受到撞击，剧烈跳跃，或用力咳嗽、排便等，也可造成腹腔内压力突然升高，促使成熟黄体破裂。3. 疾病因素合并盆腔炎症、卵巢充血或凝血机制异常也是可能原因，自发性黄体破裂较为少见。,13,0,19,,北京,北京,中国,star 4
3,4905338538824857,多买两件衣服怎么了,2023-05-25 17:35:07,#女生黄体破裂医生暖心陪护参加中考#这个热搜好巧，我这两天摔了一跤，昨天痛得忍不了，刚好在来例假前几天，怀疑黄体破裂，挂了今早最早的号做了检查，万幸没事。有时候打喷嚏剧烈运动什么的也有可能会破，所以例假前各位女生宝贝还是要好好休息 ,0,0,1,广西,桂林,广西,中国,star 5
3,4905338354532507,蒙牛特能酥,2023-05-25 17:34:22,#女生黄体破裂医生暖心陪护参加中考#上个礼拜去医院急诊，一小朋友阑尾炎，医生要求开刀，家里人说要等一个月后中考结束了才行 ,1,1,2,江苏,无锡,江苏,中国,star 4
3,4905336970156666,百年的老任,2023-05-25 17:28:53,#女生黄体破裂医生暖心陪护参加中考#谢谢科普一下看懂了尽量少剧烈运动我从来某镇上卫生院看病的我是胃炎的难受那，医院里购买还有好几个包药 ,0,0,0,河南,周口,河南,中国,star 5
3,4905320826537982,金刀王,2023-05-25 16:24:44,#女生黄体破裂医生暖心陪护参加中考#黄体破裂是妇科常见的急腹症之一，好发于14～30岁的年轻女性。【病因】1.自动破裂正常黄体内有少量出血，但如果出血太多，可能增加黄体内的压力，发生自发性黄体破裂。有人认为，血管黄体化期间，功能不全，易发生黄体内毛细血管出血，从而导致黄体破裂。2.外力作用如下腹受到撞击，以及剧烈跳跃、奔跑、用力咳嗽或解大便时，腹腔内压力突然升高，可促使成熟的黄体发生破裂。此外，性生活时女性生殖器官扩张充血，黄体内张力升高，加上男方动作粗鲁，女方下腹部受到强烈冲击，也可导致黄体破裂。治疗原则和宫外孕基本相同，有保守和手术两种方法。1.保守治疗部分黄体囊肿破裂出血不多者，经保守治疗破裂口可自行闭合。如经腹腔镜检查证实本病诊断，则保守治疗。以腹痛、积液消失为治愈。2.手术治疗发病急，临床症状重，内出血多或者合并宫外孕，尽早手术可减少失血量。方法为剖腹止血，破裂之黄体常须剔除后再行缝合。术中同时清除积血，新鲜内出血亦可行自体回输。,4,5,11,甘肃,兰州,甘肃,中国,star 4
3,4905336366695648,心心念檀_1005,2023-05-25 17:26:29,#女生黄体破裂医生暖心陪护参加中考#真好，医护人员都好暖心 ,0,0,0,山东,青岛,山东,中国,star 5
4,4905336157242904,超好吃的朱蛊力,2023-05-25 17:25:39,#女生黄体破裂医生暖心陪护参加中考#被科普了啥是黄体 破裂的原因  医生好暖心哦 ,0,2,10,江苏,南京,江苏,中国,star 5
4,4905335330969254,聊城共青团,2023-05-25 17:22:22,【黄体是一个能夺命的小囊腔】正常黄体直径2~3厘米，位于卵巢表面，张力较高但弹性差，易破裂，可引发休克，甚至危及生命。黄体破裂起病较急，往往为一侧下腹突然剧痛，可在短时间内发展为持续性坠痛，更严重时可出现恶心呕吐、肛门坠胀感等，也可有异常阴道出血。一旦盆腔内出血严重，患者可有大汗淋漓、面色苍白、心慌心悸、头晕乏力等休克症状，必须尽快就医。#女生黄体破裂医生暖心陪护参加中考##团青微课堂# （生命时报）,0,0,2,,聊城,山东,中国,star 4
4,4905334466939924,随风潜入叶为战而来,2023-05-25 17:18:56,#女生黄体破裂医生暖心陪护参加中考#这就是天使啊，她们在用心爱护，考虑到病人的情况，太暖心！给暖心的医护人员点个赞！ ,0,0,0,江苏,淮安,江苏,中国,star 5
4,4905334361817730,菓萊系笨O,2023-05-25 17:18:31,#女生黄体破裂医生暖心陪护参加中考#女性为何这样多灾多难，麻烦要死。姨妈加拍X期 都占了一个月的三分一了 ,0,0,2,广西,钦州,广西,中国,star 4
4,4905333828359886,命理师先验证过去,2023-05-25 17:16:24,#女生黄体破裂医生暖心陪护参加中考#怎么会导致黄体破裂呢？剧烈运动吗？憋尿也会导致，当然，有性生活的话，更容易导致#星座# ,0,2,0,江苏,苏州,江苏,中国,star 4
4,4905333341817265,做自由的崽,2023-05-25 17:14:28,#女生黄体破裂医生暖心陪护参加中考#黄体破裂过一次，去医院医生还说我暖巢也破解了要手术，最后我没做。真的超级疼，疼了几个小时又不太疼了，养了几天就没事了，真的超级疼。 ,0,0,3,陕西,西安,陕西,中国,star 4
4,4905333308527123,为梦坚持到底585,2023-05-25 17:14:20,#女生黄体破裂医生暖心陪护参加中考#医护人员真的很暖心很伟大❤️，顺便问一下什么是黄体破裂？ ,0,12,11,江西,赣州,江西,中国,star 5
4,4905332972720848,黄胜友,2023-05-25 17:13:00,#女生黄体破裂医生暖心陪护参加中考#黄体破裂不是新闻的关键，关键是医生的暖心陪护。好人。 ,0,1,4,湖北,武汉,湖北,中国,star 4
4,4905332462061104,武汉科技大学附属天佑医院,2023-05-25 17:10:58,#女生黄体破裂医生暖心陪护参加中考#【黄体破裂到底是怎么回事？】黄体为啥会破裂呢？一般有两种原因：第一种是自发性的。黄体的前身是血体，如果女生的凝血功能并不是很好，黄体内血液量可能会增多，使黄体腔内压力升高，可能导致破裂。这种情况属于自发性的破裂。第二种是受到外力的冲击。如果女生在黄体期的时候，受到剧烈的外力冲击，让腹腔内压力骤然升高，就会导致黄体破裂。就比如:剧烈的运动、大力咳嗽、性生活、甚至便秘，都有可能是黄体破裂的诱因。#天佑健康小课堂#,0,0,1,,武汉,湖北,中国,star 4
4,4905332344882278,外太空的小狗狗,2023-05-25 17:10:30,#女生黄体破裂医生暖心陪护参加中考#再也不来大姨妈跑八百米了 ,0,0,0,安徽,合肥,安徽,中国,star 5
5,4905332343574592,淮南物语,2023-05-25 17:10:30,#女生黄体破裂医生暖心陪护参加中考#光看着文字介绍就已经幻痛了，而且诱发因素好多啊很难避免 ,0,0,2,海南,,海南,中国,star 4
5,4905332185238327,泪泪泪酱,2023-05-25 17:09:52,#女生黄体破裂医生暖心陪护参加中考# 医护工作人员真的辛苦了，不容易，帮大忙了 ,0,0,4,湖北,武汉,湖北,中国,star 5
5,4905332068058343,喵小柒xz,2023-05-25 17:09:24,#女生黄体破裂医生暖心陪护参加中考#  女生经期不要剧烈运动 要多休息 很暖心的医生  祝妹妹中考顺利 ,0,0,0,云南,,云南,中国,star 5
5,4905331929387351,苏尔佳的傻瓜氏,2023-05-25 17:08:51,#女生黄体破裂医生暖心陪护参加中考#我也好怕黄体破裂，我去查了，大夫说我是排卵疼，我好怕他误诊 ,0,0,2,北京,北京,北京,中国,star 5
5,4905331802510677,兔女郎Amily,2023-05-25 17:08:21,#女生黄体破裂医生暖心陪护参加中考# 给医护工作者点赞，确实需要宣传一下医患正能量……… ,0,2,16,上海,上海,上海,中国,star 4
5,4905300526373211,大叔易学,2023-05-25 15:04:04,见转赞《贵人符》，即得贵人提携，事业工作稳定，升职加薪有望了 #女生黄体破裂医生暖心陪护参加中考##女子连跳3天毽子操后黄体破裂# ,64,7,172,安徽,亳州,安徽,中国,star 4
5,4905331282939044,山月风禾,2023-05-25 17:06:17,#女生黄体破裂医生暖心陪护参加中考# 小血管特别多，如果一不小心破了，就是出血甚至是大出血！大家多多注意。不舒服要及时就医。谢谢暖心医生。谢谢科普。 ,0,2,49,上海,上海,上海,中国,star 1
5,4905330826286123,泽桥健康,2023-05-25 17:04:28,女性必看！揭秘黄体破裂的秘密，月经周期中的关键时刻！#女生黄体破裂医生暖心陪护参加中考##微博健康公开课##泽桥健康# 泽桥健康的微博视频 ,0,0,1,北京,北京,北京,中国,star 5
5,4905330192681044,无趣少女Estelle,2023-05-25 17:01:57,#女生黄体破裂医生暖心陪护参加中考#黄体破裂会死的，深圳中考不能复读重考吗？或者特殊情况申请读私立的高中？命重要啊 ,0,0,0,贵州,贵阳,贵州,中国,star 4
5,4905329945215959,吃一口小苏饼,2023-05-25 17:00:58,#女生黄体破裂医生暖心陪护参加中考#暖心的医生哦，涨知识了 ,0,0,8,浙江,台州,浙江,中国,star 5
6,4905329944958704,陆陆星河i,2023-05-25 17:00:58,#女生黄体破裂医生暖心陪护参加中考#  黄体破裂是因为憋尿吗？ ,0,3,6,吉林,长春,吉林,中国,star 4
6,4905329920049282,云南网,2023-05-25 17:00:51,【转存！关于黄体破裂，这些你必须知道！】近日，深圳一#女生黄体破裂医生暖心陪护参加中考#引发关注。什么是黄体？黄体为什么会破裂？黄体破裂之后，会有什么症状？黄体破裂如何预防？一起来看↓（“兴国县妇幼保健院”微信公众号） ,6,0,5,,昆明,云南,中国,star 5
6,4905329639558490,六六不够酷,2023-05-25 16:59:45,#女生黄体破裂医生暖心陪护参加中考#谢谢科普，涨知识了。身体不适确实得尽早就医，给暖心医生点赞！ ,0,3,52,广东,深圳,广东,中国,star 5
6,4905329484367898,茵xiaozhan,2023-05-25 16:59:08,#女生黄体破裂医生暖心陪护参加中考#好暖心的医生，医生保障孩子参加考试， 这个应该很痛很坚强的女孩子 ,0,0,0,广东,中山,广东,中国,star 5
6,4905329114486921,巧克力味柠檬糖,2023-05-25 16:57:40,#女生黄体破裂医生暖心陪护参加中考#我初中经期还跑800米……真是命大 ,0,0,0,河北,石家庄,河北,中国,star 4
6,4905328804371866,ins生活-,2023-05-25 16:56:26,#未婚未育需要去妇科检查吗##女生黄体破裂医生暖心陪护参加中考# “做过两次检查，每次医生伸试管进去的时候，我都忍不住的有些不舒服，有些抗拒。第一次的那个医生就叫我不要乱动，而第二次的那个医生跟我说的是再坚持一下！两个医生不一样的话语，真的让我印象很深刻第二位那个医生真的好好”,0,0,1,山东,青岛,山东,中国,star 1
6,4905328087403474,福州共青团,2023-05-25 16:53:35,女生黄体破裂，医生全程陪护参加中考！网友：暖到了！  #女生黄体破裂医生暖心陪护参加中考#（人民网山东频道） 福州共青团的微博视频 ,0,0,1,,福州,福建,中国,star 5
6,4905328011119568,畔夏,2023-05-25 16:53:17,#女生黄体破裂医生暖心陪护参加中考# 啥是黄体，为啥会这样？ ,0,9,12,海南,三亚,海南,中国,star 1
