页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905299155354296,知名青年娱晓张,2023-05-25 14:58:37,#成毅不上综艺原因# 成毅接受采访谈不上综艺原因称：“确实很多综艺找到我，不是说综艺不好，我觉得我不是一个特别擅长综艺的人，说实话，我老觉得我会听不懂节目里那些规则，我不想拖后腿，而且我还是希望自己把更多精力放在角色上，我得先把角色搞明白” ,146,630,15318,浙江,温州,浙江,中国,star 3
2,4905349482546343,许喵XM,2023-05-25 18:18:36,#成毅不上综艺原因#推荐帅哥之前的你好星期六，还有跑男，真的很搞笑 ,0,0,1,浙江,杭州,浙江,中国,star 5
2,4905349448205793,卢云是个小可爱,2023-05-25 18:18:28,成毅#成毅不上综艺原因# 还蛮想成毅上综艺的，不过更喜欢成毅的剧，帅哥干啥我喜欢看 ,0,6,6,内蒙古,呼伦贝尔,内蒙古,中国,star 4
2,4905349435625654,旺仔有点甜oO,2023-05-25 18:18:25,#成毅不上综艺原因#成毅给我上综艺！想看！ ,0,0,0,河南,开封,河南,中国,star 5
2,4905349365371772,傅诗淇的奇毅果果,2023-05-25 18:18:08,#成毅不上综艺原因# cy #成毅#  他真的好搞笑，很有反差感，我一不开心就会去看成毅的综艺。他不会像别的艺人一样为了好笑而搞笑，而是他站在那里就很搞笑   @成毅 ,0,1,0,广东,,广东,中国,star 4
2,4905349313987254,傅诗淇的小灵儿,2023-05-25 18:17:55,#成毅不上综艺原因# 成毅很少上综艺，可是一上综艺基本收视率都是top的 帅哥谦虚了，就是天选综艺人，“笑果”十足 ,0,0,2,马来西亚,,马来西亚,马来西亚,star 4
2,4905349294064201,邓妮啊,2023-05-25 18:17:50,#成毅不上综艺原因# cy#成毅#   虽然很少上综艺，但是总能成为经典。冥冥之中的天选喜剧人  成毅莲花楼|李莲花|李相夷|南风知我意|傅云深@成毅 ,0,3,8,青海,西宁,青海,中国,star 4
2,4905349284893125,淇毅果春春po,2023-05-25 18:17:49, #成毅不上综艺原因# cy #成毅# 成毅 @成毅   成毅的表演是一种让时间倒流的神奇魔力，用他的演技托起了那些曾经的、现在的、和未来的故事。@成毅  成毅莲花楼|李莲花|李相夷|南风知我意|傅云深@成毅 ,1,5,8,四川,成都,四川,中国,star 4
2,4905349196808702,SinsoYou,2023-05-25 18:17:27,#成毅不上综艺原因##罗云熙不上综艺的原因#  没有人不想挣钱，除非他挣不了这钱 ,0,1,0,四川,成都,四川,中国,star 4
2,4905349158800674,满天星光寄予淇,2023-05-25 18:17:19,#成毅不上综艺原因# cy#成毅#  成毅从没说过不上综艺，只是拍戏是他的专业，认真演绎的演员总让人有好感，期待明天的新代言，期待成毅莲花楼 另外说一句大帅哥的事少管！@成毅 ,0,1,2,江苏,南京,江苏,中国,star 4
3,4905349124981529,淇思妙想的奶茶,2023-05-25 18:17:10,#成毅不上综艺原因#这不是很早之前的采访吗？怎么又搬上来了一切都尊重成毅本人的选择哦！他演戏我就看剧，他上综艺我就看综艺本人作为一名常年追各大综艺节目的观众，即便不带粉籍，我也可以说成毅真的就是天选综艺人。他的那期快本和你好星期六真的把我笑到肚子痛，眼泪都笑出来了我甚至还看了两遍,0,2,6,江西,南昌,江西,中国,star 4
3,4905349088282811,我只是个萌小兔,2023-05-25 18:17:02,成毅#成毅不上综艺原因#  这标题起的太断章取义了吧！成毅可没说过不上综艺，今年优酷还播了他的那一期奇妙之城，相当好看的哈！只不过拍戏经常无缝进组，没那么多时间常驻综艺而已，偶尔会当飞行嘉宾 。#成毅# ,0,7,14,山东,,山东,中国,star 3
3,4905349070981293,_小花与小草_,2023-05-25 18:16:58,#成毅不上综艺原因# 成毅职黑，倭瓜任嘉伦粉丝，广场的ie记得拉黑 ,0,3,8,江苏,南京,江苏,中国,star 5
3,4905349012784697,悠夜思-法式烤布蕾,2023-05-25 18:16:44,#成毅不上综艺原因#  成毅在hi6和奇妙之城里超级有趣呀 “它就只吃猪草” ,0,5,10,北京,北京,北京,中国,star 4
3,4905348916054594,网找草,2023-05-25 18:16:21,#成毅不上综艺原因#没完没了了，是个演员就来这一出 ,0,0,1,浙江,杭州,浙江,中国,star 4
3,4905348911337083,暴躁网友零零七,2023-05-25 18:16:20,#成毅不上综艺原因#可能因为他一年365天有360天在横店拍戏吧[HO加油][HO加油][HO加油] 暴躁网友零零七的微博视频 ,0,0,2,广东,广州,广东,中国,star 3
3,4905348878045803,WBTYG,2023-05-25 18:16:12,#成毅不上综艺原因#你和罗云熙今天词条是买重了吗？？？ ,0,0,0,陕西,西安,陕西,中国,star 3
3,4905348739634141,妥宝Jadore,2023-05-25 18:15:39,#成毅不上综艺原因# ？不是说没戏拍的才去上综艺吗？天天拍戏的没空做综艺吧？ ,0,0,1,上海,上海,上海,中国,star 3
3,4905348714990345,青春娱乐网,2023-05-25 18:15:33,#成毅不上综艺原因# 喜欢成毅的原因有很多 真实坦诚是一个 坚持初心是一个 将每一个角色诠释得细腻入微的@成毅  期待〔英雄志+莲花楼+南风知我意〕播出 #青春娱乐# ,0,2,10,,长沙,湖南,中国,star 4
4,4905348676196138,i红豆最相思,2023-05-25 18:15:24,#成毅不上综艺原因# 演员还是保持点神秘感比较好！但也可以偶尔参加一下综艺满足不同粉丝的需求！ ,0,0,2,山东,临沂,山东,中国,star 4
4,4905338648137693,一夜抱傅-ee,2023-05-25 17:35:33,#成毅不上综艺原因#  剧都拍不过来了，哪有时间啊你以为我们不想看吗？成毅 ,5,37,341,福建,泉州,福建,中国,star 4
4,4905348617733673,檐箫Serein-,2023-05-25 18:15:10,#成毅不上综艺原因#成毅 帅哥想干嘛就干嘛，支持成毅多多拍戏，我爱看 ,0,0,6,江西,吉安,江西,中国,star 5
4,4905348588637492,咪咕视频,2023-05-25 18:15:03,#咪咕星鲜事##成毅不上综艺原因#专注演技、坚定自我，@成毅 一直怀揣赤诚之心，认真对待每一部作品，用实力赢得口碑！期待淇淇解锁更多角色上@咪咕视频 重温《底线》《与君歌》等精彩作品～ 咪咕视频的微博视频 ,0,4,16,,保定,河北,中国,star 5
4,4905348538568130,是漏漏不是斗斗,2023-05-25 18:14:51,#成毅不上综艺原因#你好星期六那期笑死我了 ,0,0,8,四川,眉山,四川,中国,star 5
4,4905348521264958,Rstar0901,2023-05-25 18:14:47,#成毅不上综艺原因#上综艺的都是想挣快钱，内心底线很低的人 ,0,0,0,上海,上海,上海,中国,star 4
4,4905348496363935,诗淇果园,2023-05-25 18:14:41,#成毅不上综艺原因##成毅#  演员成毅，综艺感也是十足，什么时候拍完英雄志，咱上几个，你的综艺我都珍藏啦@成毅 ,0,1,15,浙江,金华,浙江,中国,star 4
4,4905348483256229,你的羽翼很温暖,2023-05-25 18:14:38,#成毅不上综艺原因#可是真的好搞笑 ,0,0,6,山西,晋中,山西,中国,star 5
4,4905348449704577,毅杯低脂大冰娜,2023-05-25 18:14:30,#成毅不上综艺原因#  cy#成毅#   虽然成毅老师上综艺真的好好笑，完全就是综艺咖一枚，但我最喜欢就是看成毅老师用心专研剧本所呈现出来的角色！  一起期待成毅新剧！ @成毅  成毅老师加油！  成毅的宣宝的微博视频 ,0,0,1,中国台湾,新北市,台湾,中国,star 5
4,4905348441573621,钢牙小白兔ie,2023-05-25 18:14:28,#成毅不上综艺原因# 挺好啊，演员就该专注自己的演技啊，成毅一心扑在演戏上，钻研每一部新剧的剧情和角色，把精力都放在演好戏上，上不上综艺是他的自由，他也说过要先专注自己的演技，我很支持他 ,0,0,5,河北,张家口,河北,中国,star 5
5,4905348392031275,湘湘绯,2023-05-25 18:14:16,#成毅不上综艺原因#   看一次笑一次,0,0,3,北京,北京,北京,中国,star 3
5,4905346773025304,星姐微博,2023-05-25 18:07:49,#成毅不上综艺原因#  成毅的憨憨日常，他好可爱！ 期待三部新剧《莲花楼+英雄志+南风知我意》 #星姐微博# 星姐微博的微博视频 ,2,10,39,上海,上海,上海,中国,star 5
