页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905344646253257,河南省青少年发展基金会,2023-05-25 17:59:23,#我是中国人我想举自己的国旗#我和我的祖国，一刻也不能分割 ,0,0,1,,郑州,河南,中国,star 5
2,4905059375389430,央视新闻,2023-05-24 23:05:49,#我是中国人我想举自己的国旗#【#举五星红旗的台湾选手身后是强大祖国#】最近，我们认识了一位跆拳道选手——来自中国台湾地区的李东宪。他手持五星红旗登上亚太大师运动会领奖台，太帅！他不惧绿营水军网暴，直言“我怕我们台湾人忘了历史忘了回家的路”。背靠祖国和14亿多同胞，李东宪感到无比自信、无比强大。可以确定，有强大祖国做依靠，台湾同胞的民生福祉会更好，发展空间会更大，在国际上腰杆会更硬、底气会更足，更加安全也更有尊严。想跟台湾同胞说句话：海峡割不断乡音、乡情、乡韵，失散再久终得回家，因为这里有你们的根，有你们的乡愁，更有最温暖的怀抱。#主播说联播# 央视新闻的微博视频,624,504,8796,,北京,北京,中国,star 4
2,4905344139003960,凌晨四点的冰岛-,2023-05-25 17:57:22,#我是中国人我想举自己的国旗#这才是真正的中国青年该有的精神！ ,0,0,2,上海,上海,上海,中国,star 5
2,4905342180004712,巴音郭楞融媒,2023-05-25 17:49:35,#我是中国人我想举自己的国旗# 巴州塔里木公安局返还赃款197万元 巴音郭楞融媒的微博视频 ,1,0,1,,巴音郭楞蒙古自治州,新疆,中国,star 5
2,4905341903703876,青春河边巢,2023-05-25 17:48:29,走进湖北省博物馆～#2023网络名人湖北行# 在湖北省博博物馆的楚国八百年展馆，楚国人的历史和生活逐步得到展示。荆楚大地，名不虚传。楚国开疆方五千里，历史约八百年，在中国文明的发展形成过程中起重要作用。展览分为“开疆拓土”“礼俗百业”“惊采绝艳”“上下求索”四个单元，突出楚人筚路蓝缕的精神内涵，从物质到精神、从文献到文物，全面展示楚国的历史和文化。楚乐果然也是可以感受是非常流行，而且发展很好。大家来过这个博物馆吗？#我是中国人我想举自己的国旗##孩子的记忆力到底有多早#,51,22,290,湖北,武汉,湖北,中国,star 5
2,4905340754199708,你家萝卜被我偷了,2023-05-25 17:43:55,#我是中国人我想举自己的国旗#欢迎回归祖国，弯湾不接受你，我们接受你，替国争光好样的！ ,0,0,0,广西,防城港,广西,中国,star 5
2,4905196172612419,难舍深蓝,2023-05-25 08:09:24,中国台湾选手李东宪领奖时展示五星红旗，果然，民进党当局不乐意了：会请相关单位务必清查厘清。#我是中国人我想举自己的国旗##蛟龙军事# 难舍深蓝的微博视频 ,11,29,269,广东,深圳,广东,中国,star 5
2,4905338451002397,南充公安,2023-05-25 17:34:46,范红：我将始终坚持高标准、严要求，立足当前岗位职责使命，严厉打击各类公共交通违法犯罪，以永不懈怠的精神状态和一往无前的奋斗姿态，坚决扛起新时代公安机关使命任务，以实际行动投身到成都大运会安保维稳工作中来，为平安南充建设贡献力量。#我是中国人我想举自己的国旗# ,0,0,4,,南充,四川,中国,star 5
2,4905337892635483,荣茂国学智慧,2023-05-25 17:32:33,#我是中国人我想举自己的国旗#  天行健，君子以自强不息，地势坤，君子以厚德载物&quot;。 中国人的抗争精神，是中国的脊梁。我们，从不听天由命 #中国 荣茂国学智慧的微博视频 ,0,0,1,山东,淄博,山东,中国,star 5
2,4905336987452090,心心念檀_1005,2023-05-25 17:28:56,#我是中国人我想举自己的国旗#为我是中国人而骄傲🇨🇳 ,0,0,1,山东,青岛,山东,中国,star 5
