页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905346785612835,vongwing,2023-05-25 18:07:53,#杭州二手房卖不掉房东开始焦虑了# 盛一伦 #杭州片儿川夺得浙江名小吃面条冠军#  杭州的崽盛一伦几天前还大力推荐片儿川好吃，杭州一直是风景著名的一綫城市，还担心房价会跌吗？@盛一伦 ,0,0,2,中国澳门,,澳门,中国,star 5
2,4905346763852464,禾火丁u_u,2023-05-25 18:07:48,#杭州二手房卖不掉房东开始焦虑了# 当年楼市火爆，多少人加杠杆加入买房行列，谁想到短短数年后… ,0,0,0,江苏,苏州,江苏,中国,star 4
2,4905346647203360,Abbreviation_,2023-05-25 18:07:20,#杭州二手房卖不掉房东开始焦虑了# 这些房东是恶意卖不掉，这些消费者是恶意不买房！ ,0,2,1,湖北,武汉,湖北,中国,star 1
2,4905346604732369,Eternally永恒1005,2023-05-25 18:07:10,#杭州二手房卖不掉房东开始焦虑了#我不配体会，我焦虑我没有第二套房 ,0,0,0,四川,,四川,中国,star 1
2,4905345891960548,金莱锋少,2023-05-25 18:04:20,最近各个城市都在贩卖楼市焦虑，不是说二手房卖不掉了，而是很多人都意识到持有的房产要把它置换成核心资产。 #杭州二手房卖不掉房东开始焦虑了# ,1,0,2,湖南,长沙,湖南,中国,star 4
2,4905345758008906,伟少不吃玉米,2023-05-25 18:03:48,#杭州二手房卖不掉房东开始焦虑了#拿自己钱买的自己喜欢的房子，有毛焦虑 ,0,0,0,四川,成都,四川,中国,star 1
2,4905345221137801,袁国庆,2023-05-25 18:01:40,#杭州二手房卖不掉房东开始焦虑了# 卖不掉是因为价格吸引力不够，比市场价低一大截看看，购房者抢着买。现在经济环境下，不大幅降价还想着急卖出，这不是难为自己嘛！ ,21,1,23,北京,北京,北京,中国,star 4
2,4905345136469478,上海房多多,2023-05-25 18:01:20,#杭州二手房卖不掉房东开始焦虑了#真正需要钱的房东，会焦虑，不着急置换、不急需用钱的房东，其实无所谓的。现在卖了房子，获得的资金，去存起来？利息下降；去买理财？当心受骗；去买股票？喋喋不休；去买新房？如果地段好，可以考虑，如果资金成本高，地段一般，那还是不要轻易动。杭州亚运会一过，相关的亚运概念高价小区，房价会出现松动，现在去接盘这个板块，就是接刀子！,0,0,1,上海,,上海,中国,star 1
3,4905344747442355,布拉伐格子,2023-05-25 17:59:47,#杭州二手房卖不掉房东开始焦虑了#哈哈哈哈，不到50平……接近200万 潍坊·坊子泰华城 ,0,0,8,山东,潍坊,山东,中国,star 4
3,4905344335874330,乐音1994,2023-05-25 17:58:09,#杭州二手房卖不掉房东开始焦虑了#  中介带看90多次都没卖掉？有没有一种可能是房东自己的问题？ ,0,0,0,河北,唐山,河北,中国,star 1
3,4905344155779729,魏杰伦kaiwen,2023-05-25 17:57:26,#杭州二手房卖不掉房东开始焦虑了#看来大家都等死吧   所有人现在都把钱放在银行融资 台州 ,0,0,0,浙江,台州,浙江,中国,star 1
3,4905344016848699,是1214呀,2023-05-25 17:56:53,#杭州二手房卖不掉房东开始焦虑了#只是一部分人该的但是也有可惜的人，所以啊，真的要有敬畏心，不要太得意 ,0,0,1,福建,厦门,福建,中国,star 1
3,4905343933486195,张召雄-Zebulon,2023-05-25 17:56:33,#杭州二手房卖不掉房东开始焦虑了#二手房卖不出去，说明市场低迷，经济不好 ,0,0,0,福建,漳州,福建,中国,star 4
3,4905343148627486,钱北斗,2023-05-25 17:53:26,#杭州二手房卖不掉房东开始焦虑了#房子是用来住的，不是用来卖的！ ,0,0,2,重庆,重庆,重庆,中国,star 4
3,4905342952276252,陕西应急管理,2023-05-25 17:52:38,#杭州二手房卖不掉房东开始焦虑了#【家庭装修 不可忽视的三大防火要点】近年来因装修引发的火灾日益增多，直接威胁到家庭生活安全。提醒：家庭装修要注意防火，这些经验之谈赶紧get起来，戳图，看看了解。 ,0,0,0,,西安,陕西,中国,star 5
3,4905342494573794,袭瞬,2023-05-25 17:50:50,#杭州二手房卖不掉房东开始焦虑了# 买不起房的应该也很焦虑 ,0,0,4,吉林,,吉林,中国,star 4
3,4905342485398808,想做个快乐的小天使,2023-05-25 17:50:48,#杭州二手房卖不掉房东开始焦虑了#没事，涨价去库存就行了，这个不是我们的绝招吗 ,0,0,0,上海,上海,上海,中国,star 4
4,4905342335189188,Kriiisp,2023-05-25 17:50:11,#杭州二手房卖不掉房东开始焦虑了#网红城市闹麻了 房炒不住的报应来咯 ,0,0,0,浙江,,浙江,中国,star 5
4,4905342246324880,桃花大喵,2023-05-25 17:49:51,#杭州二手房卖不掉房东开始焦虑了#涨价去库存呗，新楼盘比二手房平均贵个2-3w，二手房就好卖了 ,0,0,3,上海,上海,上海,中国,star 4
4,4905338409322298,互联网八哥,2023-05-25 17:34:36,#杭州二手房卖不掉房东开始焦虑了#焦虑啥呀，不是买到了自己想买的房子吗？ ,16,23,91,浙江,杭州,浙江,中国,star 4
4,4905342141732708,贺东亮Shine,2023-05-25 17:49:26,#杭州二手房卖不掉房东开始焦虑了#这几天北京、深圳、杭州等几个城市发的内容，以2021年房价为基准，想成交的二手房基本打到7折，回归到2017年的水平！！ ,0,0,0,辽宁,沈阳,辽宁,中国,star 4
4,4905341857302405,巡猹御史,2023-05-25 17:48:18,#杭州二手房卖不掉房东开始焦虑了# 九十多个看房的没有一个诚心买的？我诚心买啊，可是我的钱不诚心啊！！！ ,0,0,5,江苏,南京,江苏,中国,star 1
