页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905303575626345,李巴乔,2023-05-25 15:16:11,必须引起警醒啊！学校有我认识的小朋友，看到太害怕了。很多家长现在都很愤怒，不管老师是不是故意所为，这件事必须引起警醒，学校必须人车分离，也必须给所有家长一个交代。去世的孩子真的太可怜了，孩子的父母得多难过啊！#汉阳教育局通报小学生校内被撞身亡##小学生校内被撞身亡涉事教师被刑拘# 李巴乔的微博视频,34,189,1876,湖北,,湖北,中国,star 5
2,4905301843643318,程老湿爱吐槽,2023-05-25 15:09:18,和刹车一样重要的功能就是360几乎没有几个司机会在启动前围着车转一圈看看有没有小猫小狗小朋友蹲在盲区几乎没有几个司机会在下地库前停下来看看坡道拐角有没有人躺着睡觉几乎没有几个司机会在小区里拐弯时停下来看看盲区有没有小朋友坐地上玩耍——如果你的车太老装不了就换辆车如果你换新车一定要选这个配置如果有这个配置一定要设成快捷键随时记得在盲区大的时候打开——但凡出现一次这种盲区导致的事故，对别人是悲剧，对自己更是无妄之灾 #汉阳教育局通报小学生校内被撞身亡#,15,20,190,湖北,武汉,湖北,中国,star 1
2,4905347242003793,戴帽钕四墓淋,2023-05-25 18:09:42,#汉阳教育局通报小学生校内被撞身亡#  哈哈哈哈哈……儿童幼童婴儿，尤其是男儿童幼童婴儿在这里一点也不值钱地位地下捏 ,0,0,1,浙江,宁波,浙江,中国,star 1
2,4905346748124347,艾微风,2023-05-25 18:07:44,#汉阳教育局通报小学生校内被撞身亡#一般来说，学校这种场所，为了安全就不能要机动车进入校园了！ 这下子惨了，一个小孩子的命没有了，另一个老师的前途也毁了。 ,0,0,0,四川,内江,四川,中国,star 5
2,4905346214400599,轻描淡写的风清云淡,2023-05-25 18:05:37,#汉阳教育局通报小学生校内被撞身亡#最见不得这样的新闻，就不能禁止开车进校园吗？1条生命，2个家庭，换来一句冷冰冰的“举一反三”，校园车祸是第一次吗？反十个三都不够 ,0,0,1,广东,广州,广东,中国,star 4
2,4905345728649218,云深深不知处2015,2023-05-25 18:03:41,#汉阳教育局通报小学生校内被撞身亡#现在的车启动时显示屏基本上会显示前后360度情况，该老师的车有那么旧看不见前面蹲着个小朋友？而且不管是谁开车只要撞到什么东西马上就会有感觉，尤其是明知道刚刚有小朋友在你前面，你肯定会马上停车下车看情况呀，为什么还有二次碾压？ ,0,0,0,浙江,温州,浙江,中国,star 2
2,4905345355088273,LttL墨墨,2023-05-25 18:02:11,刚才下班路上一直在想这个事，之前刷抖音刷到没仔细看，以为是这个老师不小心撞上的，但是刚刚刷到一个视频，孩子的母亲问他，是否看到孩子在车前面？然后那个老师说，看到他坐在前面，给他摆摆手让他走开！然后我就听到孩子母亲在旁边听到回答后撕心裂肺地喊着他从孩子的头上脖子上压过去的……首先作为一个普通人想问一下法律工作者，这样算不算故意杀人？他明明看到孩子在车前方，就算孩子没有走开，他难道没看到？其次他已经撞上去了，不第一时间下来查看？继续碾压？这是什么心理？#教育局回应小学生校内被车撞倒身亡##小学生在校内被老师开车撞倒身亡##汉阳教育局通报小学生校内被撞身亡#,0,1,2,山东,,山东,中国,star 5
2,4905345305287395,冬雨未至已经迟,2023-05-25 18:02:00,#汉阳教育局通报小学生校内被撞身亡#应该出规定了，特殊情况外（消防，医护）禁止机动车入校园 ,0,0,2,重庆,重庆,重庆,中国,star 5
2,4905344634196038,猛逸,2023-05-25 17:59:20,#汉阳教育局通报小学生校内被撞身亡#武汉市的学校现在都重视起来了，人车分流。 ,0,1,4,湖北,武汉,湖北,中国,star 5
2,4905337730108461,法治日报,2023-05-25 17:31:54,【有法不依还是执法不严？#武汉教师校内撞伤小学生致死案追问#：#小学生校内被撞校区有安全管理漏洞#】小谭再也等不到7岁生日，驾车教师被警方刑事拘留，校长和分管副校长被免职…… 5月23日下午，发生在湖北省武汉市汉阳区弘桥小学月湖校区的“教师驾车撞伤小学生致死”事件，已有初步处理结果。       接受法治日报全媒体记者采访时，受害学生家属及多名弘桥小学月湖校区家长提到：这一事件是本可以避免的人祸。家长们之所以这么说，是因为对弘桥小学月湖校区安全管理漏洞的切身体会。       弘桥小学月湖校区位于汉阳区月琴路与琴声二路的交叉路口。学校大门对着月琴路，距教学楼不足十米，每天学生家长在大门处接送孩子；侧门对着琴声二路，地下停车场出入口距侧门不远，在教学楼背面。      根据设计，教师开车可直接从侧门进出，避免与学生接触。 但多位学生家长向法治日报全媒体记者反映，实际情况并不是这样。       “很多老师经常开车从大门走，特别是下班的时候，我们去接孩子，老师开车回家，人和车全在一起，乱哄哄的。”一位学生家长说。      弘桥小学月湖校区大门口摆着四个球形石墩。学生家长反映，石墩此前摆放间距较大，可供私家车通行；事故发生后，石墩被挪动。 记者现场发现，石墩有明显移动的痕迹。       2020年8月1日起施行的《湖北省学校安全条例》（以下简称《条例》）明确规定，学校应当加强对校园内道路和通行车辆的交通安全管理，设置交通安全警示牌，施划停车泊位，限速行驶。未经中小学校、幼儿园允许，机动车辆不得进入校园；不具备人车分流条件的，除教育教学、应急等特殊需要外，禁止机动车辆进入校园。       记者在现场看到，弘桥小学月湖校区校园内，并未设置交通安全警示标志或限速标志，地面也未施划停车泊位。        2022年11月24日，武汉市教育局公布了“武汉市平安校园考评结果的公示”。 记者注意到，在拟评定为“市级达标平安校园”的227所学校中，“武汉市汉阳区弘桥小学”在列。公开资料显示，弘桥小学的前身是中铁大桥局第一子弟小学，2006年3月，移交给汉阳区地方政府管理，更名为汉阳区弘桥小学。2017年9月，弘桥小学月湖校区建成投入使用。       武汉市汉阳市政建设集团有限公司所属武汉博宏建设集团有限公司官网公布的信息显示，弘桥小学月湖校区教学楼是汉阳区首个包含地下停车场的小学教学场地。汉阳区教育局在情况通报中称，事故发生在校园内，暴露出校园安全管理存在漏洞。       《条例》规定，学校未依法履行安全管理职责的，由县级以上人民政府教育部门或者其他学校主管部门责令改正，予以警告；造成学校安全事故的，对学校主要负责人和其他直接责任人员依法给予相应处分。 此外，违反《条例》构成犯罪的，依法追究刑事责任；造成人身损害或者财产损失的，依法承担民事责任。#汉阳教育局通报小学生校内被撞身亡#（全媒体记者 刘欢 实习生 易佳欣）,11,0,9,,北京,北京,中国,star 4
3,4905343710136310,潍坊公安,2023-05-25 17:55:40,#汉阳教育局通报小学生校内被撞身亡# 说安全千遍，不如看动图一遍！ #潍警提醒# ,0,0,0,,潍坊,山东,中国,star 5
3,4905328342730334,红枣泡枸杞CO,2023-05-25 16:54:36,#汉阳教育局通报小学生校内被撞身亡#教师刘某是男性，是男司机在校园里二次碾压小学生，男司机才是恶性交通肇事最多的 ,1,6,35,北京,北京,北京,中国,star 5
3,4905228980455288,红星视频,2023-05-25 10:19:46,【小学生在校内遭遇二次碾压 涉事教师被刑拘 校长免职】5月23日，武汉汉阳区弘桥小学内发生一起交通事故，一名一年级学生被老师开车碾轧，送医抢救后死亡。25日，汉阳区教育局发布官方通报：涉事教师已被刑拘，校长等予以免职。 #小学生校内被撞身亡涉事教师被刑拘#红星视频的微博视频 ,16,88,835,,成都,四川,中国,star 4
3,4905342527864932,拆台CT,2023-05-25 17:50:57,#汉阳教育局通报小学生校内被撞身亡#5月25日，武汉汉阳区教育局发布通报称：5月23日13时50分，汉阳区弘桥小学月湖校区教师刘某在校内驾车将该校一年级学生谭某撞伤，后谭某送医抢救无效不幸离世。目前，涉事教师刘某已被公安机关刑事拘留，将根据调查结果依法追究责任。对涉事学校校长和分管副校长予以免职，纪检监察部门对相关责任人员立案调查，将依纪依规作出严肃处理。据封面新闻此前报道：5月23日，武汉汉阳区弘桥小学内发生一起交通事故，一名青年教师驾车撞倒一名小学生，小孩遭两次碾压后送医抢救无效死亡。汉阳区教育局及校方工作人员介绍，肇事司机是一名20多岁的四年级教师，与出事的孩子无交集。当天上午，这名老师正常在校上课，中午在学校食堂就餐，没有饮酒情况。按照工作安排，这名老师23日下午要外出参加一个培训活动，他从地下车库将车子开到校门口十多米的位置停下，等另外一名老师同行。孩子们在1点45结束午休，自由活动15分钟后，会在下午2点开始第一节课。老师停车期间，这个孩子跑到车前边蹲下来了，不知道是在系鞋带还是做什么。然后车子启动，可能因为盲区原因，老师开车碾轧到孩子，左侧两个车轮碾轧过去之后车子停下。24日，小孩的家属告诉封面新闻记者，事发当天晚上家属在警方见证下查看了校门口监控视频。视频中，涉事老师从校内开车往校门口走，在距离校门十米左右的地方停下，接上另一名老师后，启动车辆准备出校门。“孩子被撞倒，遭前轮碾压后，车子有短暂停止，之后继续给油往前走，后轮又碾压一次。孩子被车轮拖行了三四米。”家属称，他们并不怀疑老师是故意二次碾压，第一次碾压后老师可能是感觉到异常，却没有下车查看，直到二次碾压后被人叫停。家属认为老师在车辆启动前没有查看环境，感觉到异常后没有下车，属于严重过失。又据红星新闻报道：24日上午，遇难学生家属及亲友到学校，与校方及教育局工作人员一同协商事故处理意见。截至24日下午3时许，遇难学生家属及亲友仍在校内等待校方的处理意见。而涉事学校未实行“人车分流”受到部分学生家长的质疑。5月24日，在涉事学校门口围观的一名学生家长对红星新闻记者表示，事发学校校园内设有地下停车场，且校园开有后门，但平时该学校未遵守“人车分流”的通行规则，“我们接孩子的时候，经常有车子从学校大门开出来。”还有涉事学校的学生家长告诉记者，学校大门前的四个石墩此前摆放间距较大，可供私家车通行。23日下午的事故发生后，学校大门口的石墩已被校方挪动，原本可以通过车辆的石墩间隙变得更为紧凑。24日下午，记者在现场可以看到，校门口的石墩有挪动后的痕迹。石墩挪动后，私家车已无法从学校大门进出。拆台CT的微博视频,2,1,7,北京,北京,北京,中国,star 5
3,4905341664363968,我真想进步了,2023-05-25 17:47:32,#汉阳教育局通报小学生校内被撞身亡#只有同行能理解同行，社会舆论无非就是欺软怕硬，捏吧，使劲捏 ,0,7,15,浙江,杭州,浙江,中国,star 5
3,4905341479557655,星竹M,2023-05-25 17:46:48,#汉阳教育局通报小学生校内被撞身亡# 除了人车分流，不然总觉得这个避免不了。 再仔细观察，盲区就是存在的！ 这位老师肯定不是故意的， 但是悲剧就是发生了…… ,0,0,16,江苏,镇江,江苏,中国,star 4
3,4905326027997195,菜菜的财产,2023-05-25 16:45:23,#汉阳教育局通报小学生校内被撞身亡# 到底有没有二次碾压！小孩那么大，就算看不到第一个轮子压过去第二个轮子就应该停下来。看描述并没有及时停车！希望下一份通报写清楚 ,1,0,13,上海,上海,上海,中国,star 1
3,4905339709294042,种斌Marco,2023-05-25 17:39:46,#汉阳教育局通报小学生校内被撞身亡#强烈建议中小学的校园里严谨进入私家车等各种车辆，这不仅仅是对校园安全的保障也是对学生的尊重。现在不少的中小学校园里停满了老师的私家车，并且很多的学校的车辆用的通道跟学生用的通道是一个，这本身就存在潜在的风险。汉阳小学生校园被撞这个事情不是什么意外就是这种不规范带来的后果，属于人祸！出事了在弥补有什么意义呢？,1,1,6,山西,长治,山西,中国,star 5
3,4905339663419302,佑yoto,2023-05-25 17:39:35,#汉阳教育局通报小学生校内被撞身亡#校园里开还能撞死个人，咋开的 ,0,0,2,吉林,,吉林,中国,star 5
3,4905339474150166,卷卷胡_,2023-05-25 17:38:50,#汉阳教育局通报小学生校内被撞身亡#什么时候才能够重视啊！！！别在学校里开车！！！ ,1,0,4,河南,郑州,河南,中国,star 5
4,4905339348848437,广岛_长崎_无冤魂,2023-05-25 17:38:20,#汉阳教育局通报小学生校内被撞身亡# 我们初中也是因为一个女教师油门当刹车，撞到了三个体育课的学生后，禁止车辆入内，应该是2013年，好在三个人没被撞死，最后私了了。 ,0,0,1,广东,广州,广东,中国,star 3
4,4905338422166421,爱吃甜蜜蜜百香果,2023-05-25 17:34:39,#汉阳教育局通报小学生校内被撞身亡# 2017年我本科刚入学，就听说山大青岛校区发生过类似的事情 让人心痛啊 ,0,0,1,安徽,阜阳,安徽,中国,star 5
4,4905338228705502,球裘逑毬,2023-05-25 17:33:53,#汉阳教育局通报小学生校内被撞身亡# 这场面，莫名想到了广州的事情,0,0,0,上海,上海,上海,中国,star 4
4,4905337906533600,烨磊新蕾,2023-05-25 17:32:36,#汉阳教育局通报小学生校内被撞身亡#对父母来说，是晴天霹雳，一辈子估计也无法原谅这个老师。  举一反三，避免此类事故发生。不能只是简单以交通事故处理，学校应该人车分流，保障学生的人身安全。要源头治理，所有学校都要引以为戒。 当违法成本高于收益才能减少此类现象发生… ,1,0,5,陕西,西安,陕西,中国,star 4
4,4905337855675487,树墩儿很软乎,2023-05-25 17:32:24,#汉阳教育局通报小学生校内被撞身亡# 考虑到老师上班停车难的问题，不让车子进校园是不太实际的，我觉得主要还是校园里控制车速吧，居民小区内道路时速5迈是比较正常的，校园也同理，这个老师大概率是超速了很多，不要因为对校园环境熟悉了就掉以轻心，车子进入校园后缓行，校园内尤其要谨慎驾驶。 ,0,0,2,吉林,长春,吉林,中国,star 4
4,4905337709398472,山西青年报,2023-05-25 17:31:49,武汉#汉阳教育局通报小学生校内被撞身亡#：目前，涉事教师刘某已被公安机关刑事拘留，对涉事学校校长和分管副校长予以免职。（人民日报）#小学生校内被撞身亡涉事教师被刑拘# ,1,0,0,,太原,山西,中国,star 5
4,4905337205295743,乐自逍游,2023-05-25 17:29:49,#汉阳教育局通报小学生校内被撞身亡#所以有时候学校的规定就是挺迷惑的，为了安全起见，禁止校园内学生骑车却不禁止教师骑车，说的好像教师就不会撞人一样 ,1,1,10,江苏,苏州,江苏,中国,star 3
4,4905337201361405,花开_似锦,2023-05-25 17:29:48,#汉阳教育局通报小学生校内被撞身亡#武汉的小学应该都可以开车进校园吧反正我孩子学校可以 ,1,2,2,湖北,武汉,湖北,中国,star 5
4,4905337146317875,李富强rich,2023-05-25 17:29:35,#汉阳教育局通报小学生校内被撞身亡#我是老师，我们学校车都不让进校园，有老师骑电动车自行车只要进校门都推着走，不允许在校园内骑行，虽然有时候开车停车很不方便，但永远是安全第一。 ,0,1,2,内蒙古,呼和浩特,内蒙古,中国,star 5
4,4905337116690208,邢台星君,2023-05-25 17:29:28,#汉阳教育局通报小学生校内被撞身亡# 你觉得谁的责任更大一点呢？  网页链接 ,0,1,202,河北,邢台,河北,中国,star 3
5,4905336693068463,一颗小行星在运行,2023-05-25 17:27:47,#汉阳教育局通报小学生校内被撞身亡#最近热搜上学生出事的怎么这么多，抖音上还有一个被杀的 ,0,0,0,北京,北京,北京,中国,star 5
