页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905348815393867,漫长岁月,2023-05-25 18:15:57,#王楚钦晋级世乒赛8强#截止目前，中国乒乓球队，这次德班世乒赛，男单，女单，有出局的没？ ,0,2,1,上海,上海,上海,中国,star 4
2,4905348417454627,娱乐圈半仙,2023-05-25 18:14:21,#王楚钦晋级世乒赛8强#  只要稳打稳扎，正常发挥，冠军没跑了！不得不说，王楚钦进步真的很大，谁能想到巴黎周期他会弯道超车！ ,0,0,3,湖南,岳阳,湖南,中国,star 4
2,4905348399630083,Ralenti_,2023-05-25 18:14:18,#王楚钦晋级世乒赛8强# 恭喜王楚钦，兼三项辛苦啦，接下来也继续加油 ,0,0,8,湖北,武汉,湖北,中国,star 5
2,4905348307358718,小赵要看到月亮,2023-05-25 18:13:56,#王楚钦晋级世乒赛8强#恭喜头头让我们一起期待下一场比赛吧 ,0,0,2,广东,广州,广东,中国,star 5
2,4905348252571610,唐老鸭鸭绒被卖味精,2023-05-25 18:13:43,#王楚钦晋级世乒赛8强#王楚钦超棒的！今日进度1/3✓ ,0,0,4,重庆,重庆,重庆,中国,star 5
2,4905339076220841,新浪乒乓球,2023-05-25 17:37:15,#王楚钦4比0格拉尔多##王楚钦晋级世乒赛8强# 男单1/8决赛，@王楚钦___ 4-0葡萄牙选手格拉尔多，11-4/11-4/11-4/12-10。 咪咕体育的微博视频 ,5,28,185,北京,北京,北京,中国,star 5
2,4905347675068850,黑轮大王在这里,2023-05-25 18:11:25,#王楚钦晋级世乒赛8强# 继续加油 晚上男双 混双接着努 ,0,0,1,福建,泉州,福建,中国,star 5
2,4905341168390565,央视网体育,2023-05-25 17:45:34,#王楚钦4比0格拉尔多##王楚钦晋级世乒赛8强##2023德班世乒赛#男单1/8决赛，@王楚钦___ 4-0战胜格拉尔多，晋级8强。四局比分为11-4、11-4、11-4、12-10。咪咕体育的微博视频 ,20,40,384,,北京,北京,中国,star 5
2,4905347565750967,爱是哪儿是哪儿,2023-05-25 18:10:59,#王楚钦晋级世乒赛8强#王楚钦特别棒，晚上两项继续加油 ,0,0,15,山东,青岛,山东,中国,star 5
2,4905339881786468,炸洗你不解释,2023-05-25 17:40:27,#王楚钦晋级世乒赛8强#  超高质量球×3 炸洗你不解释的微博视频 ,71,20,162,重庆,重庆,重庆,中国,star 5
3,4905342926590495,两颗西柚zzztime,2023-05-25 17:52:33,#2023德班世乒赛# 男单1/8决赛 王楚钦🇨🇳4-0若奥·格拉尔多🇵🇹【11-4，11-4，11-4，12-10】 接下来各个项目的竞争都将白热化、王楚钦冲冲冲、加油💪 #王楚钦晋级世乒赛8强# ,0,0,5,吉林,长春,吉林,中国,star 5
3,4905341697134992,晨莜,2023-05-25 17:47:40,#王楚钦晋级世乒赛8强# 肖指的场外指导主打一个骄傲沉浸式观赛恭喜王楚钦,0,0,1,河北,唐山,河北,中国,star 5
3,4905341060121596,养生壶里只有白开水,2023-05-25 17:45:08,#2023德班世乒赛#八强啦！下一场加油！ #王楚钦晋级世乒赛8强# 男单1/8决赛 王楚钦4-0格拉尔多 11-4/11-4/11-4/12-10 ,0,0,0,广东,广州,广东,中国,star 5
