页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905348224259016,幸福盈篮,2023-05-25 18:13:36,#谢楠说吴京最长一年半不回家#谢楠和吴京，这才是我想看到的爱情的样子~,0,0,0,北京,北京,北京,中国,star 5
2,4905310756012417,大漂亮傻事,2023-05-25 15:44:42,#谢楠说吴京最长一年半不回家#京哥要顾家这个我们是要体谅一下的。但是我还是希望能早点把战狼3整出来，鸽了多少年了都，  其实主要是我想看润润们破大防了。 ,1,15,199,江西,萍乡,江西,中国,star 5
2,4905348072999987,芒果捞娱乐姐,2023-05-25 18:13:00,#谢楠说吴京最长一年半不回家# 吴京拍戏太辛苦了。不过想起来谢楠之前好像说过吴京在非洲拍戏时，还追电视剧三生三世十里桃花，感觉好有反差感哈哈哈 ,0,0,2,江苏,苏州,江苏,中国,star 4
2,4905302544090767,思姐观脸,2023-05-25 15:12:05,谢楠吴京组合 一个鼻小颧高责任心爆棚爱管事 一个鼻大颧低自我意识极高不服管 这种组合的夫妻偶尔分开、出差、分床睡实际算是一种化解危机。天天在一起拌嘴就各奔东西了。#谢楠说吴京最长一年半不回家# ,5,3,24,广东,东莞,广东,中国,star 5
2,4905347641508539,逗比大荟萃,2023-05-25 18:11:16,#谢楠说吴京最长一年半不回家#  谢楠带儿子探班吴京，儿子看到爸爸给妈妈送花，自觉转身~ 逗比大荟萃的微博视频 ,0,0,0,天津,天津,天津,中国,star 5
2,4905347104114810,一起来聊八,2023-05-25 18:09:09,#谢楠说吴京最长一年半不回家#  谢楠拥抱吴京，结果被老公反手摔 一起来聊八的微博视频 ,0,0,1,天津,天津,天津,中国,star 5
2,4905346928481225,青草地1,2023-05-25 18:08:27,#谢楠说吴京最长一年半不回家#十年八年不回家只要钱拿回来就行😁 ,0,0,0,辽宁,沈阳,辽宁,中国,star 5
2,4905346907504960,-红尘之莲,2023-05-25 18:08:21,最伤膝盖的运动是什么？医生：为了膝盖，这3种运动最好别做第一种：深蹲深蹲是很多人喜欢做的一种运动，因为它可以有效地锻炼到大腿肌肉和臀部肌肉。但是，由于深蹲会让膝盖承受很大的压力，所以它也是最容易伤害膝盖的一种运动。特别是对于年龄较大的人来说，这种运动更加不适合。第二种：跑步跑步是一项非常流行的有氧运动，它可以帮助人们减肥、增强心肺功能。但是，长期的高强度跑步会给膝盖带来很大的负担，尤其是对于那些肥胖、平足等问题的人来说。此外，如果你没有选对合适的鞋子或者不注意跑步姿势，就更容易引起膝盖损伤。第三种：篮球篮球是一项很有挑战性的运动，可以锻炼人的反应、协调和爆发力。但是，在篮球比赛中进行跳跃、转身等动作时，很容易给膝盖带来意外伤害。此外，如果你没有配备合适的护具，那么膝盖的受伤风险更高。 #谢楠说吴京最长一年半不回家#,0,0,1,四川,乐山,四川,中国,star 3
2,4905346647461258,我是娱妞,2023-05-25 18:07:20,#谢楠说吴京最长一年半不回家# 没回家不代表谢楠没有带孩子去探班，部分网友不要扯到对立上面啦～ ,0,0,0,黑龙江,绥化,黑龙江,中国,star 5
2,4905346285965771,瓜中小婊砸,2023-05-25 18:05:54,#谢楠说吴京最长一年半不回家#  当吴所谓哭了的时候，吴京说男子汉流血不流泪！！留下满脸问号的谢楠，这硬核带娃方式真没谁了！！ 瓜中小婊砸的微博视频 ,0,0,0,天津,天津,天津,中国,star 1
3,4905314632075581,娱大蜀黍,2023-05-25 16:00:07,#谢楠说吴京最长一年半不回家# 忙着工作拍戏不回家，这并不代表不探班不联系，他们感情一直好着呢！真夫妻的一些糖，彼此都是超爱的！永远被真夫妻的爱情所感动！ ,63,130,542,安徽,合肥,安徽,中国,star 5
3,4905344478481920,星探长,2023-05-25 17:58:43,#谢楠说吴京最长一年半不回家#  吴京能够在演艺道路上走得这么成功，真的和家里有谢楠这么体谅的老婆密不可分吧！！为了全身心投入拍戏一年半没回家，谢楠一直在全力支持吴京的事业，模范夫妻互相体谅、互相成就👫 星探长的微博视频 ,24,22,21,山西,太原,山西,中国,star 5
3,4905345162677512,源湘琴子,2023-05-25 18:01:26,#谢楠说吴京最长一年半不回家# 这不是挺好的吗 老公不回家 但有钱花 想买啥就买啥 多自由 是我羡慕的生活了 ,0,0,0,广西,桂林,广西,中国,star 5
3,4905344902634090,星冰乐kiki,2023-05-25 18:00:24,#综艺# 你所不知道的吴京（第三集）……希望他和谢楠一直好好的#谢楠说吴京最长一年半不回家# 星冰乐kiki的微博视频 ,0,0,1,河南,郑州,河南,中国,star 5
