页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905372437189493,高妙桂,2023-05-25 19:49:49,#上海迪士尼6月23日起门票调价#很早以前去过一次。 ,0,0,0,上海,上海,上海,中国,star 4
2,4905372420674319,乾隆财经,2023-05-25 19:49:45,#迪士尼门票涨价影响你去玩吗#【迪士尼门票50年攀升近40倍？！#迪士尼CEO曾承认门票涨价过于激进#】上海迪士尼6月23日起门票调价，常规日475元，高峰日719元。值得一提的是，据美国福克斯新闻网今年3月报道，华特迪士尼公司首席执行官艾格承认，迪士尼乐园门票涨价可能“过于激进”。艾格还暗示迪士尼可能进一步涨价，并开始向竞争对手授权使用其流媒体内容。数据显示，过去50年间，迪士尼世界和迪士尼主题公园的价格增长了3871%，攀升将近40倍。（海外网）信号财经的微博视频,0,0,0,北京,北京,北京,中国,star 1
2,4905372345962577,悠啸,2023-05-25 19:49:27,#上海迪士尼6月23日起门票调价#笑死、上海迪士尼是我玩过的迪士尼里面最拉垮的、 ,0,0,0,江苏,苏州,江苏,中国,star 1
2,4905301729874152,澎湃新闻,2023-05-25 15:08:51,【#上海迪士尼6月23日起门票调价#：常规日475元，高峰日719元】5月25日，澎湃新闻记者登入迪士尼度假区APP发现，已可购买上海迪士尼乐园6月23日的门票。2022年12月23日，上海迪士尼度假区官网曾公布上海迪士尼乐园票务调整方案，表示该调整方案将于2023年6月23日起实行。自2023年6月23日起，上海迪士尼度假区将在现行四级票价结构下调整上海迪士尼乐园的门票价格，各级定义及对应的票价如下：“常规日”门票价格为475元人民币，涵盖大部分平日和部分周末；“特别常规日”门票价格为599元人民币，涵盖部分周末和部分平日；“高峰日”门票价格为719元人民币，涵盖夏季大部分日期、部分中国法定节假日放假和调休期间及其前后部分日期、国际性节日庆祝期间、乐园特别活动日以及其他客流高峰日；“特别高峰日”门票价格为799元人民币，涵盖部分中国法定节假日放假和调休期间、乐园特别活动日以及夏季部分日期。儿童（3周岁至11周岁，含3周岁和11周岁；或身高1米以上至1.4米）、老年人（60周岁及以上）和残障游客（需提供残障证明）购买门票时将继续享受约七五折的优惠。婴幼儿（3周岁以下或身高1米及以下）仍可免票入园。上海迪士尼乐园将继续提供30天滚动价格日历，以方便游客根据各自的不同需求进行选择，提早规划行程。上海迪士尼乐园6月23日起门票调价：常规日475元，高峰日719元,963,3231,34280,,上海,上海,中国,star 4
2,4905371950389018,月光下的CC子,2023-05-25 19:47:53,#上海迪士尼6月23日起门票调价#四月去过了一次，说实话，不如环球好玩，各种设施体验感比较一般 ,0,0,0,广东,广州,广东,中国,star 3
2,4905371799916590,咏怜,2023-05-25 19:47:17,#上海迪士尼6月23日起门票调价#我真以为会降价，没想到是涨价，一次没去过的人路过！ ,0,0,0,四川,泸州,四川,中国,star 4
2,4905371787593801,爱是不停在期待的心_,2023-05-25 19:47:14,#上海迪士尼6月23日起门票调价#我还以为是因为疯/狂动物城要开了，可是为什么没看到这个消息 ,0,0,0,上海,上海,上海,中国,star 1
2,4905371501858021,畅快地飞,2023-05-25 19:46:06,#上海迪士尼6月23日起门票调价#迪士尼也不好玩呀，项目也不刺激，陪不同朋友去了几次，都是排队好久玩一会，还不如欢乐谷，是我去了还想再去，玩几次也不腻的地方。 ,1,0,1,上海,上海,上海,中国,star 2
2,4905371157662805,煲仔恰饭,2023-05-25 19:44:44,#上海迪士尼6月23日起门票调价# 幸好已经去过几次差不多了 ,0,0,0,上海,上海,上海,中国,star 4
2,4905370683708965,青春宜昌,2023-05-25 19:42:51,六一儿童节给孩子的棒棒糖也要有仪式感！_六一儿童节礼物 _过六一的仪式#上海迪士尼6月23日起门票调价#（来源： 手工DIY创意 ） @成都人社局 成都人社局的微博视频 ,0,0,1,,武汉,湖北,中国,star 5
