页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905374287404078,娱综推荐,2023-05-25 19:57:10,#九鹭非香 不接受被诽谤和造谣#  既然上了，就和大家安利一下护心吧，我觉得这一部剧不管是从剧情还是从男女主角的颜值都是蛮不错的😜 ,0,0,0,浙江,宁波,浙江,中国,star 4
2,4905374265903730,椰椰子yz,2023-05-25 19:57:05,#九鹭非香 不接受被诽谤和造谣# 你把男二搞这么恶心干嘛？ ,0,0,0,宁夏,银川,宁夏,中国,star 1
2,4905374245716473,牛牛鱼耶,2023-05-25 19:56:59,#九鹭非香 不接受被诽谤和造谣# 还好我从招摇之后就避雷了这个疯批 招摇  我永远的恨 ,0,0,0,山东,潍坊,山东,中国,star 1
2,4905361025538250,Star39170,2023-05-25 19:04:28,#九鹭非香 不接受被诽谤和造谣#是有多爱男二啊  竟然让男二那么羞辱男主 你有多恨男主 一个大无语住了 既然认了剧都是你编的 那也得认别人骂你  不是纯纯活该吗 ,0,2,33,河北,廊坊,河北,中国,star 1
2,4905360018899984,雾宇颂桃樱,2023-05-25 19:00:28,#九鹭非香 不接受被诽谤和造谣#没见过哪个剧男女主没有热搜，倒是编剧整天在热搜蹦哒的，，，真服了，，，观众能看到23集纯纯靠男女主的美貌和营业，，，，剧情真是一创一创的，编剧给男女主磕几个吧，无语😓 ,0,7,146,河北,保定,河北,中国,star 1
2,4905374203517471,萌萌兔子好哇塞,2023-05-25 19:56:50,#九鹭非香 不接受被诽谤和造谣#还是多关注护心这部剧本身吧，其他的不用多理会 ,0,0,0,广西,,广西,中国,star 4
2,4905374191456027,追星娱综,2023-05-25 19:56:47,#九鹭非香 不接受被诽谤和造谣#   既然编剧都直接出来回应，并且如此大方直白的说不接受被诽谤和造谣了，那么这件事情已经成定论了，还讨论那么多干嘛呢？散了散了 ,0,0,0,浙江,宁波,浙江,中国,star 1
2,4905374145057161,娱颖帝,2023-05-25 19:56:36,#九鹭非香 不接受被诽谤和造谣#  我觉得再讨论下去的话，就太伤剧了吧，与其想这些问题，还不如多关注一下电视剧和角色本身的问题，而不是想这么多 ,0,0,0,浙江,宁波,浙江,中国,star 3
2,4905374140598403,最甜的提拉米苏蛋糕,2023-05-25 19:56:35,#九鹭非香 不接受被诽谤和造谣#小赵的那个行是她主编吗 ,0,0,0,江西,抚州,江西,中国,star 1
2,4905374115960432,炫光薯饼,2023-05-25 19:56:29,#九鹭非香 不接受被诽谤和造谣# 前面十五集我看得多高兴后面几集我看得就有多恶心不会觉得狗血三角恋比三观双商在线升级流更有市场吧不会吧不会吧 ,0,0,1,山西,太原,山西,中国,star 4
3,4905374110980252,娱剧大赏,2023-05-25 19:56:28,#九鹭非香 不接受被诽谤和造谣# 关注编剧还不如关注一下这部剧，而且最近酷马上周末又要断更了，大家一定要记得去催更了呀！快点更新起来 ,0,0,0,浙江,金华,浙江,中国,star 3
3,4905374106258506,享受既来之则安之的幸福安逸,2023-05-25 19:56:27,#九鹭非香 不接受被诽谤和造谣#吵架的能不能去护心弹幕里吵，给我们小糊剧做做数据 ,0,0,1,天津,天津,天津,中国,star 5
3,4905363957354626,蝉不知雪a-,2023-05-25 19:16:07,#九鹭非香 不接受被诽谤和造谣# 天曜婚书没有热搜 就你戏多 男二故意踩男主尾巴这种狗屎剧情也想的出来 ,0,0,17,河南,商丘,河南,中国,star 2
3,4905374036004193,懒羊羊不是软绵绵,2023-05-25 19:56:10,#九鹭非香 不接受被诽谤和造谣#来看我们超好嗑的天雁蜜语好吗，少男少女很甜 ,0,0,0,广西,,广西,中国,star 5
3,4905374018176744,书摘选集,2023-05-25 19:56:06,#九鹭非香 不接受被诽谤和造谣# 事情前前后后也就这么个事情了，已经反反复复好多次了，我还是要去酷那边催更吧！大家一定要记得去看，今天晚上更新 ,0,0,0,浙江,金华,浙江,中国,star 1
3,4905373960243810,一碗水00,2023-05-25 19:55:52,#九鹭非香 不接受被诽谤和造谣#  看到编剧都回应了，我现在就只想说散了吧，都散了吧，有空光做编剧，还不如让酷多多加更呢 ,0,0,0,浙江,宁波,浙江,中国,star 2
3,4905373955785242,暗号三十七,2023-05-25 19:55:50,#九鹭非香 不接受被诽谤和造谣#九鹭非香，我原谅你了，我原谅我们所有的甜蜜、亏欠、奢望、绝望，我选择放了你，也放了我自己🙃 ,0,0,0,北京,北京,北京,中国,star 1
3,4905373951333689,废墟中的微光,2023-05-25 19:55:50,#九鹭非香 不接受被诽谤和造谣#   原来依托答辩的意思竟然是 ,0,0,0,江苏,南京,江苏,中国,star 3
3,4905363105646768,去有风的地方fly,2023-05-25 19:12:44,#九鹭非香 不接受被诽谤和造谣#就是说男二踩龙尾这个剧情是谁想出来的？？？这得吃了多少💩才能想出来这么恶心的剧情？？？？ ,0,5,63,浙江,杭州,浙江,中国,star 4
4,4905373855910824,旧漫迷,2023-05-25 19:55:27,#九鹭非香 不接受被诽谤和造谣# 既然都已经上了呀，那就顺便跟大家安利一下护心，最近真的是超级磕这一对CP的呀，完完全全很上头！ ,0,0,0,浙江,金华,浙江,中国,star 4
4,4905373842280627,小枫追剧,2023-05-25 19:55:24,#九鹭非香 不接受被诽谤和造谣# 大家骂也骂够了吧，今晚护心更新还需要大家的守护， 既然这么热了，大家别忘了多发发弹幕咱们早日破万 ,0,0,0,江西,吉安,江西,中国,star 1
4,4905373838868727,做他的猫w,2023-05-25 19:55:22,#九鹭非香 不接受被诽谤和造谣#这有啥好讨论的，看剧就行了吧朋友们，没必要说那么多 ,0,0,0,广西,,广西,中国,star 3
4,4905373808726113,霜雨满分甜,2023-05-25 19:55:16,#九鹭非香 不接受被诽谤和造谣# 完全是冲着美女帅哥两位主演来看剧的坚持看到今天也只是因为舍不得美女帅哥阅剧无数的我非常不理解这无语的剧情走向也是真的你们编剧也好剧方也好还有👖这狗排片也好，撕来撕去不觉得丢人现眼么你们搞得垃圾事关猴子也子什么事儿你们越来越烂不是事实么？所以撕来撕去不应该先给观众和男女主道个歉么,0,0,0,天津,天津,天津,中国,star 1
4,4905373784082184,不开心oh,2023-05-25 19:55:10,#九鹭非香 不接受被诽谤和造谣#最惨的就是俩主演，为了剧半夜还在与观众粉丝互动，酷不宣传剧，编剧还一直搅乱，瞅瞅你们这些人 ,0,0,0,辽宁,锦州,辽宁,中国,star 1
