页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905373276047002,刘止少导演,2023-05-25 19:53:09,#国泰航空曾被曝员工拒绝使用中文名名牌#《河湟有感》唐/司空图 一自萧关起战尘，河湟隔断异乡春。汉儿尽作胡儿语，却向城头骂汉人。 ,0,0,0,海南,陵水黎族自治县,海南,中国,star 4
2,4905359050016315,小凡好摄,2023-05-25 18:56:37,#国泰航空曾被曝员工拒绝使用中文名名牌# 赖岳谦教授：“洋买办这种奴才心态，才会觉得讲洋文高人一等！” #黄媒不会说的真相# 小凡好摄的微博视频 ,11,5,149,重庆,重庆,重庆,中国,star 5
2,4905372982450164,栗子超甜我超咸,2023-05-25 19:51:59,#国泰航空曾被曝员工拒绝使用中文名名牌# 没🐴的玩意，有本事一辈子别碰中文 ,0,0,0,安徽,六安,安徽,中国,star 1
2,4905372932636746,东方小猫666,2023-05-25 19:51:46,#国泰航空曾被曝员工拒绝使用中文名名牌#我建议这些人赶紧重新投胎，远离我大中华 ,0,0,1,广西,南宁,广西,中国,star 1
2,4905372885714429,青岛旅游人,2023-05-25 19:51:36,#国泰航空曾被曝员工拒绝使用中文名名牌#在酒店业，外资品牌酒店内部为了迎合外资老板，同胞间也全都称呼英文名 ,0,0,0,山东,青岛,山东,中国,star 4
2,4905372866055852,L柯y圆x圆,2023-05-25 19:51:31,#国泰航空曾被曝员工拒绝使用中文名名牌#被殖民出优越感了！真是服了！ ,0,0,0,安徽,合肥,安徽,中国,star 1
2,4905372798162001,湘北高校篮球部_SHOHOKU,2023-05-25 19:51:15,#国泰航空曾被曝员工拒绝使用中文名名牌#中文是世界上最优美，高级的语言，没有之一。中文表意，其深意只可意会，不可言传。日文也仅仅模仿了皮毛。怎会有这么低级的群体，居然拒绝中文？肤浅，张狂，典型殖民地思维，毫无独立国家公民之荣耀。 低级至此，让人毫无情绪。不入眼。 ,0,0,0,北京,北京,北京,中国,star 1
2,4905372790295231,Sephiroth0629,2023-05-25 19:51:13,#国泰航空曾被曝员工拒绝使用中文名名牌#几年以前就有这个公司的负面新闻，怎么还能允许这种公司存活到现在？！ ,0,0,0,安徽,合肥,安徽,中国,star 1
2,4905357794873232,诛心先生,2023-05-25 18:51:38,#国泰航空曾被曝员工拒绝使用中文名名牌#  我比较关注的是，我们的相关政府部门在香港事务上有没有发挥该有的行政职能？每次涉港问题，都是网友在燃烧爱国热情、在维护公平正义，我们的政府相关管理部门在干啥？ ,1,2,14,广东,深圳,广东,中国,star 5
2,4905254384309153,上游新闻,2023-05-25 12:00:43,#国泰航空曾被曝员工拒绝使用中文名名牌#【6年前被曝员工拒绝使用中文名名牌，#细数国泰航空4起歧视风波#】近日，“国泰空乘歧视乘客录音曝光”话题冲上多个平台热搜，引发广泛关注。据媒体报道，近日有网友举报香港国泰航空空乘歧视非英语乘客——飞行途中不间断使用英语、粤语抱怨：“如果他们不会说毛毯的英文，那他们就不配（用）毛毯”、“地毯是在地上”。5月22日晚，国泰航空官方微博发布了致歉声明。此后，国泰航空行政总裁林绍波24日在广州就空乘人员涉歧视乘客表示再次道歉。这不是国泰航空第一次因为歧视引发争议，早在几年前该公司就有类似新闻传出。曾拒绝使用中文名名牌。（上游新闻综合）上游新闻,330,722,9507,,重庆,重庆,中国,star 4
3,4905370034897758,帝吧官微,2023-05-25 19:40:16,几十年前的香港漫画，没想到现在还有这种现象 #国泰航空曾被曝员工拒绝使用中文名名牌# ,38,41,378,浙江,宁波,浙江,中国,star 3
3,4905372127858434,南风在北京,2023-05-25 19:48:35,#国泰航空曾被曝员工拒绝使用中文名名牌#国泰航空事件不断发酵，大家都能感受到国泰从员工到管理层那种高高在上的心态了吧，那种对中国人，中国文化的歧视了吧！他们唯一还保留在大陆的航班的原因就是在大陆还能赚钱。如果真的硬气点，老百姓的地址不管用的，管理层应该出手对国泰进行惩罚，罚款，限制和断航都可以，不能一边被人家欺负，一边让人家从我们口袋里拿钱，这不合适吧？,0,0,2,北京,北京,北京,中国,star 1
3,4905371909756499,古特夫人,2023-05-25 19:47:43,#国泰航空曾被曝员工拒绝使用中文名名牌# 这个公司既然那么讨厌大陆，讨厌中文，干脆中国香港之间的航线停了呗？！ 又要立牌坊又要做X子，何必呢？ ,0,0,0,浙江,宁波,浙江,中国,star 4
3,4905371900839269,如皋老猫,2023-05-25 19:47:40,#国泰航空曾被曝员工拒绝使用中文名名牌#看看这些败类，早烂透了！//@别鸽今天读书了吗:何必这样卑躬屈膝的道歉，世界这么大，关闭大陆航线很难吗？关闭大陆航线专心服务欧美不挺好的吗？,1,0,0,江苏,南通,江苏,中国,star 1
3,4905347486327642,Vista看天下,2023-05-25 18:10:40,#国泰航空曾被曝员工拒绝使用中文名名牌#【#细数国泰航空4起歧视风波#】近日，“国泰空乘歧视乘客录音曝光”话题冲上多个平台热搜，引发广泛关注。据媒体报道，近日有网友举报香港国泰航空空乘歧视非英语乘客——飞行途中不间断使用英语、粤语抱怨：“如果他们不会说毛毯的英文，那他们就不配（用）毛毯”、“地毯是在地上”。5月22日晚，国泰航空官方微博发布了致歉声明。此后，国泰航空行政总裁林绍波24日在广州就空乘人员涉歧视乘客表示再次道歉。这不是国泰航空第一次因为歧视引发争议，早在几年前该公司就有类似新闻传出。曾拒绝使用中文名名牌。（上游新闻综合）,4,17,61,,北京,北京,中国,star 4
3,4905371783659592,财神呀救救我吧,2023-05-25 19:47:12,#国泰航空曾被曝员工拒绝使用中文名名牌#  他们还在干啥，快罢工呀，快，罢他个一年半载！ ,0,0,0,广东,东莞,广东,中国,star 1
3,4905363084938094,大公文匯網,2023-05-25 19:12:39,【国泰股价今日一度跌逾4%　市值蒸发超460亿】国泰航空空乘涉歧视非英语乘客事件持续发酵。国泰航空今日股价盘中一度跌超过4%，截至收盘，报跌2.53%，报7.310港元每股。从历史股价来说，其7.310元港元的股价较高位14.672港元已经接近腰斩，市值蒸发超过460亿港元。#国泰歧视做法可追溯到二十年前# #国泰航空曾被曝员工拒绝使用中文名名牌#网页链接 ,3,10,76,,深圳,广东,中国,star 1
3,4905371384679354,富二代挖掘机,2023-05-25 19:45:38,国泰航空服务董事在微博道歉在内网发文撑？ #国泰##国泰航空曾被曝员工拒绝使用中文名名牌# ,0,1,4,广东,东莞,广东,中国,star 5
3,4905371321243473,幸运女神鳃,2023-05-25 19:45:23,#国泰航空曾被曝员工拒绝使用中文名名牌#我高考英语142我骄傲了吗，会说个英语怎么那么骄傲 ,0,0,0,云南,昆明,云南,中国,star 5
3,4905349528425046,大漠叔叔,2023-05-25 18:18:47,#国泰航空曾被曝员工拒绝使用中文名名牌#热度越高越好，报应来了！ 请国泰航空回应，在2019年中国·成都第十八届世界警察和消防员运动会期间，国泰航空泄露飞往成都参加运动会的香港警察航班信息和人员名单一事！ 来！秋后算账！ ,91,93,1401,海南,海口,海南,中国,star 1
4,4905371175487081,岁月___如歌,2023-05-25 19:44:48,#国泰航空曾被曝员工拒绝使用中文名名牌#太过纵容，只会让国泰越来越没有底线。 ,0,0,0,浙江,金华,浙江,中国,star 4
4,4905371146127634,花道布丁,2023-05-25 19:44:41,#国泰航空曾被曝员工拒绝使用中文名名牌# 因为被英国人统治过而不自信，现在还是思维定势，想通过鄙视其他人来增强优越感，但其实内心是虚弱的。 ,0,0,1,吉林,长春,吉林,中国,star 3
4,4905346864777231,凤凰网视频,2023-05-25 18:08:12,【6年前 #国泰航空曾被曝员工拒绝使用中文名名牌#】近日，“国泰空乘歧视乘客录音曝光”话题冲上多个平台热搜，引发广泛关注。而这已不是国泰航空第一次因为歧视引发争议，早在几年前该公司就有类似新闻传出，被曝空姐拒绝使用中文名名牌，不想讨好内地客人。（上游新闻） ,10,29,158,,北京,北京,中国,star 4
4,4905348047047216,小白兔频道,2023-05-25 18:12:54,#国泰航空曾被曝员工拒绝使用中文名名牌# ，明明就是一个底层的服务人员，却偏偏做装成像个英国贵族一样，你家主子英国人也没多少人有钱坐得起飞机了，现在是中国人是你的上帝。 ,1,10,111,湖南,长沙,湖南,中国,star 1
