页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905370038308366,雲眷雲舒淡然,2023-05-25 19:40:17,#女生订婚宴上真诚发言惊艳网友# 有点想背诵啊  不管怎样  祝福新人 新婚快乐   百年好合  永结同心 ,0,0,1,江苏,常州,江苏,中国,star 3
2,4905369555439647,桃花岛唐三,2023-05-25 19:38:22,#女生订婚宴上真诚发言惊艳网友# 过于官方的感觉了，像是背诵课文 ,0,0,2,四川,成都,四川,中国,star 3
2,4905369140989618,贺稀饭吃馍,2023-05-25 19:36:43,#女生订婚宴上真诚发言惊艳网友#男生：到我了，我媳妇说的也是我想说的  干杯 ,0,0,0,河南,郑州,河南,中国,star 5
2,4905368571084948,南屿不语,2023-05-25 19:34:26,#女生订婚宴上真诚发言惊艳网友#没有惊艳到我，倒是背课文让我彻底震惊 ,0,0,3,浙江,宁波,浙江,中国,star 4
2,4905368448403993,年度锦鲤欧娜,2023-05-25 19:33:58,#女生订婚宴上真诚发言惊艳网友# 我不信我不信我不信我不信我不信我不信 ,0,0,2,广西,梧州,广西,中国,star 5
2,4905368079306835,isme男神,2023-05-25 19:32:30,#女生订婚宴上真诚发言惊艳网友#实时评论笑死了为什么总弄这么尬的东西 ,0,0,3,河北,保定,河北,中国,star 3
2,4905351285312711,史遇春之尘境心影录,2023-05-25 18:25:46,#女生订婚宴上真诚发言惊艳网友#  结婚是个严肃的仪式，很多人却弄错，常常把结婚仪式当成了演戏的舞台…… 哈哈哈 ,3,3,16,福建,厦门,福建,中国,star 4
2,4905367342158667,开心的桃桃小窝,2023-05-25 19:29:34,#女生订婚宴上真诚发言惊艳网友#其实嘛找到一个自己爱的和爱自己的人真的很幸福了！愿新人幸福美满！ ,0,0,2,广东,广州,广东,中国,star 5
2,4905367173595875,一个有温度的命理师,2023-05-25 19:28:54,【为什么要进行八字合婚？】很多人的疑问：为什么要进行八字合婚？八字不合就要分开么？夫妻双方八字中涉及到婚姻感情如何、如走的大运不同，行事方式也会不同。比如一人走正官大运，做事喜欢规规矩矩，有条有理，而另一人走伤官大运，喜欢自由无拘束，这样两人大运相冲克，生活很容易会背道而驰，难以和谐。就可以根据卦象中给的指引进行调整，并非八字不合就意味着要分离。#女生订婚宴上真诚发言惊艳网友#,0,0,1,北京,北京,北京,中国,star 5
2,4905367152102381,打捆人生2015,2023-05-25 19:28:49,#女生订婚宴上真诚发言惊艳网友#这是位婚礼司仪吧？ ,0,0,3,河北,石家庄,河北,中国,star 5
3,4905366749977378,钱北斗,2023-05-25 19:27:13,#女生订婚宴上真诚发言惊艳网友#有点像体制内的风格，用到了日常生活！ ,0,0,2,重庆,重庆,重庆,中国,star 4
3,4905366742369630,淇淇落落,2023-05-25 19:27:11,#女生订婚宴上真诚发言惊艳网友# 我其实就想问问， 坐在旁边穿白T恤的这位男士是新郎官吗？ ,0,0,2,上海,上海,上海,中国,star 5
3,4905366637517238,多贝蒂要多背题了,2023-05-25 19:26:46,#女生订婚宴上真诚发言惊艳网友#  惊艳谁了…这个去面试的话应该是面试官很不喜欢的答题模板 ,0,0,1,贵州,六盘水,贵州,中国,star 3
3,4905366083604520,吹笛甜兔,2023-05-25 19:24:34,#女生订婚宴上真诚发言惊艳网友#呃，鸡皮疙瘩起来了，好反感 ,0,0,4,四川,成都,四川,中国,star 3
3,4905365857113287,清风上影,2023-05-25 19:23:40,#女生订婚宴上真诚发言惊艳网友#双向奔赴的爱情！㊗️福你们婚姻幸福！ ,0,0,0,广东,深圳,广东,中国,star 5
3,4905365688551246,nowitstimetoshine,2023-05-25 19:23:00,#女生订婚宴上真诚发言惊艳网友#惊艳网友？尬死网友！ ,0,0,4,海南,,海南,中国,star 4
3,4905365357726247,千江意,2023-05-25 19:21:41,#女生订婚宴上真诚发言惊艳网友#父母是隔在我们和死亡之间的帘子。你和死亡好象隔着什么在看，没有什么感受，你的父母挡在你们中间，等到你的父母过世了，你才会直面这些东西，不然你看到的死亡是很抽象的，你不知道。亲戚，朋友，邻居，隔代，他们去世对你的压力不是那么直接，父母是隔在你和死亡之间的一道帘子，把你挡了一下，你最亲密的人会影响你的生死观。,0,0,0,中国香港,,香港,中国,star 5
3,4905364312820618,康牡丹mudan,2023-05-25 19:17:32,#女生订婚宴上真诚发言惊艳网友#真不就是网络热文拼凑的煽情小作文吗这也能夸 ,0,0,5,北京,北京,北京,中国,star 2
3,4905364262225906,hao_yoh,2023-05-25 19:17:20,#女生订婚宴上真诚发言惊艳网友# KPI完不成也不至于找这么些尬人的东西发啊 ,0,0,1,陕西,汉中,陕西,中国,star 5
3,4905364245451698,冬天你好123,2023-05-25 19:17:16,#女生订婚宴上真诚发言惊艳网友#网友是一个人的名字？哪里惊艳，你可以代表我？没新闻可以不发，这种提前背诵也配？真正惊艳我的是，那男的说了民国结婚誓言祝福新人。两姓联姻，一堂缔约，良缘永结，匹配同称。看此日桃花灼灼，宜室宜家，卜他年瓜瓞绵绵，尔昌尔炽。谨以白头之约，书向鸿笺，好将红叶之盟，载明鸳谱。此证。,2,0,4,广东,,广东,中国,star 4
4,4905364183848309,赛博面壁者莫斯,2023-05-25 19:17:01,#女生订婚宴上真诚发言惊艳网友# 讲得很好。幸运儿是他还是她？ ,0,0,1,北京,北京,北京,中国,star 5
4,4905363553915915,这就是孤寂,2023-05-25 19:14:31,#女生订婚宴上真诚发言惊艳网友#新郎端起酒杯说《俺也一样》 ,1,1,3,天津,天津,天津,中国,star 4
4,4905350807947464,卡拉是个乖孩子,2023-05-25 18:23:52,#女生订婚宴上真诚发言惊艳网友#没开声音都觉得尬 ,0,1,53,浙江,杭州,浙江,中国,star 5
4,4905362597611135,全知全能猫,2023-05-25 19:10:43,#女生订婚宴上真诚发言惊艳网友#  这特么不是八股都不如的套话么  真诚在哪里啊？ ,0,0,5,北京,北京,北京,中国,star 2
4,4905362069392464,圈个小公举哟,2023-05-25 19:08:37,#女生订婚宴上真诚发言惊艳网友#这准新娘不是老师就是公务员吧 而且长得有点像发福版的赵丽颖… ,0,0,4,天津,天津,天津,中国,star 3
4,4905361809083046,拳头硬了你别走,2023-05-25 19:07:35,#女生订婚宴上真诚发言惊艳网友# 惊讶到谁了？被惊艳到的举个手我看看🧐 ,0,0,2,安徽,滁州,安徽,中国,star 5
4,4905361616669321,不知羞o,2023-05-25 19:06:49,#女生订婚宴上真诚发言惊艳网友# 本网友没被惊艳到 感觉有点像背稿 惊艳到的网友出来让大家认识一下 感觉这女的考公绝对可以上岸… 旁边白衣服的是对象吗？ 感觉脚可以抠出三室一厅了 （祝福 幸福 我不订婚🙏 ,0,0,5,山东,潍坊,山东,中国,star 5
4,4905360961573554,一不是二二二,2023-05-25 19:04:13,#女生订婚宴上真诚发言惊艳网友#结婚的时候，感觉不用请司仪了 ,0,0,0,河南,郑州,河南,中国,star 5
4,4905360681075617,祁人祁语,2023-05-25 19:03:06,#女生订婚宴上真诚发言惊艳网友#比很多领导的讲话要精彩 ,0,0,0,北京,北京,北京,中国,star 4
4,4905360680551688,Melinda5678,2023-05-25 19:03:06,#女生订婚宴上真诚发言惊艳网友#为什么现在都喜欢推崇这种。订婚宴也就是在场的都是自家亲人朋友，搞得像是跟高级领导汇报工作似的。对于我这种社恐看着就怕 ,0,0,0,广西,南宁,广西,中国,star 3
5,4905360610300533,爱上河图的清茗,2023-05-25 19:02:49,#女生订婚宴上真诚发言惊艳网友#是我的话可能是谢谢大家赏脸百忙之中来参加，大家吃好喝好啊，先干为敬 ,0,0,0,湖北,襄阳,湖北,中国,star 5
5,4905360383545764,莫非·芍药,2023-05-25 19:01:55,#女生订婚宴上真诚发言惊艳网友#我是认真的想看看真诚发言的结果这不就背稿吗 ,0,0,0,河北,石家庄,河北,中国,star 1
5,4905359997404492,喝杯咖啡不加奶,2023-05-25 19:00:23,#女生订婚宴上真诚发言惊艳网友#我只闻到熟悉的味道，比如小时候家庭聚餐总会让你表演个节目，长大了家庭聚餐就端杯讲话敬长辈酒 ,0,0,2,北京,北京,北京,中国,star 5
5,4905359939210253,夏翡,2023-05-25 19:00:09,微博社区委员会话要和有回应的人说，饭要和投缘的人吃，日子要和懂你的人过，不能陪你碎碎念念的人，又怎能陪你到岁岁年年呢？#女生订婚宴上真诚发言惊艳网友# 夏翡的微博视频 ,1,5,1,山东,枣庄,山东,中国,star 5
5,4905358822215568,羡兔子一只1005,2023-05-25 18:55:43,#女生订婚宴上真诚发言惊艳网友#双向奔赴的爱情会让我们变成更好的人，这句话惊艳到了我。确实挺有道理的真理。 ,0,0,1,湖南,郴州,湖南,中国,star 5
5,4905355581327095,逆风独Red玫瑰,2023-05-25 18:42:50,#女生订婚宴上真诚发言惊艳网友#  Emmm……她对象好像并没被“惊艳”到 顺便问一句：姑娘是司仪/主持人出身吗？ ,0,0,9,江苏,无锡,江苏,中国,star 5
5,4905194301948089,寻味长春,2023-05-25 08:01:57,女生订婚宴上真诚发言惊艳网友：双向奔赴的爱情会让我们变成更好的人。 寻味长春的微博视频 ,24,10,127,吉林,长春,吉林,中国,star 5
5,4905353660072716,黄满满呢,2023-05-25 18:35:12,#女生订婚宴上真诚发言惊艳网友#感觉不就是像小时候上学背课文一样 ,0,0,9,江西,南昌,江西,中国,star 3
5,4905353008908218,今日帅哥江小宴,2023-05-25 18:32:37,#女生订婚宴上真诚发言惊艳网友#确定是真诚的发言，不是朗诵课文吗？你真的被惊艳了吗？网友们？ ,13,15,249,山西,临汾,山西,中国,star 3
6,4905349705105521,明距_,2023-05-25 18:19:28,#女生订婚宴上真诚发言惊艳网友#上次看另一个视频说的话一模一样。 ,0,0,13,北京,北京,北京,中国,star 5
6,4905348593353105,观天瞳,2023-05-25 18:15:03,#女生订婚宴上真诚发言惊艳网友#这绝对学播音主持的 ,0,0,0,陕西,西安,陕西,中国,star 3
