页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905367659877641,战小饭,2023-05-25 19:30:50,#男子弄丢唐伯虎真迹好心市民交还#找到就好，感谢好心人 ,0,0,1,浙江,湖州,浙江,中国,star 5
2,4905367122743338,董骥,2023-05-25 19:28:42,#男子弄丢唐伯虎真迹好心市民交还#附图是唐伯虎的《落花诗册》3亿美金。 ,0,4,6,云南,昆明,云南,中国,star 5
2,4905367072937852,淇淇落落,2023-05-25 19:28:30,#男子弄丢唐伯虎真迹好心市民交还# 网友：“这幅真迹目前价值上百万” 不是，唐伯虎的真迹现在都是小目标起步的 上百万也太看不起唐伯虎了吧？ ,0,0,0,上海,上海,上海,中国,star 5
2,4905366862698914,醉登楼,2023-05-25 19:27:40,#男子弄丢唐伯虎真迹好心市民交还#，莫非就是江湖传说中的《春树秋霜图》？ 北京 ,0,0,0,北京,北京,北京,中国,star 2
2,4905366560702933,_茶馆里的说书先生_,2023-05-25 19:26:27,#男子弄丢唐伯虎真迹好心市民交还#这画可是值很多套别墅啊 ,0,0,0,河南,焦作,河南,中国,star 5
2,4905366368027953,温州微博大事小事,2023-05-25 19:25:41,#男子弄丢唐伯虎真迹好心市民交还#有真迹的不是一般人了随随便便上热搜不怕被盯上啊 ,1,1,0,浙江,温州,浙江,中国,star 5
2,4905366285192226,羡兔子一只1005,2023-05-25 19:25:22,#男子弄丢唐伯虎真迹好心市民交还#真的是真迹啊！得亏这位好心市民哦！弄丢可就亏大发了 ,0,0,0,湖南,郴州,湖南,中国,star 1
2,4905365814122185,海底95万米玐,2023-05-25 19:23:30,#男子弄丢唐伯虎真迹好心市民交还# 一震惊于他弄丢了唐伯虎的画 二震惊于有好心人归还 三震惊于那是真迹 ,0,0,0,福建,宁德,福建,中国,star 5
2,4905364850479593,DYL飞雪,2023-05-25 19:19:40,#男子弄丢唐伯虎真迹好心市民交还#这么贵重的东西，幸好遇上了好心人，不然就可惜了 ,0,0,0,湖南,怀化,湖南,中国,star 3
2,4905363985668402,初见与你的故事ING,2023-05-25 19:16:14,#男子弄丢唐伯虎真迹好心市民交还# 天…得亏是好心人，要是遇到没安好心的，你就哭去吧！ ,0,1,0,重庆,重庆,重庆,中国,star 5
