页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905372211742161,给心灵一束阳光,2023-05-25 19:48:55,#租客仅剩13元花11元买瓜探望房东#  千里送鹅毛，礼轻情意重，泪目！ ,0,0,0,浙江,绍兴,浙江,中国,star 1
2,4905371791789539,历史刘老师V,2023-05-25 19:47:15,#租客仅剩13元花11元买瓜探望房东#【唐代宰相的独特报恩方式】看到新闻中房东与租客用真心换真心，用真情报真情的事迹，不由得想到了唐代宰相王圭的报恩。王圭是唐代贞观初年著名的宰相，但少年时期的他，家境相当的贫寒，甚至很长一段时间吃饭都是问题。邻里一些好心人，出于同情心，便时常主动为他送些吃的、穿的，或者是给一些钱，不至于让他受饥挨冻。但对于这些好心人的善意，王圭既不说推辞不要，也不表达一句谢意（珪少时贫寒，人或遗之，初不辞谢）。难道王圭是一个不懂得感恩的人吗？不，并不是。只不过在此时王圭看来，自己现在的谢意毫无意义，他会把这份情义深深的记在自己心中，等将来自己有了能力，再十倍、百倍的报答，那时候的回报，比一句空洞洞的感谢要实在的多。所以，多年之后，当他富贵之时，把当年凡是帮助过自己的人都给予了厚报，哪怕有些人已经去世，他也一定要把这份情义还报给对方的家人（及贵，皆厚报之，虽其人已亡，必赈赡其妻子）。《旧唐书》：“珪少时贫寒，人或遗之，初不辞谢；及贵，皆厚报之，虽其人已亡，必赈赡其妻子。”,0,0,1,山东,聊城,山东,中国,star 4
2,4905371465159344,当然是原谅o,2023-05-25 19:45:57,#租客仅剩13元花11元买瓜探望房东#图穷匕见，结尾通过短视频和直播帮助更多人，别整那些虚头巴脑的了，啥时候上链接？ ,0,2,0,广东,广州,广东,中国,star 4
2,4905371212711611,黏糊米线不算麻辣烫,2023-05-25 19:44:57,#租客仅剩13元花11元买瓜探望房东#普通人兜里只剩下13块，内娱不怎么红的年入1个亿，真讽刺啊。 朱门酒肉臭，路有冻死骨。 ,0,0,6,吉林,白城,吉林,中国,star 1
2,4905351566065751,快乐的60后小胖子,2023-05-25 18:26:52,#租客仅剩13元花11元买瓜探望房东# 滴水之恩，当涌泉相报，中华美德在延续，好人一生平安。 ,0,16,19,黑龙江,哈尔滨,黑龙江,中国,star 4
2,4905370747671690,英国马邦德,2023-05-25 19:43:06,#租客仅剩13元花11元买瓜探望房东#为啥就11块钱？他既然租房子就可以把自己的闲置的房子租出去啊。 专家不是提过这个建议吗，为什么不去做？ ,0,1,0,英国,,英国,英国,star 1
2,4905370704678709,溧阳检察,2023-05-25 19:42:56,晚安也许不能事事如意，但可以事事尽力，有遗憾不可惜，问心无愧即可。晚安💤#租客仅剩13元花11元买瓜探望房东##晚安##阿贴说晚安# （图片来自网络） ,0,24,14,,南京,江苏,中国,star 5
2,4905370365989984,一万颗星星y,2023-05-25 19:41:35,#租客仅剩13元花11元买瓜探望房东#滴水之恩当涌泉相报，两位都是性情中人 ,0,0,1,海南,海口,海南,中国,star 4
2,4905369987977855,岁月___如歌,2023-05-25 19:40:05,#租客仅剩13元花11元买瓜探望房东#房东也肯定是一个好房东，要不然也不会有如此感恩的租户。 ,0,0,2,浙江,金华,浙江,中国,star 1
2,4905369975918559,喜欢劳逸结合喜欢娱乐喜欢美食者,2023-05-25 19:40:02,#租客仅剩13元花11元买瓜探望房东#砖家的话，你也信？人均25万存款？人均2万5000元还差不多。几亿人月收入不到1000元，每人有存款1000元就不错了。好多都是月光族  部分是小透支族    中等透支族   大透支族  个人破 产族 ,0,0,2,四川,资阳,四川,中国,star 1
