页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905367924642791,努力为胖,2023-05-25 19:31:53,#空调开18度的领导离职了# 18°的确有些冷了，起码20°+吧，不过还好我在办公室总会留一件外套，冷了就穿上 ,0,0,0,广东,深圳,广东,中国,star 4
2,4905329064677227,许文臣,2023-05-25 16:57:28,#空调开18度的领导离职了#  那些在大夏天嫌空调冷的人，可能需要一个冬天不愿意开暖风的同事。 ,1,23,84,辽宁,锦州,辽宁,中国,star 3
2,4905291240179720,长安数码君,2023-05-25 14:27:10,#空调开18度的领导离职了#，真的是不管干啥都要考虑大多数人的感受啊，突然想起来我们大学的时候有个同学，比较怕冷，还不是一般的怕冷。    我们大一的时候还没安装空调，晚上大家都开风扇，就如下图的那种会摇头的风扇，我那位同学嫌风扇摇头吹到他的时候就跟有人摸他一样痒，于是趁其他人睡着了把风扇给关了，结果半夜把宿舍人热醒来快中暑了，真的是绝了,28,375,3318,陕西,西安,陕西,中国,star 1
2,4905336189747639,C科技,2023-05-25 17:25:46,#空调开18度的领导离职了#一起来说说，你们夏天空调温度开到多少？我是19℃ ,12,95,81,湖北,武汉,湖北,中国,star 1
2,4905367081064224,九一虚构,2023-05-25 19:28:32,我们大一的时候还没安装空调，晚上大家都开风扇，就如下图的那种会摇头的风扇，我那位同学嫌风扇摇头吹到他的时候就跟有人摸他一样痒，于是趁其他人睡着了把风扇给关了，结果半夜把宿舍人热醒来快中暑了，真的是绝了#空调开18度的领导离职了#   趣味墨同学的微博视频 ,0,0,0,黑龙江,哈尔滨,黑龙江,中国,star 5
2,4905366917481381,落日赤橙,2023-05-25 19:27:53,#空调开18度的领导离职了# 🐶P心静自然凉的领导什么时候离职 ,0,0,1,山东,济宁,山东,中国,star 1
2,4905366435661998,干涸的鱼,2023-05-25 19:25:58,#空调开18度的领导离职了#感觉国内节能宣传还是很有效果的，大家现在都知道空调26度舒适有省电，就算是公家的电也很少会调到这么低的管中窥豹，这样不为集体想的领导也很难干的久吧 ,0,0,3,浙江,金华,浙江,中国,star 5
2,4905365453414075,小野歌DE朋友圈,2023-05-25 19:22:04,#空调开18度的领导离职了#明明就很冷，电费不要钱么，忽冷忽热很容易生病哦 ,0,0,1,广东,广州,广东,中国,star 1
2,4905340933506235,小熊QQ糖,2023-05-25 17:44:38,日常plog小碎片 感觉岁数大了，吹不了空调了…怕冷 小提示一下：又当电扇又当落地灯的空气循环扇今晚截团，还有一台免单木有抽，拍了的仙女来冒个泡泡呀 #寻找生活中的光##空调开18度的领导离职了# ,0,32,19,北京,北京,北京,中国,star 5
3,4905363835195476,清綄,2023-05-25 19:15:38,#空调开18度的领导离职了##空调开18度的领导离职了#没有空调哦！夏天！冬天！都没有哦！美名其曰节省成本！忍了快两年，今天终于离职了！怕死在这个夏天！！！🙃🙃🙃 ,0,0,1,安徽,蚌埠,安徽,中国,star 1
3,4905363475008306,最幸运的幸运Pj1005,2023-05-25 19:14:12,#空调开18度的领导离职了#我们都是开的24度，领导说最好的温度是26度 ,0,0,1,辽宁,大连,辽宁,中国,star 1
3,4905363071566578,hiry诗小囡,2023-05-25 19:12:36,#空调开18度的领导离职了# 四人工位办公室  工作性质不能关门  空调是2.5匹柜机  24度 外加电扇循环 目前相处融洽 晚上值班的时候 关门 23度 极度舒适18度 可能是空调缺氟了 ,0,0,0,北京,北京,北京,中国,star 4
3,4905362963042165,初尘染,2023-05-25 19:12:10,#空调开18度的领导离职了#18度，我们是16度，不知道多冷呢 ,0,0,0,广东,深圳,广东,中国,star 2
3,4905362820432096,旱萝卜花,2023-05-25 19:11:35,#空调开18度的领导离职了#这是没遇到30度还不让开空调的领导 ,0,1,1,天津,天津,天津,中国,star 1
3,4905362567725886,万源警事,2023-05-25 19:10:35,网友讨论～#空调开18度的领导离职了#，无论如何，关注健康分享知识#微分享# 【跟着视频学，洗空调不花1分钱，还不费劲儿】 天气渐渐热起来，你家的空调清洁过了吗？空调长期不清洗，不仅影响制冷，还会诱发支气管哮喘等疾病！跟着视频学，自己动手，省钱省力还干净。转需不谢！via@人民日报 #法姐分享# @四川监狱 @绵阳特巡警 转给你关心的人 法治四川的微博视频,0,0,0,,达州,四川,中国,star 5
3,4905362040555798,青岛气象,2023-05-25 19:08:30,【#夏天办公室空调开多少度合适#空调开开关关 真的能省电费吗？】天气越来越热，全靠空调救命，但电费也蹭蹭上涨……空调开开关关，真的能省电费吗？#空调开18度的领导离职了# 中国天气的微博视频 ,0,1,1,,青岛,山东,中国,star 4
