页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905371170508424,爱吃蜜鼠,2023-05-25 19:44:47,#艺人化妆师还是个高危职业#淋子是真的火了啊…… ,0,0,2,河南,洛阳,河南,中国,star 4
2,4905358696388767,人间失语王一资,2023-05-25 18:55:13,#艺人化妆师还是个高危职业#  你化妆师还好吧？@UNIQ-王一博 ,0,15,121,江苏,南京,江苏,中国,star 4
2,4905358491388781,陈腾跃,2023-05-25 18:54:24,#艺人化妆师还是个高危职业#我证明，是真的都会问一下哪里需要轻一些“这里可以吗？”怎么还带语音这么好笑要笑死了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈大家记得去爱奇艺看全资进组哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 哈哈哈哈哈哈,509,1101,12157,北京,北京,北京,中国,star 5
2,4905370952139693,得闲奶茶喝点儿,2023-05-25 19:43:55,#艺人化妆师还是个高危职业#淋子你这下真的火了 ,0,0,3,北京,北京,北京,中国,star 3
2,4905370735351284,悦燃的美丽时光,2023-05-25 19:43:03,#艺人化妆师还是个高危职业#我当年专门去北京跟杨颖的化妆师学了化妆，没入门，因为我手残。  现在做了医美行业，也不错。 ,0,0,0,广东,广州,广东,中国,star 4
2,4905370684495091,八崽八仔,2023-05-25 19:42:51,#艺人化妆师还是个高危职业#  杨艺淋是谁啊？搜了一下只有超话没有搜到本人哎 ,0,1,0,浙江,丽水,浙江,中国,star 4
2,4905370319592041,小張挺爱吃香菜,2023-05-25 19:41:24,#艺人化妆师还是个高危职业# 我妈妈真的火了啊…都上热搜了… ,0,0,2,北京,北京,北京,中国,star 4
2,4905370009737117,tinasunyue,2023-05-25 19:40:10,#艺人化妆师还是个高危职业#那是不是也不能玩🐽鼻子的游戏 ,0,0,0,辽宁,大连,辽宁,中国,star 4
2,4905369824398241,大白馒头TANG,2023-05-25 19:39:26,#艺人化妆师还是个高危职业# 鼻子真的会碰歪吗？ ,0,0,0,湖北,仙桃,湖北,中国,star 3
3,4905351680624464,鲨鲨鱼皮,2023-05-25 18:27:20,#艺人化妆师还是个高危职业#那要看给谁化妆了，天生丽质又白皮的人，是化妆师的最爱，说的就是邓伦 ,0,12,57,广东,深圳,广东,中国,star 4
