页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905376535811670,陌上蔷薇woaicy,2023-05-25 20:06:06,#冯小刚女儿撞脸小S二女儿# 不太像，各有各的美，每个人都是独立的个体，就算双胞胎也有不一样的地方 ,0,0,0,广西,南宁,广西,中国,star 4
2,4905376422302478,恋爱困难少女ovo,2023-05-25 20:05:39,#冯小刚女儿撞脸小S二女儿# 我怎么感觉还有点像杨采钰 ,0,3,9,湖南,长沙,湖南,中国,star 3
2,4905376221502957,桑苧ning,2023-05-25 20:04:51,#冯小刚女儿撞脸小S二女儿#额，这倒不必拿出来互相比较了吧，人家也不希望女儿被网友说都散了吧冯小刚和小S女儿都非常好看 ,0,9,13,贵州,贵阳,贵州,中国,star 5
2,4905376187160293,婵娱,2023-05-25 20:04:43,#冯小刚女儿撞脸小S二女儿#美有千千万万，不一样的美才符合时代啊，两个都是独一无二的美女，漂漂亮亮的就行啦，不要拉踩去对比 婵娱的微博视频 ,0,11,14,广东,江门,广东,中国,star 5
2,4905376161991204,文娱酱,2023-05-25 20:04:37,冯小刚女儿晒出在华表奖后台与众多明星合照，小S二女儿许韶恩确实风格有点像，个人感觉小s的女儿好看。#冯小刚女儿撞脸小s二女儿# ,50,50,54,广东,惠州,广东,中国,star 4
2,4905359712458395,芒果捞小萌主,2023-05-25 18:59:15,冯小刚徐帆养女徐朵被指撞脸小S二女儿Lily，感觉是两种风格的美女呀～#冯小刚女儿撞脸小S二女儿# ,52,57,108,浙江,衢州,浙江,中国,star 5
2,4905376041141963,海娱恋,2023-05-25 20:04:08,#冯小刚女儿撞脸小S二女儿#我的天呀，是没事可以干了啊，怎么还去攻击人家的女儿啊，真的不怕冯小刚和小S嘛，撞脸真的很正常 ,0,7,13,广东,江门,广东,中国,star 4
2,4905376015715082,米奇兔兔屋,2023-05-25 20:04:02,#冯小刚女儿撞脸小S二女儿#冯小刚小S女儿长相这件事都要弄来评头论足了嘛，都是有多闲啊，不像瘸却被说撞脸，少关心别人，多关心关心自己吧 ,0,9,12,广东,江门,广东,中国,star 4
2,4905375793682642,荣戈博报,2023-05-25 20:03:09,#冯小刚女儿撞脸小S二女儿#女大十八变，越变越好看。谁的眼力架，看出像小S二女儿？（荣戈博报） ,0,0,1,山东,烟台,山东,中国,star 5
3,4905375419336603,白鹤-老邓,2023-05-25 20:01:40,#冯小刚女儿撞脸小S二女儿#S系列的瓜又出来了 ,0,0,0,江西,南昌,江西,中国,star 4
3,4905375382110521,等月亮那几年,2023-05-25 20:01:30,#冯小刚女儿撞脸小S二女儿#这个词条是不是有🧊？哪里一样了 ,0,2,0,内蒙古,呼和浩特,内蒙古,中国,star 4
3,4905375264673888,向上鹿先森,2023-05-25 20:01:03,#冯小刚女儿撞脸小S二女儿#冯小刚女儿漂亮过小s女儿多多点好吗 ,0,0,0,广东,,广东,中国,star 5
3,4905375033463202,韩华春fighting,2023-05-25 20:00:08,冯小刚女儿晒华表奖后台与众明星的合影，徐朵颜值高气质出众，被指撞脸小S二女儿许韶恩！  #冯小刚女儿撞脸小S二女儿# 韩华春fighting的微博视频 ,0,0,1,黑龙江,哈尔滨,黑龙江,中国,star 4
