页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905375297962831,叫我郉半仙儿,2023-05-25 20:01:11,#原来睡着后的世界是这样的#还有好多没有睡觉的人，在维持着我们的社会正常运行。岁月静好真的是有人在负重前行。 ,0,0,0,河北,保定,河北,中国,star 5
2,4905375244226501,昆曲昆小弟,2023-05-25 20:00:58,#原来睡着后的世界是这样的#睡着后的世界我不知道❤️，但是醒着的世界很美好哦空了欢迎大家来到昆山，一起走进百戏之祖“昆曲”，感受大美昆曲，大好昆山！#亿点曝光计划##昆山# 苏州·昆曲茶社 昆曲昆小弟的微博视频 ,0,0,0,江苏,苏州,江苏,中国,star 5
2,4905375234787487,东海发布,2023-05-25 20:00:56,【注意！#熬夜的伤害不可逆#】你是否也有这样的困扰：报复性熬夜，很困却不想睡，想睡也睡不着……要知道，熬夜、失眠对身体有许多不可逆的伤害，即使补觉也很难抵消。睡不着就是失眠吗？熬夜戒不掉怎么办？戳图了解↓↓↓ #原来睡着后的世界是这样的# ,1,0,1,,连云港,江苏,中国,star 5
2,4905374311780196,济南市文化和旅游局,2023-05-25 19:57:16,#原来睡着后的世界是这样的# 【注意！#熬夜的伤害不可逆#】你是否也有这样的困扰：报复性熬夜，很困却不想睡，想睡也睡不着……要知道，熬夜、失眠对身体有许多不可逆的伤害，即使补觉也很难抵消。睡不着就是失眠吗？熬夜戒不掉怎么办？戳图了解↓↓↓via央视新闻 ,0,4,1,,济南,山东,中国,star 3
2,4905374308372960,Rrrrrrrrlll,2023-05-25 19:57:15,#原来睡着后的世界是这样的#,0,0,1,中国澳门,,澳门,中国,star 5
2,4905373779364704,浮生若梦LYXZ,2023-05-25 19:55:09,#原来睡着后的世界是这样的# 画的好可爱呀我睡觉就老喜欢做梦 ,0,1,2,重庆,重庆,重庆,中国,star 5
2,4905372870250992,太阳是我一号位,2023-05-25 19:51:32,#原来睡着后的世界是这样的#所以我一直理个小平头 杭州 ,0,0,1,浙江,杭州,浙江,中国,star 5
2,4905372710866282,疯狂大象,2023-05-25 19:50:54,交了保护费还要花钱搞火箭？韩国人是不是在自己打自己脸呢！#原来睡着后的世界是这样的# ,0,2,2,河南,郑州,河南,中国,star 1
2,4905372634318287,武侯人社局,2023-05-25 19:50:36,早睡【#当你睡着后身体在干嘛# 】#原来睡着后的世界是这样的# 充足的睡眠对身体有很多好处，可以让大脑休整、让肝脏自我修复……其实，入睡后，身体还会发生这些神奇变化：1.眼球。眼球会在睡眠的某个特殊时段左右摆动，被称为快速眼动睡眠；这一时段的睡眠被认为与做梦有关。2.大脑。睡眠期间，大脑会整理白天的信息，并将信息产生的代谢废物清理掉。3.心脏。此时血压和心率会下降，心脏在人体进入睡眠后才能稍稍休息一下。4.消化系统。睡着后，胃肠道的蠕动速度会慢下来，但也在值“夜班”。5.呼吸系统。睡眠时，呼吸频率会稍有降低，而且有规律。6.肾脏。夜间肾脏的过滤功能比白天慢，尿液会相应减少。因此早上第一泡尿的颜色通常比较深。7.肌肉。睡觉时，全身肌肉都松弛下来。8.体温。由于代谢速度减缓，睡眠期间体温会下降0.5℃~1℃，这也有利于我们更快进入睡眠。,1,0,0,,成都,四川,中国,star 5
2,4905371720222639,雪糕车-,2023-05-25 19:46:58,#原来睡着后的世界是这样的# 一睡觉就做梦…. ,0,0,0,广东,广州,广东,中国,star 4
