页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905377512032085,ay空格情,2023-05-25 20:09:59,#吴宣仪2021年收入#一个亿，老板拿七成，艺人三成，努力干掉杜华你们比吴宣仪挣的多 ,0,0,3,广东,佛山,广东,中国,star 4
2,4905377504956141,比利瓦尔,2023-05-25 20:09:57,#吴宣仪2021年收入# 呵呵，都去当明星吧！比她红的几亿起了吧？！ ,0,0,1,浙江,宁波,浙江,中国,star 3
2,4905377411892904,Jessie-Wuuu,2023-05-25 20:09:35,#吴宣仪2021年收入# 真正排一下最多属于五六七八线，唱跳业务能力一般，无演技，还可以这样赚，真不愧是内娱 ,0,0,2,浙江,杭州,浙江,中国,star 2
2,4905356888638398,窝哦是姐姐的悲伤小狐狸,2023-05-25 18:48:01,#吴宣仪2021年收入#看了看到处都是3000多月薪的工作。只觉得悲哀。 ,0,0,20,河南,郑州,河南,中国,star 2
2,4905377369425315,孙531,2023-05-25 20:09:25,#吴宣仪2021年收入# 努力的人,0,0,2,广东,广州,广东,中国,star 5
2,4905377257229314,图图哥XM,2023-05-25 20:08:58,#吴宣仪2021年收入#  真的好多次从小吴身上体会到生活的无力感，自己的努力可以被不相干人的唾沫轻轻松松淹没。21年连轴转一整年，她按行业规定和合同拿钱，没有违法乱纪，不管拿多少，是靠工作换来的，不知道凭什么枪口要对着她。人都是趋利的，赚钱的行业也没规定不让谁进，与其诋毁别人，不如把时间用来给自己赚钱。嗯又是五月，21年也是五月，被莫名其妙大规模网暴，希望以后不会再有这样的五月了。,0,0,4,陕西,西安,陕西,中国,star 4
2,4905377232327130,李桃一霎都开了,2023-05-25 20:08:52,#吴宣仪2021年收入# 这……怎么挣的呀？有点好奇 ,0,0,1,云南,昆明,云南,中国,star 3
2,4905331857556620,木头鱼,2023-05-25 17:08:34,#吴宣仪2021年收入# 吴宣仪2021年的收入引发热议，有网友指出吴宣仪2021的收入接近一亿，其中分成3千万。真的假的啊？？ ,409,2053,45682,四川,成都,四川,中国,star 4
2,4905339277279334,牛明昱,2023-05-25 17:38:02,#吴宣仪2021年收入# 赚得越多，纳税越多，所以对国家、人民贡献也越多，这也值得有些人酸吗？确实，你全家一辈子加一起都赚不到一个亿，可是不同收入的人承担的也不同，付出的也不同，你凭什么跟人家比呢？她红了，能带动的商业效应就大，赚得多非常合理。 ,8,113,987,河北,廊坊,河北,中国,star 4
2,4905377059312195,桑本念久,2023-05-25 20:08:11,#吴宣仪2021年收入# 怪不得都想进娱乐圈 ,0,0,0,河北,承德,河北,中国,star 4
4,4905364220807475,明德先生,2023-05-25 19:17:10,#吴宣仪2021年收入#刚才在大兴机场线上遇到一个小兄弟，便闲聊了起来。小伙子二十来岁，人很精神，在机场线大兴新城站内工作。他是劳务派遣性质的，并非正式工。我随口问了一句：你们待遇怎么样？他说，基本工资3000块钱，疫情三年了，不好找工作，就在这里先干着。我问他：你们交五险一金吗？他讪讪地回答说：不交。我们有两种发工资的方式，一种要五险一金，一种是不要五险一金，我主动选择的不要五险一金，可以多发点。我继续问他：工作时间怎么样？他回答说：早上9点，晚上7点，10个小时。那一个月最多能挣多少钱？他说：加班可以多挣一些，最多有5000多。食宿呢？管吃住。住宿是上下铺，四人间。聊了一小会，他到大兴新城下车了，我打开微博，刚好就看到了这条热搜。一时无言以对，加快了回家的步伐。,15,17,107,北京,北京,北京,中国,star 5
4,4905346001539921,麻辣表哥,2023-05-25 18:04:46,热搜说吴宣仪2021年收入有一个亿 一个亿都整不好她的牙 看得出来牙齿太重要了，要好好保护好牙齿 看牙是真的贵 ,3,38,138,湖北,武汉,湖北,中国,star 4
4,4905376556256663,逃跑小选猫,2023-05-25 20:06:11,#吴宣仪2021年收入#码字的时间你都可以去搜搜看做的工作行程表了，没公开的时间也都在工作，吴宣仪的命也是命啊 ,0,0,5,重庆,重庆,重庆,中国,star 1
4,4905362442688674,我小泥-,2023-05-25 19:10:06,#吴宣仪2021年收入#怎么可能不羡慕呢，自己每次出门买杯蜜雪冰城都要纠结一下，连病都不敢生，明星轻轻松松能赚我三辈子都赚不到的钱有时候真的觉得投胎和颜值比努力更重要了 ,0,4,29,宁夏,银川,宁夏,中国,star 4
4,4905376544458846,lyp_apple66,2023-05-25 20:06:08,#吴宣仪2021年收入#唉 当明星有名气又有钱以后好好让自己的孩子进入演艺圈 ,0,0,0,海南,三亚,海南,中国,star 4
4,4905376435143104,不再456,2023-05-25 20:05:41,#吴宣仪2021年收入# 吴姐多赚点，赶快把乐华收购了 ,0,0,5,海南,海口,海南,中国,star 4
4,4905376371179598,mia33333,2023-05-25 20:05:26,#吴宣仪2021年收入#这行业本来就收入高，交税就可以了 ,0,0,0,广东,广州,广东,中国,star 4
4,4905376359125652,霜风降,2023-05-25 20:05:24,#吴宣仪2021年收入# 她那时候都糊了吧唧的 还能赚这么多 怪不得谁都想进娱乐圈 ,0,0,2,湖北,襄阳,湖北,中国,star 4
4,4905376342611997,阿夏夏夏夏夏夏_,2023-05-25 20:05:20,#吴宣仪2021年收入# 什么都信只会害了你。。。 ,0,0,4,广东,江门,广东,中国,star 1
4,4905376258200332,澐泈浔汋,2023-05-25 20:05:00,#吴宣仪2021年收入#我见不得这个话题 三千块工作稳定的岗位挤破头 ,0,0,2,山东,菏泽,山东,中国,star 3
5,4905351230524630,南法航线c,2023-05-25 18:25:33,#吴宣仪2021年收入#普通人卷生卷si，人家天天吃喝玩乐，侮辱观众智商的演技挣你一辈子都挣不来的💰，这就是国内现状 ,0,0,167,山东,德州,山东,中国,star 2
5,4905363122686511,潇骑校尉曹操,2023-05-25 19:12:48,#吴宣仪2021年收入# 每当这个时候永远让女明星上，多少次了（视频为小选泳装游玩） 潇骑校尉曹操的微博视频 ,1,7,40,吉林,吉林,吉林,中国,star 5
