页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905380788569120,西栏微-娱乐摆渡,2023-05-25 20:23:00,#宁艺卓红毯摔倒#宁艺卓戛纳红毯不小心摔倒了，可能是高跟鞋太高了吧 ,0,0,0,广东,湛江,广东,中国,star 3
2,4905333010465980,sakak_,2023-05-25 17:13:09,#宁艺卓红毯摔倒#被人踩到裙摆才不小心摔的，有些人在审判什么？宁艺卓此次全球首戴萧邦为本届戛纳设计的高级珠宝，全球首穿范思哲秋冬超季成衣，别酸了 ,0,0,97,北京,北京,北京,中国,star 1
2,4905375440050236,鲜桃冰茶,2023-05-25 20:01:45,#宁艺卓红毯摔倒#大裙摆拖地被踩到不小心摔倒啦，没有受伤，宁宁也反应很快迅速站起来了。没有怪队友不去扶哦，毕竟事出突然还隔着一点距离，队友鞋子也不方便行动，没反应到很正常，谢谢工作人员帮了宁宁！ ,0,0,23,天津,天津,天津,中国,star 4
2,4905380624993594,小蓝今天也很开心呀,2023-05-25 20:22:21,#宁艺卓红毯摔倒#谁骂宁艺卓诅咒谁 还是那句话 中国妞给我火遍全球全宇宙 ,0,0,0,湖北,恩施,湖北,中国,star 5
2,4905354495001824,五月贤学者,2023-05-25 18:38:31,#宁艺卓红毯摔倒# 宁艺卓放个屁队友粉都要上赶着闻 ,0,11,146,江苏,南京,江苏,中国,star 1
2,4905365743342233,guguguboooo,2023-05-25 19:23:13,#宁艺卓红毯摔倒#不是 为什么 这个鬼热搜 自国人怎么嘴那么毒 对同胞那么大的敌意 不喜欢可以不说话的 ,0,2,69,美国,,美国,美国,star 2
2,4905380508077483,6_Zning,2023-05-25 20:21:53,#宁艺卓红毯摔倒#好美好美好美我想不到别的了，啊啊啊啊啊宝贝 ,0,0,0,山西,大同,山西,中国,star 5
2,4905380239380513,charlotte_糯糯,2023-05-25 20:20:49,#宁艺卓红毯摔倒# 说宁艺卓模仿的我真是不懂 rh腻腻也配？ ,0,0,0,湖南,长沙,湖南,中国,star 3
2,4905379944994172,云端电子小熊_Sbl,2023-05-25 20:19:39,#宁艺卓红毯摔倒#我觉得这个老师说得特别好 ,0,0,15,江苏,,江苏,中国,star 5
2,4905379929260666,似乎是的吧u,2023-05-25 20:19:35,#宁艺卓红毯摔倒# 美美的 贵贵的 ,0,0,0,陕西,西安,陕西,中国,star 5
3,4905376187944866,沉黛,2023-05-25 20:04:43,#宁艺卓红毯摔倒# 有个经纪人爆料：明星摔倒，都是事先安排好的 ,0,7,107,湖南,长沙,湖南,中国,star 3
3,4905369241125501,Douzen杜晨,2023-05-25 19:37:06,#宁艺卓红毯摔倒# 我始终不能理解中国女孩们为什么要对宁艺卓这么大恶意… 作为同宗同族的你们，即使不喜欢也是不必恶语中伤啊…然后硬踩她的同时还要捧组合里其他棒子姐姐？我大不李姐 北京 ,0,8,78,北京,北京,北京,中国,star 3
