页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905367336650630,咱们工人有力量呀,2023-05-25 19:29:33,#教育局通报小学生校内被碾压致死#一开始以为是个车技太差没有责任心的男司机，现在看到孩子家属亲友说，这男司机是看到孩子了，挥手让孩子走开，孩子没走，他就直接开过去了，第一次碾压后，明知道压到东西了，不仅没有停车，还踩油门加速前行，后轮对孩子进行了二次碾压，并且拖拽四五米远。所以如果这个人说的是实情，那这男司机绝对是临时起意的故意撞人故意二次碾压拖拽，故意杀害这个小孩子,1,3,11,北京,北京,北京,中国,star 1
2,4905348768470481,凡人春眠不觉醒,2023-05-25 18:15:46,#教育局通报小学生校内被碾压致死# 网友们喊的真痛快啊 校园内有未成年 校园禁车 马路上有未成年  禁车吗？ 教职工连开车的权利都没有了  是吗？ 你说可以开  不让进校  那车放哪？ 教师这么“高薪”  受什么苦都活该是吧？ ,2,52,288,河北,唐山,河北,中国,star 5
2,4905376442752670,彭州综合行政执法,2023-05-25 20:05:44,【#教育局通报小学生校内被碾压致死#：涉事教师刑拘 校长免职】武汉市汉阳区教育局通报：5月23日13时50分，我区弘桥小学月湖校区教师刘某在校内驾车将该校一年级学生谭某撞伤，后谭某送医抢救无效不幸离世。        我们对谭某同学的不幸离世深感悲痛、深感自责。事故发生在校园内，暴露出校园安全管理存在漏洞，我们向家长、社会表示诚恳的道歉。事故发生后，区教育局会同公安等部门成立工作专班，开展事故调查工作。目前，涉事教师刘某已被公安机关刑事拘留，将根据调查结果依法追究责任。对涉事学校校长和分管副校长予以免职，纪检监察部门对相关责任人员立案调查，将依纪依规作出严肃处理。        我们将深刻汲取教训，举一反三，全面加强校园安全隐患排查整治，切实筑牢校园安全防线。情况通报,0,0,0,,成都,四川,中国,star 5
2,4905213243427514,人民网,2023-05-25 09:17:14,【#教育局通报小学生校内被碾压致死#：涉事教师刑拘 校长免职】武汉市汉阳区教育局通报：5月23日13时50分，我区弘桥小学月湖校区教师刘某在校内驾车将该校一年级学生谭某撞伤，后谭某送医抢救无效不幸离世。        我们对谭某同学的不幸离世深感悲痛、深感自责。事故发生在校园内，暴露出校园安全管理存在漏洞，我们向家长、社会表示诚恳的道歉。事故发生后，区教育局会同公安等部门成立工作专班，开展事故调查工作。目前，涉事教师刘某已被公安机关刑事拘留，将根据调查结果依法追究责任。对涉事学校校长和分管副校长予以免职，纪检监察部门对相关责任人员立案调查，将依纪依规作出严肃处理。        我们将深刻汲取教训，举一反三，全面加强校园安全隐患排查整治，切实筑牢校园安全防线。情况通报,275,1294,18745,,北京,北京,中国,star 5
2,4905374479816066,kkkkkkim是个健康胖包砸,2023-05-25 19:57:56,#教育局通报小学生校内被碾压致死#活了快26年，我妈给我翻译了之后才明白为啥二次碾压认定很重要因为要是二次碾压很有可能人清醒的，觉得第一下弄残了会被缠一辈子不如一口气弄死，要么自己坐牢要么一口气赔钱妈耶，要是真这样真的就是纯杀人啊 ,0,2,1,湖北,武汉,湖北,中国,star 4
2,4905374123560118,送你弋朵小红花,2023-05-25 19:56:31,#教育局通报小学生校内被碾压致死#简直太可怕了，可怜的孩子，可怜的父母，校园安全教育部门一定要重视起来啊。 ,0,0,1,湖北,武汉,湖北,中国,star 4
2,4905373289678865,雁落琮山,2023-05-25 19:53:12,#教育局通报小学生校内被碾压致死#规则是用来限制学生的，学生连自行车都不能在学校里骑，只能推着出校；老师就能来着小汽车走 ,0,0,2,广东,中山,广东,中国,star 2
2,4905372672595048,暴躁不暴躁lll,2023-05-25 19:50:45,#教育局通报小学生校内被碾压致死# 唉，好可怜 家长可咋办啊 ,0,1,5,浙江,温州,浙江,中国,star 5
2,4905372458948168,王彧人,2023-05-25 19:49:54,#教育局通报小学生校内被碾压致死# 他才7岁！🕯️🕯️🕯️ 王彧人的微博视频 ,0,0,1,中国香港,,香港,中国,star 5
2,4905363314840981,失眠狸,2023-05-25 19:13:34,#教育局通报小学生校内被碾压致死# 大连理工那个研究生被导师撞死的车祸最后是怎么处理的？已经快三年了。 ,1,2,31,广东,,广东,中国,star 5
3,4905280352030321,汪_洋_,2023-05-25 13:43:54,#教育局通报小学生校内被碾压致死#  孩子亲属已经表现够克制了 难道这个事情领导们不应该亲自去慰问下家属给一个说法 一个开除免职这是很无感的行为 承认错误比登天还难 ,0,0,26,湖北,武汉,湖北,中国,star 1
3,4905371226083605,如皋老猫,2023-05-25 19:45:00,#教育局通报小学生校内被碾压致死#校园安全不只是校园之外，校内驾车本身就是一种安全隐患。不能总是等到出大事了才想起来亡羊补牢。 ,1,1,1,江苏,南通,江苏,中国,star 5
