页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905380243308653,windy年糕,2023-05-25 20:20:49,#第一次见到女爱豆提到卫生巾#重点不是谁第一个提，见到谁第一个提，为什么要纠结这个问题。多夸夸这两位女爱豆吧 ,0,0,8,湖北,武汉,湖北,中国,star 4
2,4905372463400896,今日帅哥江小宴,2023-05-25 19:49:55,#第一次见到女爱豆提到卫生巾# 这个话题让我想起崔雪莉，记得她很早就有发起过这方面事情，捐卫生巾还是什么来着?? ,15,4,214,山西,临汾,山西,中国,star 4
2,4905372501149122,寄爱予礼,2023-05-25 19:50:04,#第一次见到女爱豆提到卫生巾#第一个是雪莉啊，真理商店，， ,1,0,75,福建,福州,福建,中国,star 1
2,4905379446658859,弌弌零柒,2023-05-25 20:17:40,#第一次见到女爱豆提到卫生巾# 姐姐们明鉴！是这个推主第一次见到，我们都是知道小天使提到过的，我们绝无别的意思啊 ,0,0,1,河北,廊坊,河北,中国,star 3
2,4905379361724915,综艺叭叭酱,2023-05-25 20:17:20,#第一次见到女爱豆提到卫生巾#俺娘田小娟真的好slay！！ 这次以Queencard回归，田小娟亲自制作了名为Queencard box的周边产品其中就有一个化妆包是小娟特地为了卫生巾的尺寸而去设计的！ ,104,100,101,安徽,合肥,安徽,中国,star 3
2,4905377911802214,宝八姨,2023-05-25 20:11:34,#第一次见到女爱豆提到卫生巾#怎么说呢，一些古早的刀子，这个话题也让我想起了崔雪莉 ,126,115,162,重庆,重庆,重庆,中国,star 4
2,4905379278886451,追剧科技园,2023-05-25 20:17:00,#第一次见到女爱豆提到卫生巾# 我…她真的我哭死啊 怎么办啊 更爱了 俺娘就是牛🐂 好想get 送我一份 我不管 ,0,1,3,河北,唐山,河北,中国,star 5
2,4905379052130414,也不知道什么昵称才可用,2023-05-25 20:16:06,#第一次见到女爱豆提到卫生巾#我不理解为什么会月经羞耻，我好像从来就没有因为这件事情感到羞耻过，这不是一件非常正常的生理反应吗？初中高中男生总是拿这个开玩笑，我都会很正经的跟他们说，这是一件很正常的事情，女生都会有，这怎么了吗？我觉得很大程度上是因为我妈妈在我很小的时候总是会让我去给她买，去给她拿卫生巾，所以我自小就认为女生隔一段时间就会用这么东西一次，也因此认为这是一件很正常的事情，所以我来第一次的时候，我并不慌张，甚至都知道该怎么打开，怎么使用，再后来我发现所有女孩子都会出现这样的生理反应，我更加认为来月经绝不是一件不对的事情。,0,0,3,四川,成都,四川,中国,star 5
2,4905373703867532,巡航宇宙星,2023-05-25 19:54:51,#第一次见到女爱豆提到卫生巾#会立马想到真诚善良的雪莉呀 哭哭T﹏T 两个女孩子都好真诚 ,0,2,19,湖南,永州,湖南,中国,star 5
2,4905374215571876,-CoisiniSY-,2023-05-25 19:56:53,#第一次见到女爱豆提到卫生巾# 第一次见到是原推主说的第一次见到不代表就是说的第一个发声，而且这件事关注点真的在于是不是第一次吗…越来越多人发声不更好吗 我觉得第一时间纠结这个点的都…什么成分… ,0,8,39,广东,广州,广东,中国,star 3
3,4905378355881898,你月佥好大啊_,2023-05-25 20:13:20,#第一次见到女爱豆提到卫生巾# 真的无语为什么从小要被教育 来月经不能说来月经？来月经的时候不能让被人知道？拿卫生巾的时候要偷偷摸摸地？为什么从小就被灌输好像来月经是一件很羞耻的事情…这tm不是一件很正常的事情吗…拒绝月经耻… ,0,1,2,广东,广州,广东,中国,star 3
3,4905377965807663,桃花岛唐三,2023-05-25 20:11:47,#第一次见到女爱豆提到卫生巾#这是田小娟自己设计，不卖给粉丝，只送给她身边的女性朋友。 ,0,0,2,四川,成都,四川,中国,star 5
3,4905377902893831,刘聪明不要怂,2023-05-25 20:11:32,#第一次见到女爱豆提到卫生巾#第一个是我们真理，她真的是天使 ,0,0,6,黑龙江,哈尔滨,黑龙江,中国,star 5
3,4905377697105259,桃气柚子茶_,2023-05-25 20:10:43,#第一次见到女爱豆提到卫生巾#呜呜呜呜真理和小娟都是我喜欢的两个特别好的女孩子拒绝月经羞耻 ,0,1,6,广东,汕头,广东,中国,star 5
3,4905377088931517,绝对不熬夜了捏,2023-05-25 20:08:18,#第一次见到女爱豆提到卫生巾#第一个是雪莉啊 她还捐了不少 ,0,3,17,山东,烟台,山东,中国,star 5
3,4905376887087058,柚子娱乐,2023-05-25 20:07:30,#第一次见到女爱豆提到卫生巾# 你愿意买娃的这个周边吗？  网页链接 ,104,104,856,四川,成都,四川,中国,star 5
3,4905376509860038,干鱼太婆zt,2023-05-25 20:06:00,#第一次见到女爱豆提到卫生巾#  女权就是靠世界上每一个角落里觉醒的女性一点一点地推动的。 ,1,0,16,湖南,长沙,湖南,中国,star 5
3,4905376480496139,Peachjinri_,2023-05-25 20:05:53,#第一次见到女爱豆提到卫生巾# 其实每位能意识到这点的女性朋友都很棒 看到很多人提崔雪莉，那就再来看看她在女性方面做出的贡献吧 网页链接 ,2,3,8,浙江,丽水,浙江,中国,star 5
3,4905376128434776,首都一橘,2023-05-25 20:04:29,从Tomboy、Nxde到Queencard我们女娃的概念真的很酷🤲💞 作词作曲还做周边，小娟slay！🆒  #第一次见到女爱豆提到卫生巾# ,3,1,124,重庆,重庆,重庆,中国,star 4
3,4905376091474755,呼啦啦呼啦啦小七,2023-05-25 20:04:20,#第一次见到女爱豆提到卫生巾# 这就要提一下小爱豆，林舒晴了 “在这个世界上能禁锢我的只有我自己” ,1,1,19,江苏,南京,江苏,中国,star 5
4,4905372094040650,新诗小茶,2023-05-25 19:48:27,#第一次见到女爱豆提到卫生巾# 是雪莉啊 给女孩子捐卫生巾 ,0,0,68,北京,北京,北京,中国,star 5
4,4905375390242633,落雪青莲,2023-05-25 20:01:33,#第一次见到女爱豆提到卫生巾#  我记得内🐟也有女明星提到吧，还真不是第一次，反正我记得我就是因为那个女明星改变了想法 ,0,0,5,四川,资阳,四川,中国,star 5
4,4905375382110223,狐说八道虎言乱语,2023-05-25 20:01:30,#第一次见到女爱豆提到卫生巾# queenca box能不能量产，喜欢小镜子和眼罩！ ,0,2,1,山东,枣庄,山东,中国,star 5
4,4905375310548395,蓝边_bs,2023-05-25 20:01:14,#第一次见到女爱豆提到卫生巾#看到大家都还记得雪莉我就放心了 ,0,0,0,江西,萍乡,江西,中国,star 5
4,4905374803559451,你的十块钱掉了,2023-05-25 19:59:13,#第一次见到女爱豆提到卫生巾# 其实内娱之前也有女爱豆呼吁拒绝月经羞耻的，虽然只是我们小破河里的小偶像 ,0,3,11,重庆,重庆,重庆,中国,star 5
4,4905373934816346,有情感语录,2023-05-25 19:55:46,#第一次见到女爱豆提到卫生巾#啥是卫生巾，干嘛用的？？？听他们说女性用品，以后我找个女朋友，问问他 ,0,0,0,广东,中山,广东,中国,star 1
4,4905373930361159,一杯冻柠啡,2023-05-25 19:55:45,#第一次见到女爱豆提到卫生巾# 所以田小娟可以送给你麻麻一份吗 ,0,0,0,广东,潮州,广东,中国,star 5
4,4905327629700365,钮祜禄流流,2023-05-25 16:51:46,热帖：第一次见到女爱豆提到卫生巾 田小娟制作了名为Queencard box的周边，里面包含了用来放卫生巾的化妆包。 拒绝月经羞耻！小娟太棒了！ ,289,234,5397,四川,,四川,中国,star 5
4,4905372193658169,渲宝贝的辣条,2023-05-25 19:48:51,#第一次见到女爱豆提到卫生巾# 娟娟真的是第二个权志龙 太全能了 得忙死 ,0,0,1,江苏,镇江,江苏,中国,star 5
4,4905372073070379,Crystal零星,2023-05-25 19:48:22,从专辑制作到周边设计，田小娟真的很有想法~好喜欢化妆包和镜子的设计，可惜没有出售ㅠㅠㅠ#第一次见到女爱豆提到卫生巾# Crystal零星的微博视频 ,3,3,21,福建,宁德,福建,中国,star 5
5,4905333287292121,剧综班主任,2023-05-25 17:14:15,#第一次见到女爱豆提到卫生巾# 第一次见到女爱豆提到卫生巾，田小娟制作queencard周边时，特地把化妆包设计成了适合放卫生巾的尺寸 #第一次看到有女爱豆谈到卫生巾# ,235,234,335,,成都,四川,中国,star 4
5,4905371162122705,yokisme_yoki,2023-05-25 19:44:45,#第一次见到女爱豆提到卫生巾#在我的印象里是崔雪莉(非粉丝只是知道崔雪莉随便提一句不是故意引战) ,0,0,1,山东,济南,山东,中国,star 2
5,4905370327712306,阿嚏要打喷嚏啦,2023-05-25 19:41:25,#第一次见到女爱豆提到卫生巾#我很喜欢这种装卫生巾的小包！干净！尤其是对单层包包而言很友好！ ,0,0,1,湖北,武汉,湖北,中国,star 5
5,4905370021268685,原来是萧筱_yjy,2023-05-25 19:40:13,#第一次见到女爱豆提到卫生巾# 太伟大了 娟姐伟大的我没话讲 ,0,0,4,上海,上海,上海,中国,star 5
5,4905369451364476,黄满满呢,2023-05-25 19:37:56,#第一次见到女爱豆提到卫生巾#怎么了，提不得嘛，这有啥勒 ,0,0,7,江西,南昌,江西,中国,star 1
5,4905369425941659,甜橘果汁,2023-05-25 19:37:51,#第一次见到女爱豆提到卫生巾#  我记得的第一个是崔雪莉 ,12,46,1879,上海,上海,上海,中国,star 5
5,4905369317410299,尸伞,2023-05-25 19:37:25,#第一次见到女爱豆提到卫生巾#俺娘好贴心，好像还真的很少有女艺人主动提卫生巾 ,0,0,7,河北,唐山,河北,中国,star 5
5,4905369236673312,AAA养虎达人,2023-05-25 19:37:06,#第一次见到女爱豆提到卫生巾#在哪买呀 我想买 蹲链接 ,0,6,1,山西,太原,山西,中国,star 5
5,4905368515255402,打口氵皮,2023-05-25 19:34:14,#第一次见到女爱豆提到卫生巾# queencard box是卫生巾盒的话 queencard是不是也指卫生巾？ 好牛的创意（？） ,0,4,5,河北,邢台,河北,中国,star 3
5,4905367890564820,星河出逃時-,2023-05-25 19:31:45,#第一次见到女爱豆提到卫生巾#好家伙！我娟姐！俺娘！我娃！ ,0,0,12,河北,石家庄,河北,中国,star 5
6,4905367878504234,噗噗梦儿-Z,2023-05-25 19:31:42,#第一次见到女爱豆提到卫生巾#我插一下，这个周边还挺好看，我蹲个链接 ,0,10,10,安徽,亳州,安徽,中国,star 5
