页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905386560455394,小星时尚日记,2023-05-25 20:45:55,#张彬彬直播说热度破28000就跳海# 张彬彬真的太搞笑了吧，一下子就把话说的这么霸气，到时候可就不能更改了，谁不想看张彬彬下海的那完美身材和帅气的容颜，光是想想就很有画面感#张彬彬立flag三分野热度破28000下海# ,20,19,22,浙江,金华,浙江,中国,star 5
2,4905386475522182,娱小贝,2023-05-25 20:45:36,#张彬彬直播说热度破28000就跳海# 张彬彬这还挺有理想的嘛，一个flag就成功把我征服了！希望这个flag能够等得到实现那天，三分野这么好看，网友们也不会让我们失望的吧#张彬彬立flag三分野热度破28000下海# ,20,20,20,浙江,金华,浙江,中国,star 5
2,4905386166192579,易浅白_,2023-05-25 20:44:22,#谁教张彬彬这么直播的# 没想到张彬彬剧里面表现不错，剧外也这么会整活，我不允许还有人没看过三分野和张彬彬的直播 ,0,0,0,贵州,毕节,贵州,中国,star 4
2,4905386034856618,时尚小娱娱,2023-05-25 20:43:51,#张彬彬直播说热度破28000就跳海# 就等着张彬彬这个霸气的flag了！没想到这场直播真的没让我失望，希望三分野热度早点破28000让张彬彬来满足我们吧！#张彬彬立flag三分野热度破28000下海# ,22,23,22,上海,上海,上海,中国,star 5
2,4905386031448413,娱乐圈小白鸽,2023-05-25 20:43:49,#张彬彬直播说热度破28000就跳海# 张彬彬真的是帅气十足的感觉，就连flag都立得如此的霸气！这么霸气的flag要是能实现，那肯定会震撼很多人！#张彬彬立flag三分野热度破28000下海# ,22,23,20,上海,上海,上海,中国,star 5
2,4905353445378586,刘玮婷V,2023-05-25 18:34:21,直播结束啦，赶快开启追剧模式✌️#三分野# #三分野直播# ,35,45,184,北京,北京,北京,中国,star 5
2,4905385762751084,立志登上琅琊榜,2023-05-25 20:42:45,#三分野直播# 张彬彬三分野#理想三分野予你万般甜#张彬彬徐燕时为了跳海游泳的视频为了海中舞蹈的视频大家冲啊，徐燕时的疯治不好了，需要张彬彬@张彬彬Vin 来还!!!!三分野你给我🔥🔥🔥🔥🔥🔥徐燕时 ,0,0,6,广东,深圳,广东,中国,star 5
2,4905385645836672,甜剧贩卖机,2023-05-25 20:42:18,#三分野直播#  时向全能真的超好嗑！！  “别再把我的人弄哭了 我回去还得哄”   徐燕时你是懂护短的  张彬彬x徐燕时 吴倩x向园 | 三分野 甜剧贩卖机的微博视频 ,0,0,2,河北,,河北,中国,star 4
2,4905385246330226,白日晚vin,2023-05-25 20:40:43,#三分野直播#zbb#三分野# 张彬彬徐燕时真的绝了，不允许你们错过这部剧，真的很好看 ,0,1,2,河南,郑州,河南,中国,star 5
2,4905384567640731,三分野官微,2023-05-25 20:38:01,#三分野直播# 野子在线授予高冷你【时向全能】CP头子称号，希望你再接再厉还有一句，多跟你的老大学学#三分野#,1,2,34,,北京,北京,中国,star 4
3,4905384550079535,Syndromisphony,2023-05-25 20:37:57,#三分野直播#不是那个那个 是我看的小说《三分野》翻拍了是这个意思吗？怎么看啥拍啥啊 不是演员的问题或者关于谁 真的就是小说翻拍真的让小说爱好者心梗 我都好几次了 想哭了 我都不看好几个人的小说了 虽然说确实也得赚钱 但是就是我会难受 我滚远点儿吧那就 ,0,0,0,辽宁,大连,辽宁,中国,star 2
3,4905348701884167,爱画画的一姐姐-,2023-05-25 18:15:30,张彬彬 来听徐组长叫媳妇哎哟那甜的喔#三分野# #张彬彬徐燕时# @张彬彬Vin #三分野直播# ,14,29,97,浙江,杭州,浙江,中国,star 5
3,4905384441545056,立志登上琅琊榜,2023-05-25 20:37:30,#三分野直播#张彬彬三分野 #张彬彬徐燕时#  张彬彬同学说热度破2.8万就跳海游泳，破3万就海里跳舞，蛙趣蛙趣这还不赶紧到来冲冲冲!!!谁能不爱人间理想徐燕时？！！！ @张彬彬Vin ,0,1,10,广东,深圳,广东,中国,star 5
3,4905384353208237,徒手劈香蕉,2023-05-25 20:37:10,《多棱镜理论》打工人狠狠共情了  #三分野#  |  #三分野直播# ,55,23,80,吉林,长春,吉林,中国,star 4
3,4905384105482457,春日祺迹森霖,2023-05-25 20:36:11,#三分野直播# 结束了吗当才还在看三分野不知道有直播但是这部剧真的好好看啊特意开了会员 ,0,3,4,安徽,合肥,安徽,中国,star 5
3,4905384055410639,Romanticist_BBBai,2023-05-25 20:35:59,#三分野直播# 能不能加更啊呜呜呜根本不够看 ,0,1,1,山东,烟台,山东,中国,star 3
3,4905384013464069,潇羽郡,2023-05-25 20:35:48,#张彬彬直播说热度破28000就跳海# 张彬彬这么帅，身材肯定也是很好吧，不知道有没有肌肉呢？三分野破28000那天一定要第一时间给我们录下海视频！#张彬彬立flag三分野热度破28000下海# ,20,20,16,湖北,咸宁,湖北,中国,star 5
3,4905383694963673,收视研究所,2023-05-25 20:34:33,#张彬彬直播说热度破28000就跳海# 一想到张彬彬帅气下海的视频，我就一整个激动了，能不能看张彬彬下海可就看《三分野》的热度能不能安排了呢！让我们一起期待一下，一定要让我看到张彬彬帅气的下海#张彬彬立flag三分野热度破28000下海# ,20,20,20,湖北,,湖北,中国,star 5
3,4905383191380828,愛上彬哥Vin的寵溺眼神,2023-05-25 20:32:32,#张彬彬三分野#💕#三分野直播# 来看看《三分野》 有多野吧！ 🐧站內🔥破26000！ V榜网剧播放指数第一名！ 连续3天猫眼网络剧热度榜第一名！ 而且还带飞彬彬自己的旧剧！  《两个人的小森林》冲上👖飙升榜第一名！ 《三分野》真的好看啊！徐燕时又帅又苏@张彬彬Vin ,0,3,14,中国台湾,台北市,台湾,中国,star 5
3,4905383032788199,圈内漫游指南,2023-05-25 20:31:55,#张彬彬直播说热度破28000就跳海# 还得是张彬彬呀！这是我见过最会立flag的人，以后剧组所有人的flag都交给张彬彬吧哈哈哈，感觉他真的很有想法呢！居然知道我们想看他下海，一定要好好录视频哦！我们等着那一天的到来#张彬彬立flag三分野热度破28000下海# ,21,21,21,浙江,金华,浙江,中国,star 4
4,4905382843256508,综艺姐妹花,2023-05-25 20:31:10,#张彬彬直播说热度破28000就跳海# 张彬彬立的是flag吗？这简直就是送我们的福利好吧！三分野的热度一定能够破28000的大家觉得呢？我们一定要相信张彬彬这个豪言壮志能够完成#张彬彬立flag三分野热度破28000下海# ,20,20,20,浙江,金华,浙江,中国,star 5
4,4905382663428180,娱喜酱,2023-05-25 20:30:27,#张彬彬直播说热度破28000就跳海# 张彬彬不错呀，一下子就给我们带来了这么大的惊喜，有了张彬彬的flag我们就放心了！以后可以多立几个这样的flag，我们不会嫌多的#张彬彬立flag三分野热度破28000下海# ,19,19,20,浙江,金华,浙江,中国,star 5
4,4905382227739986,圈内那点小事,2023-05-25 20:28:43,#张彬彬直播说热度破28000就跳海# 最近的三分野真的很好看，谁能不爱张彬彬饰演的徐燕时呢？如果想看徐燕时跳海，那就让我们三分野的热度直接突破28000吧！#张彬彬立flag三分野热度破28000下海# ,17,17,18,福建,福州,福建,中国,star 5
4,4905381967692920,我是我byc,2023-05-25 20:27:41,#三分野直播#张彬彬三分野 #张彬彬徐燕时#  彬彬说热度破2.8万就跳海游泳，破3万就海里跳舞，好期待呀，快点破吧，三分野真的很好看，谁能不爱人间理想徐燕时？！！！ @张彬彬Vin ,0,2,10,广东,深圳,广东,中国,star 5
4,4905381791533576,芒果星娱乐,2023-05-25 20:26:59,#张彬彬直播说热度破28000就跳海# 张彬彬真的太强了吧！热度破28000直接跳海！这个flag还是很敢玩的，看张彬彬立flag的场面，太有意思了，如果能实现的话，就更让人激动了呢#张彬彬立flag三分野热度破28000下海# ,21,21,20,上海,上海,上海,中国,star 5
4,4905381081907393,追星少年许如归,2023-05-25 20:24:09,#张彬彬直播说热度破28000就跳海# 张彬彬太会玩了吧，咱就是说哥们啥都不带怕的！只要热度达到28000下海就下海，相信张彬彬一定能说到做到，让我们期待一下帅哥吧#张彬彬立flag三分野热度破28000下海# ,21,21,21,山东,青岛,山东,中国,star 5
4,4905381049141451,y521祎,2023-05-25 20:24:02,#三分野直播# zbb#张彬彬徐燕时#  除了发疯还是发疯，入股不亏～ @张彬彬Vin ,0,1,11,天津,天津,天津,中国,star 4
4,4905381018468739,不开心会长痘啊,2023-05-25 20:23:54,#三分野直播#看了直播全程，第一次听张彬彬清唱，别说还挺好听顺带安利三分野！野子主打搞笑，内容高甜，男女主有嘴可以冲！十分上头 ,0,15,23,浙江,温州,浙江,中国,star 5
5,4905380410818628,吀靨198403,2023-05-25 20:21:29,#三分野直播# 我可能有毒 看三分野看的眼泪停不住~ ,0,3,2,天津,天津,天津,中国,star 3
5,4905380334804540,一片彬心的宠溺眼神,2023-05-25 20:21:12,#三分野直播#💕#张彬彬三分野#  在海边的彬哥真的帅炸了 这海滩风造型真的清新阳光啊！还秀海边的美丽风景给我们看，真的好美啊[可愛] @张彬彬Vin 继续来看徐燕时啦 ,0,1,14,中国台湾,台北市,台湾,中国,star 5
5,4905380175415005,loveJJonly,2023-05-25 20:20:34,#三分野直播# 三分野入股不亏啊啊啊！！！徐燕时给我冲，一口气炫完12集了@张彬彬Vin 好帅好苏 loveJJonly的微博视频 ,0,2,15,广东,佛山,广东,中国,star 5
5,4905380146579584,竹子苗_,2023-05-25 20:20:27,#三分野直播#三分野真的好看公主抱膝盖按电梯你们见过吗 ,0,4,14,山西,太原,山西,中国,star 5
