页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905390238864580,不喜草莓味d,2023-05-25 21:00:33,#海蝶音乐回应许嵩相关传闻#掉粉吧，这样我就能抢到演唱会门票了 ,0,0,1,贵州,贵阳,贵州,中国,star 4
2,4905390233882970,拆台CT,2023-05-25 21:00:32,#海蝶音乐回应许嵩相关传闻#  所谓选妃传闻，2021年就上过一次热搜了。  当时就放了张已经有回应的热搜，然后就没有然后了。  现在又搁这梅开二度呢是吧？    #许嵩方称取证中# ,0,0,3,天津,天津,天津,中国,star 4
2,4905390213434700,雪松当涧,2023-05-25 21:00:27,#海蝶音乐回应许嵩相关传闻#有锤抓紧放证据 我必回踩 ,0,0,0,江苏,苏州,江苏,中国,star 5
2,4905390166775981,日暮里misty,2023-05-25 21:00:16,#海蝶音乐回应许嵩相关传闻#一眼假 要是他早就写什么顶流男歌手了。。。 ,0,0,1,山东,,山东,中国,star 4
2,4905390153928877,取了名字的瑾,2023-05-25 21:00:13,#海蝶音乐回应许嵩相关传闻#那啥，要么捶死要么告死 ,0,0,0,福建,厦门,福建,中国,star 4
2,4905390137155101,陪你看微型银河,2023-05-25 21:00:09,#海蝶音乐回应许嵩相关传闻#别再造谣我喜欢了十几年的歌手 ,0,0,1,湖南,衡阳,湖南,中国,star 5
2,4905390112772207,要早睡的XQ,2023-05-25 21:00:03,#海蝶音乐回应许嵩相关传闻#别说2007就是2023还是会有xx伴随我们这样一路走下去#别咬我-许嵩[音乐]# ,0,0,3,四川,成都,四川,中国,star 5
2,4905390112249640,江城子0v0,2023-05-25 21:00:03,#海蝶音乐回应许嵩相关传闻#顺带把那几个抄袭的一起告了呗大哥 ,0,0,1,江苏,南京,江苏,中国,star 5
2,4905390007390024,不喜草莓味d,2023-05-25 20:59:38,#海蝶音乐回应许嵩相关传闻#第一次看到自家的花边新闻，必须吃个瓜这可是许嵩啊 ,0,0,4,贵州,贵阳,贵州,中国,star 4
2,4905382198379682,斯芬克酿,2023-05-25 20:28:36,#许嵩# 辟谣二字歌手选妃的瓜，这个主持人家和许嵩有什么渊源吗要安排这个嘿话题给他？ #海蝶音乐回应许嵩相关传闻# ,1,49,206,河北,保定,河北,中国,star 4
