页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905392172433757,人间清醒·仙,2023-05-25 21:08:13,#奥迪工程车#最后上护栏是黄车猛踩了一下油门，还带着奥迪车晃了几下！！！！！！！都特么上去了还在斗气，真的不怕死！！！！！ ,0,0,0,江苏,盐城,江苏,中国,star 1
2,4905392092223643,北京老杨68,2023-05-25 21:07:55,#上海高架# 奥迪VS工程车，两个都是狠人啊！  帖子戳：上海高架，奥迪VS工程车，两个都是狠人啊  #奥迪工程车# #上海交警通报两车高架上斗气碰撞# 虎扑的步行街的微博视频 ,0,0,0,北京,北京,北京,中国,star 5
2,4905392062339164,奸诈小花猫,2023-05-25 21:07:48,#奥迪工程车#没尼玛工作，就打开警示灯，横行霸道惯了。@上海交警 ,0,0,0,上海,上海,上海,中国,star 1
2,4905391936249530,SNH48-椒图图,2023-05-25 21:07:18,#奥迪工程车#你说两车斗气吧，这奥迪车主全程没有骂一句脏话感觉情绪挺稳定的要我这么被别肯定忍不住国骂 ,0,0,3,浙江,宁波,浙江,中国,star 1
2,4905391576056636,一碗荤豆花,2023-05-25 21:05:52,#奥迪工程车#网友神图 ,0,0,3,四川,自贡,四川,中国,star 5
2,4905391564001770,青葱岁月啊啊,2023-05-25 21:05:49,#奥迪工程车#这工程车什么单位的？怎么这么霸道呢！ ,0,0,2,浙江,宁波,浙江,中国,star 1
2,4905391378931360,三工是谁,2023-05-25 21:05:05,何谓斗气，就是血贯瞳仁、不计后果。上海高架两辆车斗气险酿惨祸就是典型案例。黄色工程车平时肯定横行惯了，一开始就摆出了一副我没理但我不能受屈的姿态，明明奥迪路权优先却还加速冲上去别车。当然奥迪车主也不是吃素的，也是一脚油门追上去，一个猛打方向，工程车直接骑墙……#“路怒”别车# 我觉着双方就庆幸吧，还好车没掉下高架引发更严重后果，不然必然会有人肠子得悔青。其实特别想说下市政公车，比如公交、工程、洒水车，这些车都有城市道路横行无忌的通病，这种心态由来已久也不知道怎么养成的，得改啊！#上海高架两车斗气碰撞险些坠桥##媒体人周刊#,0,0,0,河北,石家庄,河北,中国,star 1
2,4905390438876775,小镇做题家就是我本人,2023-05-25 21:01:21,#奥迪工程车# 那个黄色工程车真是坏啊，怎么会有这么坏的司机 ,0,1,4,湖北,武汉,湖北,中国,star 1
2,4905390033077594,cctt4905,2023-05-25 20:59:44,#奥迪工程车#刚开始奥迪让了，工程车没有跟上，奥迪加速前行，这下惹恼了工程车。后续工程车在正常行驶的情况下故意别奥迪，属于恶意碰撞，有行凶嫌疑。最后逃逸，奥迪追上别停，工程车依然想加速故意碰撞奥迪。这是明显不站工程车。 ,0,0,0,海南,海口,海南,中国,star 1
2,4905389935566217,不能惯你这臭毛病,2023-05-25 20:59:21,#奥迪工程车#这俩货给路灯磕头吧，没这路灯，一死一进去…… ,0,0,5,美国,,美国,美国,star 1
