页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905393446196708,杨毅寻股,2023-05-25 21:13:18,#宁波一医院突发火灾#人员密集的场所，应该发现较早，是不是灭火设备不到位！ ,0,0,0,江苏,南京,江苏,中国,star 3
2,4905393396649208,北京大峰峰,2023-05-25 21:13:06,【#应急局回应宁波大学医院火灾#，#宁波大学医院火灾半个小时被扑灭#】宁波江北区的宁波大学医学院附属医院突发火灾，引起广泛关注。据报道，发生火灾时医院内有数名患者正在接受治疗，消防部门已经迅速赶到现场进行救援。5月25日晚20点30许，@时代财经 拨通宁波市应急管理局电话，工作人员表示，明火现已扑灭，暂无人员伤亡，“18:55分起火，19:35分明火扑灭。”该工作人员表示，“起火大楼系门诊楼，而非住院楼，是因为门诊楼4楼大厅的机器设备出现故障而起火。后续的事故原因还会进一步核查。”#宁波一医院突发火灾#三湘都市报的微博视频,0,0,0,北京,北京,北京,中国,star 5
2,4905393325873229,广西消防,2023-05-25 21:12:49,#宁波一医院突发火灾#【愿平安！这份医院消防安全指南请收好↓】医院是人员密集场所，且病人多行动不便，防范火灾发生十分必要。收好这份医院安全指南，万一意外发生时要懂得应对。 ,1,1,3,,南宁,广西,中国,star 5
2,4905393237005723,凭栏听雪,2023-05-25 21:12:28,#宁波一医院突发火灾#希望没事，愿大家都平安 ,0,0,3,广东,东莞,广东,中国,star 5
2,4905393044066225,小镇做题家玺,2023-05-25 21:11:42,#宁波一医院突发火灾#想起前段时间北京某医院。 ,0,0,0,北京,北京,北京,中国,star 1
2,4905392980625982,旭旭的眯眯眼,2023-05-25 21:11:27,#宁波一医院突发火灾# 天呐，看着旁边来福士的标志就揪心得不行 以前我医保卡定点医院，就在我家附近 虽然生病不多但也去了好几次 希望人员平安 ,0,0,0,北京,北京,北京,中国,star 1
2,4905392565917037,川王妃23,2023-05-25 21:09:48,#宁波一医院突发火灾# 希望没事，希望大家都平安！🙏 ,0,0,0,陕西,渭南,陕西,中国,star 5
2,4905392541008469,安广禄,2023-05-25 21:09:42,#宁波一医院突发火灾# 消防已经到场救援。 ,1,2,0,陕西,咸阳,陕西,中国,star 5
2,4905392418591584,云南昆明老杜,2023-05-25 21:09:12,《宁波大学医学院附属医院突发火灾》刚刚，宁波江北区的宁波大学医学院附属医院突发火灾！消防已经到场救援。网页链接 ,0,0,0,云南,昆明,云南,中国,star 4
2,4905392143079923,宜宾公安,2023-05-25 21:08:07,【医疗机构消防安全提示】医院属于人员密集场所，建筑体量大、功能复杂，火灾风险高，防火工作尤为重要。医院应如何防范火灾？这些要点请了解↓↓#宁波一医院突发火灾#  应急管理部的微博视频 ,0,0,0,,宜宾,四川,中国,star 5
3,4905391877523055,肖战余生我宠你吖,2023-05-25 21:07:04,#宁波一医院突发火灾# 希望没有人员伤亡，愿平安 ,0,0,3,湖北,武汉,湖北,中国,star 5
3,4905391727316876,钱江晚报,2023-05-25 21:06:28,#宁波第三医院火灾已扑灭# 记者从宁波消防救援部门获悉，今晚7点左右，宁波江北区的宁波大学医学院附属医院突发火灾，消防已经到场救援。潮新闻记者正赶往现场。晚上8时55分，记者在医院门口看到，火灾已经扑灭。现场还拉着警戒线，有武警和消防车辆停着。（潮新闻 记者 唐旭锋） ,1,1,1,,杭州,浙江,中国,star 5
3,4905391668071490,我的朋友是傻B,2023-05-25 21:06:14,#宁波一医院突发火灾#愿平安，不要有人员伤亡！ ,0,0,0,江苏,扬州,江苏,中国,star 5
3,4905391560067798,jeny_卡卡里,2023-05-25 21:05:48,#宁波一医院突发火灾#祈祷没有人员伤亡 ,0,0,0,陕西,西安,陕西,中国,star 5
3,4905391509473643,誮語缄默,2023-05-25 21:05:36,#宁波一医院突发火灾#希望没有人员伤亡！🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻 ,0,0,1,上海,上海,上海,中国,star 1
3,4905391186249533,小V张城川,2023-05-25 21:04:19,#宁波一医院突发火灾# 现场看  火势不小………… ,0,0,0,江苏,南京,江苏,中国,star 1
3,4905391118619536,成都政法,2023-05-25 21:04:03,#宁波一医院突发火灾# 【#高层建筑着火怎么办#】高层建筑楼层多、体量大、建筑结构复杂，人员相对密集，一旦发生火灾，火势蔓延快、人员疏散难、扑救难度大。危险面前，选择正确的逃生方式真的很重要，当不具备逃生条件时，千万别忙碌出门逃生。更多知识，戳图学习～ ,1,0,2,,成都,四川,中国,star 5
