页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905392410727493,向禄发财好事多多,2023-05-25 21:09:11,#恋踩癖男子藏袋内呼吸起伏明显# 建议找大卡车轧一轧调理一下 ,0,0,0,辽宁,朝阳,辽宁,中国,star 3
2,4905388770853180,小火星宝宝,2023-05-25 20:54:42,#恋踩癖男子藏袋内呼吸起伏明显#这种人我都不敢骂或者扇他一巴掌，怕他爽了，变tai和非变tai都沉默了，估计上辈子是个门槛 ,79,83,117,四川,成都,四川,中国,star 4
2,4905392180828983,Hyggesj,2023-05-25 21:08:16,#恋踩癖男子藏袋内呼吸起伏明显#我丢 这是什么奇怪的癖好啊 ,0,0,0,浙江,杭州,浙江,中国,star 3
2,4905392046345939,吃一碗小狐狸,2023-05-25 21:07:44,#恋踩癖男子藏袋内呼吸起伏明显#如果不知道他在那里，穿了高跟鞋不小心踩死他的话，需要付法律责任吗？ ,0,1,2,湖北,武汉,湖北,中国,star 1
2,4905391982645797,诸葛杂拌儿,2023-05-25 21:07:29,#恋踩癖男子藏袋内呼吸起伏明显#恋踩癖遇到露阴癖怎么办？#有用帮打个1# ,0,0,1,北京,北京,北京,中国,star 4
2,4905391898758727,就要tony带水,2023-05-25 21:07:09,#恋踩癖男子藏袋内呼吸起伏明显#让别人穿高跟鞋踩 保证爽翻天 ,0,0,1,广东,,广东,中国,star 5
2,4905391862055419,福州摄影菌,2023-05-25 21:07:00,#恋踩癖男子藏袋内呼吸起伏明显#  喜欢被踩的话试试压路机。 ,0,0,0,福建,福州,福建,中国,star 4
2,4905391781055754,狂沙流,2023-05-25 21:06:41,#恋踩癖男子藏袋内呼吸起伏明显#没看懂，这是什么？与按摩踩背有啥区别？这种情况如果踩踏的人不知道袋子里是人，能踩残废了。 ,0,0,0,黑龙江,齐齐哈尔,黑龙江,中国,star 2
2,4905391760868391,严味香芋派,2023-05-25 21:06:36,#恋踩癖男子藏袋内呼吸起伏明显#可以有怪癖 但是前提是不伤害其他人…… ,0,0,0,黑龙江,哈尔滨,黑龙江,中国,star 3
2,4905391622721850,苹果稣,2023-05-25 21:06:03,#恋踩癖男子藏袋内呼吸起伏明显#喜欢被踩，不如去风吹草低见牛羊的地方啊，往放马牧羊的地上一躺，哪个部位都不会被漏掉吧 ,0,0,1,重庆,,重庆,中国,star 3
3,4905391610401600,畔夏,2023-05-25 21:06:00,#恋踩癖男子藏袋内呼吸起伏明显# 哈？什么东西？恋踩癖？？？人至少不要…… ,1,4,4,海南,三亚,海南,中国,star 1
3,4905391572126547,喵小柒xz,2023-05-25 21:05:51,#恋踩癖男子藏袋内呼吸起伏明显# 不管他什么癖好 这就是明晃晃的性骚扰  有视频 直接告他 ,0,0,0,云南,大理白族自治州,云南,中国,star 5
3,4905391463334004,顺庆公安,2023-05-25 21:05:24,【面对骚扰不要怕！注意留存证据，勇敢说不！】5月24日，四川成都。女生兼职上门喂猫遭恋踩癖骚扰，#恋踩癖男子藏袋内呼吸起伏明显#。#被骚扰该如何维权# ？性骚扰有哪些特征？戳图了解！（图源：人民日报） ,0,0,0,,南充,四川,中国,star 1
3,4905391392300248,兴动朵,2023-05-25 21:05:08,#恋踩癖男子藏袋内呼吸起伏明显#第一次听说 刷新认知 什么怪癖都有 妈呀太恶心了 ,0,3,14,福建,宁德,福建,中国,star 1
3,4905391294779893,全天打网球,2023-05-25 21:04:45,#恋踩癖男子藏袋内呼吸起伏明显# 看了好几遍才明白什么意思，世上真的是什么脏东西都有啊 ,0,0,0,河南,郑州,河南,中国,star 3
3,4905391291632530,淇淇落落,2023-05-25 21:04:44,#恋踩癖男子藏袋内呼吸起伏明显# 网友：有这些癖好， 可以去按摩店找踩背的， 有癖好是正常的， 但是影响到别人就是不正常了……  ,0,0,2,上海,上海,上海,中国,star 4
3,4905239952233356,四川观察,2023-05-25 11:03:22,【#恋踩癖男子藏袋内呼吸起伏明显#】 5月24日，四川成都。#女生兼职上门喂猫遭恋踩癖骚扰#，疑似裸体隐藏在塑料袋下面。据当事人小与表示，#被骚扰该如何维权#她将此事发布到网上后，有一名女生私信称遇到了同样的情况，进入房间后听到了很重的呼吸声。她们全程录了视频，从视频中可以明显看到裹布有起伏，女生离开房间后已报警处理。 四川观察的微博视频,1974,4865,168064,,成都,四川,中国,star 4
3,4905380860134461,肖妈妈的暖宝宝,2023-05-25 20:23:17,#恋踩癖男子藏袋内呼吸起伏明显# 。。。。bt佬是真的多，不管男女，大家都好好保护自己 ,0,0,16,浙江,,浙江,中国,star 4
3,4905390985450017,肉丸子妈妈想要肉丸子变丸子,2023-05-25 21:03:31,#恋踩癖男子藏袋内呼吸起伏明显# 哇去只有你想不到的东西，真的颠复我的三观 ,0,0,0,福建,福州,福建,中国,star 5
3,4905390938526148,知名蔻学家,2023-05-25 21:03:20,#恋踩癖男子藏袋内呼吸起伏明显#不理解但是尊重 希望能考虑一下别人感受 🙏🙏 ,0,0,4,陕西,西安,陕西,中国,star 2
4,4905390904444480,一一向伊,2023-05-25 21:03:12,#恋踩癖男子藏袋内呼吸起伏明显# 啊啊啊啊啊啊，真恶心，是我我会吓死 ,0,4,2,湖北,恩施,湖北,中国,star 1
4,4905390854380248,毅妤紅妆,2023-05-25 21:03:00,#恋踩癖男子藏袋内呼吸起伏明显#  真的是啥人都有啊，小刀拉屁股，开了眼了 ,0,0,0,重庆,重庆,重庆,中国,star 1
