页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905361599628970,根正苗红的贫农,2023-05-25 19:06:45,#校内撞死小学生教师或涉两个罪名# 我以前中学校园都不让进车更别说小学了，小朋友蹦蹦跳跳的年龄，你把车开进校园迟早出事，学校难辞其咎。早上送去活蹦乱跳下午告诉家长孩子死了，放在谁身上都受不了！！！ ,12,30,300,四川,成都,四川,中国,star 1
2,4905392921906658,Alanber祐美609,2023-05-25 21:11:13,#校内撞死小学生教师或涉两个罪名#不管怎樣，家長都好心痛呀！哭成那樣 ,0,0,0,广东,湛江,广东,中国,star 3
2,4905377798032198,盖世英雄玉椒龙,2023-05-25 20:11:07,#校内撞死小学生教师或涉两个罪名# #教育局通报小学生校内被碾压致死#  根据澎湃新闻报道， 家属疑惑这个老师是故意的还是开车时失误。  ,0,26,158,山东,东营,山东,中国,star 4
2,4905278187768345,大象新闻,2023-05-25 13:35:18,#律师解读小学生校内被撞身亡各方责任# 【律师解读“小学生校内被老师驾车撞伤身亡”：老师可能承担侵权责任】#校内撞死小学生教师或涉两个罪名# 5月25日，武汉市汉阳区教育局发布情况通报称，5月23日13时50分，该区弘桥小学月湖校区教师刘某在校内驾车将该校一年级学生谭某撞伤，后谭某送医抢救无效不幸离世。针对此事，河南泽槿律师事务所主任付建解读认为，我国法律没有禁止车辆在中小学校内停留或者行驶，学校应当设置必要的警示标志进行管理。老师违反了驾驶车辆的注意义务，在驾驶车辆之前，应当查看车辆周围有无行人和障碍物。因此，老师可能承担侵权责任，对学生进行损害赔偿；学校承担侵权责任或者补充赔偿责任。 大象新闻的微博视频,2300,1253,24128,,郑州,河南,中国,star 3
2,4905392871840438,爱上长春事儿,2023-05-25 21:11:01,#校内撞死小学生教师或涉两个罪名# 赔偿有什么用呢，不敢看这对父母，太惨了 ,0,0,0,吉林,长春,吉林,中国,star 1
2,4905372932899155,NikiDSpace,2023-05-25 19:51:46,#校内撞死小学生教师或涉两个罪名# 小学校园，车辆随意出入…方便了老师，风险全都给了孩子。 ,1,1,14,辽宁,大连,辽宁,中国,star 3
2,4905392737620195,citycooltiger,2023-05-25 21:10:29,#校内撞死小学生教师或涉两个罪名#挺痛心的。家属心情可以理解，但是应该不存在蓄意啊。 ,0,0,0,湖北,武汉,湖北,中国,star 4
2,4905392688338819,LOVE宛阳阳,2023-05-25 21:10:17,#校内撞死小学生教师或涉两个罪名#真的好可怕！爸爸妈妈该多伤心啊！ ,0,0,0,四川,成都,四川,中国,star 3
2,4905392616768605,火火千金self,2023-05-25 21:09:59,#校内撞死小学生教师或涉两个罪名# 人车分离，车就应该停在底层车库不应该进校园！孩子多可怜！ ,0,0,0,陕西,,陕西,中国,star 3
3,4905385414891421,曹立全律师,2023-05-25 20:41:23,#校内撞死小学生教师或涉两个罪名#交通事故每年致死人数为五六万左右，这个案件我认为就是一个交通事故，老师也不是圣人，发生交通事故很正常。因为场所特殊，校园里，大家不要对老师口诛笔伐，我相信老师现在很后悔，很痛苦。 ,0,11,37,湖北,十堰,湖北,中国,star 4
3,4905392331297957,楊培安RogerYang,2023-05-25 21:08:52,#律师解读小学生校内被撞身亡各方责任#校園裡再寬廣…畢竟就不是一般道路！本來就不應該讓人車有併行的可能！既然遇到了，更應該小心再小心！能撞死一條生命…車速絕對不低！駕駛者覺得也沒當校園是校園！[傷心][傷心][傷心]🙏🙏🙏🕯️🕯️🕯️#校内撞死小学生教师或涉两个罪名#,0,0,1,中国台湾,新竹市,台湾,中国,star 5
3,4905392256327349,小布丁丁1314,2023-05-25 21:08:34,#校内撞死小学生教师或涉两个罪名#今天去接女儿，学校里停的车 ,0,0,0,广东,佛山,广东,中国,star 5
3,4905392217524054,追零呢,2023-05-25 21:08:25,#校内撞死小学生教师或涉两个罪名#太痛心了，孩子的父母该有多心痛啊…… 南京 ,0,0,0,江苏,南京,江苏,中国,star 4
3,4905391786559854,周杰伦不能胖,2023-05-25 21:06:42,#校内撞死小学生教师或涉两个罪名# 请问34年纪的小孩个子应该很高了吧？为什么看不到，是不是老师和他摆手让他走，小孩故意没走，看当时的监控呀 ,0,2,0,,,,中国,star 2
