页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905393741104791,王同学_q,2023-05-25 21:14:28,#樊振东王楚钦男双晋级四强# 王楚钦关键分的神 网页链接 ,0,0,0,海南,海口,海南,中国,star 4
2,4905386870834754,我比月光还残酷,2023-05-25 20:47:10,樊振东 #樊振东王楚钦男双晋级四强#  哥，我唯一的哥，这一球你打得实在太妙。 我比月光还残酷的微博视频 ,46,43,152,宁夏,固原,宁夏,中国,star 5
2,4905393534275751,魔法團Fantastic,2023-05-25 21:13:39,#樊振东王楚钦男双晋级四强#牛牛牛！樊振东刚打完单打，没休息多少接双打，积极想办法，大心脏救局点，必胜的信念，很棒很棒！ ,0,0,0,江苏,徐州,江苏,中国,star 5
2,4905389332633013,人民网,2023-05-25 20:56:57,【#樊振东王楚钦组合晋级男双四强#】在刚刚结束的一场德班世乒赛男双四分之一决赛中，樊振东/王楚钦3比1战胜队友林高远/林诗栋晋级男双四强。#樊振东王楚钦男双晋级四强#（人民网记者 李乃妍） ,13,29,160,,北京,北京,中国,star 4
2,4905393463759446,你的眼睛会下雨鸭,2023-05-25 21:13:22,#樊振东王楚钦男双晋级四强#王楚钦棒棒哒最后一球不要太帅啦~小胖头半决赛继续加油 ,0,0,1,广东,珠海,广东,中国,star 5
2,4905393376203378,落入一步虚幻,2023-05-25 21:13:01,#樊振东王楚钦男双晋级四强# 王楚钦太顶了最后一球太帅了直接拧死比赛，王楚钦的接发yyds ,0,0,1,广东,广州,广东,中国,star 5
2,4905390984140838,央视网体育,2023-05-25 21:03:31,#樊振东王楚钦男双晋级四强##樊振东王楚钦3比1林高远林诗栋##2023德班世乒赛#继续进行，樊振东/@王楚钦___ 3-1战胜@Eric-林高远 /@林詩棟y ，晋级半决赛。四局比分为11-8、8-11、13-11、11-9。咪咕体育的微博视频 ,9,15,120,,北京,北京,中国,star 4
2,4905393233070197,爱喝气泡水___,2023-05-25 21:12:27,#樊振东王楚钦男双晋级四强#兼三项的小孩辛苦了，注意安全哦 ,0,0,4,福建,龙岩,福建,中国,star 4
2,4905384916294888,带个饼饼,2023-05-25 20:39:24,樊振东 💙#樊振东王楚钦男双晋级四强#  9:10对手局点 发球得分 我哥发球能救命 带个饼饼的微博视频 ,37,39,234,江苏,苏州,江苏,中国,star 5
2,4905393019425930,-GXYU吖,2023-05-25 21:11:36,#樊振东王楚钦男双晋级四强# 樊振东太牛啦！！！ 短短几个小时单打双打状态满满 保持状态继续加油 ,0,2,2,河南,郑州,河南,中国,star 5
3,4905387197729224,友的说,2023-05-25 20:48:28,#樊振东王楚钦3比1林高远林诗栋#  🏓男双1/4决赛，樊振东/@王楚钦___  3-1战胜@Eric-林高远 /@林詩棟y ，晋级半决赛【11-8、8-11、13-11、11-9】  #樊振东王楚钦男双晋级四强##2023德班世乒赛# ,28,51,650,北京,北京,北京,中国,star 4
3,4905392872624631,蜜蜜蜜蜜蜜柚子,2023-05-25 21:11:01,#樊振东王楚钦男双晋级四强#樊振东单打双打辛苦啦！相持对拉真的太爆了！加油冲冲冲！越打越有！ ,0,1,1,河南,郑州,河南,中国,star 5
3,4905379193947035,鸡蛋灌咚咚,2023-05-25 20:16:40,#樊振东王楚钦男双晋级四强#   樊振东的远台太帅了！！！！！ 好暴力！！！！！ 鸡蛋灌咚咚的微博视频 ,49,60,256,天津,天津,天津,中国,star 3
3,4905392771695420,黛比可Ruai蒂,2023-05-25 21:10:37,#樊振东王楚钦男双晋级四强# 有一位朋友没有看到最后一球我都会伤心的OK？ ,0,0,2,吉林,延边朝鲜族自治州,吉林,中国,star 3
3,4905392746273839,薯片咸咸旺仔甜甜,2023-05-25 21:10:31,#樊振东王楚钦男双晋级四强# 今天又被这个打球男给帅到了,0,1,3,浙江,杭州,浙江,中国,star 5
3,4905392712193122,古今多少事z都付笑谈中,2023-05-25 21:10:23,#樊振东王楚钦男双晋级四强#恭喜樊振东王楚钦晋级男双四强，双林组合也打得挺好的，关键球稍微有点犹豫，毕竟配对时间不长，大家都继续加油。 ,0,0,0,广东,广州,广东,中国,star 4
