页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4905381073263155,阿卡姆之花,2023-05-25 20:24:08,我真的远古人，影响我最深刻的还是神舟五号，转眼这都16了  #现在进入神舟十六号时间# ,0,0,6,江苏,无锡,江苏,中国,star 1
2,4905273833557233,南昌火车站,2023-05-25 13:18:00,#南站微视角#【神舟十六号船箭组合体垂直转运全回顾】#现在进入神舟十六号时间#目前，神舟十六号船箭组合体已转运至发射区，计划近日择机实施发射。回顾垂转期间的精彩瞬间，看这场属于载人航天的盛况，让我们持续关注神舟十六号载人飞行任务的后续消息吧！一起期待#中国空间站再迎太空会师名场面#！新华网的微博视频,5,6,6,,南昌,江西,中国,star 5
2,4905264819470729,昆明五华发布,2023-05-25 12:42:10,【神舟十六号船箭组合体垂直转运全回顾】#现在进入神舟十六号时间#目前，神舟十六号船箭组合体已转运至发射区，计划近日择机实施发射。回顾垂转期间的精彩瞬间，看这场属于载人航天的盛况，让我们持续关注神舟十六号载人飞行任务的后续消息吧！一起期待#中国空间站再迎太空会师名场面#！ 新华网的微博视频,0,2,0,,昆明,云南,中国,star 5
2,4905255550847131,潍坊环保,2023-05-25 12:05:21,【神舟十六号船箭组合体垂直转运全回顾】#现在进入神舟十六号时间#目前，神舟十六号船箭组合体已转运至发射区，计划近日择机实施发射。回顾垂转期间的精彩瞬间，看这场属于载人航天的盛况，让我们持续关注神舟十六号载人飞行任务的后续消息吧！一起期待#中国空间站再迎太空会师名场面#！  新华网的微博视频,4,6,4,,潍坊,山东,中国,star 5
2,4905254205001411,山东环境,2023-05-25 12:00:00,【神舟十六号船箭组合体垂直转运全回顾】#现在进入神舟十六号时间#目前，神舟十六号船箭组合体已转运至发射区，计划近日择机实施发射。回顾垂转期间的精彩瞬间，看这场属于载人航天的盛况，让我们持续关注神舟十六号载人飞行任务的后续消息吧！一起期待#中国空间站再迎太空会师名场面#！  新华网的微博视频,8,6,5,,济南,山东,中国,star 5
2,4905246653944088,天津政法,2023-05-25 11:30:00,【神舟十六号船箭组合体垂直转运全回顾】#现在进入神舟十六号时间#目前，神舟十六号船箭组合体已转运至发射区，计划近日择机实施发射。回顾垂转期间的精彩瞬间，看这场属于载人航天的盛况，让我们持续关注神舟十六号载人飞行任务的后续消息吧！一起期待#中国空间站再迎太空会师名场面#！ 新华网的微博视频,0,0,0,,天津,天津,中国,star 5
2,4905241306726999,六合发布,2023-05-25 11:08:45,【神舟十六号船箭组合体垂直转运全回顾】#现在进入神舟十六号时间#目前，神舟十六号船箭组合体已转运至发射区，计划近日择机实施发射。回顾垂转期间的精彩瞬间，看这场属于载人航天的盛况，让我们持续关注神舟十六号载人飞行任务的后续消息吧！一起期待#中国空间站再迎太空会师名场面#！ 新华网的微博视频,0,0,0,,南京,江苏,中国,star 5
2,4905081516852242,石家庄文旅之声,2023-05-25 00:33:48,【美丽的民心河畔】#遇见美好##这么近那么美周末到河北# #现在进入神舟十六号时间# 石家庄文旅之声的微博视频 ,3,2,2,,石家庄,河北,中国,star 5
2,4905080958225276,石家庄文旅之声,2023-05-25 00:31:35,#这么近那么美周末到河北# #现在进入神舟十六号时间# 《封龙文化高峰论坛暨元氏汉碑全国名家书法邀请展将启幕》 封龙文化高峰论坛暨元氏汉碑全国名家书法邀请展将启幕 ,3,2,1,,石家庄,河北,中国,star 5
2,4905078463664465,石家庄文旅之声,2023-05-25 00:21:40,#现在进入神舟十六号时间# 【#这只汉代和田玉酒杯贵气感十足#】西汉勾连涡纹玉卮（zhī），出土于江苏徐州狮子山西汉楚王墓。这只酒杯小巧精致，由和田玉制成，通体温润光亮，杯盖上有五瓣柿菱形，杯身中间刻满了勾连雷纹，制作工艺极为复杂。当时讲究“酒器要和身份地位相符”，因此，这件玉卮只有王公贵胄、达官显贵在重要场合才使用。戳→网页链接 #每天认识一件文物# @央视新闻,3,3,2,,石家庄,河北,中国,star 4
