页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907006757179585,岁岁吟2020,2023-05-30 08:04:01,#YammerS确认已离世#希望你们日后不要为了自己的一己私欲，或者为了掩盖自己的错误，去创造一个悲剧家庭。 ,0,0,0,浙江,,浙江,中国,star 5
2,4906867849167347,张三同学,2023-05-29 22:52:02,#YammerS确认已离世#“希望你们日后不要为了自己的一己私欲，或者为了掩盖自己的错误，去创造一个悲剧家庭。”一位博主留下了定时发布的微博离开了，其中包括不限于“儿童/青少年霸凌”和侮辱。有心理学家曾说:幸运的人用童年治愈一生，不幸的人用一生治愈童年。很多儿童、青少年时期被欺凌的受害者需要一生去治愈，对那些参于青少年欺凌的人真的是咬牙切齿……婚姻更多的是责任，尤其是生育，抚养，保护。,150,62,2522,北京,北京,北京,中国,star 5
2,4907006480090816,护卫队长呢,2023-05-30 08:02:55,#yammers确认已离世# 全世界都开始爱你 ,0,0,0,湖南,岳阳,湖南,中国,star 5
2,4907006290560425,L1JiaChen9A,2023-05-30 08:02:10,#YammerS确认已离世#看了他的故事，真得想流泪 ,0,0,1,河南,驻马店,河南,中国,star 4
2,4907005977038215,享耳文刀水景页,2023-05-30 08:00:55,#YammerS确认已离世#  虽然不认识你，但看了你遗书知道你曾经遭遇过的霸凌，还是想抱抱你。  ,0,0,1,广东,深圳,广东,中国,star 5
2,4907005762601975,观网文娱,2023-05-30 08:00:04,#YammerS确认已离世# 据@Esports海涛 消息，跟当地派出所的警察多次确认，今天打捞起来一位死者，姓名，年纪，外貌都对的上。已经通知家属了。 ,0,0,1,,上海,上海,中国,star 5
2,4907005569401896,鼎sirr,2023-05-30 07:59:18,#YammerS确认已离世#愿大家都被温柔以待，以这种方式认识你，好难受 ,0,0,1,湖北,武汉,湖北,中国,star 5
2,4907005347103326,赵赵赵丽丽,2023-05-30 07:58:25,#YammerS确认已离世#有些伤痛亲身经历过才能感同身受   所以我也懂你为何离开  ,0,0,0,广东,深圳,广东,中国,star 5
2,4907005264003585,喔呼有希望,2023-05-30 07:58:05,#YammerS确认已离世#读完这段经历，十分沉重和心痛，请安息，愿来生被善待 ,0,0,1,广东,江门,广东,中国,star 4
2,4906990529151772,天嘲槽点文学,2023-05-30 06:59:32,#YammerS确认已离世#校园霸凌者都该死，别说什么青少年不懂，他们还小，这无关，他们不会不知道这样做是不好的，他们自己不会想要这样的事发生在他们身上，把快乐建立于他人痛苦之上，明知这做法会使他人痛苦却依旧这么做，这样的人何其可恶。 ,0,2,20,山东,潍坊,山东,中国,star 5
3,4907004731327161,TOP体坛,2023-05-30 07:55:58,#YammerS确认已离世# 遗书真的令人泪目。过得太艰难了。 #yammers# ,0,0,2,上海,上海,上海,中国,star 4
3,4907004726345929,小小小细菌吖,2023-05-30 07:55:56,#YammerS确认已离世#五月是抑郁症的高危月份 ,0,0,2,江苏,苏州,江苏,中国,star 4
3,4907004491728856,鹿璟z,2023-05-30 07:55:01,#YammerS确认已离世#所以不要整天问年轻人怎么不生了，相当一部分人经历过校园霸凌，然后呢，有人管吗？告速诉老师家长甚至警察能得到正向反馈吗？万幸自我折磨了这么多年，终于麻木了内心强大了起来，那没挺过来的人呢？难道我们本本分分老老实实的就要受欺负？决定不了的出身和性格，难道弱一些的人就活该被霸凌？,0,1,6,美国,,美国,美国,star 5
3,4906993682744487,上海成雨,2023-05-30 07:12:04,#YammerS确认已离世#由此可见，一个人自我心灵的强大是多么重要，受天大冤曲还能保持积极健康心态的人真不容易，只要自己干干净净，就不怕漫天泼来的脏水。 ,1,1,181,上海,上海,上海,中国,star 5
3,4907004123153872,肥逗懒,2023-05-30 07:53:33,#YammerS确认已离世#dota也无法治愈的创伤走好，愿你在他处没有悲伤 ,0,0,0,广西,玉林,广西,中国,star 5
3,4907003937817179,我想和你腻古腻古,2023-05-30 07:52:49,#YammerS确认已离世#请求国家立法！！！！ 如今你已经走了，我唯有祈祷善恶有报，那些霸凌者速速去死！ ,0,0,1,湖北,武汉,湖北,中国,star 5
3,4907003909243588,-乌鹊南飞-Yibo,2023-05-30 07:52:42,#YammerS确认已离世#真的很遗憾用这种方式认识你，愿你在天堂快快乐乐，校园霸凌带来对心理的影响真的很大，面对校园霸凌我自己都感到可怕，愿你下辈子来到人间快快乐乐的成长 ,0,0,2,广东,东莞,广东,中国,star 5
3,4907003488504309,Ca_lc,2023-05-30 07:51:02,#YammerS确认已离世#这哥们前几天还主持dpc呢，这就没了……唉，童年对人一生的塑造真的很重要 ,0,0,1,北京,北京,北京,中国,star 4
4,4907003405926845,想上天摘星星吖,2023-05-30 07:50:42,#YammerS确认已离世# 霸凌真的会毁了很多人 ,0,0,0,吉林,,吉林,中国,star 5
4,4906817379109362,北青先锋电竞,2023-05-29 19:31:30,【Dota2赛事解说@Dota2_YammerS 已经确认离世】5月29日，@Dota2_YammerS 发布的一条定时微博显示，自己因为抑郁症选择自杀，具体说明了自己小时候的家庭状况和遭遇被霸凌的经历。微博发出后DOTA2圈内多位知名博主Ams、BBC、海涛等人都紧急联系了本人和警方。@Esports海涛 发布的微博显示，其表示跟当地派出所的警察多次确认，今天打捞起来一位死者，姓名，年纪，外貌都对的上。已经通知家属了。愿天堂一切安好！ #YammerS已确认离世##YammerS称曾遭到霸凌# #YammerS确认已离世#,63,50,726,,北京,北京,中国,star 5
4,4907002985711315,全能学霸增哥,2023-05-30 07:49:02,#YammerS确认已离世#我们总要无数次的拯救自己于水火之中，才能勉强苟活于这世间！ ,0,0,5,河北,,河北,中国,star 5
4,4906878616996570,颓废烤肉,2023-05-29 23:34:50,#YammerS确认已离世#恨每一个8凌的人小时候去表哥家玩，表哥家也是在大院里。那天他们一群只有我一个女生，本来也没和他们一起玩，我一个人在边上，不知道里面年纪最大的那个怎么想的出“他们当中谁游戏输了就过来掐我一下”这种狗屎点子。还好表哥脑子清醒了，我被掐了一下他就来阻止。但我到现在都记得那个出主意的男的长什么样子，还记得被掐第一下他们一群人围着我的样子。,2,28,200,浙江,杭州,浙江,中国,star 5
4,4907002676119767,躺平搬砖的小黄,2023-05-30 07:47:48,#YammerS确认已离世#在max吃瓜 好像另有原因。。哎。。害人啊 ,0,1,1,浙江,宁波,浙江,中国,star 3
4,4907002612156401,RiverJude,2023-05-30 07:47:33,#YammerS确认已离世#   不要为了一己私欲去创造一个悲剧的家庭。 ,0,0,1,北京,北京,北京,中国,star 5
4,4907002184598850,馨咚小祺,2023-05-30 07:45:51,#YammerS确认已离世#霸凌太可怕了 ,0,1,2,湖北,孝感,湖北,中国,star 5
4,4907002126665169,仔排好好吃,2023-05-30 07:45:37,#YammerS确认已离世#校园霸凌真该死啊，希望所有校园暴力过别人的狗不得好死，这辈子厄运缠身，还是早点死下地狱吧。 ,0,2,5,广东,佛山,广东,中国,star 5
4,4907002105431428,公子虞江南人士,2023-05-30 07:45:32,#YammerS确认已离世#愿所有抑郁症患者都能战胜病魔，灿烂的活着🙏🙏🙏#战胜病魔#日常 ,0,2,4,江苏,,江苏,中国,star 5
4,4907002008438678,Yolo容妹,2023-05-30 07:45:09,#yammers确认已离世#  恶心的人太多了，还有恶心的老师，枉为人师。小时候觉得能做老师的人都是正直的人，后来觉得有些人能做老师，只是因为在那个年代家里有条件送他们读书，文化程度高点所以能做老师，比学生还恶心的是已经 “懂事”的他们。人能正常顺利长大真是一件奢侈的事情 ,0,0,3,湖北,武汉,湖北,中国,star 5
5,4907001799247160,李现的乐园三,2023-05-30 07:44:19,#YammerS确认已离世# 霸凌真的太可怕了…… ,0,0,3,辽宁,鞍山,辽宁,中国,star 5
5,4907001748130672,ExiaKiton,2023-05-30 07:44:07,#YammerS确认已离世#还以为你要成为dota2亚运官方解说啊 再见了宝贝儿 这段语音将永远存在我们这代刀客记忆中 ,0,0,2,山东,青岛,山东,中国,star 5
