页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4906997373994814,江西消防,2023-05-30 07:26:44,【地铁应急知识不可缺！】方便、快捷、不堵……地铁是很多人外出乘坐交通工具时的优选，不过，乘坐地铁也会遇到一些突发状况。了解这些常见的安全隐患，掌握相关应急知识，才能有备无患。#消防安全##上海一老人误将地铁扶手当售卖机# 江西消防的微博视频 ,7,10,67,,南昌,江西,中国,star 4
2,4907002315145651,新都资讯,2023-05-30 07:46:22,【#早安新都#】@成都气象 预计今天白天多云，早晚有分散阵雨，气温21～35℃；今天晚上到31日白天多云间阴，有分散阵雨或雷雨，西部个别地方大雨，气温22～34℃。【今日限行尾号2、7；限行时间7：30-20：00】 早安   🌐一觉醒来世界发生了什么：#上海一老人误将地铁扶手当售卖机# ,0,7,1,,成都,四川,中国,star 5
2,4907001819170570,林迦叶,2023-05-30 07:44:24,#上海一老人误将地铁扶手当售卖机#大爷第一次坐地铁吗，现在二维码遍地跑，全是广告 ,0,0,0,浙江,杭州,浙江,中国,star 1
2,4907001345212698,小呀小琪琪子,2023-05-30 07:42:31,#上海一老人误将地铁扶手当售卖机#感谢好心人有一次我去一个不认识的地方，活动结束后正好路边看到一个站牌，上面只有一辆公交，正好是到我家附近的，就去站牌下面等了。等了一会本来显示马上就回到的公交一直没到，时间也跳掉了，还在疑惑的时候身边走过几个人，笑嘻嘻地说什么傻子傻子，本来没在意，以为他们在自己说笑。因为这路公交的间隔就是很久的，所以一直在等，等了有二三十分钟，过来一个老大爷，跟我说别等了，这路车不经过这里，不会来的。然后才反应过来应该是公交换路线了，站牌没撤销，那几个说傻子的人其实是在嘲笑我。后来重新导航找站牌，折腾了好久才到家。感谢好心的大爷，要不是他我可能还要一个人傻愣愣地站在公交站牌下等好久，那天还挺热的，而且站牌又偏，连个椅子都没有。至于那几个嘲笑我的，我没招你们没惹你们，我不要求你们提醒我，反正你们也没那义务，但你们那副幸灾乐祸的样子真的恶心到我了。你们的生活是有多不如意才会这样去嘲笑一个跟你们素不相识无冤无仇的人?,0,1,3,上海,上海,上海,中国,star 5
2,4907001240355142,夏日海湾,2023-05-30 07:42:06,#上海一老人误将地铁扶手当售卖机#人老了，就像机器用久了，如果平时注重保养的话那还好，保养不到位，用的燃油、润滑油又是低劣品的，那这机器的某些零部件，肯定就会磨损过度了。 ,0,0,2,江苏,扬州,江苏,中国,star 2
2,4907000922375060,旎的小幸运,2023-05-30 07:40:50,#上海一老人误将地铁扶手当售卖机#好人一生平安，现在时代发展太快了，老人家跟不上步伐，希望对待老人多一些耐心与帮助 ,0,0,7,广东,江门,广东,中国,star 3
2,4907000737040871,成毅什么时候离开欢瑞世纪,2023-05-30 07:40:06,#上海一老人误将地铁扶手当售卖机#只有我进地铁的时候抬一下头，接下来全程低头的吗？ ,0,0,0,上海,上海,上海,中国,star 3
2,4907000662590890,啵帝的茶茶,2023-05-30 07:39:48,你可曾看到过光芒挥破云层自天空倾泻而下， 可曾徒劳地伸长双手试图捕捉残辉， 只剩满怀清风嘲弄   #上海一老人误将地铁扶手当售卖机##教育局回应小学不让打伞进校# 啵帝的茶茶的微博视频 ,0,3,6,山东,临沂,山东,中国,star 5
2,4907000641356310,舟山气象微博,2023-05-30 07:39:43,早安 天明，亮起的不只是阳光，还要有你的好心情哦，早安！#上海一老人误将地铁扶手当售卖机##原来这是焦虑的表现# ,0,3,1,,舟山,浙江,中国,star 5
2,4906999832117355,小哥帅仔,2023-05-30 07:36:29,#上海一老人误将地铁扶手当售卖机#为何不抓住商机在拉环里做零食的小部分扫码，也可以应对饥饿 ,0,1,0,江苏,苏州,江苏,中国,star 3
3,4906998652995775,做一个温柔女汉子,2023-05-30 07:31:49,#上海一老人误将地铁扶手当售卖机# 科技发展的有点快，老人跟不上时代的步伐了，不过会玩智能手机已经不错了，小姐姐蛮暖心的 ,0,0,2,河北,石家庄,河北,中国,star 4
3,4906998434891328,若影若羡08,2023-05-30 07:30:57,#上海一老人误将地铁扶手当售卖机# 老年人在这个时代好难跟上啊， 在可能的情况下，尽量帮助下老年人，我们也会有老的那天 ,0,0,2,广东,中山,广东,中国,star 4
3,4906998376169706,meng紫雨1005,2023-05-30 07:30:43,#上海一老人误将地铁扶手当售卖机#现在科技发展很快，希望大家多关心老人 ,0,0,0,四川,南充,四川,中国,star 4
3,4906997981644596,SUSAN小赞,2023-05-30 07:29:09,#上海一老人误将地铁扶手当售卖机#时代发展的快，老人跟不上这很正常的，大家对待他们一定要多有点耐心。 ,0,0,1,江苏,镇江,江苏,中国,star 2
3,4906997847949345,薪笑語o0,2023-05-30 07:28:36,#上海一老人误将地铁扶手当售卖机#  老人将电车开上地铁引热议……  薪笑語o0的微博视频 ,0,1,2,湖北,武汉,湖北,中国,star 4
3,4906997624865302,迷茫_的少年,2023-05-30 07:27:44,#上海一老人误将地铁扶手当售卖机#上海人真牛逼，不是老觉得高人一等吗？ ,0,2,6,广东,深圳,广东,中国,star 3
3,4906997280933801,DYL飞雪,2023-05-30 07:26:22,#上海一老人误将地铁扶手当售卖机#时代快速发展，老人跟不上脚步，这社会需要有更多爱心的人帮助。 ,0,0,2,湖南,怀化,湖南,中国,star 4
3,4906997101102169,辣叶摧秋,2023-05-30 07:25:39,#上海一老人误将地铁扶手当售卖机# 大爷这是习惯性扫码？还是认知正在发生变化？家属、子女应该要上点心，带老人家好好检查一下了。 #辣叶记事# ,0,0,2,浙江,,浙江,中国,star 1
3,4906997054702748,转来转去转不停,2023-05-30 07:25:28,#每日一善#  当每个人都献出自己的爱时， 世界会变得更美好， 乐于助人，善解人意，让世界更温馨。  赠人玫瑰，手有余香，施比受更有福， 助人为快乐之本，助人为乐是一种美德， 助人是人格升华的赠人玫瑰， 助人是人格升华的助人为快乐之本。  #上海一老人误将地铁扶手当售卖机# ,0,5,1,江苏,苏州,江苏,中国,star 5
3,4906996204045957,qily琪,2023-05-30 07:22:05,#上海一老人误将地铁扶手当售卖机#科技發展太快了，老人跟不上時代！！為小姐姐點贊，願每個人的身邊都有溫柔對待！！ ,0,0,0,广东,汕头,广东,中国,star 5
4,4906991371419995,桃雾韵Kilig,2023-05-30 07:02:53,#上海一老人误将地铁扶手当售卖机#为女子的细心点赞，愿世界都能被温柔以待 ,0,0,8,上海,上海,上海,中国,star 4
4,4906991166685465,掌锦衣事陆炳,2023-05-30 07:02:03,进步太快的时代，还请对老人友好点#上海一老人误将地铁扶手当售卖机#我们每一个人，都会老的#你会主动帮助有困难的老人吗#  ,0,2,1,浙江,杭州,浙江,中国,star 5
4,4906990138556984,羡兔子一只1005,2023-05-30 06:57:59,#上海一老人误将地铁扶手当售卖机#看到有人说感觉是演的，不管是不是演的，希望老人出门在外都能得到大家的温柔以待。 ,0,0,1,湖南,郴州,湖南,中国,star 4
4,4906987379228777,小雨姐姐1005,2023-05-30 06:47:00,#上海一老人误将地铁扶手当售卖机#现在生活是便利，但老年人真的挺不方便的。 ,0,0,1,山东,青岛,山东,中国,star 3
4,4906986976313915,若影若羡08,2023-05-30 06:45:25,#每天早起打卡# 老吾老，以及人之老，幼吾幼，以及人之幼。  #上海一老人误将地铁扶手当售卖机# ,0,0,1,广东,中山,广东,中国,star 5
4,4906986959012632,金湖法院,2023-05-30 06:45:21,早安周二愉快 早安，金湖#早安##上海一老人误将地铁扶手当售卖机# （图源网络） ,0,110,41,,淮安,江苏,中国,star 5
4,4906985416556548,岛国蜡像馆,2023-05-30 06:39:12,#上海一老人误将地铁扶手当售卖机#还得是你啊。宝贝加油都加油 ,0,0,0,安徽,芜湖,安徽,中国,star 5
4,4906984770372086,土楼先生,2023-05-30 06:36:39,不要觉得离谱，每个人都会有老去的一天，面对日新月异，新事物之类的东西，老年人不懂如何操作，太正常了。 这件事主要是那个年轻女子愿意帮忙，暖心之举引人赞。要知道不是每个年轻人都能做到如此！#上海一老人误将地铁扶手当售卖机# ,0,0,9,福建,厦门,福建,中国,star 3
4,4906984363000339,快乐做自己tingting,2023-05-30 06:35:02,#上海一老人误将地铁扶手当售卖机#老人同意了吗，就拍人家，还放到网上。 ,0,0,0,江苏,苏州,江苏,中国,star 1
4,4906868117603687,精神小伙,2023-05-29 22:53:07,#上海一老人误将地铁扶手当售卖机#老人可能很少坐地铁，所以才会发生这种状况，还好有好心人帮忙。 ,211,218,244,天津,天津,天津,中国,star 3
5,4906974489084580,奥派经济学读书群,2023-05-30 05:55:48,#上海一老人误将地铁扶手当售卖机#这个老人知道扫码买东西，内心其实一点也不老。 ,0,0,0,辽宁,沈阳,辽宁,中国,star 3
5,4906972442526378,大众喜闻乐见,2023-05-30 05:47:40,近日，#上海一老人误将地铁扶手当售卖机#，询问身旁女生之后才知道闹了乌龙。该女生表示老人可能是看到上面写的扫码提示，以为它是一个自动售卖机，就拿起手机开始扫码了，结果弄了一会发现没出物品，就向女生进行了询问，经过解答后才得知真相。 #你会主动帮助有困难的老人吗# 大众喜闻乐见的微博视频 ,0,0,0,广东,广州,广东,中国,star 4
5,4906971835138121,熊宝夏天多喝水,2023-05-30 05:45:14,早安 🌻#早安心语# 🌻#每天早起打卡# 人生的美好不在于处处春风秋雨，而是我们曾经触摸过的每一个细节。 #上海一老人误将地铁扶手当售卖机# ,0,30,24,上海,上海,上海,中国,star 5
5,4906970568720450,若影若羡08,2023-05-30 05:40:13,#上海一老人误将地铁扶手当售卖机# 如今社会新鲜事物层出不穷，别说老年人，中年人也跟不上时代 ,0,0,0,广东,中山,广东,中国,star 3
5,4906969620021334,2般见识,2023-05-30 05:36:27,#上海一老人误将地铁扶手当售卖机#“一个西方人活四百年才能经历这样两个天壤之别的时代，一个中国人只需四十年就经历了。” 技术进步太快了，要多关注这些被时代列车甩在后面的人。 ,0,1,5,北京,北京,北京,中国,star 4
5,4906969348178348,秀骨书生,2023-05-30 05:35:22,#上海一老人误将地铁扶手当售卖机# 怎么感觉视频是演的？ ,0,0,0,吉林,长春,吉林,中国,star 2
5,4906969251446793,jun夜,2023-05-30 05:34:58,#上海一老人误将地铁扶手当售卖机#避免各种二维码，防止老人小孩误扫 ,0,0,1,上海,上海,上海,中国,star 4
5,4906964083016113,茶色文章,2023-05-30 05:14:27,#上海人的童年零食有多好吃##上海地铁萌娃看拉环馋出表情包##上海一老人误将地铁扶手当售卖机# 基本上可以确定是摆拍。 ,0,0,1,上海,,上海,中国,star 2
5,4906938985611720,蜜之源0909,2023-05-30 03:34:43,又是一个把新闻编辑干成新闻编剧的媒体，这么不要脸真的好么？新闻从业者网红化造故事编故事该歇一歇了！#上海一老人误将地铁扶手当售卖机# 查看图片,0,0,4,湖北,黄冈,湖北,中国,star 2
5,4906930382831641,i宋兵甲炮灰乙,2023-05-30 03:00:31,#上海一老人误将地铁扶手当售卖机#看着心酸。这一幕或许就是以后我们的缩影，真的是想想就让人害怕，要是以后我老了，跟不上时代怎么办呢？ ,0,0,0,广东,佛山,广东,中国,star 4
6,4906913622656370,我今天也十分快落,2023-05-30 01:53:56,#上海一老人误将地铁扶手当售卖机# 遇到需要帮助的老人能帮到的就帮一下吧 哎 多希望所有不小心跌倒的老人都能有人帮帮他们扶一扶 ,0,0,0,重庆,重庆,重庆,中国,star 3
6,4906913194836264,咿呀咿鸭哟2333,2023-05-30 01:52:14,#上海一老人误将地铁扶手当售卖机#现在媒体真好当…明显的剧本拿来当新闻发，感觉还是条软广 ,0,0,1,上海,上海,上海,中国,star 3
6,4906901948596645,最美的风景兔子先生,2023-05-30 01:07:32,#上海一老人误将地铁扶手当售卖机#很多东西变化快，老人会跟不上节奏，看到这里，有点心酸，希望我的父母老了后出门在外，也能遇到这样耐心善良的好心人 ,0,0,5,重庆,重庆,重庆,中国,star 3
6,4906899252971911,恐高的凤梨,2023-05-30 00:56:50,#上海一老人误将地铁扶手当售卖机#  时代进步越来越快，很多老人被落在后面了，感觉自己都要跟不上 ,0,0,4,广东,揭阳,广东,中国,star 4
6,4906898975622933,流年诗语,2023-05-30 00:55:44,#上海一老人误将地铁扶手当售卖机#看到很多老人跟不上时代了真的挺心酸的… ,0,0,6,浙江,温州,浙江,中国,star 3
6,4906895545207346,战小饭,2023-05-30 00:42:06,#上海一老人误将地铁扶手当售卖机#好暖心的小姐姐，希望以后我的父母年纪大了出门也能遇见这样的好心人 ,0,0,1,浙江,湖州,浙江,中国,star 5
6,4906893757911384,上海王松松律师,2023-05-30 00:35:00,#上海一老人误将地铁扶手当售卖机# 虽然但是，能不能给老人打个码？ ,0,1,0,湖南,长沙,湖南,中国,star 3
6,4906892146511786,兔耳夢很萌i,2023-05-30 00:28:36,#上海一老人误将地铁扶手当售卖机# 希望每一位老人都能遇到好心人帮助。 ,0,0,5,浙江,舟山,浙江,中国,star 5
6,4906890435756853,LCQ兔兔,2023-05-30 00:21:48,#上海一老人误将地铁扶手当售卖机#很正常啊，老年人跟不上时代的快速发展，需要社会更多的好心人帮助，互相帮助毕竟谁都有老的时候，不能因为跟不上时代就要淘汰人家 ,0,0,1,广东,深圳,广东,中国,star 4
6,4906889782235364,千年机遇_智越阶层_财福人生,2023-05-30 00:19:12,#上海一老人误将地铁扶手当售卖机#“懂”？有人就不懂。。。 ,0,0,0,北京,北京,北京,中国,star 3
7,4906885390010556,章毓Loo,2023-05-30 00:01:45,#上海一老人误将地铁扶手当售卖机#  这个热搜让我很吃惊…  看看绿色。,0,0,0,广东,深圳,广东,中国,star 4
7,4906884425319056,茶色文章,2023-05-29 23:57:55,#上海地铁萌娃看拉环馋出表情包#这么巧啊#上海一老人误将地铁扶手当售卖机# 是不是巧合？还是摆拍？ ,2,0,3,上海,,上海,中国,star 2
7,4906884258070597,三少之父吴朝伟,2023-05-29 23:57:14,#上海一老人误将地铁扶手当售卖机#现在什么地方都有二维码，哪里都是广告，容易误导老年人！ ,0,0,0,浙江,宁波,浙江,中国,star 2
7,4906883409776527,疏影横斜1029,2023-05-29 23:53:53,#上海一老人误将地铁扶手当售卖机#老年人跟不上时代的快速发展！需要社会更多的好心人帮助。 ,0,0,0,北京,北京,北京,中国,star 4
7,4906883167293360,jjdxhz,2023-05-29 23:52:55,#上海一老人误将地铁扶手当售卖机# 看成了 老人 地铁 手机  ,0,2,0,辽宁,沈阳,辽宁,中国,star 2
7,4906882038239936,长夜微光bit,2023-05-29 23:48:26,#上海一老人误将地铁扶手当售卖机#适老化设计唯一能成为设计重点的时候只有当老年人自己设计时才会出现 ,0,0,0,浙江,杭州,浙江,中国,star 2
7,4906881879903943,Lyn_温文尔雅,2023-05-29 23:47:48,#上海一老人误将地铁扶手当售卖机#这老人也太可爱了吧。 ,0,0,2,福建,泉州,福建,中国,star 3
7,4906881603079326,南昌熊明,2023-05-29 23:46:42,#上海一老人误将地铁扶手当售卖机#  老人怎么进站的？怎么上地铁车厢的？没有买票的情况下如何闯关进入地铁的？？这样的无厘头的事情还上热搜，一头雾水哦。如果已经买票，已经在地铁车厢了，老人扫码也应该看到有二维码才会扫吧？谁会拿着手机对着铁棍空扫？？荒唐！！真正的老人尴尬，实在一琴防控期间，不扫码，哪里也进不去啊🙏🙏🙏,1,6,5,江西,南昌,江西,中国,star 1
7,4906880038865208,桃桃_气泡水_,2023-05-29 23:40:29,#上海一老人误将地铁扶手当售卖机# 看了很多说法， 我只想说，阴谋论少一点吧，善意多一点， 求知永远不可耻 ,0,1,0,云南,昆明,云南,中国,star 3
7,4906878583442062,开心的桃桃小窝,2023-05-29 23:34:42,#上海一老人误将地铁扶手当售卖机#其实外出还是不要乱扫这些码 ,0,0,2,广东,广州,广东,中国,star 3
8,4906877685335945,夜寒轩kl,2023-05-29 23:31:08,#上海一老人误将地铁扶手当售卖机#拍人家脸放网上就是不尊重，起码打个码，很多东西变化快，老人跟不上节奏很正常，如果你能耐心教一下，老人会感觉到善意和美好。 ,0,3,12,北京,北京,北京,中国,star 2
8,4906877459371780,颜雪姿_,2023-05-29 23:30:14,#上海一老人误将地铁扶手当售卖机# 售卖机有出口啊，这个老人的智商真的是…… 根本不是科技进步的问题 ,0,0,2,北京,北京,北京,中国,star 3
8,4906876875573286,菜_七七,2023-05-29 23:27:55,#上海一老人误将地铁扶手当售卖机#不是我不明白，这世界变化快……不知不觉，我们就被时代抛弃了，现在我还会教我父母我努力在外面学的，等半年后我退休了不知道会不会比他还窘迫 ,0,0,3,山东,临沂,山东,中国,star 4
8,4906875009109050,想好事_,2023-05-29 23:20:30,#上海一老人误将地铁扶手当售卖机#还记得17年我买雪糕，老板是个老人，只收现金，说手机付款那是骗人的 ,0,0,3,山西,太原,山西,中国,star 1
8,4906874908970867,桃花岛唐三,2023-05-29 23:20:06,#上海一老人误将地铁扶手当售卖机#时代发展的太快了，老年人不容易跟上时代的步伐，这个小姐姐还是很暖心的！ ,0,0,0,四川,成都,四川,中国,star 4
8,4906874043893126,沁透你生命好么,2023-05-29 23:16:40,#上海一老人误将地铁扶手当售卖机# 为啥我觉得老爷爷太新潮了，地铁不够科技没跟上 希望地铁赶紧出一个扫码就能掉商品的 ,0,0,3,新疆,石河子,新疆,中国,star 3
8,4906872219894731,言軍,2023-05-29 23:09:25,#上海一老人误将地铁扶手当售卖机#时代发展的太快了，很多老年人不容易跟上时代的步伐，希望老年人都能遇到这样的小姐姐，很暖心 ,9,0,14,山东,济南,山东,中国,star 4
8,4906871858664575,海护法,2023-05-29 23:07:59,#上海一老人误将地铁扶手当售卖机# 别说老人了，刚开始那会我见个二维码就想扫 ,0,0,1,宁夏,,宁夏,中国,star 1
8,4906869745255722,月隐寒霜,2023-05-29 22:59:35,老人年纪大了，新事物很多可能难以理解，旁边的女孩给老人耐心解释，使老人理解了问题所在，这种帮助是应该多去做的。一定要保持善良助人为乐的心态，社会里有很多人需要别人的帮助。哪怕是一件小事，帮助了他们，那也是有用的。都能做到助人为乐，社会才更好。  #上海一老人误将地铁扶手当售卖机# ,0,0,1,上海,上海,上海,中国,star 4
8,4906869736869724,白鹿视频,2023-05-29 22:59:33,#上海一老人误将地铁扶手当售卖机#老人误将扶手当作售货机扫码，通过路人女孩解释才弄清楚情况。#你会主动帮助有困难的老人吗# 看到老人遇到困难，你会主动帮助吗？  网页链接 ,2,10,10,,西安,陕西,中国,star 3
9,4906868722372856,乱码跑得快影分身,2023-05-29 22:55:31,#上海一老人误将地铁扶手当售卖机# 老爷子已经很新潮了，还会扫码购物 ,0,1,3,江苏,南京,江苏,中国,star 4
9,4906867975002870,頋紅,2023-05-29 22:52:33,#上海一老人误将地铁扶手当售卖机#希望社会少点恶搞和歪歪肠子…… ,0,0,1,山东,青岛,山东,中国,star 4
9,4906865173203506,·manmanmanman·,2023-05-29 22:41:25,#上海一老人误将地铁扶手当售卖机#说实话 我上班路上看着这些个扶手 曾经幻想过里面是不是可以装点东西然后掉下来哈哈哈哈哈哈哈哈哈 ,0,0,1,上海,上海,上海,中国,star 5
9,4906864473276705,琴瑟曦月xz,2023-05-29 22:38:37,#上海一老人误将地铁扶手当售卖机#科技发展太快很多老年人都跟不上，希望我以后也能像小姐姐一样帮助老人！这个小姐姐很暖心 ,1,0,2,新疆,,新疆,中国,star 5
9,4906863668235637,火星跑步者,2023-05-29 22:35:26,#上海一老人误将地铁扶手当售卖机#现在网络已经融入生活的方方面面，吃住行等生活细节都牢牢的和网络联系在一起，可以毫不夸张的说现在不会使用网络的老人在城镇生活是很困难的。遇到老年人有什么对网络不如知情的情况下，应该热心的解答，让他们感觉到社会的温暖。 ,0,0,0,北京,北京,北京,中国,star 4
9,4906862657669484,孙婷健康管理师,2023-05-29 22:31:25,#上海一老人误将地铁扶手当售卖机# 这还真有可能，以前疫情的时候，好多人老人不会打开随申码，每次做核酸的时候都在外面急的团团转。遇到身边的老人有困难就帮帮吧 ,0,0,2,上海,上海,上海,中国,star 5
9,4906859737650206,郝努力,2023-05-29 22:19:49,#上海一老人误将地铁扶手当售卖机#说实话，看见这个老人就让我想起了我家里的老人，我也是对他们缺少了关心的，也很少陪伴他们 ,0,0,0,山西,太原,山西,中国,star 3
9,4906859439327695,微浪旅行攻略咖,2023-05-29 22:18:38,#上海一老人误将地铁扶手当售卖机# 尊老爱老是中国人的传统美德，为了老人就是为了自己！ ,0,0,0,山东,日照,山东,中国,star 5
9,4906859431205921,看运气,2023-05-29 22:18:36,#上海一老人误将地铁扶手当售卖机# 我现在遇到老人有困难都会伸出援助之手，毕竟谁都有老的时候！！！ ,0,0,0,广东,广州,广东,中国,star 4
9,4906859033791093,搞笑萌妹笔记,2023-05-29 22:17:01,#上海一老人误将地铁扶手当售卖机# 由于现在科技的快速发展，很多老人都不能适应现在科技软件。 ,0,0,0,广东,广州,广东,中国,star 3
10,4906858366639351,知名咸鱼,2023-05-29 22:14:22,#上海一老人误将地铁扶手当售卖机#  这个场景似曾相识，每次我遇到都必须要帮忙一下！！ ,0,0,0,广东,广州,广东,中国,star 5
10,4906858168981115,MuZhi_,2023-05-29 22:13:35,#上海一老人误将地铁扶手当售卖机# 老人对新鲜事物的接受程度比较低，这种时候就需要我们年轻人耐心的帮忙了 ,0,0,0,河北,石家庄,河北,中国,star 3
10,4906857867773165,努力总会是有结果的,2023-05-29 22:12:23,#上海一老人误将地铁扶手当售卖机# 这个时代的发展是日新月异的，其实在发展的过程中，也应该考虑到老人的感受。 ,0,0,0,河北,石家庄,河北,中国,star 4
10,4906857648358246,夏日半糖甜心,2023-05-29 22:11:30,#上海一老人误将地铁扶手当售卖机# 我觉得这位小姐姐的举动还挺暖心的，老人特别不容易，我们能帮一把就帮一把。 ,0,0,0,河北,石家庄,河北,中国,star 4
10,4906857531184715,尕飞2012_189,2023-05-29 22:11:03,#上海一老人误将地铁扶手当售卖机#会有这样的误会也是让人没想到，老人也不懂吧，更不是时代变化，就挺难的。 ,0,0,0,重庆,重庆,重庆,中国,star 4
10,4906857376783382,露凝迭戈,2023-05-29 22:10:26,#上海一老人误将地铁扶手当售卖机# 看到这个画面，我觉得还挺唏嘘的。我们这个社会需要多考虑老人的感受 ,0,0,0,河北,,河北,中国,star 4
10,4906857275067685,BZX奈,2023-05-29 22:10:02,#上海一老人误将地铁扶手当售卖机# 每个人家里都会有老人，老人出行的时候遇到这种情况我们还是应该帮忙解答 ,0,0,0,河北,,河北,中国,star 4
10,4906857191708169,一杯苹果汁哦,2023-05-29 22:09:42,#上海一老人误将地铁扶手当售卖机#看着也是有点心酸了，希望大家遇到这种情况，也可以替这些老年人耐心的解释一下。 ,0,0,0,重庆,重庆,重庆,中国,star 1
10,4906856985922250,倾听者-空,2023-05-29 22:08:53,#上海一老人误将地铁扶手当售卖机# 每个人都有老去的一天，希望等我老了以后，我还能跟得上这个时代发展的脚步。 ,0,0,0,河北,,河北,中国,star 4
10,4906856939528096,可爱的小女孩呢,2023-05-29 22:08:42,#上海一老人误将地铁扶手当售卖机#希望大家可以多多关心家里面的老人，很多老年人已经跟不上时代的变化。 ,0,0,0,重庆,重庆,重庆,中国,star 1
11,4906856884995302,精彩长春,2023-05-29 22:08:29,#上海一老人误将地铁扶手当售卖机# 随着科技的发展，科技给我们带来了很多的便利，但是有时候很多的老年人也会闹一个大乌龙。 ,0,0,1,吉林,长春,吉林,中国,star 3
11,4906856792988145,你就是我追寻的幸福,2023-05-29 22:08:07,#上海一老人误将地铁扶手当售卖机#这个也没有掉商品的口吧？ ,0,2,2,上海,上海,上海,中国,star 2
11,4906856620756093,7Z阿微,2023-05-29 22:07:26,#上海一老人误将地铁扶手当售卖机#这位小姐姐还是很暖心的，告诉老人这不是售卖机，现在的老人也是不容易啊。 ,0,0,0,重庆,重庆,重庆,中国,star 4
11,4906856546042467,长春探城记,2023-05-29 22:07:07,#上海一老人误将地铁扶手当售卖机# 这个时代发展的挺快的，老年人有一些跟不上这个时代的发展了，有点心酸！ ,0,0,1,吉林,长春,吉林,中国,star 3
