页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4906987207525431,野草挣扎,2023-05-30 06:46:20,#刘浩存在海底捞给路人唱生日歌#刘浩存这是太把自己当明星了吧，跟着一起去唱以为人家会认出来好搞个新闻，结果发现人家没认出来，自己来搞个新闻 ,0,0,67,陕西,宝鸡,陕西,中国,star 3
2,4906910756897887,赤羽千叶,2023-05-30 01:42:33,#刘浩存在海底捞给路人唱生日歌#看到大家都在骂我就放心了 ,0,0,55,江苏,常州,江苏,中国,star 5
2,4907007095605427,Forget_豐,2023-05-30 08:05:22,#刘浩存在海底捞给路人唱生日歌#真tm晦气，过个生日还要被诅咒 ,0,0,5,北京,北京,北京,中国,star 1
2,4906874543538918,忽略,2023-05-29 23:18:39,#刘浩存在海底捞给路人唱生日歌#谴责刘浩存的人到底是站在什么立场我想问，你们是给那女孩儿统筹捐款了还是承担医疗费了，又或者通过你们的嘴炮功夫给那女孩儿找到了个下半生衣食无忧的好工作？你们的善良就靠嘴了是不是，立场能站住脚吗 ,2,38,252,江苏,徐州,江苏,中国,star 1
2,4907006748525225,潘军强,2023-05-30 08:03:59,人生没有捷径，唯有脚踏实地、努力向上。遇到困难，别轻易放弃，成功也许只有一步之遥。面临挑战，唯有迎难而上，才能迎刃而解。一分耕耘，一分收获，只有向下扎根，才能向上生长。#刘浩存在海底捞给路人唱生日歌##迹痕点点# ,0,0,1,浙江,杭州,浙江,中国,star 5
2,4907001308513084,DJ卓亚,2023-05-30 07:42:22,#刘浩存在海底捞给路人唱生日歌#不论什么原因，极其不喜欢这个无法有好感的女孩！ ,0,1,19,内蒙古,呼和浩特,内蒙古,中国,star 2
2,4907006618240632,小葵的守护星,2023-05-30 08:03:28,#刘浩存在海底捞给路人唱生日歌# 打工本来就烦 一睁眼看到真晦气 别尼玛买了别试水了 火不了认命吧 ,0,0,11,上海,上海,上海,中国,star 1
2,4907005653814077,就耀想浩,2023-05-30 07:59:38,#刘浩存在海底捞给路人唱生日歌# 人长得挺美的 但是事实就是事实 ,0,3,1,广东,深圳,广东,中国,star 1
2,4907004886255339,静听花开6,2023-05-30 07:56:35,刘浩存在海底捞给路人唱生日歌，登上热搜，引发争议#刘浩存在海底捞给路人唱生日歌# 静听花开6的微博视频 ,0,0,1,新疆,哈密,新疆,中国,star 4
2,4907004869740499,娱霍霍,2023-05-30 07:56:31,#刘浩存在海底捞给路人唱生日歌#抛出其他一切都不谈，跳得真得好好看！看到很多骂她的，还提到瘫痪女孩，究竟是怎么回事？ 娱霍霍的微博视频 ,0,2,2,江苏,苏州,江苏,中国,star 5
3,4906991632253157,FashionWear,2023-05-30 07:03:55,#刘浩存在海底捞给路人唱生日歌# 你们真的在意受伤的那个小女孩？口口声声说人家可怜从来没见过你们亲自去关心过人家的近况，你们也只不过是靠一次次揭小女孩的伤疤来网暴一个无辜的人而已。 ,0,0,12,山东,烟台,山东,中国,star 3
3,4906900452540799,6549747801_364,2023-05-30 01:01:36,#刘浩存在海底捞给路人唱生日歌#别的不说 妈的这辈子最烦资源咖 ,1,0,82,北京,北京,北京,中国,star 1
3,4907004688073899,你是我的小simple喔,2023-05-30 07:55:48,#刘浩存在海底捞给路人唱生日歌#平易近人善良体贴也要被骂的话，那就祝你们这些跟风黑的人生活中遇到的都是跟你们一样戾气大又冷漠自私的东西啦 ,0,3,4,广东,深圳,广东,中国,star 1
3,4907004186069474,粉莓甜猫,2023-05-30 07:53:48,情感 岁月静好， 那些夏花开得也绚烂， 花儿盛开， 我们内心也充满了美好， 素雅的心境， 也伴着人生芳华， 伴着一季生命的优雅。 人生之美，就是内心里的安暖。 一段时光，不负自己， 倾心岁月静好，与一切坦诚相见， #刘浩存在海底捞给路人唱生日歌# 这是正好偶遇碰到的吧，给人很暖的感觉。 ,9,31,40,江西,抚州,江西,中国,star 5
3,4906996144540942,森旅迷幻了鹿,2023-05-30 07:21:51,#刘浩存在海底捞给路人唱生日歌# 我还一直记得她父母的事，也不知道哪位可怜的小女孩妥善安排好了没有，一辈子就这么毁了 ,0,26,65,浙江,湖州,浙江,中国,star 5
3,4907004092485101,倾羽5683711418,2023-05-30 07:53:26,#刘浩存在海底捞给路人唱生日歌#我不理解，为什么lhc有粉丝啊 ,0,2,15,山东,青岛,山东,中国,star 4
3,4906982014976152,Axnnxe,2023-05-30 06:25:42,#刘浩存在海底捞给路人唱生日歌# 她上的每一次热搜，对于那个瘫痪的女孩来说，都是又一次伤害。有的人风光走明星大道，有的人瘫痪永远卧床。不要说连坐不应该，如果你的家庭被人伤害痛不欲生，你是不是也能笑着看着对方生活的逍遥自在？未经他人苦，莫劝他人善！ ,0,1,48,辽宁,营口,辽宁,中国,star 5
3,4907004043461085,顶流颜究社,2023-05-30 07:53:14,#刘浩存在海底捞给路人唱生日歌#刘浩存在海底捞给素人唱生日歌助兴，现场气氛被调动的非常活跃，有网友建议刘浩存到海底捞工作！  刘浩存团队运营的这波流量很成功，但明星真的如网友所愿到实体店唱歌助兴，收入和名气会下滑很厉害吧？ ,31,31,32,广东,湛江,广东,中国,star 4
3,4907004009384032,可爱萌宠日常,2023-05-30 07:53:06,早上好，漂亮的小姐姐，你的花到了，请签收！ #刘浩存在海底捞给路人唱生日歌# ,0,0,1,广东,,广东,中国,star 5
4,4906982643073460,FashionBool,2023-05-30 06:28:12,#刘浩存在海底捞给路人唱生日歌# 可以说你就是主观不喜欢刘浩存 但能别天天拿父母的事说事行吗 她本人是干什么伤天害理的事了吗 冤有头债有主 讲难听点喷那个教舞蹈动作不当的老师去啊 我不理解这样跟无理由的网暴她人有什么区别 ,0,3,35,山东,烟台,山东,中国,star 2
4,4907003706870262,蜡笔大现,2023-05-30 07:51:54,#刘浩存在海底捞给路人唱生日歌# 为什么渣浪总是推劣迹艺人。。。完全没有底线 ,0,0,29,上海,上海,上海,中国,star 1
4,4906936501798011,Heyhey哟,2023-05-30 03:24:51,#刘浩存在海底捞给路人唱生日歌#每次刘浩存的热搜底下都一大堆人在骂她。虽然是她家里人把人家女孩弄瘫痪了。可又不是她直接造成的。我觉得刘浩存还是很漂亮的。不喜欢也不应该骂吧。她也没干啥违法的事。 ,0,37,157,广东,深圳,广东,中国,star 4
4,4907003262536595,_当初就不该下凡,2023-05-30 07:50:08,#刘浩存在海底捞给路人唱生日歌# 我终于能够理解父母犯错孩子在学校被欺负是什么感觉了 打着他父母是坏人的旗号非常正义的欺负她 甚至污蔑郭嘉政审的目的和意义 这非常符合我对人性的思考 ,0,0,1,山东,,山东,中国,star 5
4,4906916374119049,大眼仔是笨蛋,2023-05-30 02:04:52,#刘浩存在海底捞给路人唱生日歌#粉丝澄清能不颠倒黑白吗？明明是法院判了赔钱，刘家一直用二审，终审等法律程序拖着，到最后被法院强制执行，这就是你们粉丝说的积极赔钱 ,0,2,35,浙江,温州,浙江,中国,star 1
4,4907002868532448,黑猫的小九尾,2023-05-30 07:48:34,#刘浩存在海底捞给路人唱生日歌#路人知道她谁真的不会膈应死吗？这个生日过得整个人都不干净了。 ,0,1,40,安徽,马鞍山,安徽,中国,star 1
4,4906879287559512,白无情立本,2023-05-29 23:37:30,#刘浩存在海底捞给路人唱生日歌#  到底谁在捧她啊 ,0,1,74,天津,天津,天津,中国,star 4
4,4907002679265253,天象梦,2023-05-30 07:47:49,#刘浩存在海底捞给路人唱生日歌#路人：我是过生日，不是过祭日 ,0,1,9,甘肃,兰州,甘肃,中国,star 5
4,4907002197182247,唱作人李川HE,2023-05-30 07:45:54,#刘浩存在海底捞给路人唱生日歌#只要我遇见我就会唱，哈哈哈，不由自主的，来重庆吃火锅啊，巴适得很。 ,0,0,0,重庆,重庆,重庆,中国,star 5
4,4907002100450999,雾漫星河__,2023-05-30 07:45:31,#刘浩存在海底捞给路人唱生日歌#只有在线下见过刘浩存本人的才知道她有多好 过生日的路人发澄清替刘浩存说话你们也看不到 就只会张着你们那张破嘴说路人不觉得晦气吗 你们一群见人什么时候能学会睁眼认字 只是一个看完演唱会和朋友吃饭碰到过生日的路人而已 所有人站起来唱生日歌 你们是现场的路人吗？是过生日的主人公吗？从小到大没有人给你们过生日吗？怎么她给别人唱个生日歌都要挨骂呢？,1,1,9,山东,,山东,中国,star 5
5,4907001589530969,粤港澳小小胖,2023-05-30 07:43:29,粤港澳小小胖 【#在海底捞英国分捞过生日也有节目#】留学生在英国海底捞过生日，服务员卖力演唱中文生日歌！#刘浩存在海底捞给路人唱生日歌# 粤港澳小小胖的微博视频 ,0,1,0,广东,深圳,广东,中国,star 4
5,4907001496995415,_木梓枍,2023-05-30 07:43:07,#刘浩存在海底捞给路人唱生日歌#进来看了下恶意好大，她怎么了吗？ ,0,4,7,浙江,,浙江,中国,star 1
5,4906974758830467,满三月soft,2023-05-30 05:56:52,#刘浩存在海底捞给路人唱生日歌#骂她只能说活该，谁无缘无故骂她，家里不道歉，她倒是成为谋女郎过得风生水起，人家女孩还要通过救济，生活不能自理，她们凭什么比较?自己没学问没实力，当个废物紫薇星靠着迷惑发言黑红，怎么不算活该 ,0,1,51,安徽,芜湖,安徽,中国,star 1
5,4907001358319772,不高兴的小涵1,2023-05-30 07:42:33,#刘浩存在海底捞给路人唱生日歌#但是刘浩存真的好好看捏 ,0,0,5,吉林,四平,吉林,中国,star 4
5,4906997050771451,医学生00368号,2023-05-30 07:25:27,#刘浩存在海底捞给路人唱生日歌#过生日的人：真tm晦气 ,0,0,22,江苏,常州,江苏,中国,star 1
5,4906996148472264,七厘米棏光年,2023-05-30 07:21:52,#刘浩存在海底捞给路人唱生日歌#不是吧不是吧存嘿这是不睡觉嘿了一天一夜啊，佩服佩服，这精神头这毅力说没拿💰会有人信吗 ,0,2,18,山东,济南,山东,中国,star 5
5,4906906688423109,萌忆心,2023-05-30 01:26:23,#刘浩存在海底捞给路人唱生日歌#只要想到那瘫着床上永远起不来的小女孩，你家姐姐就跟zb一样是别人的鲜血浇灌出来的产物。 ,1,4,77,福建,福州,福建,中国,star 5
