页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4906913944569102,想要被爱的话就说出来吧,2023-05-30 01:55:13,#福建农业职业技术学院坠楼##福建农业职业技术学院# 什么狗屁学校还给霸凌者保本放假？一条鲜活的生命因为这些人早早的离开人世 她们得到的不是惩罚而是肯定吗？这不就是用枪指着好人的脑袋吗？ ,1,2,126,福建,南平,福建,中国,star 1
2,4907001740788584,土楼先生,2023-05-30 07:44:05,#福建农业职业技术学院坠楼#遭舍友孤立，知情人表示应该审查她的几个舍友！ ,11,3,210,福建,厦门,福建,中国,star 4
2,4907001799246245,不装文艺,2023-05-30 07:44:19,#福建农业职业技术学院坠楼#保本、放假、私密账号、错过最佳急救时间，纵容霸凌，第一大加害者 ,2,2,86,陕西,西安,陕西,中国,star 4
2,4907007368234785,祖妈猎安人,2023-05-30 08:06:27,#福建农业职业技术学院#校园霸凌都给爷死啊啊啊啊#福建高校女生坠楼# ,0,0,2,福建,福州,福建,中国,star 4
2,4907007225893125,臺灣桑大叔,2023-05-30 08:05:53,#福建农业职业技术学院坠楼#必須調查個水落石出！如有任何違法，絕不能放過！ ,0,0,1,中国台湾,,台湾,中国,star 1
2,4907007016701290,壹颗夹心糖,2023-05-30 08:05:03,#福建农业职业技术学院坠楼#既然都想不开了  不如带走几个 谁让我这样  那就都别好过 都付出代价 ,0,0,16,北京,北京,北京,中国,star 5
2,4907006798597551,Mr_郭文斌Pluto,2023-05-30 08:04:11,#福建农业职业技术学院坠楼#认真道歉，查明因果，给亲属一个交代才是正途。而不是把头埋进沙子里，堂而皇之装作无事发生。 ,0,0,29,山西,长治,山西,中国,star 4
2,4907006610376529,tknanpkn,2023-05-30 08:03:26,#福建农业职业技术学院坠楼#估计会威胁学生删除微博 ,0,0,18,广东,东莞,广东,中国,star 1
2,4907006512860090,在和地球约会哦,2023-05-30 08:03:03,#福建农业职业技术学院坠楼#怎么还说得出“反正都保本了”这种话啊！！！不怕现世报吗 ,0,0,15,浙江,杭州,浙江,中国,star 1
3,4907006345612702,宁小阳,2023-05-30 08:02:23,#福建农业职业技术学院坠楼# 看现在的情况，欺凌者、施暴者反而无事保本，如果是真的社会影响很恶劣 ,0,0,13,山东,潍坊,山东,中国,star 4
3,4907006307077117,芒菓梧六梨y,2023-05-30 08:02:14,#福建农业职业技术学院坠楼# 这也太恶心了，霸凌居然还能升本，咋滴，救了你们校长的命啊，这必须还受害者一个公道，这些霸凌的必须开除 ,0,0,12,福建,福州,福建,中国,star 1
